"","cho","dinB","dinD","dinG","dnaG","ftsK","hokE","insK","lexA","phr","polB","ptrA","recA","recB","recD","recN","recQ","recX","rpoD","rpsU","ruvA","ruvB","symE","umuC","umuD","uvrB","uvrD","uvrY","yafN","yafO","yafP","ybfE","ybgA","ybiB","ydjM","yebG"
"ruvA",0.16649350903587,0.32660234159891,0.0937919013059139,0.287144437493874,-0.153928288723753,-0.166817106384274,-0.194707997734362,0.0430682202691687,-0.0974150071177016,0.144538133400736,0.317274084383688,0.513370704495487,0.226952456525985,0.166300906132865,-0.0139053926552592,0.132737985359594,-0.0786240040579989,0.208104620396151,-0.0543069501819684,0.291050991494281,1,-0.0270275530828301,0.201920132420219,0.128620446021722,0.0168809940969998,0.20121431703576,0.0345507917603691,-0.308203064812007,0.161064771759256,0.1766621996637,0.115284590325437,-0.0857299520681477,0.189782938227026,0.348784501058338,0.195006133993737,-0.15303702521708
"ruvB",-0.025137779599936,-0.0789362932239801,0.0553946928379863,-0.146281013673313,-0.0318110165234036,0.0140696918779942,0.0950342002416109,-0.0489705419492449,0.0117242820227003,-0.143220173638426,-0.190234653384937,-0.0824762187974612,0.0160946899997023,-0.028401299435721,0.046246860974108,-0.0494727280605186,0.114115089422474,0.0561167570242892,-0.0511117322036023,0.112771935745402,-0.0270275530828301,1,-0.0894980712958321,-0.131865534375006,0.122316851290951,0.0320860665948734,0.11972525858192,0.0495648262609592,0.116117178450154,-0.0969580002352192,0.061003493526608,0.165195963680421,-0.0367088480177108,-0.0188291674868756,0.0563264246507716,0.100358717716855
"symE",0.380165661901503,0.41234636081868,0.221447470647709,0.337693685087658,-0.266748457059368,-0.0306053290420192,-0.0358929096179994,0.195617252080824,0.134060714011558,0.271425197313898,0.364880102354434,0.0881144872290165,0.0539438744905019,0.232443411929707,0.143003433006272,0.176123185043806,-0.0336452193641073,0.171858037150734,-0.0528485950275846,-0.135898848389268,0.201920132420219,-0.0894980712958321,1,0.228158322582806,0.236275408717931,-0.063524449960256,0.143372739930019,-0.163740342519125,0.403168190568042,0.467318210347207,0.307361322318323,-0.0527238883409196,0.292109872951247,0.236885629521733,0.443169409114616,-0.251721514090926
"umuC",0.164972520953722,0.174593835931247,-0.172980639839444,0.24110118597493,-0.276506455822313,-0.0861066186245555,-0.00646424860166459,0.358221953411416,-0.204407401281644,0.35987629881631,0.503284920851701,0.0970340096832876,-0.0497980783443706,0.162345371464964,0.136867088211681,0.0821292125426361,-0.139993856066902,-0.0106896045542131,-0.0676342361679455,0.0194649337956108,0.128620446021722,-0.131865534375006,0.228158322582806,1,0.0613280768674571,-0.14562953579157,-0.188422270868647,-0.352534791785077,-0.0746675361608092,0.0608915721076512,0.0539772990164491,-0.0477595916761583,0.158385381091118,0.054723621949921,0.0689004002743842,-0.309126590095423
"umuD",0.124598740305951,0.276719319595431,0.26547026006501,0.117093449604165,-0.236841190366445,0.0797356208742401,0.0504261627093026,0.0536013009626428,-0.00944103038444052,-0.0458133129959217,0.157637966124833,0.0419171284711579,-0.109214405752229,0.133409674138136,0.087240846232264,0.0936273573535969,-0.0317695548241023,0.328821792660074,-0.0997030227475049,-0.101331687235212,0.0168809940969998,0.122316851290951,0.236275408717931,0.0613280768674571,1,0.00182235822995126,0.35792869979988,-0.0688226603475885,0.493293654096739,0.271938359894306,0.584846970128759,-0.0788767891776056,0.0270492189757332,0.0203504027304049,0.446670370691869,-0.11301398468557
"uvrB",0.293178529777678,0.072098753662389,-0.0379043599504453,0.175685021240563,0.102476057228177,-0.262093377717881,0.0997229518022412,0.100525512857456,-0.126634966120641,0.0913841929901507,0.0704547009476201,0.440392861906499,0.0980247914956168,0.152481861338985,0.0568983356104738,0.0919179472027251,0.14455835657144,0.140647682666036,0.420669553862124,0.229175858598916,0.20121431703576,0.0320860665948734,-0.063524449960256,-0.14562953579157,0.00182235822995126,1,-0.0394452147627135,-0.131319987407015,0.11033586533952,-0.0658615352837766,-0.0386374901302802,0.0774612470838122,0.144125240661622,0.258285192980736,-0.0783794439218467,-0.0943887898910209
"uvrD",0.00613180902189694,0.146195911911566,0.335274565728754,0.0631840719849649,-0.00187653641703701,0.115127055257524,-0.0434542898219056,-0.0677501203965391,0.0736603132079791,-0.10898194450382,-0.0182358158856557,-0.0203030255023193,-0.0183791982857731,0.0437611020286415,0.158301790533371,0.290254099312409,0.17404070829655,0.24139134895715,0.0215757420352239,-0.00605596478087642,0.0345507917603691,0.11972525858192,0.143372739930019,-0.188422270868647,0.35792869979988,-0.0394452147627135,1,0.100715533651212,0.25605547212058,0.220296733302713,0.330237261188992,0.0566318328822515,-0.0436574531396531,-0.0297969090859534,0.238416412412308,0.0903475042661193
"uvrY",-0.209292477811514,-0.147071930395313,0.293666051408968,-0.166126948619582,0.28914469097406,0.273854506266931,0.182761127215722,-0.313216253578564,0.364849311351463,-0.254694371961975,-0.399994118189534,-0.3398328807321,-0.0267399928211522,-0.316231593919039,-0.0765643776146462,-0.00996946196076519,0.0766838454353146,0.00430257065735541,0.053939409138286,-0.0610868265507918,-0.308203064812007,0.0495648262609592,-0.163740342519125,-0.352534791785077,-0.0688226603475885,-0.131319987407015,0.100715533651212,1,0.0201700127105239,-0.000283464860845565,-0.114395364015234,0.219378993987042,-0.313529784722273,0.00690357493056924,-0.0205400314332506,0.396304954506162
"yafN",0.142430799709238,0.427869711124585,0.463994505152722,0.172495833383163,-0.065206554925982,0.126736379277952,0.0956498438956843,0.107766405974706,0.207552523550918,0.00506984500920643,0.119071594041444,0.181620374488771,0.119895350114992,0.100731102000967,0.148733216449217,0.223585056995721,-0.0092672380203129,0.403078895663963,0.000661305991855737,-0.123877525136483,0.161064771759256,0.116117178450154,0.403168190568042,-0.0746675361608092,0.493293654096739,0.11033586533952,0.25605547212058,0.0201700127105239,1,0.592565415426923,0.42154625922023,0.0376532949482445,0.0119730955620678,0.253586166647089,0.528016007982107,0.0406915057642894
"yafO",0.138268185772638,0.482639217378141,0.421127649297806,0.273881177465824,0.0411244702551912,0.0792831396734188,0.0696082074850775,0.19991006596008,0.239498887651204,0.113237997988056,0.120518819888314,0.0664405393160127,0.0528686458777339,0.0706444627374248,0.118925238364973,0.164213599692284,-0.0460102121241566,0.333278749657756,0.0981765685019018,-0.158694234946966,0.1766621996637,-0.0969580002352192,0.467318210347207,0.0608915721076512,0.271938359894306,-0.0658615352837766,0.220296733302713,-0.000283464860845565,0.592565415426923,1,0.39863265639489,0.0399068076210843,0.052030359178268,0.191044752933689,0.48419874240837,0.00100777346465082
"yafP",0.101292169403729,0.262376812767532,0.22282167409216,0.126116392859015,-0.225015594498909,-0.0225071077628453,0.0592605799117562,0.100840949038288,-0.0241357392278236,0.0523679104400369,0.208164730201548,0.0467377952351295,-0.0692404457172366,0.159644968240358,0.108758286535544,0.0399433535595199,-0.0997039372401195,0.287673526234013,-0.0265758650384712,-0.0581912198150551,0.115284590325437,0.061003493526608,0.307361322318323,0.0539772990164491,0.584846970128759,-0.0386374901302802,0.330237261188992,-0.114395364015234,0.42154625922023,0.39863265639489,1,-0.101528814265436,0.164900668776632,0.00185901723724072,0.425364139533425,-0.158206049562956
"ybfE",-0.0886277786175593,-0.103442308567686,0.249301067093268,-0.176210469731136,0.169055386291836,0.00832239825196859,0.0396585100499487,-0.105178575999606,0.240588099373145,-0.184110251890358,-0.153908555204925,-0.155096521233611,-0.117757365828902,-0.177110519997228,-0.112417980302507,0.0577473652616993,0.0823203758128873,-0.125097267669233,0.232294700681982,0.0259778979214746,-0.0857299520681477,0.165195963680421,-0.0527238883409196,-0.0477595916761583,-0.0788767891776056,0.0774612470838122,0.0566318328822515,0.219378993987042,0.0376532949482445,0.0399068076210843,-0.101528814265436,1,-0.184911916117668,-0.0175296859850976,0.0544438938891611,0.301452027478985
"ybgA",0.208126844247265,0.189407957192979,-0.112577616250959,0.148357037484963,-0.327310706432594,-0.133639660205911,0.00197046720044601,0.175729833686485,-0.204306552548773,0.328246808957471,0.137859653153779,0.180077253387603,0.196179019427215,0.167913361889693,0.0999199722918594,0.0037726931137921,0.029213208650174,0.0314593231449726,-0.188352069340038,0.0497828776031142,0.189782938227026,-0.0367088480177108,0.292109872951247,0.158385381091118,0.0270492189757332,0.144125240661622,-0.0436574531396531,-0.313529784722273,0.0119730955620678,0.052030359178268,0.164900668776632,-0.184911916117668,1,0.121996361911581,0.0662987664432084,-0.275972752154147
"ybiB",0.114012323537026,0.337043726429781,0.249244269961232,0.112003958909353,-0.0486461471499399,-0.0490963799229021,-0.00161901965084485,-0.0618386608390465,0.207944320934629,0.198076449580837,0.143681598854595,0.345175001750783,0.255656159298862,0.0251149374689872,-0.0968653201638888,0.0854493561579131,-0.0865381129641808,0.121160098521757,0.03344678784878,0.0878595187638211,0.348784501058338,-0.0188291674868756,0.236885629521733,0.054723621949921,0.0203504027304049,0.258285192980736,-0.0297969090859534,0.00690357493056924,0.253586166647089,0.191044752933689,0.00185901723724072,-0.0175296859850976,0.121996361911581,1,0.119112167360296,-0.0187942698740266
"ydjM",0.22820492045776,0.397543531883495,0.29974436317144,0.151043223204179,-0.134145387570234,0.0796264843615835,0.147967524352765,0.115607613423517,0.163182901219096,-0.0274737230277657,0.146944611981391,0.0173821965550135,-0.0423115212840447,0.0222604009875374,0.112444767035066,0.0600997968534778,-0.0744958400164324,0.254373133660975,0.030510187538404,-0.068844176658884,0.195006133993737,0.0563264246507716,0.443169409114616,0.0689004002743842,0.446670370691869,-0.0783794439218467,0.238416412412308,-0.0205400314332506,0.528016007982107,0.48419874240837,0.425364139533425,0.0544438938891611,0.0662987664432084,0.119112167360296,1,-0.0185451321567555
"yebG",-0.238821394209826,-0.203049040936819,0.378765316048855,-0.194323834887467,0.286017398641443,0.19646427264797,0.0957852175211006,-0.231965336873841,0.414746147320769,-0.196799907115803,-0.382039188586244,-0.245670881417417,-0.0151658942336814,-0.31328639893682,-0.134810087694646,0.0941803317171401,0.0844726498744921,0.0448797917901746,0.0379078983610476,-0.0806997076608434,-0.15303702521708,0.100358717716855,-0.251721514090926,-0.309126590095423,-0.11301398468557,-0.0943887898910209,0.0903475042661193,0.396304954506162,0.0406915057642894,0.00100777346465082,-0.158206049562956,0.301452027478985,-0.275972752154147,-0.0187942698740266,-0.0185451321567555,1
