"","acrZ","inaA","nfo","nfsB","marA","rob","soxS"
"acrZ",1,0.823432552362802,0.594134515051789,0.767962260658733,0.313844143758369,-0.125850760357329,0.125810082858282
"inaA",0.823432552362802,1,0.527598398643345,0.746090360036951,0.284677844109755,-0.0900917756273342,0.151170048615615
"nfo",0.594134515051789,0.527598398643345,1,0.569034343843777,0.109374450450946,-0.0946920384758774,0.17071570961668
"nfsB",0.767962260658733,0.746090360036951,0.569034343843777,1,0.222435498943825,-0.134797165443701,0.122224687223535
"marA",0.313844143758369,0.284677844109755,0.109374450450946,0.222435498943825,1,0.15616647972212,0.0894605298997363
"rob",-0.125850760357329,-0.0900917756273342,-0.0946920384758774,-0.134797165443701,0.15616647972212,1,0.302542825244905
"soxS",0.125810082858282,0.151170048615615,0.17071570961668,0.122224687223535,0.0894605298997363,0.302542825244905,1
