"","bioA","bioB","bioC","bioD","bioF","birA","pval","z","inv_cof_var"
"T8405",0.122692748,0.159155595,0.187521018,0.18232916,0.099300031,0.152404303,0.30399231944024,0.512952369797422,3.92660539119633
"T0717",0.067695026,0.13771613,0.10470222,0.108935582,0.100504413,0.050747318,0.270157458325483,0.612336845565328,4.16320946939549
"T1994",0.056389831,0.069714874,0.044703715,0.062955279,0.0934062,0.039387097,0.352901599065152,0.37749847411901,3.6041310421811
"T4829",0.087890429,0.113165896,0.093349741,0.184819618,0.12598829,0.083204802,0.430856843313573,0.17419312724994,3.12012311421003
"T4830",0.092439732,0.136049116,0.072504642,0.178193765,0.148513907,0.071991632,0.461613341333991,0.0963700441527651,2.93485012568188
"T4831",0.115013571,0.102240698,0.11363217,0.106901735,0.094318469,0.085661686,1.94882781949454e-05,4.11346416808631,12.4983241480449
"T4832",0.113887858,0.101576075,0.110907636,0.106734131,0.090999451,0.089078917,8.76592875094713e-05,3.75215847835268,11.6381656674873
"T5075",0.071104346,0.06222544,0.061141912,0.055217314,0.056961774,0.076839175,0.00121705667673729,3.0314138932172,9.92229297343343
"T5076",0.060069465,0.044688691,0.05003766,0.042155155,0.044763497,0.132912662,0.0444512814296086,1.70121531600625,6.75549649188011
"T5077",0.046028502,0.042226282,0.044259044,0.04272359,0.042424166,0.072506469,7.06023817649416e-25,10.2329144001465,27.0668658649976
"T5078",0.058342659,0.048794493,0.051697748,0.046068433,0.047892945,0.12212073,0.000509173094786793,3.28540848061749,10.5269764992566
"T5079",0.045650608,0.048657513,0.042803474,0.03386131,0.038608782,0.072756656,0.0298399794276236,1.8831506198069,7.18862887513244
"T5080",0.059675748,0.049401422,0.053386059,0.047946494,0.049847354,0.11259408,0.000225669050001924,3.50808895870432,11.0571106962082
"T5081",0.048293391,0.03841582,0.045158007,0.036698597,0.04156092,0.056666848,0.00508087098982053,2.57027634080865,8.82446532311268
"T5082",0.068180561,0.065253902,0.065114552,0.057268888,0.060993657,0.146065762,1.60512982609831e-07,5.11066548755751,14.8723558783472
"T5083",0.052156475,0.070786294,0.046410848,0.035681606,0.041867353,0.069969239,0.340584476042475,0.410868512558923,3.68357491028566
"T5084",0.061014326,0.045715404,0.050810164,0.043281951,0.04590851,0.102953121,0.0363701980031921,1.79445612236509,6.97747436990001
"T5085",0.055655839,0.05651807,0.040560479,0.031084447,0.035154065,0.069673236,0.332335412684487,0.433473484216476,3.73739044274612
"T5086",0.061058635,0.048212909,0.052081305,0.042764494,0.046412679,0.316443156,0.0301832413698201,1.87810733771284,7.17662236101901
"T5087",0.055655839,0.05651807,0.040560479,0.031084447,0.035154065,0.069673236,0.332335412684487,0.433473484216476,3.73739044274612
"T5088",0.054184335,0.043105312,0.041191624,0.032533933,0.036516596,0.071571141,0.160979142154913,0.990441674372943,5.06336156851804
"T5536",0.141556964,0.101818421,0.154919383,0.181072547,0.091542614,0.10342505,0.353122836787163,0.376903024646017,3.60271345887563
"T5546",0.176611954,0.139475604,0.092755163,0.183137278,0.089285705,0.102476805,0.44095054168914,0.148559689111687,3.05909772815335
"T5548",0.096712165,0.085080586,0.080845678,0.12879357,0.134273592,0.068203102,0.261027372152501,0.640181291296581,4.22949858914287
"T5550",0.073431674,0.130145201,0.085206249,0.15342461,0.143680719,0.112417423,0.405436547422695,0.23929983306166,3.27512229284573
"T5554",0.202935223,0.103779724,0.115796202,0.18045705,0.14147513,0.114317977,0.364007610895097,0.347766937282331,3.53334933495437
"T5558",0.20473971,0.168766189,0.072039596,0.174934853,0.111886029,0.132579796,0.494364253375798,0.0141271917345252,2.73905501649068
"T5560",0.225086545,0.173334535,0.132607168,0.211683554,0.150104446,0.136720922,0.221511728955896,0.767097651906234,4.5316476750883
"T5562",0.244148137,0.194746602,0.150865727,0.178842937,0.151486683,0.06686993,0.191145840435903,0.873681587469645,4.78539146786849
"T5564",0.232981603,0.171217528,0.117765876,0.213896204,0.163061433,0.141602502,0.297283981619404,0.532228186500923,3.97249522265571
"T5566",0.221349574,0.183873987,0.113931661,0.190958942,0.122387605,0.14815056,0.355561778947856,0.370347537679334,3.58710684688805
"T5568",0.20425736,0.162648764,0.116157115,0.172359545,0.149881319,0.117815101,0.166738133756461,0.967135566760562,5.00787684552252
"T5570",0.201678437,0.15849875,0.100950127,0.176082943,0.168560323,0.127973658,0.248053087638785,0.680629153165355,4.32579259279528
"T5572",0.209773599,0.147665742,0.126134933,0.180250169,0.165609783,0.128031028,0.145740445113828,1.05487851364478,5.21676599954391
"T5574",0.208807891,0.152915809,0.122323477,0.149798289,0.165051334,0.105368746,0.160858028558869,0.990937587329842,5.06454218578374
"T5576",0.223201001,0.171259211,0.172150872,0.201117817,0.16012544,0.09369823,0.0307884977674759,1.86932943372101,7.15572485296797
