"","bioA","bioB","bioC","bioD","bioF","birA","pval","z","inv_cof_var"
"T5578",0.186906054,0.141537023,0.11811046,0.145747534,0.186307148,0.10757155,0.149882267653145,1.03693846664397,5.17405622771407
"T8498",0.061046616,0.066558849,0.065622046,0.098511468,0.066064338,0,0.201098131981184,0.837705250355813,4.69974279875764
"T8215",0.051785176,0.052334258,0.051819619,0.074235809,0.08342618,0.053808733,0.270078757264347,0.612574815953296,4.16377600419732
"T8218",0.043675556,0.038904284,0.042410272,0.040047895,0.066560442,0.049691469,0.287803165214697,0.559813974945662,4.03816855841498
"T8220",0.044394809,0.035342599,0.042638003,0.03892097,0.036396469,0.048807193,0.000920560408073168,3.11473203991928,10.1206480298483
"T5537",0.154766167,0.139371343,0.131839421,0.149494327,0.093958171,0.082672608,0.114146263359039,1.20476890615194,5.57360923764569
"T8252",0.088263243,0.089530805,0.07121456,0.069175413,0.067293117,0.076009698,0.0327106634236206,1.84236808495495,7.09153811733839
"T8253",0.068786109,0.069222021,0.052311945,0.056767221,0.060042587,0.106815011,0.00990682167873932,2.32985826715144,8.25210332934493
"T8254",0.053247381,0.0934707,0.045884777,0.083050793,0.091118678,0.209557361,0.400939841412147,0.250915186482613,3.30277490124244
"T8255",0.078076541,0.050006991,0.045075368,0.07670097,0.08732287,0.04260978,0.352484538143142,0.37862133552284,3.60680423218735
"T8304",0.051590351,0.061999576,0.048535945,0.077443121,0.06441468,0.051883418,0.138068750697318,1.08903715487648,5.29808729000416
"T8305",0.042216096,0.089556625,0.040366559,0.069170767,0.057426116,0.048082054,0.4627865806005,0.0934158977059133,2.92781720538399
"T8306",0.063562501,0.095185086,0.057719322,0.060686551,0.055825659,0.359432559,0.279264585413919,0.585027581978565,4.09819445485405
"T1591",0.052063752,0.090954304,0.044975378,0.057416736,0.050581778,0.045607577,0.411902343924712,0.222654150879599,3.23549400826455
"T8189",0.05850175,0.067811959,0.044428273,0.035961954,0.030909422,0.049340091,0.43726110467738,0.157916990777061,3.08137460507866
"T8191",0.053187943,0.072983008,0.042621707,0.049214512,0.041644229,0.039330867,0.280325455297367,0.581874956110864,4.09068901568389
"T0881",0.085523295,0.13771613,0.10470222,0.061438395,0.064915245,0.078113142,0.469141641286776,0.0774277288309444,2.88975425913886
"T0882",0.081688337,0.067672387,0.061895041,0.051109072,0.05584009,0.072509803,0.131991336866244,1.11702725078133,5.36472315832368
"T0878",0.086803029,0.062995832,0.068963818,0.07928734,0.080119433,0.084948049,0.0138615763247008,2.20118185024263,7.94576408698902
"T0880",0.075741392,0.13771613,0.10470222,0.076909638,0.074409016,0.073439684,0.383817708260017,0.295469279751637,3.4088445875437
"T0150",0.074744669,0.101669581,0.065638537,0.073634985,0.067564754,0.068487606,0.139605876166718,1.08209177015897,5.28155245057247
"T0151",0.056970131,0.095138755,0.049001366,0.070748167,0.061900479,0.089440928,0.327846869309561,0.44586642182971,3.76689424157891
"T0344",0.051312869,0.13771613,0.10470222,0.114952232,0.086168514,0.055925745,0.443225807588501,0.142795596182292,3.04537518362438
"T0345",0.046125497,0.13771613,0.10470222,0.124626008,0.089870027,0.052084354,0.479083432460672,0.0524541036700169,2.8302996862306
"T0346",0.044791356,0.13771613,0.10470222,0.115843225,0.084337762,0.049988613,0.48934810645951,0.0267035107995966,2.76899539054345
"T0876",0.071903161,0.13771613,0.10470222,0.066116978,0.060669926,0.061119012,0.499031137771683,0.00242857984301271,2.71120419510823
"T0877",0.076061236,0.067672387,0.061895041,0.047214547,0.053056203,0.070303044,0.134270778061141,1.10642743529223,5.33948823553013
"T1081",0.078853492,0.124685253,0.061514617,0.071020842,0.061688065,0.069822868,0.445545451706825,0.136923955506068,3.03139660076242
"T1082",0.070838218,0.10851258,0.065188137,0.082443381,0.074097874,0.06567755,0.199089500391655,0.844877924990382,4.71681874605245
"T1961",0.037263586,0.078420552,0.037083472,0.050000057,0.059560292,0.035962978,0.445461406011948,0.137136614054853,3.03190287580706
"T2298",0.049225104,0.13771613,0.10470222,0.087944528,0.077271232,0.04922391,0.487035615311532,0.0325026150519326,2.78280128633757
"T2380",0.055226936,0.04527388,0.051200973,0.052610419,0.067150867,0.049418387,0.0452638517239851,1.69262062067014,6.73503514767428
"T2381",0.061641377,0.048704089,0.050158238,0.057692408,0.06345245,0.046030422,0.00775748453098034,2.42012977327254,8.46701221051982
"T2382",0.061189258,0.069848503,0.05783742,0.058261261,0.059265806,0.053940166,2.53778596739235e-05,4.05211953854637,12.352281323825
"T2063",0.06907359,0.108322127,0.054948068,0.054623696,0.056907806,0.050753386,0.450062141954096,0.125504346917133,3.0042100010173
"T2064",0.056111806,0.095605849,0.041352773,0.050630343,0.053614701,0.038788902,0.478026207966403,0.0551080085613666,2.8366178230985
"T2065",0.092667423,0.108660617,0.075368373,0.051343785,0.050321802,0.065883319,0.457175487807712,0.107552124632916,2.9614712435568
"T0824",0.081515638,0.110733388,0.111184024,0.05153465,0.051427317,0.051975462,0.495375119034508,0.0115931170761938,2.73302215880351
"T0831",0.108680158,0.119966175,0.059252357,0.06552274,0.067007343,0.055998634,0.450987327353608,0.123167255146544,2.99864609941421
"T0826",0.063397835,0.10266501,0.102266422,0.051932648,0.052013425,0.055785286,0.47336379760472,0.0668167417439862,2.86449274018337
"T5127",0.101836595,0.098712157,0.158505366,0.135520929,0.073746764,0.111595249,0.383696363398589,0.295787032362448,3.40960105944734
"T5129",0.078285278,0.104369666,0.146411666,0.091529147,0.060373255,0.071301378,0.456824692187989,0.108436581484389,2.96357686514843
"T5131",0.136442506,0.076630082,0.115581693,0.106324038,0.066093387,0.12982527,0.371561280539566,0.327721082960623,3.48562627914655
"T5133",0.126413491,0.130104926,0.141219015,0.123180602,0.139839468,0.117233336,4.12826945552354e-09,5.7631356341247,16.4256879897075
"T5137",0.102644148,0.099207686,0.190948022,0.15726065,0.105559161,0.091331487,0.418849395990696,0.204837878105088,3.19307890505867
"T0321",0.100214991,0.123400291,0.085895233,0.061147487,0.066739787,0.090842483,0.377951965490991,0.310864108249376,3.44549497159611
"T0034",0.052153726,0.089044182,0.053329046,0.051664728,0.049874191,0.145825775,0.362806621952986,0.350966815815819,3.54096726828767
"T0016",0.045434717,0.086324474,0.047290647,0.047635483,0.045530615,0.133785735,0.442455685684791,0.144746060105846,3.05001864242544
"T0056",0.056292561,0.13771613,0.10470222,0.090090948,0.076715042,0.053322747,0.444499268214123,0.139571529673787,3.03769966611117
"T0054",0.078630397,0.13771613,0.10470222,0.076702858,0.068506947,0.071095484,0.402567625800932,0.246706660418709,3.29275568624701
"T0055",0.073110127,0.13771613,0.10470222,0.076859107,0.069285786,0.066665471,0.419471782115501,0.203244971363454,3.1892866806861
"T1864",0.091459797,0.13771613,0.10470222,0.114225991,0.101974847,0.088699484,0.0658754362091664,1.50723328078568,6.29368452098696
"T1868",0.081387881,0.13771613,0.10470222,0.127436589,0.111100157,0.082986686,0.149840145582977,1.03711923651435,5.17448658555635
"T1866",0.09548938,0.13771613,0.10470222,0.120404083,0.110301738,0.095094534,0.0345481185833038,1.81778998999856,7.03302518102601
"T1870",0.096889319,0.13771613,0.10470222,0.115692419,0.107506416,0.095596228,0.0294030222213174,1.88964059182501,7.20407951604008
"T2264",0.057971587,0.043932419,0.050948592,0.02101411,0.036724139,0.013591259,0.456567515120853,0.109085052840309,2.96512067736075
"T2265",0.048988339,0.026134232,0.046746297,0.023202064,0.039025073,0.022491207,0.42810137673208,0.181209990082832,3.13682812120029
"T0025",0.04378016,0.083604682,0.043784159,0.048261221,0.044044339,0.080526516,0.445565606613497,0.136872959011666,3.03127519368695
"T0032",0.056896933,0.105135208,0.048944724,0.054749581,0.054059983,0.076839112,0.491461618143618,0.0214041836173145,2.7563793112881
"T0009",0.065580222,0.122413404,0.065310729,0.067886432,0.066429483,0.09964162,0.436348697008178,0.160233178958779,3.08688874162198
"T1863",0.077525195,0.13771613,0.10470222,0.101248754,0.08627852,0.072429397,0.238306621772021,0.71176026257838,4.3999062548041
"T1867",0.084397069,0.13771613,0.10470222,0.115828628,0.102013888,0.08309689,0.116497779097708,1.19267786395609,5.5448241595828
"T0007",0.047650254,0.097428454,0.049407074,0.054424553,0.050950736,0.298209222,0.476776887163675,0.0582446263754435,2.8440851519829
"T0046",0.050145072,0.13771613,0.10470222,0.092495103,0.076366279,0.049052901,0.478792151846261,0.0531852551256183,2.83204033450428
"T1865",0.074948031,0.13771613,0.10470222,0.120787381,0.104742463,0.077251989,0.204173257290605,0.826806906956747,4.67379717220067
"T1869",0.065863997,0.13771613,0.10470222,0.120867283,0.101958684,0.069561486,0.296845455732174,0.533495086422671,3.97551132437421
"T0707",0.057008349,0.13771613,0.10470222,0.095814719,0.081007091,0.054774799,0.418775223402797,0.205027746639785,3.19353092404135
"T0709",0.077522749,0.13771613,0.10470222,0.096484576,0.083118728,0.073796572,0.262981886293334,0.634179365094812,4.21520983624241
"T0711",0.096916021,0.13771613,0.10470222,0.100740721,0.092385768,0.092762755,0.0896299708287502,1.34303715975132,5.90278371317934
"T1075",0.090731278,0.13771613,0.10470222,0.086610948,0.074649444,0.078998192,0.281433107654813,0.578589464405489,4.08286726354026
"T1077",0.093475447,0.13771613,0.10470222,0.100547924,0.086444805,0.082489829,0.139328502480176,1.08334119882773,5.2845269585745
"T1079",0.090283522,0.13771613,0.10470222,0.086711629,0.076235238,0.078793182,0.271271197849877,0.608972909243649,4.15520096458262
"T1702",0.091156945,0.13771613,0.10470222,0.062978245,0.067052572,0.08297781,0.443639702858805,0.14174756129823,3.04288013270473
"T1705",0.106390128,0.13771613,0.10470222,0.067586068,0.073073013,0.095254322,0.378803532402088,0.308624653745396,3.44016351449993
"T1706",0.096584072,0.13771613,0.10470222,0.063572816,0.06743851,0.085009092,0.433174136076211,0.168298730983781,3.10609035723949
"T1707",0.095096516,0.13771613,0.10470222,0.067376055,0.070314733,0.084616005,0.399230940224373,0.255338222951585,3.31330479998665
"T1919",0.054185173,0.099669664,0.045571598,0.055760196,0.055542784,0.090990695,0.466581388864306,0.0838662447978464,2.90508239890666
"T2000",0.066296993,0.13771613,0.10470222,0.068154246,0.064720004,0.067883684,0.494270366928324,0.0143625540371342,2.73961534223795
"T2331",0.077611274,0.13771613,0.10470222,0.068959716,0.062581179,0.070801097,0.46497536607968,0.0879068248522661,2.91470178575535
"T2335",0.066577118,0.13771613,0.10470222,0.105537743,0.090431831,0.061501928,0.307552712509787,0.502799244290573,3.90243390080181
"T2336",0.059641303,0.13771613,0.10470222,0.109625583,0.092384928,0.056360799,0.360943334829065,0.355938437158842,3.55280318004283
"T2337",0.042745213,0.13771613,0.10470222,0.112843508,0.091659959,0.040639268,0.486180495418141,0.034647291647463,2.78790710618519
"T2647",0.07913739,0.112109816,0.062874714,0.050010804,0.049665861,0.263569739,0.498448605910414,0.00388877809143129,2.71468048109641
"T2936",0.070554925,0.047173311,0.06093639,0.026651803,0.052659781,0.064399387,0.429864004493486,0.176720409170848,3.12613980046435
"T2937",0.076146568,0.042251012,0.064875826,0.043343669,0.050067321,0.06908344,0.329054839235066,0.442524537154608,3.75893823500051
"T2938",0.071155713,0.050469152,0.06158132,0.030812897,0.05373858,0.064910565,0.358526405651695,0.362400439248219,3.56818723309401
"T4072",0.172286646,0.15252546,0.148970256,0.144695903,0.138708117,0.074617433,5.76862329180936e-05,3.85575611910904,11.8848000045442
"T4074",0.172286646,0.15252546,0.148970256,0.144695903,0.138708117,0.074617433,5.76862329180936e-05,3.85575611910904,11.8848000045442
"T4075",0.152570334,0.134273116,0.130887906,0.124091487,0.121094063,0.072251943,0.000367971076915694,3.37582686433473,10.7422350511217
"T4077",0.154081187,0.137470656,0.134198225,0.126470567,0.12477547,0.066585176,9.74201498263617e-05,3.72561409119338,11.5749715900757
"T4083",0.14716299,0.129452183,0.125405279,0.115707405,0.115865496,0.068917046,0.00140397734184883,2.9880153313499,9.81897425442382
"T4085",0.146382818,0.128037441,0.124191886,0.114793735,0.114535382,0.072073292,0.00179341559180359,2.91238249925196,9.63891558447706
"T5142",0.179091186,0.16188798,0.159345919,0.055935442,0.155850972,0.13900809,0.46799696865025,0.0803059358976814,2.89660639096961
"T5144",0.162965789,0.150884471,0.148602175,0.048302977,0.146520818,0.138715584,0.483866040085644,0.0404528704757382,2.80172841596685
"T5148",0.168622813,0.152192282,0.144173766,0.051502642,0.145476758,0.131399505,0.473730295673423,0.0658960425217859,2.86230083657786
"T5150",0.167791585,0.154113473,0.148835528,0.131032907,0.146947322,0.134882463,0.000155296018729218,3.60630167380356,11.2909251701886
"T5152",0.179091186,0.16188798,0.159345919,0.055935442,0.155850972,0.13900809,0.46799696865025,0.0803059358976814,2.89660639096961
"T5528",0.166940639,0.105068533,0.102645278,0.197683738,0.110638061,0.114420559,0.424246369538964,0.19104193462127,3.16023497781897
"T5530",0.194539309,0.156591665,0.153714234,0.185582091,0.059329465,0.074626054,0.485296999793811,0.0368633032802299,2.79318275296602
"T5719",0.142320531,0.133175242,0.138806372,0.197978831,0.138014397,0.116780956,0.115200481781984,1.19932663173637,5.56065284469343
"T5720",0.235358943,0.135984502,0.131893387,0.173610015,0.127785774,0.108156322,0.362896237620239,0.350727922843755,3.54039853709493
"T5721",0.122659766,0.132694299,0.130932935,0.1197104,0.127748989,0.113414644,4.77447039714548e-18,8.57925520180889,23.1300084508483
"T5722",0.142152511,0.133654904,0.128350607,0.097155625,0.118123909,0.078013401,0.0305949074846365,1.87212136391633,7.16237158592256
"T5732",0.12682771,0.126167854,0.108312759,0.104514214,0.124346316,0.101929611,0.000247177053177695,3.48379709891896,10.9992791984029
"T5738",0.151941066,0.103044754,0.102746137,0.073522564,0.099234845,0.075983946,0.3329396382437,0.431810322520785,3.73343096278846
"T5740",0.098464491,0.103962352,0.101369108,0.087579639,0.093316349,0.080802063,1.95706735983538e-07,5.07308698249722,14.7828929367641
"T5744",0.164833515,0.143334911,0.144207235,0.108636643,0.127151476,0.106847615,0.053177267550283,1.61479759062222,6.54976228544021
"T5748",0.204009785,0.144137402,0.141122773,0.12392088,0.133563298,0.108862076,0.196884364897739,0.85280269386668,4.73568519999739
"T5756",0.069033558,0.143406695,0.142156373,0.118481789,0.134904402,0.114940516,0.304904419757709,0.510346345045154,3.92040124231382
"T5758",0.229534111,0.136523525,0.135562603,0.098654062,0.117626754,0.070373853,0.476768450074206,0.0582658109386971,2.84413558595684
"T8379",0.219827956,0.243290226,0.181145001,0.197346863,0.252040351,0.247492897,0.0266156052175717,1.93304048708007,7.30740140943864
"T2411",0.055690471,0.091116403,0.048462721,0.054311535,0.075143882,0.048307291,0.344192855103759,0.401046742603742,3.66019227624172
"T2412",0.059558563,0.093817604,0.055367436,0.041457596,0.049393849,0.050598151,0.45476184058806,0.113639364409201,2.97596310201776
"T2413",0.047736132,0.096102315,0.05113979,0.047146795,0.06806209,0.045710667,0.455256953335972,0.112390349700394,2.97298957952794
"T2688",0.056984055,0.084218085,0.052749303,0.053809153,0.052168104,0.050739407,0.239983888295832,0.706354391043408,4.3870365259907
"T2408",0.06036508,0.100754328,0.053843467,0.058678784,0.065789502,0.052170518,0.353716934218632,0.375304703593913,3.59890834468373
"T2261",0.045306975,0.043132332,0.036093602,0.018327715,0.032725123,0.031554683,0.403547262211636,0.244175986293407,3.28673092419022
"T4080",0.169507958,0.14373167,0.13308528,0.111199909,0.114557242,0.089120697,0.107038681868793,1.24243159690308,5.66327259964283
"T4082",0.168659513,0.145749547,0.134198488,0.113506946,0.118043658,0.052049033,0.0773330355740519,1.42324180312695,6.09372646924417
"T5662",0.088944498,0.092719352,0.104440054,0.095743031,0.088025043,0.379484259,6.73586721627912e-07,4.83266504441005,14.2105217429691
"T5664",0.063033296,0.108343707,0.051801553,0.061355163,0.05676492,0.049989797,0.452425675779229,0.119535203560248,2.98999929405646
"T5666",0.086340099,0.136262659,0.074223535,0.111717817,0.053545972,0.065597466,0.473947474813889,0.0653504816997155,2.86100202291093
"T2678",0.07242503,0.110696718,0.055541536,0.052552632,0.059157671,0.047751778,0.462970030520005,0.0929540561064463,2.92671770161269
"T2679",0.069911995,0.117435576,0.070165179,0.066218943,0.066519511,0.065288518,0.36411426054228,0.347482955745577,3.53267326166213
"T2681",0.058258529,0.104821035,0.055063041,0.066858781,0.070389147,0.055088982,0.356839042796757,0.366920813669377,3.57894886376892
"T2682",0.082280536,0.127073045,0.081994082,0.069212595,0.069462449,0.06950909,0.352216310929993,0.379343741203452,3.60852405944232
"T2683",0.056985695,0.094423088,0.054242606,0.067740955,0.070836973,0.059640667,0.248088229418733,0.680518109944569,4.32552823280655
"T2684",0.068002945,0.11696767,0.073799743,0.068872338,0.069965318,0.068590079,0.32619315103322,0.45044957984223,3.77780534080658
"T2685",0.062240389,0.114902235,0.070430059,0.065887082,0.065201937,0.133398051,0.380744404634398,0.303526297976099,3.42802588678891
"T2686",0.076083998,0.099436708,0.071624985,0.078027431,0.077940672,0.147071737,0.0233181913197196,1.98958760530394,7.44202282469289
"T2687",0.081341275,0.116748335,0.080559052,0.075992005,0.076157047,0.09855101,0.168879103170025,0.958604139629468,4.98756612358653
"T2649",0.068542961,0.095693668,0.058365416,0.062526061,0.055554519,0.312388907,0.26288874394997,0.634464867286463,4.21588952974945
"T2650",0.080593969,0.118570181,0.063548691,0.062000277,0.058554719,0.294807116,0.438412105129238,0.154996330404868,3.07442140489567
"T2651",0.057819787,0.074121868,0.054907628,0.071043664,0.060391761,0.299873665,0.0212124907215411,2.02932713321597,7.53663050156641
"T2652",0.060161971,0.083342157,0.04977282,0.04625919,0.044683669,0,0.360699463060796,0.356589784567848,3.55435383925901
"T2653",0.061546999,0.097666789,0.053807514,0.063965428,0.056802816,0.212547148,0.328031464625784,0.445355411892958,3.7656776830158
"T2654",0.064286262,0.106785954,0.051025699,0.052522311,0.050835277,0.301477582,0.498297765933648,0.00426688098805663,2.7155806285956
"T2661",0.061995863,0.09544258,0.055146783,0.074149135,0.070626847,0.055399482,0.205178812973214,0.823264448584036,4.66536366091676
"T2662",0.056280827,0.081892742,0.04750249,0.074453389,0.076782912,0.047928051,0.216029547373391,0.785672983565818,4.57586986563266
"T2427",0.039900226,0.053700537,0.051301877,0.04036269,0.041403966,0.0185748,0.040924082902472,1.74006180650313,6.84797811946098
"T5731",0.069136835,0.163076117,0.136721182,0.092098343,0.162396007,0.114930589,0.460546121294168,0.0990579704925471,2.94124925722609
"T2432",0.067719178,0.102835634,0.069296406,0.044851465,0.055369704,0.060467088,0.432197741642832,0.170781618183429,3.11200135322358
"T2433",0.058755831,0.100227086,0.05885976,0.04501726,0.048588412,0.050102968,0.480558734086873,0.0487513311019913,2.82148451581822
"T5529",0.055862811,0.142620104,0.123142415,0.181554248,0.147065086,0.101006171,0.48477148926026,0.0381814905688264,2.79632095423842
"T5531",0.211458503,0.136777941,0.132778731,0.110956373,0.128409843,0.094398202,0.337987256565613,0.417962530056747,3.70046359896498
"T0071",0.069298918,0.13771613,0.10470222,0.072778283,0.068989801,0.074578661,0.450838844069368,0.123542290060983,2.99953894298498
"T0064",0.061306219,0.13771613,0.10470222,0.095635826,0.089077241,0.058302759,0.363638247825285,0.348750676418357,3.53569131733813
"T0246",0.079566684,0.10537032,0.072113325,0.085037609,0.065612806,0.074018864,0.132635389978201,1.11401959606545,5.3575628511822
"T0256",0.068131872,0.099183669,0.060823813,0.055529305,0.056688609,0.051803108,0.328095237481723,0.445178898351023,3.76525745819138
"T0257",0.090293521,0.110650643,0.083427196,0.073189227,0.077565746,0.08595648,0.0880773849694641,1.35268973880071,5.9257635553587
"T0247",0.072073472,0.092584133,0.048776777,0.054388084,0.044422205,0.055040678,0.426836078318967,0.18443507404687,3.14450606096432
"T0248",0.089435328,0.092436232,0.065854147,0.056566035,0.052635935,0.071170526,0.314398364919404,0.483421155662022,3.85630059112951
"T0605",0.07158716,0.029718678,0.055115359,0.034919982,0.041315833,0.062354249,0.492722523836567,0.018242939358443,2.74885335436119
"T0606",0.082209642,0.047323957,0.064467487,0.045260175,0.050701375,0.072741862,0.330670864664758,0.438061462730373,3.74831301811506
"T0598",0.06805875,0.086656418,0.056476631,0.043340313,0.044791602,0.025397194,0.397341977016984,0.260233125185346,3.32495806697775
"T0599",0.082305978,0.087555546,0.059933713,0.047883625,0.048804223,0.029849071,0.36859016440027,0.335589651496718,3.50435893724878
"T0600",0.072359086,0.084613096,0.05363213,0.040674303,0.041996027,0.025819213,0.443878195205607,0.141143739447666,3.04144261732574
"T0601",0.043187974,0.057817474,0.037371865,0.05435546,0.046250941,0.053279293,0.0999736929360498,1.28170147917012,5.75676219369653
"T0602",0.065240919,0.061341166,0.062073029,0.070679446,0.070982425,0.072437491,4.68170441050153e-07,4.90456609782406,14.3816961878019
"T0603",0.055468054,0.05922534,0.052754275,0.061825248,0.059073751,0.065264578,7.15014109026106e-09,5.66975385250141,16.2033744926461
"T0568",0.080961768,0.091372975,0.087173084,0.080907305,0.028597898,0.068035836,0.471314472580081,0.0719660258548519,2.87675161271877
"T0569",0.066545172,0.093163647,0.07498585,0.092039002,0.029570517,0.069958834,0.492506421016036,0.0187847216484508,2.75014317249749
"T0570",0.059013606,0.100892015,0.065256178,0.092108337,0.042018985,0.070499488,0.456857548812335,0.108353736875771,2.96337963744155
"T0115",0.077856497,0.13771613,0.10470222,0.065127524,0.062988128,0.069277824,0.477450561471586,0.0565531910696872,2.84005836119631
"T0117",0.061182321,0.13771613,0.10470222,0.081805488,0.072202421,0.056857337,0.448943812050241,0.128330253638149,3.01093762170088
"T0118",0.077267977,0.13771613,0.10470222,0.072048828,0.066052034,0.066685264,0.437781521026061,0.156596270422644,3.0782303733503
"T0119",0.062934422,0.13771613,0.10470222,0.077923318,0.066105213,0.05779269,0.473634343774311,0.06613708294338,2.86287468019196
"T4023",0.232957852,0.159124649,0.1130105,0.12760818,0.159704308,0.114600067,0.381391029710862,0.301829476193849,3.42398627244718
"T4024",0.189333087,0.170588893,0.158099662,0.07282647,0.148536254,0.081123627,0.399371503530627,0.25497422477681,3.31243823152167
"T4027",0.228649875,0.124496207,0.116853835,0.116342805,0.151984181,0.096602245,0.433286886558618,0.168012083289992,3.10540793664178
"T4031",0.231938396,0.126837519,0.108863029,0.206815376,0.154360373,0.102892102,0.422874622336848,0.194544896751038,3.1685744606132
"T4032",0.227318548,0.16353907,0.078612484,0.204272076,0.142772587,0.105043858,0.480044509468426,0.050041874678174,2.82455690585559
"T4087",0.097686953,0.154181832,0.098323593,0.123729708,0.14114949,0.115537281,0.181587685399456,0.909331115550186,4.8702621045002
"T4089",0.087418172,0.184147019,0.172721042,0.150915774,0.150277946,0.088173342,0.295274684627284,0.538040093343822,3.9863315975072
"T4090",0.194708654,0.176787709,0.160535554,0.159763795,0.140972668,0.132011664,0.0100395604081044,2.32486610657283,8.24021851994389
"T4093",0.076138151,0.172122359,0.168987196,0.160407813,0.154920116,0.110862614,0.342771256221727,0.404911571327684,3.66939325285865
