"","pspA","pspB","pspC","pspD","pspE","pspG","ihfA","pspF"
"pspA",1,0.817561855947042,0.854646553301179,0.702172341675573,0.811605492845673,0.835767133917418,-0.175265565756109,0.250215006573352
"pspB",0.817561855947042,1,0.946281865069182,0.795400437129875,0.840353226152466,0.880224256965715,-0.168305584571832,-0.0293695394666286
"pspC",0.854646553301179,0.946281865069182,1,0.813266610203946,0.873056324694379,0.895914546168053,-0.141405989009065,0.0720145238098143
"pspD",0.702172341675573,0.795400437129875,0.813266610203946,1,0.748171956288082,0.796382221174733,-0.218748091035236,0.0169048666268305
"pspE",0.811605492845673,0.840353226152466,0.873056324694379,0.748171956288082,1,0.842600529015124,-0.162738858532337,0.144842968236232
"pspG",0.835767133917418,0.880224256965715,0.895914546168053,0.796382221174733,0.842600529015124,1,-0.198518506522254,0.186297869613295
"ihfA",-0.175265565756109,-0.168305584571832,-0.141405989009065,-0.218748091035236,-0.162738858532337,-0.198518506522254,1,-0.0733675693543202
"pspF",0.250215006573352,-0.0293695394666286,0.0720145238098143,0.0169048666268305,0.144842968236232,0.186297869613295,-0.0733675693543202,1
