"","cheA","cheW","motA","motB","mscM","psd","tsr","ung","cpxR"
"cheA",1,0.797491434772822,0.437327961435376,0.791313314806123,-0.158764695960083,0.340694793147719,0.664749910492181,-0.0950112154974739,0.0909355248841374
"cheW",0.797491434772822,1,0.328644985075056,0.703988456513812,-0.168526447169862,0.312978690488539,0.634394696413672,-0.0658117563582226,0.0924336340592627
"motA",0.437327961435376,0.328644985075056,1,0.522316402857054,0.18859736108423,0.495262204622666,0.474189685386701,0.371042590442873,0.0404992822062408
"motB",0.791313314806123,0.703988456513812,0.522316402857054,1,-0.150674408560308,0.355753926072795,0.709311376245724,-0.0493592095630911,0.109328116650347
"mscM",-0.158764695960083,-0.168526447169862,0.18859736108423,-0.150674408560308,1,0.0816892953702843,-0.0369657815596884,0.386572838728363,-0.0111441840441371
"psd",0.340694793147719,0.312978690488539,0.495262204622666,0.355753926072795,0.0816892953702843,1,0.398219981452828,0.297327135701284,0.0806111098635983
"tsr",0.664749910492181,0.634394696413672,0.474189685386701,0.709311376245724,-0.0369657815596884,0.398219981452828,1,0.0758042141467005,0.153225014670978
"ung",-0.0950112154974739,-0.0658117563582226,0.371042590442873,-0.0493592095630911,0.386572838728363,0.297327135701284,0.0758042141467005,1,-0.057468456642346
"cpxR",0.0909355248841374,0.0924336340592627,0.0404992822062408,0.109328116650347,-0.0111441840441371,0.0806111098635983,0.153225014670978,-0.057468456642346,1
