"","arcA","fadE","fadI","fadJ","fadR","pval","z","inv_cof_var"
"T7332",0.422737237,0.079496043,0.072091847,0.071567656,0.09699463,0.444488532996955,0.139598702303238,16.7765108045982
"T7334",0.419668232,0.089742355,0.089687921,0.089266505,0.074435706,5.97430238817633e-16,8.00498004384181,343.895249888742
"T7340",0.41181926,0.085496368,0.087563517,0.08720352,0.078289455,0.0520668306765624,1.62513563512262,78.5595251589596
"T7344",0.398762951,0.08835009,0.082590235,0.077790265,0.084008236,0.454909582092276,0.113266640302985,15.6813686182279
"T7348",0.402981204,0.080028356,0.087596885,0.085992226,0.077624572,0.402872502514289,0.245918910223861,21.1983348515114
"T7350",0.408949529,0.086562001,0.086074072,0.091977043,0.068243611,0.350661576873658,0.383534960335601,26.9217431435609
"T7352",0.411864837,0.080496961,0.082043943,0.080376102,0.076931782,0.0336486950965065,1.82968276077689,87.0665758564178
"T7354",0.41211789,0.084869765,0.090365428,0.086385148,0.069438843,0.317415208305217,0.474939050438597,30.7232105363392
"T7362",0.427033123,0.083803863,0.085843571,0.084785635,0.085633036,0.0413450753455107,1.73528605395876,83.1406464745879
"T7364",0.426144349,0.080515804,0.079936999,0.082224344,0.077606329,0.0850794291809457,1.37169354617708,68.0189482985755
"T7366",0.423360265,0.083366072,0.083184779,0.085671501,0.08206868,0.116164392312564,1.19438146294326,60.6445944594921
"T7368",0.42142577,0.085350564,0.084112527,0.083722833,0.066328483,0.0168434087395551,2.12380063992814,99.2988460531528
"T7382",0.430663716,0.085291752,0.075303377,0.085216889,0.077440564,0.468464722418008,0.0791297195546512,14.2616248084223
"T7408",0.431698087,0.08293252,0.089807158,0.084324969,0.080827354,0.380903192084491,0.303109539885166,23.5768751726823
"T7386",0.411425583,0.091525918,0.084212236,0.093612545,0.054436693,0.431114877201129,0.173536481973108,18.1879723995107
"T7388",0.408000081,0.093147598,0.080925649,0.094474519,0.060275504,0.490269756992428,0.0243925209309192,11.9851219133584
"T7396",0.412323068,0.081342449,0.080623313,0.082226487,0.078026636,0.0148705258939537,2.17352200083511,101.366741833302
"T7398",0.428494107,0.08400826,0.081425172,0.083779351,0.096129618,0.128578279413189,1.13313739710665,58.0974730011777
"T7400",0.418638773,0.082384058,0.088552398,0.088489694,0.070211428,0.37333850489124,0.323024074506775,24.4051144114417
"T7402",0.424887385,0.080369052,0.090694328,0.090805665,0.060256466,0.465578242530109,0.0863898880320867,14.5635729346161
"T7414",0.429741821,0.084760107,0.08658421,0.091123305,0.069938302,0.352637032907881,0.378210715548839,26.7003094754915
"T7416",0.416359069,0.080081774,0.086557373,0.086760766,0.070672263,0.393252470748378,0.270851899105807,22.2352900264103
"T7426",0.418752367,0.093086826,0.0842078,0.081898892,0.072430137,0.464972397939955,0.0879142936800814,14.6269724866239
"T7434",0.42637484,0.092290222,0.085432871,0.085309486,0.075630209,0.39593201026088,0.263890857696451,21.9457825010071
"T7225",0.403020606,0.087195654,0.081484206,0.096079109,0.071636586,0.490131164402183,0.0247400258821414,11.9995745351111
"T7226",0.412531841,0.08748372,0.086215316,0.090639231,0.074354454,0.252631641412931,0.666231279120198,38.6789942327315
"T7227",0.41026684,0.07910384,0.084334337,0.08135948,0.064154358,0.314163825002337,0.484082035573105,31.1034644158135
"T7228",0.415390835,0.087005465,0.073802207,0.084875255,0.083413233,0.494411979060196,0.0140075493470285,11.5532142076244
"T7229",0.414769703,0.084165299,0.080914033,0.084474129,0.075400238,0.226533613585948,0.750311318774561,42.1758566682024
"T7230",0.418931393,0.085232152,0.075919697,0.085943384,0.081500415,0.464026409988981,0.0902949664834048,14.7259839206255
"T7232",0.415744472,0.082849138,0.077326855,0.078979413,0.089545048,0.339991584787526,0.412486096185555,28.1258117885578
"T7235",0.410957082,0.08548827,0.097184788,0.093514778,0.065138773,0.457687050274858,0.106262478826951,15.3900677427978
"T7238",0.416896789,0.085751719,0.076360898,0.086775331,0.087260902,0.466634553895293,0.0837325110897456,14.4530534623994
"T7240",0.434682757,0.081467326,0.069448777,0.080367796,0.075252147,0.493933100757017,0.0152080473929208,11.6031425442165
"T7444",0.420489171,0.082740835,0.085003062,0.081967376,0.093424036,0.157468971558566,1.00491466326623,52.7647297819412
"T7242",0.423002975,0.083453793,0.084342264,0.080969612,0.073471261,0.190306105232084,0.876768833806275,47.4351849917286
"T7243",0.421062749,0.088961253,0.089481675,0.091313876,0.073584181,0.0686679069823288,1.48578569927616,72.7640051039033
"T7244",0.41707018,0.084469348,0.077562828,0.074025346,0.076868112,0.463191193989739,0.0923972956725953,14.813419131157
"T7249",0.394090713,0.082280955,0.085838263,0.082646236,0.065110413,0.222652691760268,0.763264978868604,42.7145953221198
"T7257",0.386256017,0.088851604,0.10242668,0.09325367,0.067129109,0.473893522626251,0.0654860094675034,13.6941871920709
"T7259",0.431978004,0.081506568,0.081414209,0.08133388,0.054496332,2.42838189829094e-111,22.3906299273391,942.189909289842
"T7260",0.444448012,0.083966412,0.089188076,0.080780577,0.07078543,0.414609605304375,0.215703066703874,19.9416674118259
"T7263",0.377372953,0.088125727,0.077087694,0.07929981,0.060140471,0.471384109801561,0.0717910197232109,13.9564105878861
"T7264",0.416703436,0.091819846,0.083786836,0.084297961,0.068479605,0.420984945799555,0.199374390692257,19.2625629061581
"T7268",0.41825621,0.088402227,0.079865969,0.085642571,0.070059799,0.419414715816785,0.203391002719088,19.4296125385349
"T7270",0.412819259,0.087038142,0.084523087,0.086997707,0.073688885,0.12004176068423,1.17477805650013,59.8292949439348
"T7464",0.422024973,0.080779495,0.069745257,0.081453835,0.072150807,0.492404345629476,0.0190406324634377,11.7625385532923
"T7271",0.402249547,0.084153191,0.078345233,0.084903026,0.068641091,0.386422773970282,0.28865480955364,22.9757074791493
"T7272",0.416145035,0.087661415,0.076601718,0.083381877,0.070900592,0.46329846720687,0.0921272546964306,14.8021882117917
"T7274",0.406897866,0.087557524,0.082208673,0.088348298,0.064129145,0.36106481015675,0.355614049887932,25.7605212493995
"T7275",0.401174384,0.085953104,0.075165345,0.074122451,0.056412893,0.490402770103983,0.0240590086502882,11.9712512423799
"T7466",0.427487566,0.079913733,0.079867153,0.084226319,0.066951651,0.302433426404993,0.517414481367542,32.4897503650125
"T7277",0.422718,0.081201552,0.080605322,0.090645118,0.047538232,0.461974295129512,0.0954610956631477,14.940841610271
"T7279",0.417241336,0.079172775,0.075296245,0.075296722,0.057231225,0.288056705452371,0.559070786993385,34.2222230296581
"T7280",0.423737267,0.083140685,0.078024619,0.073982852,0.074303844,0.441616070124059,0.146873156343553,17.0790530628643
"T7282",0.417884417,0.082772089,0.076151021,0.071552651,0.073976981,0.474589912870737,0.0637367703623296,13.6214368872104
"T7284",0.417677168,0.082774735,0.079337786,0.074819259,0.105896177,0.415994655813048,0.212150899066499,19.7939338757013
"T7286",0.419687581,0.081617962,0.072840097,0.083684154,0.088441791,0.473008635836535,0.0677090164793034,13.7866413553337
"T7490",0.395213799,0.084872633,0.076354873,0.079793388,0.095747682,0.425823880043301,0.187016418331807,18.7485987179455
"T7494",0.404225501,0.088329648,0.086540393,0.085661044,0.093922079,0.101741472202031,1.27169095829724,63.8598720844776
"T7291",0.406448653,0.08608081,0.074865236,0.081214182,0.069527393,0.467595249568201,0.0813161896648091,14.3525594134239
"T7292",0.413674596,0.085393652,0.075915218,0.074896926,0.088086542,0.474781824932876,0.0632547474465816,13.6013897055719
"T7293",0.409166887,0.08303625,0.083415012,0.083250273,0.071377369,4.60715400364959e-25,10.2741605517283,438.269754348425
"T7294",0.400416194,0.083741087,0.079196728,0.08091448,0.090887626,0.278278624291384,0.58796282051963,35.423833627579
"T7295",0.402031895,0.08079086,0.071371981,0.071665356,0.058422668,0.471619099835709,0.0712004796632166,13.9318502123091
"T7298",0.40899147,0.08459644,0.087134946,0.099632598,0.060462268,0.497435866038047,0.00642737494240652,11.2379571354489
"T7300",0.403830182,0.086694551,0.080640038,0.087359741,0.074410085,0.386847744307766,0.287544428365748,22.9295270743712
"T5555",0.246150176,0.080227189,0.071363624,0.07624859,0.281749865,0.441350984985454,0.147544865101158,17.1069892190757
"T1708",0.131259616,0.05464893,0.054711479,0.060498782,0.170497202,0.443756296361073,0.141452360039451,16.8536038475205
