"","cusA","cusB","cusC","cusF","cusR","hprR","phoB","yedX","pval","z","inv_cof_var"
"T1086",0.049350622,0.0503502,0.049479729,0.053998428,0.066053443,0.049893918,0.050913625,0.050209096,0.212802143079346,0.796736146806445,8.18473227228707
"T1068",0.042488943,0.051240552,0.05134535,0.039313409,0.062737377,0.038964233,0.039278992,0.03981528,0.41520783093082,0.214168496986227,5.27149557873996
"T4795",0.070380312,0.119291001,0.076010287,0.120065514,0.100814246,0.072541959,0.094054389,0.088281855,0.475620418346296,0.0611486347088549,4.50629161012698
"T4806",0.091571581,0.132723411,0.117702032,0.123622635,0.126571714,0.091518895,0.105291906,0.106347769,0.24164999997812,0.701004831599662,7.70601022126348
"T4803",0.089490899,0.118402441,0.088332475,0.118545598,0.106832912,0.089745262,0.104486926,0.103759936,0.233115547812901,0.728624977189995,7.8441298398858
"T0860",0.04706138,0.059305481,0.05079883,0.044806154,0.058431821,0.04439174,0.044027796,0.044394029,0.24629982701382,0.686179927116691,7.63187555942386
"T0861",0.052077691,0.061239146,0.055131303,0.045068622,0.059131712,0.046892034,0.045220157,0.045125911,0.241234786651942,0.70233611900343,7.71266756881018
"T0862",0.054539063,0.059235132,0.055675178,0.052913139,0.065320312,0.052836924,0.05274854,0.052937656,0.0632609718831996,1.52796211777657,11.841362245754
"T0863",0.049076635,0.0548014,0.049700343,0.038783776,0.052126062,0.041147912,0.03952271,0.039610145,0.278581452780143,0.587060752247858,7.1362118929791
"T0864",0.049765503,0.050971298,0.049213677,0.054765537,0.074984076,0.049874369,0.051998633,0.051321649,0.391812384544223,0.274598434652219,5.57368659784591
"T0866",0.065725646,0.069389981,0.066210976,0.065026572,0.070852469,0.063979672,0.064622236,0.064654896,4.52818918358732e-06,4.43855751843386,26.3963299372847
"T0868",0.050311179,0.05282815,0.055954928,0.050305323,0.065160977,0.050609356,0.050452683,0.051301008,0.145043971906905,1.05792871263291,9.49087374286509
"T0870",0.058319978,0.066323003,0.060370318,0.049645258,0.070057805,0.048952003,0.048597003,0.048578157,0.301198204277667,0.520957456349037,6.80565020244192
"T0871",0.053234862,0.065119064,0.074826886,0.062262167,0.079781138,0.047910074,0.048406302,0.048352445,0.414050772300436,0.217137045340074,5.28634035083409
"T0874",0.045430113,0.069009206,0.059324866,0.045116721,0.049028785,0.045895506,0.045473494,0.045562133,0.411947238646596,0.222538793683958,5.31335278705427
"T0896",0.054674144,0.059118218,0.054672853,0.060225665,0.08714982,0.053240704,0.05543113,0.055909627,0.441682458712969,0.146704942300409,4.93413166392509
"T1653",0.056308341,0.058709567,0.057720272,0.055391113,0.068293013,0.055303209,0.055633337,0.055429976,0.0605134583447031,1.55047763811387,11.9539552468263
"T1654",0.049085327,0.049830365,0.049255156,0.051675409,0.07945039,0.050309703,0.053850836,0.052806206,0.46398410571486,0.0904014412535079,4.6525756501718
"T1655",0.058039719,0.059874803,0.058976591,0.059575578,0.072095811,0.058228679,0.060182361,0.059564934,0.0702491901826572,1.47393764654006,11.5712029397845
"T1656",0.056054572,0.059455637,0.057441769,0.055577762,0.078194604,0.054536104,0.055122851,0.05493466,0.304785827026042,0.510684988182232,6.75428083580086
"T1657",0.049080005,0.049145983,0.049308987,0.049235259,0.081579612,0.050805247,0.054552563,0.053460554,0.495379206669147,0.0115828702076734,4.258428887346
"T1724",0.035857656,0.038900377,0.03764414,0.037216125,0.05191637,0.037484649,0.035720304,0.03722824,0.314805486717911,0.482274480371122,6.61220886551008
"T1725",0.029202041,0.029705299,0.029753038,0.030410678,0.046388319,0.031940257,0.029294646,0.029188762,0.457215401615449,0.107451495764808,4.73783758403412
"T2458",0.043497435,0.043177341,0.043602375,0.047320307,0.044087303,0.046067972,0.046179952,0.046143656,4.42574939321095e-06,4.44348097209842,26.4209505729808
"T2459",0.026441692,0.02819945,0.031017021,0.038977644,0.038339047,0.037490657,0.038920765,0.037396657,0.356153630714336,0.368759142175592,6.0445545362426
"T2460",0.045088753,0.047508401,0.05186346,0.061963369,0.056893482,0.057594822,0.060004605,0.058844286,0.218947192601978,0.775753769562692,8.07980603526856
"T2461",0.02313379,0.031461996,0.032217455,0.043040652,0.03746577,0.03900973,0.041087999,0.039955705,0.449418460118968,0.127130742037225,4.83624727492555
"T8307",0.050552701,0.077387054,0.052127261,0.047769269,0.070440654,0.103661719,0.049050334,0.047665235,0.478397569812849,0.0541757517256961,4.47142242614017
