"","cusA","cusB","cusC","cusF","cusR","hprR","phoB","yedX","pval","z","inv_cof_var"
"T7446",0.082745614,0.073544794,0.082103988,0.061819299,0.068398172,0.104288589,0.082686608,0.082889109,0.194884216145993,0.860037389656185,8.50128178112764
"T7242",0.08373557,0.071364575,0.086717575,0.076936311,0.08253983,0.116461754,0.095278607,0.084547677,0.0236724082390569,1.98320248469004,14.1178754398619
"T7243",0.079599628,0.090930517,0.080352179,0.088644172,0.072481126,0.138810373,0.082719484,0.079841282,0.0559763765368648,1.58947695385471,12.1489784989319
"T7244",0.084842965,0.079270807,0.084565376,0.07958152,0.08048685,0.123392877,0.089623319,0.086103397,1.98153806815304e-06,4.61330943682392,27.2702090500003
"T7247",0.084648138,0.056615065,0.089494451,0.092636003,0.081904649,0.121640317,0.080382547,0.083921442,0.333300106591672,0.430818683828558,6.35489468984352
"T7249",0.082345213,0.058863011,0.092087712,0.094178912,0.078697882,0.136734154,0.082001384,0.08243611,0.325736496044606,0.451716830216741,6.45939971497487
"T7251",0.089298433,0.063446586,0.09068274,0.084052152,0.090570075,0.136230507,0.083127142,0.08658884,0.22034942603229,0.771013631055376,8.0561021007362
"T7255",0.089033341,0.066854836,0.095012932,0.079564726,0.077305798,0.136502352,0.090362199,0.087050243,0.209355398887296,0.808659903526411,8.24435921108508
"T7257",0.086168046,0.063002067,0.087040937,0.097742947,0.094077713,0.146141594,0.096742492,0.084837657,0.283700641745302,0.571882938499542,7.0603124434421
"T7258",0.08777708,0.077469766,0.091139889,0.078431441,0.055833829,0.127596456,0.088166752,0.086746557,0.344182462723836,0.401074974044493,6.20615579785064
"T7448",0.081346872,0.079269162,0.078545929,0.061368365,0.073299265,0.104667088,0.078051327,0.080595952,0.123813336117267,1.15613321405025,9.98196341646571
"T7450",0.085459446,0.073618731,0.08675244,0.075599222,0.065459614,0.111641091,0.076415633,0.086434435,0.166656531427069,0.967462132042548,9.03847896571449
"T7452",0.080575211,0.070096762,0.082481751,0.069954265,0.07111861,0.115684008,0.087091689,0.08065484,0.0455737315956513,1.68937565587274,12.6485403342766
"T7259",0.082895927,0.064305132,0.082461621,0.084217726,0.085782037,0.125676344,0.081656795,0.082925491,0.120540615116054,1.17228854204762,10.0627511058143
"T7260",0.084852892,0.071524396,0.083960842,0.066509437,0.064980232,0.119128607,0.083823459,0.088590129,0.257033185137442,0.652519077029628,7.46354828680603
"T7263",0.088388729,0.060756365,0.095833129,0.059388243,0.079256599,0.12410407,0.088436625,0.088498862,0.426664384964719,0.184872845573206,5.12499728504975
"T7264",0.091351087,0.07203003,0.099288,0.049788486,0.085826985,0.125067384,0.092018241,0.091046042,0.473508841499851,0.0664523625591061,4.53281387683834
"T7267",0.089806205,0.063171818,0.098630545,0.07383304,0.075658082,0.137153308,0.090652438,0.088278315,0.337065138923917,0.420486242035965,6.30322541405484
"T7268",0.087947814,0.069419283,0.093604326,0.061770167,0.086841788,0.125166385,0.088342427,0.089148728,0.330139011054046,0.439529347326475,6.39845396495106
"T7269",0.086771768,0.055000335,0.106030459,0.076974974,0.106459867,0.125887697,0.086701095,0.085963874,0.478818557184532,0.0531189731960889,4.46613781071335
"T7454",0.08515589,0.059398212,0.078324834,0.065479152,0.079640262,0.111124405,0.08379974,0.08087341,0.257850097842228,0.649987655227303,7.45088944644018
"T7456",0.07958341,0.058171051,0.07909866,0.055890465,0.079214349,0.104856508,0.076150853,0.078491135,0.338734680495998,0.415918883562828,6.28038549786548
"T7460",0.079368928,0.073738794,0.075612312,0.077252139,0.077740359,0.097072494,0.077774525,0.080170212,7.34987288946887e-09,5.665031583735,32.5295391050471
"T7462",0.081410044,0.074456433,0.081335666,0.075605647,0.066999473,0.111484762,0.081547212,0.081611214,0.0348370532947025,1.81402350838193,13.271864849144
"T7271",0.083998132,0.054553436,0.09106507,0.07563846,0.085596384,0.119185772,0.085776437,0.085743119,0.357166012056193,0.366044293732039,6.03097843721681
"T7275",0.086270419,0.078241073,0.09462083,0.073772648,0.084167798,0.124174418,0.089383837,0.086079117,0.0686750824211521,1.48573146344758,11.6301800906486
"T7276",0.088236883,0.077956116,0.097911245,0.056047343,0.071644175,0.118823195,0.088400525,0.086675167,0.403313007434892,0.244780988875261,5.42457897545718
"T7466",0.078898607,0.066499603,0.07757446,0.073733771,0.075922632,0.108926456,0.07703489,0.078715178,0.00897712480974859,2.36656029181347,16.0349266712757
"T7468",0.087308531,0.069887719,0.084498283,0.070622199,0.071429763,0.112125058,0.089040754,0.087318121,0.166830151654924,0.96676744297825,9.03500504526363
"T7470",0.086086943,0.059967344,0.084758895,0.060094323,0.064122376,0.125395792,0.079622667,0.085568809,0.395158825802073,0.265898147802377,5.53017921307581
"T7277",0.082877934,0.066900313,0.078532338,0.089246376,0.08975454,0.117521919,0.080810257,0.081156267,0.135640508320295,1.10011730098396,9.70184553930995
"T7278",0.083664743,0.070301013,0.083412235,0.097071329,0.097261691,0.123039174,0.093516715,0.0835422,0.196604190165931,0.853813414964522,8.47015765081066
"T7279",0.080517566,0.054226948,0.081682746,0.102216636,0.104423032,0.12306398,0.081295271,0.081973883,0.466249107403297,0.0847021145962874,4.62407511885763
"T7281",0.0716519,0.08321085,0.079871625,0.110655801,0.11582183,0.128441897,0.081048429,0.076728731,0.453346067552574,0.117211902500366,4.7866462932969
"T7282",0.082931251,0.062413652,0.083330221,0.105819934,0.090967542,0.118232422,0.082105019,0.082875518,0.357988929220871,0.36383950813233,6.01995300126537
"T7474",0.086858601,0.071257358,0.087279233,0.071437063,0.084468825,0.109784405,0.080408351,0.087437876,0.111055794627043,1.22093247017126,10.3060040162219
"T7476",0.085101815,0.062851614,0.079610765,0.067303484,0.065787279,0.109101089,0.08710774,0.085251928,0.267269779649469,0.621091290693236,7.30638786023516
"T7284",0.08437904,0.049975168,0.081026383,0.106229448,0.103371783,0.115470555,0.081732864,0.083527838,0.499790968382172,0.000523964587513153,4.20312679555792
"T7288",0.078244827,0.051498495,0.086440364,0.103514921,0.102738144,0.12052551,0.086608134,0.079851558,0.487351411253706,0.0317106238926685,4.35908142205489
"T7478",0.08235396,0.076183028,0.083230958,0.075424735,0.07545574,0.119750382,0.070317232,0.083007606,0.000754625209945219,3.1728989543422,20.0671714755132
"T7480",0.085873103,0.060591264,0.089438082,0.062377371,0.070539468,0.113577175,0.082190677,0.086102456,0.368862309969008,0.334868055914186,5.87507592528408
"T7482",0.081602297,0.087372811,0.07999239,0.066814186,0.0675418,0.110659058,0.077105915,0.081414732,0.155411649673194,1.01349601345088,9.26867985741614
"T7488",0.087026498,0.071004166,0.081698366,0.069284473,0.085396615,0.099613412,0.081008772,0.085185643,0.113140814613744,1.20999286895257,10.2512985280388
"T7494",0.085445211,0.080360959,0.10280024,0.084134764,0.086414988,0.114133261,0.085550235,0.086211412,0.0796054296996858,1.40773059267862,11.2401223884694
"T7290",0.084518391,0.052978456,0.087123852,0.108981648,0.102921126,0.122540792,0.086831244,0.08546839,0.479322251894567,0.0518546573989656,4.4598153670048
"T7291",0.085666744,0.094774864,0.087027453,0.100262632,0.083202616,0.118116244,0.089798646,0.086316651,0.0290170215871217,1.89544068324934,13.6790064083808
"T7292",0.085542078,0.089642574,0.094488923,0.084733589,0.076734862,0.118294959,0.086352012,0.085046536,0.0188879157132444,2.07727883419283,14.5883215304594
"T7293",0.081439911,0.071226887,0.081005658,0.088211295,0.08598699,0.113430513,0.081360471,0.084159323,0.0274228360730553,1.92009681019449,13.8023039065503
"T7294",0.081851676,0.087565224,0.08790989,0.089761844,0.08223312,0.114684161,0.081805971,0.08484264,4.24922776350691e-06,4.45222623682829,26.4646828779135
"T7295",0.080918174,0.072828389,0.080540384,0.103737708,0.065748039,0.124348324,0.080559637,0.08071722,0.335871212018467,0.423757845447003,6.31958566870804
"T7296",0.081412669,0.054171251,0.083630512,0.106988728,0.107095035,0.129987759,0.082015024,0.080068158,0.490286640910027,0.0243501866550492,4.32227420172984
"T7297",0.082329076,0.07093105,0.082376253,0.074893373,0.073786433,0.126614921,0.098358747,0.085739261,0.0349768704058563,1.81221008863973,13.262796510153
"T7298",0.080730675,0.071599019,0.082704974,0.060175405,0.082583986,0.120941912,0.080714551,0.08569268,0.223117858322041,0.761705626239558,8.00955571049033
"T7299",0.085310786,0.067851425,0.079566205,0.076016198,0.07587555,0.112970891,0.082457283,0.088727099,0.100784915143175,1.2770918261109,10.5868392058515
"T7300",0.085932486,0.075586309,0.091801536,0.072051134,0.072338131,0.118538068,0.087537933,0.087208414,0.145759512311899,1.05479514699199,9.47520377147282
"T1711",0.071280752,0.061503452,0.061467632,0.074621347,0.093151823,0.068465516,0.071905674,0.073868914,0.341399369717078,0.408646992267903,6.24402106781449
"T1712",0.059507602,0.059457676,0.058901313,0.068046076,0.090168734,0.089130189,0.0663727,0.073430345,0.391438762774793,0.275571078865074,5.57855048414569
"T0152",0.03364861,0.033440137,0.033320279,0.040655869,0.056078611,0.033382024,0.038974894,0.034359903,0.493816482096674,0.0155004014848586,4.2780192231093
"T0153",0.046801569,0.046562791,0.047629902,0.038325469,0.042923269,0.040111205,0.03925113,0.040201407,0.0779801415366618,1.41878988304588,11.2954264042562
"T1088",0.041179104,0.041803156,0.041331139,0.043983791,0.057597978,0.041090436,0.042897511,0.04188232,0.292071907569848,0.547341969512022,6.93759081382242
"T1089",0.049733841,0.054356782,0.051832109,0.042533319,0.049026405,0.045518305,0.042440291,0.044907294,0.0821007668240497,1.3910787971271,11.1568520217934
