"","amiA","cmk","hemF","ihfB","rpsA","uspB","ihfA"
"amiA",1,-0.120885971657495,-0.267751270797971,0.108838016982803,-0.145776090890153,-0.0921041399478152,-0.00949348939001374
"cmk",-0.120885971657495,1,0.575910358055382,0.341438060372611,0.436511182989079,-0.0662553878472379,0.0609491440021765
"hemF",-0.267751270797971,0.575910358055382,1,0.0769385606571944,0.315670623503039,-0.0579534521337215,-0.0359176240095524
"ihfB",0.108838016982803,0.341438060372611,0.0769385606571944,1,0.159432971855684,0.00308972565612343,-0.0598623240191124
"rpsA",-0.145776090890153,0.436511182989079,0.315670623503039,0.159432971855684,1,-0.150625065202412,0.0128725455229832
"uspB",-0.0921041399478152,-0.0662553878472379,-0.0579534521337215,0.00308972565612343,-0.150625065202412,1,0.00850876940242091
"ihfA",-0.00949348939001374,0.0609491440021765,-0.0359176240095524,-0.0598623240191124,0.0128725455229832,0.00850876940242091,1
