"","cdaR","garD","gudD","gudP","gudX","pval","z","inv_cof_var"
"T2648",0.049017913,0.050304864,0.050682486,0.049873202,0.055903207,0.337064581952782,0.420487767199029,18.773248497305
"T2665",0.039589891,0.045031886,0.039814292,0.039752966,0.042003347,0.355678141395594,0.370035173663252,17.6130466814154
"T2666",0.045749089,0.04834362,0.041137174,0.039527326,0.040592146,0.460778827900481,0.0984718096314694,11.368207992293
"T8379",0.050357989,0.040489947,0.04160657,0.044302872,0.043160862,0.459772784905835,0.10100616050787,11.4264876223941
"T2409",0.053148728,0.049608616,0.044198199,0.042581468,0.04783639,0.463262692050185,0.0922173114533132,11.2243802991016
"T2410",0.04547098,0.042485606,0.040198099,0.048456712,0.040436174,0.44453627916011,0.139477849571659,12.311177989808
"T2818",0.04656425,0.0480616,0.043275566,0.041148422,0.041361584,0.412639033206042,0.220761597728799,14.1803693555077
"T2411",0.048952189,0.048055869,0.047050085,0.057208768,0.047209884,0.456029876178699,0.110440856664514,11.6434467685189
"T2412",0.054825971,0.052961423,0.047394646,0.045216419,0.049139865,0.439011826290688,0.153475065002837,12.633056284313
"T2413",0.051406759,0.046867427,0.046405398,0.058456558,0.047576057,0.485675143304582,0.0359148102567221,9.92965470524104
"T2688",0.051016289,0.051038922,0.050682893,0.051294857,0.050733802,1.1229387073405e-17,8.48031361574654,204.11604120445
"T2407",0.037916884,0.03695889,0.03680678,0.046034315,0.036258048,0.493413726221784,0.0165100901081263,9.48342607801959
"T2408",0.053722575,0.052461404,0.05178374,0.056329717,0.051767042,0.208296058043907,0.812347754235805,27.7844139632028
"T5670",0.067531584,0.058976824,0.065452467,0.057415975,0.065326645,0.413410623113238,0.218780232259413,14.1348061117888
"T2667",0.036508641,0.036874806,0.037594465,0.040491385,0.038024331,0.25577225780733,0.656434628970185,24.199054353772
"T2668",0.041431355,0.042988481,0.040882061,0.04237641,0.041050574,0.0534974995547138,1.61184809636081,46.1696283542147
"T2669",0.036139113,0.038133832,0.035098475,0.03663572,0.035289625,0.185100211183021,0.896098005213376,29.7103247332109
"T2670",0.055208073,0.055096172,0.049368051,0.048083441,0.048577575,0.410042364604551,0.227436000637263,14.3338531277322
"T2671",0.051956528,0.053083829,0.045801448,0.042481255,0.043851538,0.486721840156333,0.0332895584293102,9.86928472772599
"T2672",0.051052077,0.051083201,0.052586603,0.05706177,0.055213141,0.316293388846327,0.478089116967291,20.097842257811
"T2673",0.046341338,0.045831995,0.050214142,0.055671456,0.053545204,0.456446210797354,0.109390937305273,11.6193029483154
"T2677",0.039965959,0.040098469,0.040874528,0.044746629,0.041776556,0.299471548612793,0.525921000277137,21.1977785343109
"T2678",0.04645161,0.046407629,0.045625048,0.049790305,0.046542735,0.194122832468281,0.862803226420714,28.9446819761642
"T2679",0.066618061,0.066605356,0.0650856,0.065607405,0.065308426,0.000186209918182508,3.55889396685396,90.9436626754586
"T2681",0.055080497,0.053710691,0.058766997,0.063639883,0.064851016,0.451515150384402,0.121834234403885,11.905447522414
"T2682",0.077872226,0.076306315,0.071556378,0.070106177,0.071372551,0.29534411716392,0.537838956883254,21.4718424411804
"T2684",0.073605008,0.069697593,0.067848841,0.068004347,0.069885372,0.180705543970018,0.912679577424246,30.0916325875974
"T2685",0.065419456,0.065674956,0.061815064,0.062942546,0.074300012,0.424789093985867,0.189656655729547,13.4650838238514
"T2686",0.071489803,0.071189751,0.073463334,0.075443561,0.080356487,0.320260194284665,0.466971332444941,19.8421790126232
"T2687",0.078578432,0.078461221,0.07556295,0.075424962,0.078609652,0.0535636658815376,1.61124041684587,46.1556542286584
"T2649",0.054804395,0.055805777,0.060301014,0.056138625,0.069073886,0.483593089149551,0.0411376265895413,10.0497579659208
"T2650",0.05795469,0.059312308,0.058861796,0.058565857,0.061856562,0.0940368667360835,1.31629891923982,39.3732147716838
"T2653",0.052071755,0.052040167,0.056239072,0.056155483,0.062998055,0.441453033881761,0.147286271871609,12.4907395365342
"T2654",0.04771836,0.048047729,0.048240655,0.049360492,0.049440501,0.0112658546799045,2.2812829435382,61.5638721558595
"T2663",0.033313028,0.038294054,0.032076336,0.032035847,0.0347947,0.430770547632161,0.174412749460954,13.1145367757293
"T2664",0.040168555,0.042634687,0.037297227,0.037736785,0.037195125,0.373709864439128,0.322043515015172,16.5094362303178
"T2436",0.046505962,0.045816358,0.04206857,0.041896443,0.043739592,0.304603989842365,0.511204340482099,20.8593559831308
"T2432",0.063262101,0.05800543,0.051512456,0.05286508,0.057071634,0.447025836117473,0.133179184902144,12.1663346492556
"T2429",0.051369395,0.047534979,0.044132578,0.043194719,0.048484586,0.4138136186613,0.217745721958877,14.1110166364591
"T2433",0.054621866,0.05139255,0.046261932,0.047259915,0.049762434,0.400357728584418,0.252421275269364,14.9084115194253
"T0071",0.075526964,0.070995588,0.088394163,0.069373394,0.068670258,0.499430047509914,0.00142865951284316,9.13661530107798
"T0587",0.080537877,0.081036152,0.075418431,0.073652906,0.066122915,0.442689262919861,0.144154428426725,12.4187200386811
"T0588",0.082144807,0.082747795,0.080232432,0.079275254,0.075917933,0.187019611349032,0.888932750988642,29.5455534027351
"T0570",0.071986976,0.067880696,0.065632553,0.06160105,0.067262569,0.353149401764543,0.376831535422723,17.7693350048133
"T0572",0.060387389,0.06108818,0.052885209,0.066391202,0.051202408,0.496375424095573,0.00908558944347785,9.31269314737072
"T1096",0.095286129,0.095289741,0.088394163,0.102991543,0.097485163,0.344698379421608,0.399673844861505,18.2946140248342
"T1094",0.086050976,0.086007842,0.088394163,0.074562514,0.078510287,0.414644322611419,0.215613995939486,14.0619957194883
"T0100",0.054018455,0.048217171,0.056137476,0.059859438,0.063698683,0.491356562065993,0.0216675812267372,9.60202712787452
"T0101",0.058161401,0.057951355,0.053198321,0.053421021,0.053607728,0.292405226393147,0.546371709371753,21.6680605984228
"T0094",0.032877534,0.033251918,0.030266764,0.032174492,0.030598497,0.262366145636383,0.636067708916211,23.7306990924326
"T0095",0.0509522,0.053411012,0.044931872,0.043127622,0.04369764,0.481917169485002,0.0453424663567425,10.1464519590645
"T4091",0.084271952,0.081934249,0.09889593,0.094261067,0.075333845,0.499701265682594,0.000748815956593341,9.12098169984552
"T4835",0.071643383,0.073478168,0.088297165,0.073215464,0.087649784,0.494197125536504,0.0145461621604815,9.43826382546822
"T2769",0.074618322,0.07578789,0.088394163,0.06938343,0.072347469,0.476858606688391,0.0580394393798754,10.4384300344293
"T1770",0.078648909,0.078536922,0.088394163,0.089316029,0.080853662,0.387274960844503,0.286428535435501,15.6904384130519
"T1771",0.07680177,0.076593119,0.088394163,0.093005901,0.081273974,0.459442242530931,0.10183897981155,11.445639035646
"T1772",0.086093325,0.085367972,0.088394163,0.100200365,0.08843633,0.400819199386158,0.251227274300617,14.8809544157359
"T1773",0.072695807,0.073679126,0.088394163,0.072494111,0.070865693,0.4759542998248,0.0603101732063542,10.4906475583315
"T1796",0.073931109,0.071250044,0.088394163,0.080961217,0.072260767,0.472652128290053,0.0686047264381487,10.6813881139126
"T1800",0.073179665,0.070906137,0.088394163,0.077759993,0.070948084,0.477903054284077,0.0554171808035371,10.3781288893585
"T1803",0.091974117,0.091792559,0.088394163,0.101126774,0.094637193,0.323270587289621,0.458572519269116,19.6490409078199
"T1813",0.071896917,0.068946461,0.088394163,0.075458203,0.068768988,0.498506458235572,0.00374376276131936,9.18985313890984
"T1826",0.087147057,0.086894726,0.088394163,0.090591354,0.085986696,0.04016738851734,1.74874691221422,49.3177371750951
"T1827",0.0763288,0.076695055,0.088394163,0.088853142,0.081717692,0.42297482038993,0.194288945688664,13.5716074105623
"T1828",0.079502115,0.079443181,0.088394163,0.08643607,0.081955151,0.312400271651644,0.48905812967441,20.3500843641022
"T1829",0.074266927,0.074522517,0.088394163,0.089102383,0.080356284,0.462093017446622,0.0951621481591119,11.2920994123152
"T1085",0.068541406,0.066656313,0.057306461,0.056175438,0.058138754,0.473551977738668,0.0663439974306026,10.6294006596318
"T1086",0.052476323,0.04974526,0.051213956,0.049568312,0.049727915,0.0906746324607167,1.33661216851553,39.8403358262157
"T6900",0.083734841,0.068542747,0.082631118,0.088554439,0.084575284,0.472588630236118,0.0687642683364636,10.6850569203538
"T6891",0.067409032,0.065891615,0.070040416,0.070700891,0.064562149,0.234666400211089,0.723565056857922,25.7427776567489
"T0860",0.047283911,0.049259278,0.044271607,0.0452569,0.044289337,0.297900153942833,0.530449508300458,21.3019155640199
"T0861",0.046062292,0.047078918,0.045489578,0.048582622,0.048136686,0.123393774255182,1.15818745044153,35.7373023169024
"T0862",0.052895465,0.055379082,0.052722873,0.053225798,0.064614844,0.466764026198305,0.0834068368996563,11.0217756784144
"T0863",0.038864436,0.040343423,0.040075864,0.044763865,0.04139978,0.344366719647255,0.400574477908203,18.3153248748223
"T0864",0.055961979,0.058954248,0.05126549,0.049116855,0.050065839,0.439469256279706,0.152314977313787,12.6063790463535
"T0865",0.053952483,0.054473571,0.051892223,0.053622554,0.053615913,0.0226141335376167,2.00252527945275,55.1535942018479
"T0866",0.067332628,0.068371564,0.064237105,0.063665219,0.063746299,0.186981556264245,0.889074369500784,29.5488100451282
"T0868",0.052685388,0.054731851,0.050299253,0.053101635,0.051372674,0.170906975214212,0.950587236340177,30.9633525850877
"T0869",0.048704171,0.051348655,0.044452983,0.051608311,0.044926616,0.413438718302655,0.218708102882693,14.1331474332554
"T0870",0.050965461,0.053348354,0.048758187,0.053343198,0.049259189,0.265934426886583,0.625155730431672,23.4797685383128
"T0871",0.055228762,0.054863738,0.048140164,0.04949654,0.047930943,0.413953094839898,0.217387733766823,14.1027843827456
"T0873",0.041270813,0.04127232,0.045316044,0.049288277,0.044520949,0.42723560878305,0.183416516289975,13.3215863224978
"T0874",0.045271012,0.044762782,0.04725663,0.04922271,0.047476817,0.232110531030054,0.731913997513316,25.9347688990282
"T0896",0.06266314,0.06464476,0.055005088,0.052747523,0.052755782,0.482095291385611,0.0448955262687894,10.1361741781756
"T1651",0.04511903,0.043192086,0.039532009,0.045864822,0.037199564,0.460754027806552,0.0985342765678424,11.3696444745021
"T1652",0.046263249,0.045798434,0.042740785,0.047650305,0.040771158,0.384114588908201,0.294691996330107,15.88046397296
"T1653",0.058282786,0.058666657,0.055384324,0.055434679,0.055849997,0.128801183805058,1.13207627673112,35.1368528844594
"T1654",0.06105816,0.062393296,0.052237616,0.050274283,0.054897942,0.475781164971267,0.0607449536276678,10.5006457169785
"T1655",0.0639525,0.064239353,0.059315466,0.058096854,0.060708207,0.283190877190717,0.573388382812309,22.2893327945252
"T1656",0.060156194,0.060749114,0.054810892,0.054595455,0.05583133,0.330987756403359,0.43718730895248,19.1572691652047
"T1657",0.062561214,0.064000829,0.053142049,0.050598048,0.05592386,0.488034918589862,0.0299965091931523,9.79355816074791
"T2458",0.044410484,0.04599562,0.046360135,0.043034127,0.045780488,0.151997932707768,1.02790213448685,32.7412767499077
"T8307",0.050074553,0.049207248,0.047925014,0.05008455,0.047789349,0.0652951336617501,1.51177831671546,43.868435651844
"T8308",0.047054974,0.041855135,0.043535339,0.04183111,0.044405424,0.314033833410462,0.484448413252312,20.2440798757529
"T8309",0.043799108,0.045246572,0.044647853,0.049498303,0.043830025,0.330608749081838,0.438232849341702,19.1813122871366
"T8315",0.054699147,0.055332629,0.057146276,0.064776194,0.055492248,0.41946500629719,0.203262310301002,13.7779578315866
"T8316",0.051600364,0.051605857,0.057286091,0.064575011,0.054900072,0.476829245904305,0.0581131601715008,10.4401253089498
"T8317",0.067431603,0.067459032,0.065909493,0.068662538,0.065646447,0.0256536120135457,1.94890120605461,53.9204614137821
"T8318",0.045591095,0.045750792,0.040164128,0.039112152,0.040716023,0.426385131422189,0.185584942153654,13.3714511847051
"T2220",0.061079846,0.06788057,0.057605127,0.054535525,0.055761082,0.465765463562996,0.0859188495738875,11.079541621886
"T2087",0.040023204,0.039801366,0.041691732,0.04602356,0.04039068,0.380831305032397,0.303298210175456,16.0783714387919
"T2084",0.043122478,0.043024413,0.041608488,0.043178829,0.04158156,0.0337324376386042,1.82856449745719,51.1532128335103
"T6052",0.082996962,0.07717534,0.081678152,0.073934192,0.069437716,0.418883597437651,0.204750331017022,13.8121761782724
"T6130",0.067783877,0.067229003,0.057769391,0.056912051,0.061839274,0.446251958527645,0.135136544235025,12.2113458507263
"T6140",0.071563126,0.071320333,0.06437551,0.059642949,0.063592794,0.437560299522212,0.157157656136498,12.7177407102469
"T6167",0.06719864,0.06622805,0.066444511,0.055726224,0.05888811,0.449685863262843,0.126455052170933,12.011707295966
"T6126",0.066658915,0.065844072,0.059995829,0.05684646,0.060601673,0.400097376505513,0.25309506410508,14.9239058870275
"T6158",0.06917222,0.068769021,0.063657106,0.058590892,0.062351236,0.408965672438188,0.230206456687791,14.3975622042217
"T6165",0.068549275,0.0674809,0.064147473,0.056373314,0.060359851,0.440770701901884,0.149015498083107,12.5305046159893
"T6132",0.073829266,0.073076106,0.059724455,0.059078102,0.066221414,0.494228932073982,0.0144664266052638,9.43643023616247
"T6147",0.070135963,0.068908624,0.059489569,0.054197453,0.060933084,0.495499331442935,0.0112817423743695,9.36319561790447
"T6153",0.072864921,0.071920402,0.064263697,0.056869746,0.063618312,0.484671056040701,0.0384334241009035,9.98757244842845
"T6160",0.065368398,0.064916568,0.062525158,0.056678296,0.058738828,0.380047561117701,0.305355877998556,16.1256893223247
"T6134",0.068731187,0.068156996,0.057778678,0.057264113,0.06292585,0.458229663718755,0.104894746777449,11.5159090878735
"T6149",0.070653573,0.068805455,0.061131729,0.054697747,0.060957324,0.488906104925535,0.0278118560621917,9.74332013824007
"T6162",0.066057593,0.065523597,0.061677137,0.058250664,0.060170731,0.342736476058019,0.405006201994716,18.4172362726784
"T6169",0.067567652,0.066786677,0.064815724,0.057057472,0.06011064,0.415860171701088,0.212495685500521,13.9902874250232
"T6128",0.068588229,0.067975561,0.057153743,0.056512302,0.062209151,0.468945714432612,0.077920328378473,10.8956085836612
"T6143",0.068929237,0.067759539,0.06003093,0.052856775,0.059639154,0.495319043567602,0.0117336869880552,9.37358848226947
"T6155",0.072708462,0.071726878,0.066020076,0.057398712,0.064249868,0.472225386017806,0.0696769705826902,10.7060453122129
"T6151",0.070535981,0.069120772,0.060645181,0.054874228,0.061304498,0.488631989209617,0.0284992346802147,9.75912701485323
"T6164",0.070526355,0.069864335,0.062201105,0.059174644,0.062865277,0.433534520608763,0.167382566957826,12.9528715384332
"T6171",0.068116992,0.067273142,0.065252344,0.057791608,0.060862753,0.407133047270167,0.234926096116933,14.5060944689139
"T6177",0.066568003,0.065888951,0.074184567,0.061602868,0.061377166,0.438083528339874,0.15582995714825,12.6872091028672
"T6195",0.075114768,0.074790428,0.06797751,0.058656322,0.065542289,0.485363801384988,0.0366957432290846,9.94761294661431
"T7302",0.065673321,0.07098651,0.061136339,0.073783601,0.059787511,0.468589095108613,0.0788169897543377,10.9162281015811
"T7307",0.075248017,0.078023893,0.074801207,0.067042962,0.073650656,0.348245568268348,0.39006141132666,18.0735676511857
"T7312",0.070043082,0.075650374,0.066006839,0.082570627,0.064227682,0.492000963088945,0.0200519557615311,9.56487439761496
"T7317",0.072861245,0.075936808,0.089802058,0.07390035,0.071989014,0.476749697142207,0.0583128974921597,10.444718444523
"T7318",0.080598756,0.083021333,0.089226404,0.084387579,0.076579918,0.354174160757512,0.3740752638448,17.7059521127619
"T7326",0.083182834,0.085239519,0.087102669,0.086951837,0.081566899,0.128045122562845,1.13568064191125,35.2197384357078
"T7328",0.079375699,0.08114574,0.066003316,0.074233488,0.07693388,0.437265707005137,0.157905309717274,12.7349336627055
"T7334",0.087648788,0.089437087,0.074963352,0.075033213,0.07377113,0.476974135329038,0.0577493663008602,10.4317595485449
"T7340",0.081940029,0.084508701,0.066623657,0.080836454,0.070417259,0.488039785368248,0.029984304501478,9.79327750311566
"T7342",0.072317719,0.07828724,0.0809895,0.078254193,0.071558891,0.341603673235532,0.40809034723505,18.4881589083158
"T7344",0.077021672,0.079763385,0.085673288,0.08647333,0.078305301,0.337310152654681,0.419815411761894,18.7577870919655
"T7348",0.084438015,0.085840993,0.081336134,0.079830713,0.082999776,0.133307063268598,1.11089365594288,34.6497398664459
"T7352",0.080694511,0.08209713,0.084878307,0.086054639,0.080011248,0.165047368769576,0.973923070970788,31.4999806514831
"T7356",0.066466383,0.06990591,0.069121013,0.077547243,0.063639151,0.427366927735254,0.18308177506316,13.3138886532208
"T7358",0.075650305,0.079101888,0.092600732,0.077543993,0.072237018,0.481211834518751,0.0471123692649376,10.1871524349792
"T7362",0.075997554,0.078946167,0.086918033,0.092451587,0.074327892,0.473860152629993,0.0655698354211076,10.6115981225121
"T7364",0.077340595,0.078030168,0.081457419,0.072226889,0.089846079,0.445923175141473,0.135968288419965,12.2304725406761
"T7366",0.07212524,0.076181726,0.08129154,0.08142203,0.068598016,0.424818255386276,0.189582232938124,13.4633724062275
"T7378",0.070161087,0.073306824,0.071662268,0.071819275,0.055578048,0.495399221385307,0.0115326974032434,9.36896654977935
"T7382",0.072521679,0.075918974,0.078082656,0.07696411,0.061335624,0.472502232114787,0.0689813505614637,10.6900489172759
"T7408",0.08784511,0.089694049,0.082208599,0.081800148,0.085529576,0.247897950492335,0.681119465689762,24.7667039111071
"T7386",0.072255095,0.076063138,0.068700396,0.071358926,0.067463311,0.299142389302028,0.526868689085669,21.2195714729787
"T7390",0.069638744,0.074309516,0.067966039,0.071867703,0.064830016,0.330095123450605,0.439650516789463,19.2139127984672
"T7394",0.070999683,0.073626588,0.077412853,0.071605346,0.067628642,0.316850170636909,0.476525083920154,20.0618759406362
"T7400",0.082220891,0.084979288,0.070522665,0.073272242,0.079714503,0.435078414190716,0.163459284269191,12.8626521982446
"T7414",0.085521925,0.088100834,0.070022188,0.070022077,0.082391566,0.498683741334413,0.00329937717398723,9.17963410101217
"T7416",0.086423764,0.088083372,0.086057653,0.086972514,0.085825498,7.43262350441643e-05,3.79330985592877,96.3342624666295
"T7426",0.082369124,0.083900398,0.08113878,0.082829469,0.081427071,0.00238519264095381,2.82214332353968,74.0014328647163
"T7223",0.083531696,0.084013748,0.086267544,0.064988128,0.082145023,0.496664390206195,0.00836123124380613,9.29603589271407
"T7224",0.074384077,0.076577312,0.081481626,0.07242605,0.072660884,0.314174715593859,0.484051343694881,20.2349489116283
"T7226",0.083753946,0.086863026,0.06597388,0.073902012,0.081074856,0.496140123892842,0.00967542554364385,9.32625694789179
"T7227",0.078581797,0.079689209,0.092111929,0.075998579,0.078122504,0.439174191806227,0.15306326643321,12.6235866135829
"T7230",0.075734159,0.080008564,0.064855345,0.073976334,0.071259346,0.432788076151625,0.169280323360225,12.9965121180323
"T7440",0.087340477,0.088671126,0.07270917,0.076499347,0.081269552,0.452144022859702,0.120246294965979,11.8689314567319
"T7238",0.07551677,0.078992892,0.07235073,0.08416126,0.070828462,0.411760185313046,0.2230194476438,14.2322906025202
"T7239",0.067155587,0.069748087,0.068465106,0.062060269,0.063561212,0.31389444583395,0.484841345516357,20.2531156991728
"T7240",0.071194467,0.074495772,0.063671969,0.079403396,0.067443972,0.455476381325732,0.111836857649956,11.6755490404694
"T7442",0.077812138,0.080703575,0.075761295,0.077089247,0.085286209,0.303415505045349,0.514602224847229,20.9374933262152
"T7444",0.078851213,0.08279607,0.089798136,0.094236638,0.091351873,0.420478548166309,0.200669389658275,13.7183313381335
"T7446",0.071748279,0.07535223,0.08686041,0.085184908,0.082052249,0.44305753250637,0.143221734640948,12.3972719237658
"T7242",0.081426189,0.083663687,0.076369334,0.073201525,0.078388266,0.331971730320991,0.434475116541035,19.0948999124017
"T7244",0.076442517,0.079536583,0.079243363,0.072745102,0.073038418,0.266945275209774,0.622078045440544,23.4089944617946
"T7245",0.06992938,0.074492166,0.059477141,0.072976053,0.06849764,0.453833705140095,0.115981239340968,11.770852746913
"T7246",0.063209007,0.066471717,0.063249175,0.072919185,0.06198848,0.402344379372573,0.247283588757879,14.7902658939508
"T7248",0.064844106,0.06910008,0.072454914,0.074172197,0.062103905,0.423470911724637,0.19302189161172,13.5424703863207
"T7249",0.076021324,0.07744367,0.088582432,0.06583982,0.075328972,0.49364945055888,0.0159191391316903,9.46983663993695
"T7252",0.062871551,0.066480251,0.073153875,0.07241434,0.060303466,0.453491687099524,0.116844380306068,11.79070143347
"T7254",0.075944575,0.079236615,0.062753082,0.066954315,0.071559647,0.471808203857936,0.0707252711641094,10.7301519071949
"T7255",0.074703974,0.077286561,0.075550529,0.061813624,0.074027219,0.454471636825545,0.114371540087205,11.7338362951041
"T7256",0.068204936,0.072221083,0.065962294,0.073337298,0.064438015,0.352423388348984,0.378786010429232,17.8142798786591
"T7257",0.066182223,0.06907489,0.082334166,0.070038739,0.064429532,0.484207133328876,0.0395971913560548,10.0143343012506
"T7258",0.069973152,0.073749615,0.080736086,0.077240458,0.064962504,0.45140723551983,0.122106756463186,11.911714407145
"T7450",0.075897383,0.079483115,0.072158494,0.086293359,0.083164817,0.413591286401484,0.218316431416944,14.1241406030025
"T7452",0.073515105,0.076133737,0.071387914,0.071409299,0.062541747,0.417601143727933,0.208034169631802,13.8876909389012
"T7259",0.080114374,0.082034977,0.085877864,0.070277376,0.080468093,0.418693642109811,0.205236588668169,13.8233581011492
"T7260",0.08069473,0.084027241,0.065426103,0.073487009,0.078547011,0.474998396776629,0.0627108045375417,10.5458521897396
"T7267",0.076306426,0.077854024,0.07400292,0.059408199,0.075845662,0.490859755357977,0.022913200460242,9.63067123901609
"T7268",0.076452597,0.079606288,0.068378209,0.068639836,0.072291841,0.400761496817349,0.25137655322812,14.8843872161258
"T7269",0.076787542,0.078298343,0.077612991,0.074951819,0.076817879,0.0115095937421307,2.27311604981112,61.3760672430038
"T7270",0.079879571,0.082793927,0.066474704,0.070034309,0.077066007,0.46645627174078,0.0841809759558198,11.0395776877021
"T7460",0.070025357,0.073410563,0.070864972,0.076640921,0.056978223,0.49704534829518,0.00740628121389026,9.27407597586646
"T7462",0.069719312,0.073432675,0.072828461,0.078049281,0.063034016,0.434991199273504,0.163680843841622,12.8677471557135
"T7464",0.070065267,0.072761251,0.063940382,0.06022959,0.067800465,0.424212318723859,0.191128859937758,13.4989384560125
"T7271",0.078396098,0.080928301,0.075710401,0.0723926,0.076692399,0.255341128848193,0.657775720902173,24.2298939436865
"T7272",0.075215511,0.078741476,0.067597274,0.071745437,0.071788084,0.358458958909686,0.362580983619438,17.4416310173487
"T7273",0.071602035,0.075123258,0.057659884,0.066237181,0.068906159,0.479593402894456,0.0511740801875563,10.2805550543054
"T7466",0.074224257,0.076674042,0.067441189,0.068319053,0.06642277,0.389876944996538,0.279639772368288,15.5343248282737
"T7468",0.082769093,0.085963655,0.070468262,0.06989653,0.076156893,0.472344161098793,0.0693785251175806,10.6991822959377
"T7277",0.080565094,0.081903112,0.066364833,0.089667918,0.080493283,0.493457093847544,0.0164013688717673,9.48092593745179
"T7472",0.072548348,0.076256032,0.069838434,0.071102483,0.062113991,0.423856171519878,0.192038123339629,13.5198477686175
"T7474",0.074637553,0.081042739,0.081490104,0.090234709,0.072981428,0.454335423309545,0.114715223958635,11.7417396083687
"T7478",0.07737952,0.078748071,0.070365193,0.07672715,0.070998759,0.328512111019104,0.444025397263131,19.3145170273905
"T7482",0.078662076,0.080501884,0.07690043,0.077009137,0.078073048,0.0274287510097234,1.92000314606605,53.2559250772973
"T7486",0.079458095,0.08147919,0.066491345,0.077952184,0.083292169,0.453767596345176,0.116148069424255,11.7746891515854
"T7293",0.083639015,0.08449987,0.075814339,0.072846251,0.083503974,0.399365864237591,0.254988827456202,14.9674546428963
"T7297",0.08279527,0.084878118,0.072779484,0.070059633,0.08038616,0.447637169532384,0.131633307639623,12.1307858403357
"T7300",0.074625043,0.077746063,0.07177842,0.080625485,0.072371245,0.314491781607073,0.483157987575957,20.2144054010023
"T5553",0.07747511,0.074788014,0.073596799,0.091745146,0.073601093,0.481961183076359,0.0452320274506768,10.1439123191692
"T5547",0.078864573,0.07783049,0.087231726,0.087217013,0.068327366,0.481407096302169,0.0466223827079721,10.1758847626295
"T5549",0.068119245,0.067229407,0.074640012,0.083973038,0.066710598,0.487652938863418,0.03095443514807,9.81558651161149
"T5559",0.076285082,0.076268689,0.082310452,0.092568891,0.086195266,0.451059076310934,0.122986039853704,11.9319343029892
"T5561",0.093205595,0.088592886,0.106485681,0.099263943,0.084360201,0.470655616688369,0.0736219142877808,10.7967627665492
