"","flu","pth","ychF","oxyR"
"flu",1,0.915699633500184,0.903651818454133,-0.413086631753509
"pth",0.915699633500184,1,0.873350423483482,-0.362878526595028
"ychF",0.903651818454133,0.873350423483482,1,-0.34125184575979
"oxyR",-0.413086631753509,-0.362878526595028,-0.34125184575979,1
