"","agaB","agaC","agaD","agaI","agaR","agaS","kbaY"
"agaB",1,0.490268897738908,0.651391875876172,0.662367667861294,0.390527039459877,0.619119932895751,0.589799427210202
"agaC",0.490268897738908,1,0.581323166903109,0.812302126114913,0.653757708165432,0.645248720544444,0.697579308825739
"agaD",0.651391875876172,0.581323166903109,1,0.67281182215667,0.497423527250192,0.547210656091771,0.669819723671259
"agaI",0.662367667861294,0.812302126114913,0.67281182215667,1,0.650565683919316,0.803290436026376,0.72445776945057
"agaR",0.390527039459877,0.653757708165432,0.497423527250192,0.650565683919316,1,0.632136585362217,0.568375845105994
"agaS",0.619119932895751,0.645248720544444,0.547210656091771,0.803290436026376,0.632136585362217,1,0.664273552139789
"kbaY",0.589799427210202,0.697579308825739,0.669819723671259,0.72445776945057,0.568375845105994,0.664273552139789,1
