"","cbpA","cbpM","fis","gltX","gyrB","msrA","pval","z","inv_cof_var"
"T0028",0.083117559,0.072537052,0.35072071,0.07468323,0.083425295,0.12846349,0.00673304038475757,2.47119914000766,3.86236305040447
"T0060",0.220003568,0.080774672,0.374263791,0.262972012,0.244410255,0.176882348,0.124558348064198,1.15249750084143,2.71624560507193
"T0061",0.214747569,0.081373737,0.362357317,0.202546654,0.211953756,0.172864824,0.0474746233983524,1.66984898013352,3.1658890560046
"T0062",0.196269273,0.067308617,0.361934282,0.219053774,0.222810253,0.156048877,0.13465433041511,1.10465603454416,2.6746653586348
"T0047",0.169987841,0.058659756,0.179236992,0.178273077,0.142965604,0.133466079,0.0890345695870741,1.3467240015791,2.88505284260755
"T0048",0.17395065,0.054660024,0.195654819,0.203302504,0.168998943,0.136843618,0.15763848589231,1.0042108949472,2.58736590941008
"T0049",0.178352533,0.055016022,0.233648216,0.20652227,0.164503167,0.140846994,0.158619374618359,1.00014829055725,2.58383499564876
"T2826",0.159761465,0.092986254,0.212727232,0.275984669,0.081803326,0.132648136,0.409928573945208,0.227728714583691,1.91250531435755
"T2872",0.081517921,0.102318017,0.465957876,0.07129631,0.062077315,0.135190606,0.0546847431115138,1.60103356009863,3.10607980797808
"T2404",0.180422975,0.084582363,0.106400951,0.097217416,0.246257871,0.152455205,0.243671048302231,0.69454243785505,2.31822510424135
"T2415",0.403436974,0.080116544,0.407822861,0.241655497,0.315869167,0.145822267,0.444464061870142,0.139660643201791,1.83596309283472
"T0008",0.07620675,0.072916585,0.339237343,0.036789949,0.0456397,0.135961005,0.418828338317321,0.204891781224867,1.89265714935717
"T0009",0.074053891,0.089437482,0.363120631,0.231456574,0.130007515,0.093986867,0.394668569831916,0.26717147251314,1.94678602775953
"T0010",0.077953892,0.06898487,0.20623914,0.053906623,0.112931442,0.141902216,0.167749196567306,0.963097904798601,2.55163355431201
"T2674",0.097209044,0.08564034,0.283246635,0.271821636,0.246184724,0.151690429,0.369015328857028,0.334462402022734,2.00527030193723
"T2675",0.130962006,0.092268105,0.276924026,0.280469877,0.250885883,0.150661879,0.271835418045719,0.607271368446927,2.24237557759276
"T1863",0.28173039,0.087928299,0.362496219,0.139334303,0.168226348,0.162352074,0.227851070547644,0.745942515332922,2.36289823100419
"T1867",0.264794972,0.089760993,0.120316799,0.142921321,0.177942614,0.119484986,0.229161203086853,0.741612073740048,2.35913453305449
"T0053",0.207641226,0.072229651,0.306145548,0.302330619,0.247786432,0.169125495,0.24889213258516,0.677980171999434,2.30383041383711
"T0046",0.137341839,0.054655675,0.22477337,0.130253611,0.079099053,0.108490989,0.0815558332219994,1.39468229429346,2.92673462588268
"T0050",0.214271547,0.065951227,0.366923877,0.350281377,0.213631288,0.166077146,0.384414373919696,0.293907289419373,1.9700228125343
"T0051",0.19762046,0.064201516,0.365660499,0.312171295,0.271172851,0.169957451,0.323604210242316,0.457643730294485,2.11233035637134
"T0052",0.19493445,0.063218339,0.34470175,0.248235113,0.242364604,0.159115335,0.214018108744237,0.792556575144811,2.40341170695767
"T0172",0.150591061,0.096417865,0.236283764,0.082935874,0.268484202,0.152781314,0.348348635579496,0.389782654332709,2.05335055327653
"T0173",0.12983587,0.10428778,0.143347746,0.296446541,0.276365492,0.175908171,0.257769311446848,0.65023780764274,2.27971881283533
"T0485",0.159998451,0.063703065,0.284103593,0.286604094,0.286850528,0.108452649,0.473945130288825,0.0653563711161679,1.77138334259348
"T0487",0.17047428,0.081962562,0.316608207,0.26515534,0.128783591,0.134248252,0.25910810866202,0.6460974953837,2.27612036117024
"T0491",0.189034205,0.079888498,0.092208105,0.170052281,0.38700957,0.16060071,0.492140214827479,0.0197028344506637,1.7317046819629
"T0492",0.180570114,0.079513768,0.108346255,0.28660681,0.386843562,0.154650819,0.456109606507581,0.110239782045234,1.81039266717759
"T0493",0.175603094,0.08756152,0.185890164,0.179467559,0.345486354,0.151876714,0.384340268856379,0.294101247421239,1.97019138641258
"T0497",0.167382205,0.096337217,0.055515281,0.261920328,0.318144451,0.138409809,0.307413659724177,0.503194801391842,2.15191996154638
"T0498",0.186018616,0.080623716,0.181485624,0.213394935,0.290551354,0.140245715,0.245465427825022,0.688829044572372,2.31325944747803
"T0499",0.167807705,0.094044798,0.064286688,0.281024316,0.344079396,0.142924047,0.37375386920786,0.321927342782979,1.9943757601802
"T0690",0.170335958,0.081204426,0.457856659,0.186234041,0.279115743,0.108151718,0.311763426393329,0.490858044822633,2.1411977697307
"T0707",0.15955963,0.069413958,0.248826382,0.145038055,0.220941435,0.12743852,0.144045418635878,1.06231911999601,2.63786925942325
"T0709",0.167915764,0.095410007,0.234798595,0.121481671,0.151878355,0.141117202,0.000170782974142239,3.58154679003783,4.82739469538536
"T0711",0.183792303,0.111002883,0.196851914,0.12813483,0.195828065,0.159057191,0.00132060515751731,3.00667608906873,4.32775981238952
"T1075",0.221966172,0.107769079,0.32325942,0.06131454,0.159304758,0.183224895,0.242175519696081,0.699321650847084,2.3223788409339
"T1077",0.235339395,0.110577763,0.322290326,0.091938778,0.14555632,0.086313298,0.293103519458823,0.544340708012873,2.1876809251956
"T1079",0.221022837,0.107167837,0.31785292,0.064149929,0.174695088,0.182549519,0.223162784007042,0.761555122395264,2.37646754857369
"T1916",0.157470001,0.062111821,0.169779115,0.318660163,0.15798096,0.163270632,0.432370091376031,0.170343271522906,1.86263015272381
"T1918",0.136540008,0.078270334,0.511776685,0.041408261,0.12205796,0.165483805,0.28191831005338,0.577152235638978,2.21619826611895
"T1919",0.135534417,0.059075006,0.500173878,0.074699532,0.158278702,0.116912096,0.146410204113089,1.05195453760227,2.62886113480868
"T2000",0.13135426,0.22455533,0.373298866,0.208550792,0.343778202,0.103327437,0.307707501733911,0.502359014968735,2.15119355811163
"T2326",0.186618213,0.069103233,0.345680312,0.267177725,0.291359884,0.143899249,0.3242512760876,0.455843456474388,2.11076569218173
"T2327",0.187806595,0.063641006,0.340221868,0.274491678,0.296944164,0.141502027,0.367267286152437,0.339099769192629,2.00930075678462
"T2328",0.192705608,0.070514021,0.337444144,0.261893259,0.284429186,0.148686973,0.284091177856785,0.570730477784152,2.21061695152244
"T2330",0.138908603,0.10695482,0.294361558,0.461564675,0.463307155,0.380358294,0.471438824510158,0.0716535170793635,1.77685635379621
"T2332",0.178185045,0.052480102,0.430770317,0.301344389,0.254132292,0.386717173,0.43820694988925,0.155516813706736,1.8497440976444
"T2333",0.178496535,0.044387697,0.431651246,0.253341457,0.217420797,0.356150287,0.439650455922187,0.151855493864684,1.84656195058453
"T2334",0.180112942,0.044716306,0.537204392,0.261935798,0.225560344,0.356644885,0.431454686261907,0.172671849125319,1.86465397929205
"T2335",0.134513728,0.071825662,0.0870978,0.171622086,0.085682421,0.104665758,0.0977347907146728,1.29456717685758,2.83972200738975
"T2336",0.126590842,0.063845809,0.10157544,0.167083574,0.084098176,0.117949077,0.105381231983699,1.25147161344252,2.80226654697365
"T2524",0.137567426,0.085435322,0.416867117,0.163809169,0.091100022,0.159176056,0.0241564400346879,1.97460597859864,3.43076118640469
"T2525",0.09599362,0.081838081,0.464841449,0.108077712,0.211510736,0.139909096,0.192891401659916,0.867290604477647,2.46836497025422
"T2526",0.247357363,0.074855588,0.325308564,0.214256062,0.078793839,0.115005644,0.447045243466227,0.133130104716168,1.83028723419961
"T2647",0.344039887,0.088733558,0.121101565,0.231086042,0.401000807,0.127050427,0.474003503351805,0.0652097394154212,1.77125590121836
"T2648",0.30813216,0.101963903,0.092956009,0.204416271,0.090364319,0.143721769,0.415654058610506,0.213024161260401,1.89972520960217
"T2665",0.29930823,0.080535272,0.324971867,0.16264949,0.320813165,0.132163898,0.423222669863295,0.193655880881756,1.88289173994629
"T5150",0.240092611,0.130965194,0.189781083,0.073216335,0.072278892,0.197147229,0.411709657116531,0.223149294195206,1.90852522254537
"T5530",0.071412855,0.204878583,0.069538641,0.134859331,0.13523874,0.284821165,0.352879460756711,0.377558065553795,2.04272584936672
"T5716",0.12269688,0.131333751,0.159718469,0.209912599,0.104886679,0.192868606,0.034143072985652,1.82311387226054,3.2990955080227
"T5718",0.094878346,0.115483311,0.119827245,0.128240384,0.085018308,0.15635783,0.00291614724565966,2.75706394427486,4.11081548986937
"T5719",0.107906515,0.162426081,0.108801074,0.17005106,0.138334661,0.24691641,0.044712413338137,1.69843958260038,3.19073788252199
"T5720",0.102095962,0.150503433,0.104901316,0.161681815,0.148304576,0.24344113,0.0504060774275648,1.64092899747703,3.1407539567093
"T5721",0.110907365,0.136094048,0.111030747,0.220173933,0.35908292,0.172091691,0.356251262827239,0.368497209274938,2.0348508265849
"T5722",0.100753292,0.143295508,0.094337005,0.170859844,0.205731082,0.324037442,0.276692856613368,0.592694365077474,2.22970632977643
"T5723",0.09027675,0.15142416,0.095733796,0.187342069,0.219536323,0.278257868,0.148266933243477,1.04389522752114,2.62185658153674
"T5724",0.103709144,0.124679715,0.148190155,0.193878394,0.13105312,0.225233525,0.0651116951505159,1.51322155687197,3.02976014186216
"T5730",0.223456416,0.142821126,0.13804385,0.109184491,0.210794134,0.074000615,0.227866920666808,0.745890041685009,2.3628526248098
"T5732",0.179990264,0.157049426,0.143345153,0.185800142,0.239882962,0.10495598,0.0174500467606874,2.10951568578457,3.5480146760176
"T5734",0.259825111,0.148027106,0.084601687,0.207519371,0.100546293,0.078615182,0.321316489926227,0.464020609587976,2.11787266585817
"T5736",0.109536864,0.164218413,0.098888944,0.126568089,0.206363793,0.209610043,0.0151554090909142,2.16600482570415,3.59711083758346
"T5738",0.079487592,0.289017143,0.096824398,0.074192676,0.230427601,0.261769858,0.451236688348259,0.122537465087056,1.82108089918761
"T5740",0.123119374,0.102459198,0.103302916,0.087504641,0.10316264,0.10626508,3.21566269433734e-14,7.49898628879543,8.23214192342372
"T5742",0.216865323,0.098077831,0.119676665,0.094545734,0.218984639,0.070728672,0.397369330586487,0.260162199192621,1.94069408839041
"T5744",0.107366656,0.153798332,0.130914446,0.161241781,0.233688636,0.133491992,0.0304234226445469,1.87460673980325,3.34384928101278
"T5746",0.098608719,0.130106599,0.186963841,0.172163796,0.088588763,0.240212715,0.230463113504063,0.737322542032933,2.35540639093666
"T5748",0.100044857,0.153088009,0.100591814,0.092674654,0.146501252,0.146357374,0.000919729482012172,3.11499841802267,4.42190552908982
"T5752",0.140918128,0.115233551,0.092013111,0.091468883,0.142625356,0.087802974,0.000897584963795517,3.12218024782022,4.42814744172261
"T5756",0.138295555,0.154032116,0.127303566,0.146551834,0.3134705,0.250540057,0.160125147927277,0.993943662495969,2.57844239412949
"T5758",0.097373032,0.163079755,0.124418193,0.107635089,0.07048318,0.070269688,0.134243755574034,1.10655236707605,2.67631350991664
"T5760",0.089244268,0.130191553,0.09480413,0.187823536,0.102069534,0.217436932,0.147058379280855,1.04913332871069,2.6264091497413
"T5767",0.0603689,0.193503534,0.055810668,0.17058956,0.190338534,0.291897445,0.288636601075156,0.557372131482185,2.19900686984608
"T5769",0.063593353,0.182924598,0.063646653,0.112226958,0.200659535,0.291561296,0.394291130832123,0.268152076749009,1.94763829607278
"T5771",0.069475879,0.197282074,0.072191425,0.262999353,0.201988643,0.295950211,0.225181535955728,0.754809868299875,2.37060507509044
"T8379",0.136603029,0.136812222,0.138833458,0.227480317,0.036635025,0.248681576,0.434980604487241,0.163707759237586,1.85686305866473
"T2822",0.100259288,0.096982398,0.262094876,0.033641592,0.185100023,0.136418529,0.379268923426073,0.307401420823008,1.9817509085281
"T2411",0.396432079,0.170959264,0.352441695,0.131954654,0.236753176,0.179630443,0.308772876974625,0.499331661117884,2.14856240716846
"T2412",0.402168297,0.287565049,0.349727376,0.249287517,0.275079917,0.06267415,0.336039947561573,0.423295201125815,2.08247716795291
"T2424",0.372778817,0.339684545,0.518066897,0.135833024,0.160412292,0.467589289,0.34075028321552,0.410416333773254,2.07128381373957
"T2819",0.158972005,0.130115546,0.406094705,0.242326497,0.164829951,0.15541444,0.00399860242851218,2.65218779416457,4.01966493566463
"T2413",0.270297027,0.047358836,0.365270471,0.187316662,0.217789753,0.094401613,0.463434778413859,0.0917841255073438,1.79435238232853
"T2414",0.159135458,0.052955433,0.42167232,0.090560711,0.147757845,0.047800661,0.407814171979186,0.233171360509033,1.91723565764259
"T2425",0.10905209,0.10866592,0.426052945,0.122353504,0.133050186,0.117397568,2.06402095118189e-30,11.4011136893738,11.6235810138769
"T2426",0.098967943,0.089511896,0.418195851,0.201113494,0.155847552,0.136285802,0.066894463610888,1.49932659123901,3.01768367055035
"T2689",0.36554924,0.085101054,0.198559443,0.229009999,0.239944889,0.415722081,0.344632513549077,0.39985267998922,2.06210267106959
