"","mpaA","ycjG","ycjY","pgrR"
"mpaA",1,0.948154409225061,0.95094953702634,0.554335690803307
"ycjG",0.948154409225061,1,0.946275156978711,0.552749456485471
"ycjY",0.95094953702634,0.946275156978711,1,0.527418959200675
"pgrR",0.554335690803307,0.552749456485471,0.527418959200675,1
