"","evgA","frc","oxc","yegR","yegZ","yfdE","yfdV","yfdX","pval","z","inv_cof_var"
"T1869",0.26858978,0.116241667,0.119322267,0.158042765,0.121500704,0.121333307,0.108619976,0.100824251,0.356296852358531,0.368374907786671,6.68910149946277
"T2817",0.149264059,0.051263449,0.054078695,0.069363412,0.056831144,0.056475743,0.04895149,0.047065376,0.304529805385317,0.511416261214492,7.44209182376792
"T0172",0.181807666,0.051321099,0.049763296,0.05899327,0.049765415,0.051459033,0.047831489,0.046885721,0.0620879266947413,1.5374798186678,12.8434384439559
"T0486",0.273033035,0.061177883,0.061812229,0.076031491,0.062935633,0.063428539,0.05849997,0.056629016,0.157288733075967,1.00566350112239,10.0438806110431
"T0487",0.220172966,0.051573838,0.051680247,0.058672507,0.051994951,0.052131542,0.051421887,0.051869007,0.00170813412917342,2.92756574414186,20.1610513352721
"T0491",0.101919867,0.051154152,0.051165193,0.054545424,0.051217139,0.051228992,0.05112503,0.051861786,2.19737220967178e-12,6.92386832193732,41.1981647431382
"T0492",0.170924941,0.05274686,0.052954477,0.057659905,0.053172933,0.053198629,0.052078475,0.051949146,8.1386547514907e-06,4.31065308849507,27.4418226857221
"T0493",0.323387999,0.048727754,0.048657492,0.049514734,0.048587722,0.04858375,0.049635293,0.051554077,3.78648749502673e-15,7.77452714666326,45.6761555405802
"T0497",0.060336818,0.049345511,0.049181871,0.051706639,0.049201048,0.04922205,0.050597432,0.053134825,8.77811566827557e-08,5.22351070188446,32.2472368815362
"T0498",0.117856317,0.037672473,0.038125284,0.049425247,0.038637482,0.038773686,0.036504836,0.036419611,0.227532619590098,0.746997219576689,8.68222398126167
"T0499",0.292770524,0.047181685,0.047331823,0.053615019,0.047685303,0.047752059,0.047075815,0.048925974,0.00116298326386756,3.04510815064523,20.7798115236482
"T0689",0.066800575,0.052302792,0.052128717,0.071208233,0.054934933,0.056430097,0.049064326,0.047709754,0.334781306071841,0.426748374603811,6.99638785166884
"T0697",0.0371187,0.06747522,0.068873888,0.088022591,0.064054551,0.072058648,0.060083248,0.051781164,0.405829234135194,0.238287045417568,6.00430022118834
"T0698",0.126548562,0.067635331,0.069454749,0.095032262,0.071058528,0.0717886,0.061895575,0.055710281,0.426357503874832,0.185655397514145,5.72723963224816
"T0707",0.167898931,0.092945875,0.094865112,0.122039559,0.097098629,0.097368822,0.086386622,0.078828705,0.325228832284645,0.45312648570076,7.13524603465906
"T0709",0.173473312,0.092301937,0.094490969,0.116814786,0.095794043,0.095848763,0.08727235,0.08189773,0.227189893650048,0.748133251348177,8.68820421642818
"T0711",0.255370641,0.098474253,0.100166815,0.120217846,0.101590069,0.10197325,0.094849773,0.091825089,0.113591894991924,1.20764513547738,11.1071410788169
"T1075",0.24517662,0.08426584,0.086039148,0.116145924,0.088008923,0.088209062,0.078233098,0.07357025,0.373777704896859,0.321864418571636,6.4442635730984
"T1077",0.116894504,0.097776169,0.099635088,0.130289954,0.102161183,0.101720251,0.090982984,0.085255169,0.328279090313383,0.444670099346077,7.09073039669094
"T1079",0.187129295,0.084513949,0.086281034,0.109741089,0.087843249,0.088228915,0.079606753,0.074915878,0.272500175026441,0.605268888020337,7.93614559354775
"T1916",0.17336391,0.032398764,0.032441526,0.031475876,0.031854425,0.031611814,0.034058268,0.036234026,0.00313127638803959,2.73370814179164,19.1405569442122
"T1917",0.167956787,0.031049408,0.031048544,0.03632693,0.031603994,0.031870097,0.03109257,0.031221851,0.0117216483446687,2.26613209510244,16.6791691665057
"T1998",0.184745641,0.032782079,0.032826685,0.038196377,0.033006854,0.033642218,0.032462908,0.033290852,0.0106286331479039,2.30338365979259,16.8752667781734
"T2000",0.161020772,0.068428823,0.068401012,0.073579894,0.067598119,0.071077925,0.066813077,0.067182637,4.34096144364296e-06,4.44763912079257,28.162936925857
"T2326",0.19771027,0.068093499,0.06945565,0.093302137,0.071146599,0.071457783,0.063447212,0.058976149,0.368866106329993,0.334857991074533,6.51266361363476
"T2327",0.199950384,0.072446501,0.074044368,0.102209151,0.076085906,0.076525047,0.066923335,0.061373869,0.416272288162539,0.211439193085048,5.86296925255372
"T2328",0.204104645,0.067063071,0.068253424,0.092138061,0.069848539,0.070223601,0.062767706,0.058833971,0.36477660113291,0.345719933432124,6.569842445507
"T2329",0.15704373,0.060609024,0.061077508,0.074747639,0.062389562,0.062257601,0.057637302,0.055902349,0.149594666641797,1.03817340190697,10.2150174197232
"T2330",0.172123704,0.051069708,0.051262515,0.062186182,0.051091632,0.052270464,0.047791327,0.045354446,0.169397100175747,0.956550466672431,9.78534251103315
"T2331",0.150936103,0.068376343,0.069056825,0.08386821,0.068518481,0.070397147,0.064748252,0.060927761,0.172314301075997,0.94505930045392,9.72485135396446
"T2335",0.138977859,0.09988729,0.102460783,0.135551201,0.1048641,0.105120544,0.09321742,0.085658245,0.360153860682512,0.358047560753362,6.6347368545159
"T2336",0.13128277,0.103282685,0.10622259,0.144053164,0.108969338,0.109201486,0.095258378,0.086434875,0.408793158802236,0.230650518365817,5.96410044089079
"T2337",0.103957166,0.10426486,0.107900237,0.152372925,0.110257786,0.110304959,0.093841758,0.083750781,0.476061522768695,0.0600409180843811,5.06598688724411
"T2525",0.174960905,0.050929842,0.048899757,0.071240722,0.053666566,0.056977599,0.044275014,0.041083914,0.457923735657257,0.105665856372297,5.30616314574935
"T2665",0.351724408,0.048759731,0.045461272,0.065486853,0.047978113,0.05298604,0.043318332,0.045439432,0.360663823057549,0.35668498670015,6.62756406808994
"T2666",0.295034122,0.043568975,0.042037327,0.062464516,0.045858698,0.049052538,0.039893917,0.039683549,0.421199014173232,0.198827059241557,5.79657716015939
"T2936",0.109414843,0.047902003,0.04715101,0.041664856,0.046972385,0.047004265,0.049327882,0.051336344,0.0165429773456714,2.13103869256275,15.9680180025091
"T2937",0.116818198,0.049483689,0.048959847,0.041748525,0.048704315,0.048439289,0.051608116,0.053788372,0.054878764961834,1.59928392397271,13.1687841721785
"T2938",0.111016386,0.049655839,0.048861899,0.04393008,0.048804041,0.048814214,0.051083509,0.052678387,0.00549070710754779,2.54328969068285,18.1381667415324
"T5142",0.050203819,0.149952227,0.135615582,0.181607247,0.152472099,0.13545719,0.134190848,0.145844775,0.215651850796813,0.786962699928896,8.89260803657338
"T5144",0.05015636,0.142854847,0.138629089,0.166147267,0.144437791,0.138690556,0.139101677,0.144691818,0.0268655977490762,1.92899731546389,14.9044430403112
"T5146",0.049552556,0.13910758,0.129868957,0.174282441,0.142490925,0.125480608,0.125051763,0.125289389,0.284642568960923,0.569104627871327,7.74577170987501
"T5148",0.048602353,0.139418395,0.137812496,0.170785356,0.141560216,0.130221985,0.130314007,0.131481735,0.166484090625188,0.968152564441309,9.84641762778963
"T5150",0.049664834,0.142417863,0.134070211,0.171430179,0.143975361,0.134043647,0.134290387,0.139740595,0.126446873101042,1.14334893250127,10.7686765888608
"T5152",0.050203819,0.149952227,0.135615582,0.181607247,0.152472099,0.13545719,0.134190848,0.145844775,0.215651850796813,0.786962699928896,8.89260803657338
"T5714",0.312544398,0.082220996,0.101747459,0.129020387,0.101248099,0.087728221,0.089633054,0.081711605,0.421399005721925,0.198315773325436,5.79388567732197
"T5718",0.141783391,0.112122461,0.127159365,0.131930029,0.095899659,0.108771673,0.115393591,0.096226133,0.26178960172582,0.637837903145594,8.10759358864689
"T5719",0.132159095,0.10783447,0.158477941,0.18366617,0.144245451,0.141843171,0.118533754,0.111501283,0.480143904121758,0.0497924186351624,5.01203730735704
"T5720",0.141735949,0.104574814,0.157394605,0.169340915,0.134744462,0.137423912,0.121603138,0.101557105,0.464603315379733,0.0888430666463495,5.21760555322175
"T5721",0.119672558,0.123809027,0.128034786,0.148365718,0.12907531,0.116777007,0.119104942,0.111035842,0.141870479229142,1.07195341092786,10.3928402614268
"T5756",0.13783532,0.125206583,0.152441844,0.179036387,0.134048532,0.179812748,0.138801662,0.139455375,0.342691980520225,0.405127271762686,6.88257124654011
"T2409",0.150122259,0.03936914,0.038388019,0.052975476,0.038385187,0.038721228,0.040948673,0.043999138,0.276189504078406,0.594199020012898,7.87787221105251
"T2421",0.142880747,0.044632073,0.043789354,0.058388869,0.043798043,0.044014849,0.046077185,0.046360219,0.21546288665035,0.787608445208499,8.89600733290171
"T2422",0.140595109,0.046670023,0.046520108,0.064163286,0.046496528,0.046563088,0.047393235,0.047208483,0.300495725387843,0.522975287354824,7.50294020525679
"T2424",0.162165789,0.018351301,0.014147168,0.018238054,0.015781837,0.01641792,0.022163178,0.024324633,0.471636906429521,0.0711557319419412,5.12449687117976
"T2823",0.166386416,0.036666387,0.036154678,0.04158756,0.032926922,0.041421356,0.043489325,0.050300196,0.332474327383486,0.433091008425715,7.02977639130479
"T2405",0.148440241,0.034886103,0.032563497,0.04292706,0.03253369,0.033085223,0.038057,0.042605749,0.269040602923693,0.615717165874722,7.99114683578623
"T2406",0.151827983,0.035259711,0.032617818,0.040516416,0.032589162,0.033348266,0.038649091,0.043764362,0.245657680464704,0.688218237420536,8.37280293779803
"T2417",0.161117258,0.034482654,0.032099857,0.046418189,0.032085022,0.032752921,0.037510492,0.043221316,0.377327125655083,0.312508306461245,6.39501164892814
"T2418",0.161785067,0.041598599,0.038279837,0.037064932,0.038257446,0.039064182,0.046214162,0.053256767,0.32277977677898,0.459939629941669,7.17111140903199
"T2420",0.147784791,0.043440075,0.043072766,0.067386571,0.043072766,0.043099822,0.044690769,0.047647187,0.457038653492788,0.107897113328025,5.31790880431899
"T0320",0.167692635,0.038915642,0.04549719,0.048655513,0.039112556,0.044035887,0.040081992,0.042485037,0.0917753985534945,1.32990128770303,11.7507151048354
"T5662",0.107083985,0.099358825,0.095498277,0.122189278,0.089213165,0.108519213,0.099236161,0.104540925,0.174240197181746,0.937540902246775,9.68527342095008
"T2667",0.356464695,0.049470801,0.048937176,0.071846166,0.051550006,0.054068035,0.042949823,0.039320627,0.487988438522189,0.0301130700773295,4.90844237695705
"T2668",0.09322756,0.052043879,0.050305588,0.071511857,0.054730638,0.057800705,0.044415195,0.041787747,0.448395400235056,0.129716408094863,5.43276872034238
"T2670",0.091671146,0.051887031,0.051152093,0.067616443,0.054260328,0.053593046,0.047986113,0.04828454,0.265513491070193,0.626439081731796,8.0475885479549
"T2671",0.048325925,0.045348788,0.044002252,0.066737444,0.04798929,0.049855074,0.042038253,0.042916266,0.430779611560674,0.174389681398988,5.66793527705438
"T2672",0.265898805,0.068320874,0.06558453,0.087233992,0.071649806,0.071890937,0.059552833,0.055804862,0.353064566566001,0.377059842852098,6.73482025082221
"T2673",0.244451825,0.071554378,0.066744234,0.093085805,0.075781284,0.075724029,0.059342918,0.054078987,0.438384683408069,0.155065897473205,5.56621209018297
"T2679",0.318829761,0.069429181,0.068446088,0.083138759,0.075768527,0.069168984,0.066046683,0.065209924,0.109539463081813,1.22898100970265,11.2194561993552
"T2680",0.340295666,0.03569134,0.036553186,0.039086513,0.035358837,0.035821012,0.040815149,0.045073632,0.130339661518064,1.12478695636002,10.6709636680906
"T2682",0.281092868,0.070430578,0.069576421,0.087667055,0.082779306,0.069198765,0.069797037,0.071464549,0.166070399445088,0.969810819324998,9.85514692077188
"T2684",0.305264532,0.075175476,0.07140412,0.096306239,0.086326043,0.069464956,0.06817676,0.067795905,0.333395941860089,0.430555114905397,7.01642708190224
"T2686",0.245772359,0.082696169,0.082980252,0.112243667,0.094281799,0.077346147,0.076348673,0.074412227,0.377381876153994,0.312364202755123,6.39425306622596
"T2687",0.221563252,0.078062393,0.077339862,0.107925359,0.090788181,0.076489822,0.075650933,0.075437705,0.347356725816766,0.39246664540407,6.81592388254903
"T2650",0.383708976,0.063829843,0.063494557,0.075273426,0.06505084,0.065896312,0.060664062,0.069678633,0.0436772283684139,1.70952115368986,13.7490888558664
"T2651",0.306477756,0.073080152,0.072611404,0.086292621,0.072862488,0.08153007,0.073697338,0.072563444,0.0434521628967483,1.71195845024884,13.7619191366377
"T2653",0.400416692,0.066150744,0.067009912,0.079596379,0.065880351,0.071810147,0.06181557,0.058710078,0.165378899137545,0.97258862507791,9.86976969107304
"T2654",0.357232034,0.056595757,0.055612248,0.071243136,0.057423422,0.060844181,0.051793755,0.050220852,0.250073638944139,0.674258036480167,8.29931442568913
"T2662",0.105658155,0.073178554,0.079511722,0.111280989,0.078185869,0.085788968,0.065792458,0.060768875,0.495683148102279,0.0108209541969345,4.80688589524603
"T2663",0.139917768,0.035628296,0.035211031,0.045679328,0.035646637,0.038789396,0.033687396,0.033372303,0.230514167174494,0.737154607145004,8.63041104920154
"T2664",0.308918107,0.044891599,0.043099144,0.066642199,0.04720535,0.050409454,0.039064585,0.037433909,0.495328790237816,0.0117092540305138,4.81156203374541
"T2427",0.037393593,0.041348261,0.040408615,0.036125857,0.040081209,0.040412114,0.042373771,0.043813966,0.0100635962566807,2.32396831093098,16.9836273519863
"T2436",0.126467323,0.041510009,0.041399941,0.043010569,0.041399853,0.041421293,0.04182926,0.04230971,1.08380970521231e-33,12.0408306539224,68.1345928003778
"T5733",0.106782342,0.104562388,0.119874151,0.161464083,0.120941162,0.098632153,0.107377257,0.0877911,0.495332149061627,0.011700834131003,4.81151771017945
"T2432",0.094121854,0.048376291,0.046404247,0.052542154,0.046369499,0.04693295,0.050668985,0.054592188,0.0239802797017282,1.97771772613925,15.1609143121188
"T2429",0.134290607,0.040102204,0.039138192,0.054932839,0.039135348,0.039309078,0.041554704,0.044662966,0.305791369624402,0.507815499118565,7.42313689253032
"T2433",0.08524251,0.045517993,0.044784522,0.059001871,0.04477826,0.044973198,0.046303084,0.048100984,0.196189641461588,0.855310487881407,9.25240065446042
"T2338",0.185846181,0.062052208,0.06395865,0.093943734,0.066244292,0.066555327,0.056062917,0.050371918,0.499757525763286,0.000607792815037293,4.75312234004438
"T2339",0.172080037,0.067085833,0.068911321,0.094866836,0.071174662,0.071452773,0.061356278,0.055040844,0.434270041583373,0.165513171863558,5.621208050042
"T2340",0.181089489,0.050745285,0.051836706,0.071248391,0.053041604,0.05339253,0.047546411,0.045090856,0.385461898606021,0.291166741936878,6.28266657383423
"T0066",0.320336286,0.066015311,0.067990519,0.095359744,0.071266723,0.070872128,0.061604248,0.055493669,0.438942488840943,0.153650929622419,5.55876349524653
"T0067",0.329071719,0.069208785,0.071181568,0.096243968,0.074134405,0.073902471,0.065203471,0.059483395,0.384983620915503,0.292417745621673,6.28925203774202
"T0068",0.1873226,0.085189591,0.087067936,0.120236004,0.090453552,0.089351769,0.076687728,0.068095047,0.448394996789272,0.129717427927578,5.43277408888895
"T0069",0.17334226,0.057073861,0.059603258,0.085009859,0.061582685,0.060323691,0.05239668,0.047771553,0.472746698780665,0.0683671167919575,5.1098171986527
"T0064",0.302909833,0.094084012,0.096044905,0.124025882,0.098777072,0.09871769,0.087774548,0.080030213,0.327116572945156,0.44788922390332,7.1076763328573
"T0246",0.110411828,0.065861995,0.064904809,0.063159104,0.06387847,0.065597089,0.066755111,0.067685742,1.4393950501693e-12,6.98351777230045,41.5121680568458
"T0256",0.101626957,0.054451188,0.053951534,0.051957961,0.053762203,0.054006764,0.055155473,0.05618759,1.48405800649217e-12,6.97922556805765,41.4895732743768
"T0257",0.118341473,0.076906796,0.076918979,0.074046089,0.074815186,0.076765831,0.07781878,0.078861882,1.87865911352084e-15,7.86276957147553,46.1406763975531
"T0247",0.157027114,0.050585594,0.056478978,0.071363496,0.062094337,0.053249728,0.046939408,0.044154729,0.415355385958895,0.21379006616577,5.87534458766509
"T0248",0.163812646,0.055043239,0.057508385,0.070042811,0.059683913,0.056118621,0.053247757,0.052781398,0.170171485237121,0.953487808231837,9.7692202350818
"T0249",0.151747141,0.058877576,0.061243241,0.084615159,0.073943499,0.062377531,0.053883838,0.048352734,0.469085013899595,0.0775700995446343,5.15826302778846
"T0598",0.064916428,0.044280537,0.041896053,0.039001073,0.043159922,0.042888125,0.045051459,0.046525504,0.00626200040076585,2.49702533658636,17.8946245059477
"T0599",0.047896705,0.048808443,0.046365846,0.043811648,0.047728237,0.047690149,0.049865485,0.050995999,0.00157320178939746,2.95306043452356,20.2952590641458
"T0600",0.063864707,0.041474818,0.038906725,0.036198053,0.040291862,0.039978498,0.042219656,0.043725022,0.012275234599014,2.24840354735348,16.5858435330505
"T0602",0.092390704,0.075878788,0.071899137,0.093241578,0.072728876,0.071214587,0.07072556,0.069231484,0.208328309562567,0.812235315057926,9.02564672927318
"T0603",0.104069755,0.067539323,0.063380309,0.092271766,0.06433035,0.061621103,0.065045416,0.059252227,0.402257109412617,0.247509139988081,6.0528466576909
"T0587",0.143495925,0.067853428,0.069750456,0.06383576,0.069270425,0.0690489,0.072174799,0.073839221,0.000615914073533913,3.23140604277806,21.7605105093108
"T0588",0.125423213,0.076127675,0.077233204,0.076984859,0.077676927,0.077768027,0.078742882,0.079238347,1.52522240189245e-39,13.1057960966222,73.7407245577719
"T0589",0.152846506,0.04312601,0.04685996,0.072450427,0.04366981,0.047044413,0.045057445,0.048449634,0.495206975399512,0.0120146200322516,4.81316952444072
"T0591",0.142142675,0.046451438,0.041843754,0.065547925,0.044096173,0.041749373,0.050752819,0.054828961,0.426093107077276,0.186329704962569,5.73078928395449
"T0596",0.148320776,0.026918856,0.029579009,0.033198075,0.02914266,0.029318766,0.036042083,0.040981792,0.367092636028573,0.339563496277528,6.53743407199463
"T0597",0.166681713,0.026830859,0.028027179,0.034900995,0.0278992,0.027802929,0.032305666,0.035791872,0.259686203018988,0.644313125439203,8.14168009312947
"T0568",0.027511174,0.050075568,0.048642133,0.043674211,0.048986516,0.049245118,0.050752873,0.053839845,0.0147075364443476,2.17787864345634,16.2145902626884
"T0569",0.119203568,0.05241201,0.051193137,0.046168719,0.05137654,0.051619562,0.053319062,0.05601677,0.00791534410780319,2.41279574862966,17.4512278012065
"T0570",0.126400212,0.059586319,0.05764383,0.05300482,0.058409894,0.058626076,0.060592154,0.063160596,0.00359034227310977,2.6883464816911,18.9017666200744
"T0571",0.057968017,0.045804799,0.044319659,0.039070184,0.044566421,0.04461258,0.047105145,0.048771749,0.0280932977213248,1.90958556278799,14.8022567732459
"T0573",0.053297586,0.041673633,0.040463407,0.035325699,0.040639478,0.04063445,0.042691807,0.045212265,0.0449740430491631,1.69567161952456,13.6761829096299
