"","frc","oxc","yegR","yegZ","yfdE","yfdV","yfdX","evgA"
"frc",1,0.855156147859545,0.803038562929891,0.910565106010343,0.836900420489472,0.875834209253448,0.891077105082088,-0.234681275272742
"oxc",0.855156147859545,1,0.891745511644731,0.879239498585556,0.946555748496859,0.950125606369634,0.7902062313182,-0.0885829970159327
"yegR",0.803038562929891,0.891745511644731,1,0.849837038527656,0.923858181827827,0.858562093275639,0.714620127970591,0.00716480795901353
"yegZ",0.910565106010343,0.879239498585556,0.849837038527656,1,0.876285694630086,0.860677878735141,0.866029657421847,-0.164797405928436
"yfdE",0.836900420489472,0.946555748496859,0.923858181827827,0.876285694630086,1,0.904765169056108,0.776722599770206,-0.0122662420137076
"yfdV",0.875834209253448,0.950125606369634,0.858562093275639,0.860677878735141,0.904765169056108,1,0.842063048859346,-0.143983099965378
"yfdX",0.891077105082088,0.7902062313182,0.714620127970591,0.866029657421847,0.776722599770206,0.842063048859346,1,-0.256931498929589
"evgA",-0.234681275272742,-0.0885829970159327,0.00716480795901353,-0.164797405928436,-0.0122662420137076,-0.143983099965378,-0.256931498929589,1
