"","accA","accD","acpP","fabD","fabF","fabG","fabH","fabI","fadR","plsX","rpmF","yceD","pval","z","inv_cof_var"
"T8220",0.324835891,0.483227968,0.476518849,0.494465935,0.148304016,0.49266862,0.307832113,0.284127077,0.053787102,0.480676793,0.247810896,0.414773255,0.277662979207305,0.589798186865305,2.36544057980822
"T8402",0.292051414,0.286956386,0.297781503,0.283992305,0.2977875,0.288968402,0.298249678,0.29754294,0.080376442,0.06512663,0.292651132,0.29741459,0.0929849716600064,1.32259546459783,2.98148728297805
"T8403",0.133424444,0.260944618,0.45363023,0.224506472,0.507299862,0.244848721,0.192409431,0.355846876,0.057686386,0.375469047,0.397355325,0.431904011,0.35151388898041,0.381236485828735,2.19010730246768
"T8406",0.232527717,0.262654945,0.336013482,0.319073228,0.322533949,0.344239356,0.267330399,0.307343558,0.047858854,0.357645504,0.302924884,0.327645842,0.0319159730403905,1.85335183504878,3.42768259802402
"T8407",0.309663658,0.308553413,0.306436307,0.115750074,0.289404836,0.278180176,0.288038137,0.306617164,0.065005345,0.309082379,0.309532783,0.307621246,0.0583251056189986,1.56899024848765,3.18862600866116
"T5535",0.278332661,0.131824738,0.343306931,0.329744231,0.286331039,0.345951955,0.344945952,0.069415913,0.105706466,0.062902339,0.330015249,0.29929242,0.38461980642641,0.293369660884124,2.11623957742287
"T5537",0.250126671,0.147584579,0.337529627,0.282889345,0.264692959,0.358337922,0.363696688,0.140598287,0.137871792,0.145098925,0.322028383,0.3163359,0.123406252685147,1.15812628369109,2.84322162650051
"T5539",0.285328057,0.090972609,0.340275622,0.328904148,0.293589248,0.332322575,0.295457333,0.09094474,0.085421433,0.090283938,0.335570249,0.337447789,0.383609139208252,0.296015455325803,2.11846383915608
"T5541",0.262433491,0.094013553,0.310716021,0.326062729,0.101746229,0.338172874,0.107973699,0.108796723,0.110803183,0.105980874,0.314042723,0.312717827,0.482245391772941,0.0445189041957889,1.9070361689256
"T8253",0.335019425,0.182023238,0.319829071,0.243441278,0.229275517,0.449502105,0.277899526,0.326083174,0.065404738,0.352469501,0.132513482,0.071581838,0.390195170810675,0.278810388481124,2.10399991437148
"T8256",0.215929813,0.094807552,0.400346834,0.337857481,0.159446717,0.428649676,0.339783478,0.16854838,0.068212768,0.40044174,0.10273387,0.26012125,0.486265739156363,0.0344334897836869,1.89855758079833
"T8306",0.256409668,0.186407171,0.342569562,0.105226699,0.184130977,0.401924041,0.285199578,0.273570445,0.074127986,0.199462767,0.09569623,0.103052005,0.443888743031839,0.141117035344754,1.98824411283448
"T1635",0.336869441,0.103006261,0.270767587,0.17979672,0.244098105,0.357933788,0.148572693,0.142813218,0.069817949,0.267175965,0.204565812,0.215633494,0.268374806943951,0.617735641074292,2.38892698878296
"T0883",0.074024636,0.230837563,0.277392107,0.384485041,0.169207553,0.101009431,0.31152904,0.399107317,0.045874847,0.390016063,0.210469511,0.384087137,0.480800178853061,0.0481454081074855,1.91008489173983
"T2299",0.262974367,0.319744004,0.340736714,0.336150519,0.234796224,0.133300983,0.254202283,0.331995193,0.324607283,0.086262715,0.281826199,0.335599529,0.0531849388802646,1.61472676952195,3.2270757052605
"T2300",0.254115975,0.325800733,0.321049887,0.318453184,0.237405002,0.250116607,0.286267579,0.335087264,0.201809265,0.181937161,0.291599727,0.304568642,9.31085595926023e-06,4.28080662357322,5.46839094261771
"T0150",0.120650665,0.092198209,0.317883423,0.41161967,0.425940287,0.430266378,0.30732261,0.111773685,0.244398314,0.150627862,0.344743378,0.392005975,0.373730437243802,0.321989202436957,2.14029940236437
"T0344",0.234173681,0.358994341,0.060123855,0.357992255,0.139680247,0.106509684,0.362122319,0.363720501,0.051078306,0.303344803,0.21044137,0.347386976,0.467955135165762,0.0804111360095805,1.93720998609194
"T0345",0.259965642,0.312886143,0.04624595,0.327015255,0.146490609,0.101404615,0.319966601,0.325419973,0.065046221,0.32176211,0.155096877,0.308968764,0.440094981435875,0.150728408040338,1.99632418442041
"T0346",0.241614757,0.351962317,0.048031725,0.355994138,0.137666997,0.10978707,0.357369422,0.358889767,0.043775673,0.304567042,0.257314269,0.346324026,0.466909222824891,0.0830416203208947,1.93942137693217
"T1081",0.14275821,0.268518284,0.352929537,0.349447008,0.29747116,0.384623917,0.168933928,0.107843679,0.351230495,0.385113742,0.368890339,0.060346696,0.310494289747174,0.494449759581099,2.28528323470642
"T1082",0.065830632,0.112965325,0.329970461,0.360728978,0.361833593,0.377195148,0.340210749,0.139229931,0.236473674,0.380869178,0.320680568,0.352713899,0.232516494786174,0.730584488247503,2.48379655553775
"T1083",0.207312398,0.290604406,0.347166451,0.300341232,0.084604111,0.500196504,0.470741994,0.050916422,0.359392887,0.302175852,0.482431886,0.292953748,0.369171825149065,0.334047586434074,2.15043662302923
"T2296",0.160490399,0.371703375,0.266926756,0.317933592,0.243967943,0.307843411,0.579459575,0.312739298,0.225049295,0.419326852,0.5213479,0.291170232,0.144681066208778,1.05952196258863,2.76032712241416
"T2297",0.161463738,0.330706557,0.268809363,0.296581082,0.234332429,0.298187702,0.572636675,0.282507535,0.23099897,0.460167272,0.515014263,0.286100355,0.173650186992121,0.939838564732416,2.65971189783032
"T2298",0.12819661,0.336745341,0.280455402,0.258467969,0.209730163,0.252290458,0.562333626,0.268068822,0.26753627,0.386529631,0.509630788,0.266674449,0.215419238361742,0.787757650760661,2.53186078741509
"T2391",0.438565989,0.402531947,0.554257256,0.157581209,0.15720911,0.559206174,0.413718964,0.050533746,0.125137197,0.409711665,0.524818416,0.540951547,0.469500692776719,0.076525049790371,1.93394303808827
"T2064",0.145274317,0.303691046,0.317006329,0.07016968,0.304690178,0.332990619,0.452349605,0.305064727,0.080522463,0.455300469,0.08690646,0.23713369,0.484005106317284,0.0401040002452266,1.90332465537853
"T0837",0.269652298,0.123651853,0.27737747,0.156313078,0.18653356,0.387413974,0.267293626,0.206189064,0.112820693,0.259241525,0.162445435,0.277541615,0.133298596336666,1.11093299315546,2.80354725552554
"T0829",0.137942302,0.272587902,0.427716121,0.220353054,0.146110603,0.326321514,0.184392353,0.148816047,0.103737043,0.187919668,0.19001971,0.395447594,0.357259516753174,0.365793683578457,2.17712487512648
"T5127",0.22423558,0.031500507,0.375935174,0.426571149,0.292133625,0.398469109,0.281266307,0.260774388,0.23396239,0.102398497,0.070341405,0.26921661,0.457002072958035,0.107989342886073,1.96039438366253
"T5129",0.067450892,0.114105213,0.363603003,0.40375825,0.294579254,0.380390884,0.352734932,0.24564408,0.254980342,0.091524825,0.05731645,0.352832253,0.492528922333095,0.0187283092886314,1.88535457778418
"T5137",0.080080387,0.086620148,0.326189106,0.303832385,0.085779863,0.280828465,0.175297941,0.257567846,0.266534287,0.121476615,0.265365446,0.318499762,0.346741009669567,0.394134122904255,2.20095006490757
"T0321",0.227477906,0.343721054,0.164840891,0.169598479,0.478131185,0.12428725,0.293812394,0.27471086,0.10051357,0.322739573,0.291537817,0.358706734,0.267905000788046,0.61916145494095,2.39012563943107
"T2491",0.208021489,0.269603233,0.381971324,0.535980676,0.271086755,0.549491132,0.644716883,0.154703893,0.104345085,0.608646659,0.24849956,0.346443472,0.454496266821744,0.114309396945414,1.96570751539135
"T2493",0.222577792,0.2529076,0.411198489,0.466870629,0.294880809,0.438495839,0.518830195,0.145840827,0.102395946,0.385946162,0.229458389,0.366387514,0.252825288730349,0.665625383718846,2.42918685186968
"T0034",0.332426765,0.230323707,0.374949245,0.237977963,0.107823813,0.163503419,0.128815801,0.29870321,0.051731248,0.128614576,0.369181674,0.337244163,0.415763832032298,0.212742693854741,2.04845824316529
"T0041",0.242778542,0.425271805,0.449529889,0.398045698,0.198023834,0.226343951,0.272426129,0.416116738,0.025376689,0.260795896,0.454660301,0.454099207,0.282103697609856,0.576603409839254,2.35434801828682
"T0042",0.071931444,0.281257063,0.45915882,0.475798758,0.081623525,0.288571593,0.320015791,0.515393073,0.097533521,0.429876879,0.517910391,0.517689758,0.472805028906102,0.0682205634824592,1.9269616374104
"T0043",0.269078776,0.238499998,0.489737963,0.348230813,0.19607845,0.195890747,0.222680882,0.395948806,0.029622861,0.295731066,0.415441023,0.484766337,0.342302227980038,0.40618801982839,2.21108351338795
"T0045",0.231459059,0.097163001,0.451244437,0.433853371,0.171596527,0.323745848,0.192051481,0.46197799,0.037718706,0.328262301,0.311898525,0.463631948,0.443856400615028,0.141198917485332,1.98831294936579
"T0063",0.289415268,0.324820049,0.282006024,0.26083511,0.327172175,0.37705263,0.201785929,0.296393838,0.242438405,0.060020947,0.425902895,0.342570402,0.0758733114401351,1.43338927071655,3.07462922149927
"T0036",0.321396671,0.217987153,0.388321917,0.271182988,0.046838512,0.159024359,0.189465804,0.262133955,0.050656362,0.179954012,0.347563708,0.323379779,0.399173049548886,0.255488144599109,2.08439341214962
"T0037",0.332930826,0.242990999,0.400823686,0.254193174,0.070556841,0.141091774,0.144401959,0.28255105,0.049932134,0.133086327,0.394824052,0.309029544,0.481067884529373,0.0474736021260973,1.90952011909045
"T0015",0.316677792,0.307796209,0.392714786,0.243716378,0.062028512,0.155663982,0.099995491,0.319293575,0.081045491,0.126099741,0.371475036,0.338454007,0.473747432300288,0.0658529940662531,1.92497127339336
"T0016",0.329023484,0.378389426,0.363456889,0.26107994,0.054966981,0.177898487,0.132965472,0.363674349,0.062009355,0.180430984,0.315896478,0.364957221,0.419030778656423,0.204373602073468,2.04142253007376
"T0057",0.220580736,0.301521853,0.361910876,0.245545129,0.294947002,0.31003241,0.361879417,0.261943089,0.342027146,0.259353198,0.359556844,0.31246269,7.76838841509876e-08,5.24608200555313,6.27987692215048
"T0058",0.261068437,0.371840714,0.364598543,0.27262548,0.340627741,0.356610118,0.342075039,0.262049496,0.246578648,0.301557858,0.259053542,0.330378072,9.21189791202972e-09,5.62618574508857,6.59942185322322
"T0059",0.240275619,0.307392894,0.310512331,0.219166559,0.301096225,0.297669684,0.306553079,0.236844547,0.200451843,0.264364753,0.176428729,0.27657152,3.24730968522485e-06,4.50961234607513,5.66074292767127
"T0019",0.04753572,0.457320794,0.443028596,0.30636682,0.251605424,0.222192798,0.219647181,0.39143633,0.264690554,0.331183115,0.456426019,0.449741711,0.217017694990116,0.782304930423212,2.5272768042464
"T0056",0.221101864,0.251689515,0.264666635,0.195201146,0.258030687,0.243689122,0.262778042,0.20208998,0.097093935,0.229451098,0.097371052,0.245498102,0.0180867083520774,2.09497273001394,3.6308080193149
"T0017",0.268581784,0.255966143,0.341903899,0.207084176,0.092771484,0.148048888,0.138179094,0.295403518,0.074905625,0.15379182,0.380467385,0.334947134,0.356438625691821,0.367994612475709,2.17897514809046
"T0018",0.360346808,0.237993777,0.232063054,0.263296349,0.068179901,0.166970991,0.147829441,0.338469691,0.059506797,0.139235253,0.339906108,0.343026503,0.402152562475332,0.247779360545428,2.07791280537606
"T0054",0.159768025,0.277459526,0.210204237,0.157096375,0.246847078,0.277978264,0.278262627,0.179987306,0.278131553,0.188232945,0.122872975,0.274566557,0.0102504640162688,2.31705147250088,3.81750477885598
"T0055",0.173237146,0.285009444,0.242959467,0.158579786,0.256937807,0.285582197,0.274540092,0.163326131,0.275860585,0.156052471,0.189800784,0.275400634,0.00314294327025054,2.73248326145511,4.16674923124955
"T1864",0.172149318,0.298336254,0.271848894,0.314366974,0.312702969,0.115748424,0.253795202,0.285793834,0.105836624,0.25139484,0.123243037,0.123949772,0.189426427797621,0.880011913714421,2.60941693598852
"T1868",0.182002946,0.290304244,0.198923639,0.291181184,0.318686208,0.166087632,0.323280923,0.291964532,0.088193577,0.223370115,0.097654928,0.18536921,0.161317496971544,0.989057532318064,2.70108921136017
"T1866",0.240142089,0.281047897,0.182766359,0.304215321,0.236737181,0.102343925,0.166757863,0.288782025,0.096773366,0.298994191,0.106258396,0.104169649,0.268098316014892,0.618574610651697,2.38963229222489
"T1870",0.228607967,0.277602427,0.19557834,0.304749955,0.237654849,0.096859572,0.200719481,0.279691897,0.128305488,0.286492988,0.103226176,0.099248262,0.199044339714197,0.845039689715744,2.58001654934467
"T0694",0.064765126,0.296431143,0.424789628,0.207982654,0.113829822,0.22261487,0.156112366,0.33076847,0.430063624,0.11733558,0.178933446,0.369363286,0.466307584957412,0.0845550072567829,1.9406936483513
"T0024",0.337490576,0.30816158,0.353662584,0.221935698,0.111904199,0.146264543,0.146852795,0.28100399,0.057422945,0.131327211,0.334249729,0.3058259,0.352967235094178,0.377321804309207,2.18681631501815
"T0025",0.353012445,0.25659989,0.311740102,0.228899139,0.181159463,0.190724856,0.146935943,0.353872827,0.041457707,0.154573934,0.360664163,0.323737163,0.273531164132359,0.602167978693625,2.37583959425095
"T0028",0.412258529,0.38400155,0.436887626,0.333395032,0.226616095,0.246638177,0.248710833,0.46772544,0.104218199,0.416447449,0.439866485,0.461599169,0.0894038745540755,1.3444350406482,2.99984733866233
"T0030",0.334323975,0.336918991,0.420587572,0.348839348,0.250973926,0.240432553,0.272377914,0.431445111,0.315931236,0.191651951,0.394154186,0.463397774,0.00625147444183057,2.49762184628544,3.96930635732844
"T0031",0.260321755,0.202577576,0.498716838,0.349230187,0.276318513,0.235558934,0.266265867,0.515683657,0.034890966,0.221367888,0.454464802,0.512436859,0.377936187427594,0.310905616151209,2.13098167289387
"T0032",0.161785605,0.408978907,0.392546413,0.236205446,0.259779184,0.198978831,0.192985625,0.295602207,0.084678126,0.139653076,0.36534815,0.40041203,0.281595544960673,0.578108172318765,2.35561303931341
"T0027",0.369271718,0.263284294,0.392469097,0.246753543,0.043890646,0.174610289,0.143757574,0.358871033,0.062727992,0.139861265,0.392252571,0.323383995,0.482683457632755,0.0434197739078003,1.90611215404338
