"","accA","accD","acpP","fabD","fabF","fabG","fabH","fabI","fadR","plsX","rpmF","yceD","pval","z","inv_cof_var"
"T0487",0.267756133,0.14362898,0.256179699,0.240441404,0.17478871,0.323998118,0.327741426,0.24484163,0.056747612,0.293711126,0.513238065,0.246439843,0.300946701479212,0.521679639789903,2.30817480163779
"T0491",0.338754156,0.176841988,0.388791336,0.276455764,0.388977333,0.28960954,0.389052659,0.369682905,0.150975129,0.363415563,0.312193288,0.336321822,0.00724118847622266,2.44507064892008,3.92512771083465
"T0492",0.350433683,0.226859749,0.385894066,0.303599976,0.37756998,0.273624362,0.386841665,0.367620099,0.25810027,0.364150235,0.289391777,0.350300956,5.76121702947447e-07,4.86367794465033,5.95839816102998
"T0493",0.297215666,0.253786441,0.371403504,0.259556502,0.334391047,0.36366332,0.378312825,0.320437553,0.383857055,0.311190573,0.312974789,0.297067152,3.3227155975197e-11,6.52844881902318,7.35793475846927
"T0497",0.276183844,0.328674071,0.337904231,0.267669993,0.260976895,0.37632239,0.316323072,0.260786588,0.374890975,0.281449236,0.079651019,0.264666126,0.0157082521429028,2.15175692247734,3.67854525254738
"T0498",0.226787635,0.352349963,0.278033285,0.165543599,0.248785788,0.314555726,0.251073827,0.21641354,0.353592647,0.23826334,0.147364261,0.232937163,0.00774692157841001,2.42062519278441,3.9045769485468
"T0499",0.301853209,0.324687589,0.344273952,0.280513145,0.354577502,0.338704343,0.367767031,0.296299496,0.336980933,0.310012991,0.299728374,0.300507846,5.36014453593061e-33,11.9082505388832,11.8806168343119
"T0691",0.146583407,0.275079453,0.386438673,0.393816279,0.141117951,0.251683834,0.479849846,0.388377268,0.299169155,0.075907463,0.031898322,0.360561916,0.489073229852218,0.027392776377052,1.89263860645997
"T0697",0.176375881,0.404414117,0.40408589,0.26585761,0.260351872,0.341104525,0.125429772,0.171973747,0.242202254,0.267255472,0.3556925,0.344901167,0.0811426329272173,1.39742679606256,3.04439635270781
"T0698",0.186396614,0.371316402,0.323686076,0.283320492,0.291797339,0.351214419,0.061811266,0.168380093,0.308898514,0.357733013,0.364973649,0.37723447,0.108097305610028,1.23671041364544,2.90928559214411
"T0707",0.187009966,0.332646221,0.121274282,0.248408096,0.189058697,0.341633705,0.244190028,0.154943058,0.290929349,0.222096984,0.260720816,0.313114318,0.0304970715049074,1.87353790900164,3.44465259052601
"T0709",0.150400592,0.200350906,0.078342374,0.294018374,0.149853073,0.308170462,0.197723003,0.117735777,0.196926143,0.176161596,0.201279718,0.275929718,0.131072798258794,1.12133428603878,2.81229139580032
"T0711",0.176186268,0.264343975,0.205737815,0.187572936,0.183966073,0.25061134,0.201016055,0.163806551,0.195487827,0.18967135,0.093448723,0.22973214,0.00105148793621109,3.07529053573198,4.45493983669826
"T0905",0.461609479,0.451873388,0.179172579,0.481448285,0.495978958,0.495917715,0.295126489,0.35029328,0.054603595,0.294631045,0.275276431,0.495307883,0.229033776938922,0.742032649954267,2.49342077562032
"T1075",0.117770811,0.318667778,0.096310334,0.198963095,0.158455421,0.246709411,0.345281605,0.209777936,0.247758062,0.154695394,0.069533395,0.340658164,0.33695114430193,0.420798415745032,2.22336615486323
"T1077",0.12478056,0.26776129,0.092848832,0.179671966,0.188573635,0.225911162,0.329955923,0.181170376,0.297006593,0.151290226,0.078599274,0.33221664,0.28937052347742,0.555224596582892,2.33637531584309
"T1079",0.115729692,0.299377445,0.073279524,0.190006352,0.176877603,0.23809067,0.326259157,0.217213194,0.314623884,0.17555991,0.141585673,0.324117957,0.219325566131705,0.774472994335912,2.52069266624175
"T2000",0.152589042,0.297998259,0.204164492,0.257148529,0.142041413,0.288968708,0.285770097,0.189866525,0.203076371,0.361338243,0.298061706,0.226418302,0.0176604176903112,2.10466091091969,3.63895266188941
"T2323",0.39306313,0.255112432,0.086284233,0.393489272,0.393739973,0.449821768,0.167399268,0.39783504,0.138286187,0.029415135,0.453022256,0.444722518,0.4732555646687,0.0670886502371676,1.92601006261035
"T2324",0.400035015,0.261015347,0.258196311,0.416844879,0.421794678,0.407085899,0.254203432,0.429877299,0.10563887,0.023498125,0.454120221,0.43953906,0.31964475163303,0.468692423546934,2.26362960357479
"T2325",0.420674669,0.243546799,0.292316255,0.424339096,0.42950975,0.418808982,0.180459993,0.443996831,0.089602492,0.023732632,0.46983591,0.464393275,0.400049329306023,0.25321942237574,2.08248614681365
"T2326",0.298482519,0.322528818,0.191224513,0.324100669,0.284530936,0.357688257,0.352287683,0.286168842,0.305751039,0.327164379,0.353114415,0.356367502,4.64978084091507e-09,5.74303295969363,6.69765276035044
"T2327",0.295752009,0.302612233,0.207482152,0.323878524,0.286712188,0.349106082,0.344088772,0.290565379,0.313546942,0.327723153,0.347490529,0.349534309,1.4907916323191e-12,6.9785894649251,7.73635819056591
"T2328",0.291897766,0.313071612,0.190731511,0.32090658,0.27837028,0.35181824,0.349733972,0.280243545,0.300418204,0.322207506,0.352511758,0.353095311,6.9414566745792e-09,5.67482669279389,6.64031323803518
"T2332",0.369261587,0.369045903,0.093717714,0.387383031,0.289789421,0.042967385,0.341264928,0.31611159,0.37555682,0.030152776,0.379545392,0.342590865,0.429665063383648,0.177226951167556,2.01860093220369
"T2333",0.323509818,0.349582965,0.092226083,0.351563181,0.246534696,0.046123154,0.350752485,0.265919463,0.306549769,0.135642811,0.353889731,0.354725924,0.278128756293964,0.588409425676276,2.36427307853878
"T2334",0.336112579,0.336465277,0.098361026,0.345937961,0.256953484,0.039663519,0.335390441,0.274280212,0.331900674,0.183859981,0.327520475,0.333857017,0.208156344461077,0.812834959432733,2.55294273436174
"T2335",0.204313876,0.336194355,0.080857324,0.205025868,0.187425809,0.315963187,0.209814699,0.210953752,0.082449016,0.280543388,0.322478072,0.336045592,0.202460740569753,0.832863918115214,2.56978064347959
"T2336",0.195026069,0.350419331,0.073171798,0.201515314,0.178749175,0.323407026,0.205383654,0.205510295,0.075191392,0.275777741,0.331853193,0.354298477,0.281203801211652,0.579269114022103,2.35658901770558
"T2337",0.196466797,0.369628535,0.048838635,0.201094557,0.1812223,0.352481039,0.201923561,0.20498869,0.057993304,0.268512766,0.363620991,0.387229584,0.415924979343942,0.21232953040974,2.04811090566023
"T2524",0.185350575,0.442982824,0.417879582,0.46840293,0.032812619,0.46722321,0.483661083,0.260397629,0.071580474,0.474058124,0.473347748,0.484159653,0.400783415255928,0.251319848663106,2.08088921658662
"T2526",0.301905347,0.375802448,0.387637013,0.327132981,0.18363371,0.4622202,0.367648789,0.290599104,0.071194624,0.451305977,0.386395331,0.333271747,0.0921582511270222,1.32758118904135,2.98567867287493
"T2648",0.222445556,0.053545855,0.283064482,0.311400027,0.207177865,0.321694603,0.302304911,0.051307541,0.11295619,0.366280326,0.258074715,0.279430272,0.351709518490466,0.380709206041408,2.1896640298403
"T2665",0.111633302,0.341176105,0.429662879,0.463848198,0.206649284,0.453344673,0.419153544,0.084116736,0.092114863,0.423789153,0.342782235,0.338802208,0.385411060124098,0.29129969557923,2.11449940269719
"T2666",0.289648625,0.301659137,0.325698073,0.299817759,0.270565663,0.450072595,0.500754932,0.127864569,0.106206031,0.381212129,0.294884041,0.296279261,0.158595107457496,1.00024860011979,2.71049729819905
"T4072",0.386165251,0.112895005,0.09349978,0.366588648,0.302234179,0.18666905,0.375752506,0.356957131,0.311101106,0.365578967,0.334911091,0.335620705,0.124009604370597,1.15517392880414,2.84073964608115
"T4074",0.386165251,0.112895005,0.09349978,0.366588648,0.302234179,0.18666905,0.375752506,0.356957131,0.311101106,0.365578967,0.334911091,0.335620705,0.124009604370597,1.15517392880414,2.84073964608115
"T4075",0.437574016,0.099274552,0.427239951,0.394149404,0.414949512,0.212903267,0.380795313,0.391766822,0.301695541,0.42416835,0.146766075,0.427436136,0.12776718034463,1.13700938901876,2.82546911330296
"T4077",0.525377388,0.076969658,0.413803626,0.432117166,0.440678214,0.525318819,0.526257367,0.443557835,0.145044438,0.523760033,0.303211102,0.528254101,0.180600856397277,0.913077633394937,2.63721456599631
"T4083",0.424532489,0.140099697,0.362706404,0.389502587,0.387506457,0.434702285,0.425019606,0.397896829,0.141124642,0.431714096,0.39694818,0.433877184,0.0333251632460597,1.83402470845489,3.41143470384959
"T4085",0.3789567,0.11570194,0.407688916,0.436191736,0.438306592,0.440390522,0.430476178,0.410722309,0.098970532,0.474521806,0.383013097,0.443847647,0.101045598308885,1.27561627909926,2.94199290544222
"T5142",0.178251024,0.163903789,0.250008968,0.234967154,0.219485772,0.240325706,0.183935963,0.188237515,0.182972882,0.151294457,0.218500051,0.239147022,2.04123951281304e-07,5.06507112210399,6.12770501680205
"T5144",0.162438083,0.151502989,0.224184243,0.301921318,0.19635478,0.272879773,0.219564988,0.170398426,0.156013558,0.143825523,0.229823018,0.21331765,0.00423108052167527,2.63305111729151,4.0831587943546
"T5146",0.171510835,0.154706005,0.257116644,0.19907034,0.22020696,0.256266979,0.175152771,0.183563856,0.167233847,0.141049101,0.237999034,0.24343326,0.000158692746819888,3.6006804242101,4.89662366728947
"T5148",0.168255606,0.152828621,0.246474796,0.341517679,0.212139271,0.273656417,0.226129439,0.178583128,0.164699093,0.141407707,0.236046878,0.233883163,0.0140185691669213,2.19676633784836,3.7163836872598
"T5150",0.168274041,0.154948136,0.244504983,0.141526551,0.210481723,0.242628642,0.186668831,0.179025991,0.197211509,0.143983365,0.229245085,0.232465884,4.72826441339453e-05,3.90412911616936,5.15172637023774
"T5152",0.178251024,0.163903789,0.250008968,0.234967154,0.219485772,0.240325706,0.183935963,0.188237515,0.182972882,0.151294457,0.218500051,0.239147022,2.04123951281304e-07,5.06507112210399,6.12770501680205
"T5528",0.277270332,0.070637336,0.220091803,0.191470614,0.232145297,0.358322393,0.364576749,0.141732634,0.209460376,0.143306373,0.323384828,0.108715887,0.309308271766065,0.49781201928758,2.28810981317542
"T5530",0.268640894,0.0792707,0.251772983,0.064674178,0.129689283,0.299709681,0.299908964,0.06922084,0.24396304,0.132275359,0.295799637,0.156605543,0.431617605922566,0.172257351287078,2.01442309787561
"T5532",0.284015455,0.048415711,0.24560616,0.320245948,0.28310483,0.330639825,0.32487786,0.24216731,0.279894525,0.139220851,0.314751549,0.121773169,0.175644918457199,0.932090345725849,2.65319813895118
"T5534",0.257181209,0.077217752,0.339722782,0.20604444,0.28494517,0.350659942,0.362790454,0.249392402,0.266989498,0.133451949,0.316221892,0.127311996,0.181439854503113,0.909891545328091,2.63453609118583
"T5714",0.130727814,0.105699574,0.373265085,0.20300138,0.362908307,0.356707186,0.13949551,0.126402509,0.136685224,0.084912808,0.367022315,0.35751355,0.498335594217231,0.00417205869871034,1.8731174551052
"T5716",0.134911129,0.10750371,0.181051706,0.126573984,0.214439244,0.184232415,0.104677364,0.14483327,0.156287962,0.105117672,0.185673647,0.152589959,0.00324814029642361,2.72161994277059,4.1576166759516
"T5719",0.192458558,0.148332503,0.161600509,0.239374387,0.142232314,0.184990246,0.159825154,0.180625711,0.1436163,0.125534745,0.158013565,0.13202048,3.5330122448761e-05,3.97405159856044,5.2105086775189
"T5720",0.182261557,0.138853971,0.219582281,0.235748122,0.21895719,0.105303916,0.16910189,0.167650751,0.133499357,0.113109065,0.182342916,0.198188127,0.00492569707144137,2.58100224397214,4.03940244074025
"T5721",0.117591437,0.133066119,0.225541811,0.192269288,0.369223343,0.116397269,0.296283909,0.161145976,0.14954954,0.121400642,0.177026723,0.136124277,0.294824999114498,0.539343297742836,2.32302425397405
"T5722",0.232263687,0.119849668,0.265107674,0.08939788,0.282404399,0.199154485,0.152546231,0.125670501,0.155473104,0.134654455,0.262870871,0.077963933,0.244886894023467,0.690668660919084,2.45024018929952
"T5724",0.132755629,0.105128032,0.184143878,0.132605341,0.354522317,0.183200624,0.15017736,0.130111228,0.137865073,0.106926167,0.244201613,0.418991486,0.489763041011505,0.0256630674881159,1.89118447788873
"T5726",0.126697544,0.123360217,0.302211761,0.136564239,0.354571742,0.096009725,0.154211945,0.144366685,0.145681387,0.068377993,0.283262586,0.204690893,0.437052616811039,0.158446171547969,2.00281234002523
"T5730",0.110780102,0.100942029,0.085571945,0.146170186,0.334245077,0.224012741,0.142829832,0.126405705,0.137386354,0.086337625,0.095616988,0.101545673,0.455303950875089,0.112271798740429,1.96399455098126
"T5732",0.205081465,0.108650814,0.133375768,0.264722407,0.235726983,0.133053739,0.231446762,0.169268386,0.124332952,0.101604014,0.209569154,0.102094641,0.115886680501765,1.19580321505386,2.8748958016877
"T5734",0.180644622,0.127777625,0.15030301,0.112555144,0.078561069,0.287968157,0.183215136,0.143896737,0.149537564,0.070647268,0.138111215,0.250553778,0.240130353627612,0.70588331044049,2.46303081361318
"T5736",0.187994638,0.123587474,0.099178783,0.176707897,0.240230727,0.10442719,0.195584466,0.194175873,0.200170342,0.106994268,0.117824104,0.103881039,0.0695560415418284,1.47910563993048,3.11306197690234
"T5738",0.138140961,0.100056926,0.279219191,0.145213452,0.285034106,0.153404351,0.181395745,0.127657176,0.120541623,0.082142705,0.275586398,0.207664234,0.248571374697467,0.678992286445509,2.44042411571682
"T5740",0.087800493,0.086986372,0.091397742,0.131911674,0.178010751,0.183870909,0.234831605,0.127855972,0.148873857,0.081452194,0.121591348,0.150343843,0.112735499041363,1.21210811421387,2.88860297511515
"T5742",0.116175362,0.095892967,0.143581351,0.124500615,0.335966455,0.262443808,0.130946324,0.124671424,0.129017038,0.087205393,0.120362822,0.220270591,0.396347702649959,0.262812104595422,2.09055050572376
"T5744",0.203504188,0.14170387,0.112804038,0.273644609,0.237082143,0.121191722,0.255272193,0.186759665,0.196479925,0.116728405,0.163172528,0.130816068,0.0602177221246512,1.55294847647556,3.17514004049322
"T5746",0.152122084,0.112663066,0.212872091,0.134068173,0.16288758,0.223824262,0.181045268,0.144336378,0.105143244,0.0891538,0.121955694,0.092333297,0.0499058142889194,1.6457675354095,3.25317100073984
"T5748",0.168848326,0.114880385,0.112902143,0.189909186,0.108300726,0.0924048,0.192558259,0.122439804,0.181094999,0.121629543,0.093341619,0.130858344,0.0163925430173094,2.13470534617608,3.66421036391795
"T5750",0.150150574,0.108682454,0.375791117,0.191259204,0.296535841,0.145046974,0.194493991,0.135599149,0.14209724,0.097999046,0.287666047,0.326509403,0.350530835618862,0.383887716106008,2.19233613398942
"T5752",0.15629358,0.12484893,0.330487712,0.163790776,0.350157014,0.350173267,0.12870911,0.128036245,0.165458383,0.103745891,0.21375204,0.360626889,0.392733298411188,0.272202139531888,2.09844450347872
"T5756",0.179173861,0.144908474,0.238895775,0.224833875,0.197775557,0.115247487,0.183967764,0.167167626,0.178356654,0.118517217,0.288672322,0.180250577,0.0126427943852914,2.23701149482553,3.75021691375737
"T5758",0.178613831,0.091680087,0.212271883,0.259088201,0.132603289,0.072497247,0.246445131,0.116814829,0.212203461,0.085989831,0.09201765,0.143150932,0.293120938401919,0.54429007334623,2.32718290042975
"T5760",0.166681347,0.110151952,0.254741161,0.238007419,0.256975759,0.244369149,0.256341726,0.182226649,0.190175852,0.088791304,0.278664316,0.321559598,0.0694113407031361,1.48018950139261,3.11397315561537
"T8378",0.288861523,0.302813215,0.302622139,0.167057455,0.131160516,0.226327398,0.195366049,0.296849869,0.111007286,0.101234918,0.299374919,0.303858726,0.1438678158205,1.06310214541348,2.76333690410005
"T8379",0.237411932,0.25282485,0.254217499,0.143822277,0.202583847,0.196115807,0.156425986,0.239556943,0.180811034,0.162253925,0.242959354,0.253399895,7.52560580309487e-05,3.79022296887163,5.05596795430765
"T2818",0.442720934,0.506315314,0.50692506,0.059385451,0.191940959,0.503285584,0.286294085,0.467362679,0.04090615,0.356075208,0.508534878,0.496403173,0.417448711856497,0.208424633732214,2.04482814411415
"T2424",0.450845404,0.217835859,0.151765107,0.303327891,0.091413899,0.189710706,0.108799004,0.168220499,0.078017485,0.169228061,0.232691289,0.209612974,0.467610362923794,0.0812781807026309,1.93793889167181
"T2827",0.358864113,0.166239267,0.242840613,0.452220366,0.203708495,0.236340795,0.201920908,0.249219047,0.08924708,0.14216755,0.157300885,0.342662253,0.305765065727894,0.507890508482223,2.29658257942327
"T2413",0.318190748,0.206572034,0.31345597,0.107727982,0.189056728,0.165986164,0.110303927,0.136384227,0.079363003,0.159348812,0.297243065,0.238525451,0.28903617423264,0.556202619847463,2.33719751868973
"T2406",0.282445758,0.191508037,0.065966751,0.185999442,0.211176376,0.41085377,0.117740231,0.310834677,0.081106445,0.126995168,0.203675388,0.20050782,0.434728188118556,0.16434904245023,2.00777475496464
"T2417",0.340311758,0.193961685,0.184885421,0.158209138,0.213377936,0.313406696,0.168113767,0.107738228,0.073703332,0.236323779,0.183844595,0.239069142,0.176487565159928,0.928833982467084,2.65046058531822
"T2418",0.325221309,0.187586773,0.207477169,0.163271372,0.210345272,0.309239632,0.193559914,0.036906408,0.096424409,0.22543124,0.208784478,0.239722347,0.21594640302142,0.785956783441762,2.53034683750239
"T2688",0.161885021,0.350701871,0.319938549,0.050526905,0.239855511,0.409869439,0.246403332,0.107106361,0.062651999,0.236486313,0.288409447,0.24588087,0.430474251533578,0.175166886110008,2.01686908040023
"T0320",0.275843952,0.317770966,0.130472882,0.178665165,0.120139149,0.272851022,0.315179914,0.232978357,0.104043749,0.313193726,0.307680668,0.31822284,0.123465279141711,1.1578370065955,2.84297843754982
"T4080",0.407817702,0.143639034,0.239131786,0.413482096,0.280000744,0.398753293,0.359601622,0.220090426,0.330373104,0.402822423,0.367313299,0.412421347,0.0161436793856488,2.1408348465427,3.66936330130961
"T4082",0.420778732,0.163855977,0.184427427,0.423615167,0.27200929,0.381314219,0.366718234,0.304398145,0.238000279,0.394336185,0.35145411,0.419646062,0.0248218106390085,1.96302196985456,3.51987989055811
"T5662",0.140646897,0.093014345,0.24476844,0.10376801,0.220573419,0.227468541,0.096765536,0.095850353,0.100592557,0.135441426,0.167017933,0.15743212,0.171687125256201,0.947519252591986,2.66616888474572
"T5668",0.161487536,0.393036163,0.42356354,0.184560703,0.133543399,0.423240021,0.07817283,0.312821825,0.143786879,0.421847573,0.396870047,0.382524681,0.381641103446757,0.301173485935338,2.12280008309204
"T2667",0.170827367,0.381403706,0.475176574,0.511405424,0.221048574,0.667530153,0.746244683,0.232229403,0.051914145,0.665501441,0.672153642,0.592871178,0.472302103644255,0.0694842019344684,1.92802395072134
"T2668",0.203613055,0.350752808,0.379275279,0.60725923,0.195632448,0.593254817,0.803856219,0.257916064,0.063448413,0.659824672,0.710302582,0.600811973,0.491695045818996,0.0208189367906515,1.88711212276873
"T2669",0.079498201,0.301810755,0.448118624,0.47084159,0.196863889,0.525429269,0.629377297,0.222513634,0.068640246,0.528313846,0.642923792,0.536369856,0.490605695816543,0.0235502051773594,1.88940824058499
"T2670",0.236234089,0.341918828,0.341966755,0.322516755,0.132404545,0.342721548,0.355846353,0.324217368,0.103454298,0.291387343,0.345675706,0.35237737,0.0418241764059372,1.72989882753908,3.32389834474721
"T2671",0.216194228,0.360232741,0.330123777,0.339609042,0.116126089,0.352668668,0.373244695,0.194713217,0.103210071,0.306919793,0.349632473,0.336478696,0.113138655466658,1.21000412268662,2.88683419528578
"T2672",0.261672432,0.359509507,0.337066927,0.318560208,0.221267428,0.316621302,0.315385887,0.247278129,0.087385614,0.270573052,0.317267022,0.31508091,0.00911837024551798,2.36077603715472,3.85426306756835
"T2673",0.047077529,0.282917591,0.217577015,0.231450832,0.187643556,0.222911862,0.334866961,0.165049736,0.081056285,0.277550445,0.328668956,0.320749793,0.259521315644742,0.644821864293113,2.41169778641325
"T2677",0.111754462,0.380470692,0.312069356,0.234840731,0.299744668,0.341075021,0.339033985,0.082309494,0.083005337,0.303327176,0.330577758,0.331468777,0.254997814845729,0.658844497757434,2.42348630880267
"T2678",0.114299758,0.356658207,0.379473545,0.23594588,0.263864003,0.404970391,0.345514728,0.050642005,0.091585893,0.336266773,0.335948782,0.355584648,0.335422839237115,0.424987648955973,2.22688795193703
"T2679",0.089281693,0.306583869,0.153201638,0.231767243,0.184096867,0.206772453,0.323445988,0.177044538,0.0996577,0.318457389,0.310485903,0.234023431,0.177911326764895,0.923354195482061,2.64585384780871
"T2680",0.289640501,0.3387295,0.116102653,0.225643784,0.256520208,0.141378896,0.342302476,0.053445505,0.13350344,0.340121968,0.30634972,0.191047801,0.310705548912533,0.493851445039494,2.28478024470903
"T2681",0.102070788,0.328639166,0.235929469,0.334062117,0.19651856,0.248973698,0.315287662,0.172453396,0.080494942,0.31948903,0.23801487,0.189957454,0.1671611859923,0.965444199905796,2.68123799735397
"T2682",0.135563372,0.33078972,0.251333782,0.274293837,0.193258231,0.299244628,0.328920383,0.139963494,0.113251589,0.330535748,0.256742005,0.20503491,0.0911124196185356,1.33393597809811,2.99102100555917
"T2683",0.089520825,0.254442885,0.214889098,0.223059376,0.184131816,0.316695758,0.316539866,0.187997652,0.07667029,0.314115528,0.263015304,0.205884998,0.146973314796947,1.04950309919215,2.75190448227553
"T2684",0.098149218,0.333279106,0.229173892,0.24125061,0.193128058,0.327430385,0.335185734,0.171808026,0.102722363,0.334795583,0.259003819,0.220080765,0.143674690482716,1.06395434784273,2.76405333211217
"T2685",0.219020462,0.341532079,0.347986962,0.287922355,0.18999083,0.347144627,0.343346468,0.217579539,0.104107809,0.343022068,0.266254129,0.22217233,0.0361566159009467,1.79714104032066,3.38042740777281
"T2686",0.084235427,0.306491069,0.288003592,0.261451529,0.183050887,0.3072913,0.307173675,0.151897552,0.091756172,0.298376223,0.23787628,0.212986919,0.14968633352725,1.03777961995013,2.74204880874045
"T2687",0.080094386,0.296505349,0.282822128,0.249345942,0.177556357,0.291131584,0.295799737,0.154099917,0.10489498,0.296704617,0.238091841,0.18212361,0.132582734381839,1.11426511342421,2.806348496426
"T2649",0.203863055,0.321388935,0.315745616,0.300734841,0.175449904,0.32134465,0.314351865,0.069262784,0.084167356,0.319600072,0.206916563,0.259714339,0.194101018939274,0.862882564470821,2.59501666534121
"T2650",0.238417587,0.349072978,0.349940928,0.312061698,0.186074569,0.345518168,0.330878592,0.120314056,0.101489521,0.359522849,0.3269339,0.339657337,0.0947082530439609,1.31230719321893,2.9728381574192
"T2651",0.308581759,0.295137125,0.081272192,0.200413262,0.165429546,0.215803958,0.299227006,0.144497426,0.06157636,0.311626321,0.256875783,0.320918077,0.259875781074013,0.64372841265669,2.41077854544967
"T2652",0.215975409,0.139060342,0.334255862,0.300909177,0.152748072,0.323850641,0.341801244,0.162725326,0.07216159,0.294497635,0.275633535,0.335934563,0.180574616670702,0.913177427989664,2.63729846113749
"T2661",0.183402035,0.218793905,0.382889526,0.303439171,0.293908801,0.254854702,0.348091837,0.397316419,0.070451026,0.409428961,0.39324164,0.405384522,0.119117820675042,1.17940827572186,2.8611129334497
"T2662",0.199382593,0.05761427,0.440095374,0.427728982,0.180700829,0.287564212,0.416234949,0.387211071,0.06217258,0.391653851,0.442229809,0.445457907,0.398014753720592,0.258489038655702,2.08691619839119
"T2663",0.137944307,0.313042968,0.387277193,0.380905008,0.248747812,0.424423072,0.412316492,0.046782492,0.096767751,0.407441846,0.288206379,0.342299274,0.340358892785484,0.411483843828483,2.21553559722472
"T2428",0.328068309,0.187563133,0.231325467,0.159137368,0.235796793,0.240826671,0.144402778,0.430041706,0.055228401,0.324023298,0.327751881,0.423083247,0.316737745648303,0.476840798343344,2.27047976470674
"T5731",0.236168331,0.148154739,0.119063499,0.297316754,0.192671185,0.237684556,0.203338517,0.209941792,0.12258464,0.118197662,0.212884617,0.191540324,0.0294988509183117,1.88821046225304,3.45698748631818
"T5733",0.270700413,0.116813864,0.090493631,0.229535031,0.313584926,0.221550722,0.092624008,0.141531989,0.124985679,0.088004934,0.164108734,0.142042222,0.342784490851811,0.404875563195062,2.20998015969575
"T5735",0.175177032,0.133391332,0.215632121,0.147588258,0.261004169,0.110927725,0.162765593,0.177963961,0.179025649,0.12210045,0.137349489,0.088540626,0.0369129200111543,1.78769121397738,3.37248314468505
"T5762",0.112374717,0.125142808,0.357939768,0.385222518,0.322368515,0.360161094,0.123903797,0.189736429,0.262457501,0.118555528,0.327466492,0.344930618,0.308453322864601,0.500239219520942,2.29015030752103
"T5764",0.122828332,0.11427746,0.342460921,0.362057859,0.312742703,0.343514102,0.233068505,0.092992206,0.261862317,0.065104413,0.294227824,0.288707629,0.35492252523751,0.372064199626748,2.18239636132888
"T5766",0.142349078,0.123722942,0.364854655,0.411753696,0.321591192,0.36811895,0.254422707,0.111840129,0.244198747,0.105528591,0.323172709,0.344376456,0.300648316897019,0.522536796062013,2.30889539423766
"T5768",0.128348534,0.074660558,0.336626951,0.402107244,0.310247652,0.306227292,0.078033617,0.251375818,0.244475573,0.12658402,0.319175169,0.337659255,0.366664451536073,0.340700711385392,2.15602976019906
"T5770",0.238918467,0.084660408,0.355227444,0.347730117,0.318208161,0.325245893,0.087258596,0.096998815,0.237693884,0.05659984,0.320537497,0.34129526,0.45455255078342,0.11416739037013,1.96558813355794
"T2435",0.405011666,0.31965179,0.208204942,0.66058067,0.221326196,0.265330778,0.233894247,0.352753563,0.077081858,0.422381719,0.365479153,0.536315154,0.364894036299902,0.345407456052496,2.15998661787708
"T2338",0.21756658,0.412395815,0.061591217,0.28028436,0.213765667,0.378067674,0.2852835,0.244936636,0.406175046,0.298990772,0.415179546,0.406413341,0.138546409502714,1.08687327429729,2.78332077416137
"T2339",0.316885273,0.383669105,0.231667974,0.351193965,0.310685999,0.381683489,0.35871473,0.330331507,0.386333574,0.375391327,0.38785729,0.37940775,6.47922313876471e-12,6.76910166741194,7.56024636409786
"T2340",0.285583411,0.35706179,0.180068387,0.343989766,0.282220676,0.354671358,0.357334248,0.306993234,0.316214008,0.340540906,0.376443468,0.374161773,1.00852763633709e-06,4.75170799295199,5.86426746254911
"T5527",0.273523733,0.082099039,0.309889039,0.345959251,0.281912652,0.358482222,0.356933529,0.056084626,0.124865164,0.155423197,0.320771022,0.343685985,0.343038761940067,0.404183856740173,2.20939865715195
"T5533",0.285059031,0.133879012,0.351988783,0.354717932,0.276215744,0.356019199,0.355237645,0.093020597,0.247875213,0.142276205,0.325811726,0.305245396,0.128339589434128,1.13427508007215,2.82317043935426
"T5529",0.279660796,0.107893287,0.283195913,0.060204201,0.077968047,0.285749905,0.272631275,0.091229248,0.233678763,0.136835958,0.296483173,0.298281497,0.405598407273138,0.238882346792808,2.07043327978705
"T5531",0.278837715,0.099522722,0.313943653,0.328831142,0.289107047,0.33686538,0.330287576,0.115818458,0.248529553,0.124487268,0.31129482,0.321202463,0.124696015288703,1.15182734049602,2.83792624221527
"T0066",0.312498363,0.152071579,0.198224235,0.383895614,0.37656885,0.265916619,0.152298398,0.335027758,0.055442879,0.392199919,0.044918583,0.402288937,0.463237701322997,0.0922802210230617,1.94718806722622
"T0068",0.239225676,0.325874213,0.172097907,0.292875376,0.237205993,0.308345197,0.423701747,0.245835872,0.034732607,0.285784176,0.047798225,0.428196944,0.413585522005553,0.218331229113741,2.05315640297902
"T0069",0.25775349,0.132777668,0.184985194,0.375611349,0.257353239,0.275716752,0.356215538,0.287965103,0.034995743,0.309033043,0.039224234,0.470472341,0.489829387074635,0.0254967081520672,1.89104462322002
"T0070",0.05746974,0.334182786,0.402731095,0.290176597,0.256411793,0.291366436,0.079651736,0.31422061,0.090056456,0.235515409,0.332870978,0.395059631,0.370674269314322,0.330068057140633,2.14709111946926
"T0071",0.335888904,0.253191906,0.397037621,0.273621617,0.185593385,0.384175388,0.397614374,0.251407931,0.095726157,0.325340888,0.345626753,0.403274796,0.0595780314436296,1.55832568649931,3.17966054378662
"T0064",0.345937321,0.282946933,0.358013279,0.315181212,0.23045833,0.079750064,0.105207327,0.313053027,0.313889782,0.178863049,0.153185408,0.34150095,0.21068148838985,0.804058869991847,2.54556486720657
