"","cra","eno","envC","fbaB","fruA","fruB","fruK","glk","gpmM","pfkA","ppc","pykF","pyrG","tpiA","yibQ","pval","z","inv_cof_var"
"T4802",0.093575482,0.156153243,0.382843105,0.141399175,0.264233201,0.080597088,0.409893233,0.086356726,0.134890376,0.130741555,0.128219708,0.391619451,0.141022007,0.141347743,0.132399924,0.335119250502707,0.425820701610763,1.67035677241231
"T4804",0.098285995,0.107518005,0.283013423,0.124202877,0.281766998,0.088424429,0.080096686,0.230798235,0.357321677,0.101372896,0.135984341,0.305873172,0.12547202,0.128046115,0.197078627,0.139162710094809,1.08408881817469,1.96350812533618
"T4806",0.21044807,0.118008195,0.395436944,0.125905114,0.301554584,0.09139185,0.092151765,0.325890358,0.416876245,0.130839386,0.092174182,0.278233584,0.127892162,0.119387304,0.225030839,0.298629271319723,0.528346961520648,1.71601554130376
"T4807",0.096006417,0.084424757,0.413499751,0.097357493,0.351045137,0.069203031,0.070855277,0.342097592,0.410547464,0.119866733,0.351700417,0.356902378,0.075588915,0.121575014,0.235202689,0.427257495797149,0.183360723328462,1.56238029766769
"T4809",0.069847808,0.13036944,0.29800284,0.089986247,0.307512387,0.075282895,0.16596421,0.233559266,0.256689103,0.13689307,0.328961385,0.132247784,0.089498599,0.146742937,0.349270074,0.110577118938777,1.2234646767976,2.0255773954286
"T4810",0.054367146,0.133314143,0.353394366,0.384243987,0.316332912,0.052436082,0.063005503,0.219453335,0.303050874,0.118355037,0.383103744,0.152960897,0.091848895,0.139881263,0.361582663,0.275843325605368,0.595234620864745,1.74580311165274
"T4811",0.139453411,0.172191162,0.239395703,0.174317939,0.223117668,0.088357667,0.095192033,0.212215313,0.252014287,0.173838062,0.260831311,0.140133379,0.26216044,0.177356022,0.247719084,1.5038584171626e-05,4.17288128008656,3.33906265444969
"T4812",0.180448653,0.106702433,0.281765233,0.150211896,0.282925153,0.097120617,0.100187838,0.102977508,0.263338883,0.186418721,0.268188542,0.10254661,0.31959317,0.181116857,0.246670286,0.0294750444350854,1.88856538528093,2.32177155646477
"T4801",0.092420722,0.105875589,0.147826269,0.154329462,0.197572277,0.084497806,0.183518801,0.084597937,0.084530204,0.146554034,0.14196794,0.452588678,0.155841129,0.153412312,0.127933514,0.287892516784658,0.559552028551929,1.72991232194392
"T4803",0.098039458,0.102410843,0.357021484,0.115780422,0.292374486,0.090122048,0.094432374,0.124931346,0.449633768,0.112212536,0.104888829,0.313860929,0.118532462,0.116434807,0.195984595,0.423701746779279,0.19243242750382,1.56642026601101
