"","cra","eno","envC","fbaB","fruA","fruB","fruK","glk","gpmM","pfkA","ppc","pykF","pyrG","tpiA","yibQ","pval","z","inv_cof_var"
"T7448",0.081233851,0.644054764,0.081114261,0.57527306,0.229616822,0.109014556,0.162495898,0.345161504,0.364145713,0.357051079,0.409627557,0.634282968,0.668617281,0.805368456,0.07666521,0.385218536614613,0.291803232956599,1.61067379329967
"T7450",0.085532677,0.652467393,0.086372785,0.57955363,0.230795715,0.116038843,0.165559215,0.231906135,0.367224867,0.372180783,0.398046789,0.632863813,0.615017006,0.834425736,0.078235055,0.424141680100132,0.19130919164367,1.56592004717347
"T7452",0.075046004,0.608230512,0.07991617,0.56025587,0.244765412,0.103246945,0.181547262,0.369900927,0.356522484,0.107445241,0.42257486,0.610324619,0.619423157,0.683512221,0.073023604,0.418201186185227,0.206497429586373,1.57268393621715
"T7265",0.082943702,0.61970245,0.087559581,0.529496184,0.244044281,0.096228296,0.195950298,0.336326385,0.351565814,0.051917842,0.347393564,0.592560358,0.590112686,0.625631377,0.074590537,0.446648400964123,0.134133762915249,1.54045769549034
"T7269",0.080812797,0.595040566,0.086832718,0.516922177,0.256913483,0.097822852,0.169088502,0.300196261,0.288474836,0.075474089,0.386489396,0.579834663,0.604270662,0.611504774,0.076768536,0.444134510900256,0.14049484928974,1.54329052459117
"T7454",0.079432584,0.620293163,0.078741821,0.541087516,0.230438047,0.106870498,0.169827294,0.351214969,0.331461136,0.078990837,0.409887028,0.639237943,0.548445955,0.749003773,0.08269049,0.483800485760701,0.0406173258527037,1.49881133687798
"T7456",0.080076938,0.668023424,0.07786068,0.587440903,0.237699298,0.093894723,0.170344817,0.291699333,0.367177582,0.45665709,0.4437091,0.674477615,0.577830826,0.793505332,0.075656439,0.376338179524222,0.31511234058954,1.62105420861389
"T7458",0.079014884,0.681311929,0.076037814,0.598866088,0.242002221,0.104028628,0.170011932,0.25512121,0.391758414,0.41240575,0.468641932,0.687556635,0.622696426,0.624786496,0.073733607,0.341163872555758,0.409288784595387,1.6629944929436
"T7460",0.078449492,0.686688882,0.080024193,0.597776406,0.223454389,0.094817631,0.156642495,0.362801689,0.351766996,0.431513366,0.44516498,0.697809441,0.672782351,0.78387316,0.072145145,0.396472875950879,0.26248733039958,1.59761832808644
"T7462",0.081503029,0.676713432,0.081625318,0.595929656,0.236617428,0.107214518,0.169370245,0.292675346,0.371506324,0.294668469,0.43829711,0.669903685,0.613071834,0.834101672,0.071937327,0.436941776120723,0.15872752377984,1.55141021482027
"T7464",0.078777782,0.689764224,0.08000498,0.594797812,0.244217037,0.118492623,0.178230661,0.295823663,0.372266781,0.435216713,0.44521751,0.697104338,0.454347347,0.632485531,0.071915638,0.302571510370552,0.517018820671324,1.71097069751971
"T7273",0.079782897,0.576305713,0.094443666,0.527745455,0.24929641,0.104031636,0.193643193,0.275590466,0.308886393,0.05479017,0.320697389,0.56688525,0.584218761,0.599418648,0.072208442,0.442742721038272,0.144019030568712,1.54485997400529
"T7470",0.085171821,0.63491839,0.085407103,0.556929324,0.2521176,0.124791192,0.186379335,0.338653075,0.354467372,0.085440381,0.423727652,0.648384118,0.619317777,0.799808199,0.077900511,0.478620137618927,0.0536170460815618,1.50460059732798
"T7277",0.079797849,0.639471519,0.082061562,0.564683894,0.239890177,0.096606688,0.17776752,0.352741034,0.336513996,0.089099716,0.412348972,0.598071443,0.633412997,0.748844503,0.080528837,0.48214394413061,0.0447734492887208,1.50066221371301
"T7278",0.083513689,0.665540866,0.083275122,0.566735597,0.247239583,0.100774475,0.184231191,0.343327735,0.356603559,0.095552,0.41917254,0.642196228,0.673007987,0.765338033,0.073829862,0.496344915657017,0.00916206594124309,1.48480313601334
"T7279",0.081692869,0.611584007,0.081543641,0.546921948,0.246363758,0.100346063,0.181992321,0.317241239,0.328521795,0.10590261,0.398057428,0.575822662,0.645295355,0.767639688,0.075159101,0.48263179285148,0.0435494008078763,1.50011709925406
"T7472",0.074672022,0.557181858,0.084156822,0.528164707,0.252648773,0.098942178,0.184269926,0.335467881,0.348180648,0.075066982,0.36523863,0.555399989,0.575444721,0.618323488,0.072118209,0.392902290691334,0.271762577531873,1.60174894170286
"T7474",0.087392886,0.641420686,0.087462375,0.570227952,0.246863888,0.107131014,0.166369847,0.340340909,0.35527119,0.081830378,0.401314604,0.562022062,0.626011147,0.778485804,0.078906105,0.489163884966719,0.0271654531377431,1.49282071605567
"T7476",0.087915083,0.632497704,0.083376577,0.571492684,0.241531456,0.111086036,0.171160151,0.320259283,0.362014326,0.282465434,0.419340189,0.620406179,0.635601436,0.769440145,0.085366904,0.365999154412334,0.342468549052109,1.63323694892878
"T7478",0.083147091,0.634669664,0.08256133,0.563191457,0.24276545,0.118167311,0.179955544,0.334742618,0.35323278,0.071075796,0.381987821,0.593785022,0.62825339,0.784180372,0.077889408,0.498899538366139,0.00275845174478213,1.48195136768664
"T7480",0.086041979,0.633954997,0.085187877,0.572067331,0.242202889,0.114008675,0.174763981,0.316089955,0.356732282,0.251388051,0.40826444,0.630761198,0.658872042,0.763763785,0.080931585,0.389304983876934,0.281130944282651,1.60592102495978
"T7482",0.08268048,0.649193264,0.080358768,0.569896424,0.243568527,0.109933689,0.172805338,0.362513461,0.35281474,0.080410161,0.417711537,0.622820759,0.635705986,0.792592084,0.079804223,0.499579202755118,0.00105478246749467,1.48119266019192
"T7484",0.091874669,0.61028179,0.089071936,0.544098084,0.245671058,0.104770842,0.173541352,0.353840804,0.371003735,0.482669766,0.388369716,0.585080501,0.624740069,0.709877348,0.087980587,0.255384032506469,0.657642209595039,1.77359553940163
"T7486",0.082885303,0.640512971,0.079563135,0.570486854,0.23929122,0.105463187,0.165152288,0.288859405,0.366791668,0.522793481,0.371538683,0.594347741,0.649811653,0.793408135,0.080672211,0.364815701173767,0.345615890336098,1.63463857743288
"T7488",0.087021632,0.634182576,0.084506237,0.561146096,0.237885749,0.104383236,0.15871194,0.36465336,0.360873225,0.24005126,0.333522528,0.593489601,0.616711184,0.771770334,0.084637414,0.400591223230875,0.251817090694889,1.59286647222902
"T7490",0.076123635,0.561092243,0.074118224,0.507459376,0.250444259,0.121042147,0.179465987,0.064546491,0.349828761,0.74303493,0.389280472,0.59920186,0.576284688,0.751506628,0.068415409,0.492638725101392,0.0184530269976648,1.48894074762648
"T7492",0.082237725,0.579447597,0.085060573,0.528157036,0.22694911,0.102715235,0.151644537,0.182855221,0.317794536,0.725724814,0.414749723,0.605632623,0.58223926,0.747397522,0.076121724,0.438641345877072,0.154414791308037,1.54948959413837
"T7494",0.085913151,0.581352624,0.086415188,0.542567142,0.239278974,0.11808743,0.163187887,0.085833236,0.354154488,0.584004192,0.401814694,0.603637766,0.619091877,0.798703754,0.075037098,0.465568559486473,0.086414250590661,1.5192064161912
"T7291",0.085602148,0.600989244,0.08600084,0.541282819,0.237997544,0.098834961,0.182192129,0.25246085,0.326844666,0.093724832,0.368427963,0.618294841,0.563637602,0.740008295,0.076943292,0.499161822021397,0.00210100216604809,1.48165858085915
"T7293",0.085226911,0.57053247,0.083428685,0.558361163,0.227786151,0.095388914,0.179371821,0.224929707,0.325938759,0.088716715,0.376743149,0.600385911,0.579341699,0.676139979,0.083696389,0.485765640449961,0.0356878221302312,1.49661604494583
"T5290",0.121193034,0.313346247,0.107640256,0.145290912,0.077642097,0.112144041,0.136692906,0.182791783,0.211468738,0.132623327,0.247111885,0.310217825,0.13269681,0.090551205,0.10315284,0.0772163477710747,1.4240475927027,2.11490445182308
"T5292",0.154721624,0.322418653,0.069362065,0.101185148,0.107036155,0.097044611,0.120417056,0.144423538,0.212891656,0.068722136,0.253476856,0.31588749,0.114251676,0.176989044,0.106780089,0.21110761007967,0.802583998425952,1.83814352588589
"T5294",0.128926117,0.31593899,0.113846929,0.151371128,0.078291656,0.126908401,0.149872921,0.208391641,0.222400341,0.096274088,0.255477183,0.314933661,0.091847473,0.069487721,0.101598814,0.15603114606271,1.01090418228589,1.93091627638559
"T5296",0.141772293,0.306997322,0.005756666,0.151102105,0.083700243,0.116528201,0.138610819,0.179368399,0.208024645,0.096630556,0.241772131,0.303620435,0.09692555,0.105709385,0.116094868,0.244879763632825,0.690691348643173,1.788313554115
"T5298",0.105371309,0.313049093,0.126203059,0.113882536,0.08416876,0.1150897,0.136386047,0.182569296,0.210148642,0.149664589,0.245445071,0.309830358,0.146990306,0.104669154,0.097834419,0.0515834576130273,1.62969055190679,2.2064849342937
"T5300",0.15963256,0.319119127,0.076333624,0.104630236,0.083173278,0.105688668,0.12939907,0.167238604,0.213564271,0.102785804,0.251490084,0.314452413,0.10539853,0.127235051,0.10128419,0.185077954450302,0.896181360851927,1.87982592358199
"T5302",0.126281503,0.310178726,0.101472305,0.194434664,0.150989603,0.116090832,0.13944913,0.175648175,0.213635653,0.108273891,0.248123748,0.306054238,0.096926291,0.138881541,0.092058307,0.0332387745406189,1.83518995430368,2.29800148556182
"T5304",0.110800105,0.319694154,0.048402911,0.121849143,0.083897068,0.12548331,0.148588682,0.201384131,0.220552708,0.093489367,0.254421183,0.317842233,0.088819673,0.137441715,0.077807379,0.235507657332899,0.720828050696071,1.80173455196856
"T5306",0.177932977,0.318757366,0.080071915,0.104861517,0.061015326,0.115381142,0.139524026,0.180823722,0.216901724,0.10398624,0.252962209,0.314974612,0.097931145,0.076280307,0.083710048,0.289140928834491,0.555896139240218,1.72828421802866
"T5308",0.105775607,0.325641543,0.061522045,0.105535193,0.084438312,0.113772405,0.138246478,0.179886728,0.212548594,0.113217452,0.248720843,0.320934737,0.09432835,0.211243928,0.097116635,0.174963680380582,0.934730196795258,1.89699315852178
"T5310",0.144045357,0.320561792,0.083891883,0.141575658,0.075585259,0.107951614,0.130949778,0.183411374,0.21237927,0.113696359,0.24908459,0.317446225,0.106633247,0.141730428,0.09531406,0.131322492036854,1.12016141292676,1.97957259768256
"T5312",0.109348378,0.317194116,0.048956142,0.116210727,0.070238726,0.127660812,0.149135433,0.203235486,0.218937638,0.108002082,0.252272973,0.315780058,0.106464711,0.127857827,0.067120246,0.235537265943797,0.720731818342378,1.80169169611094
"T5314",0.151807666,0.317495811,0.073861387,0.131362954,0.07200802,0.116921681,0.141749739,0.181330779,0.215594237,0.121029165,0.250512957,0.313318497,0.091824925,0.099819813,0.08953536,0.189570396858022,0.879480514447062,1.87238841355323
"T5316",0.113155929,0.322100114,0.049085381,0.161974107,0.065271179,0.112711843,0.13678939,0.17650753,0.211584067,0.131450318,0.247163825,0.317021445,0.104973153,0.226678224,0.086701548,0.15641134121267,1.00931689004213,1.93020939592604
"T5318",0.143598297,0.319782509,0.088186497,0.130664808,0.080716167,0.103392291,0.127384426,0.175707092,0.208873969,0.109865465,0.246549657,0.316289309,0.10048288,0.14989626,0.098197762,0.133919873670483,1.10805110107695,1.97417942396843
"T5545",0.098603328,0.185232805,0.100277285,0.321898377,0.076609751,0.141747734,0.06244063,0.122313022,0.260378384,0.07624071,0.09232975,0.300340471,0.320919627,0.335030463,0.06255125,0.376768961639493,0.313977769111128,1.6205489416026
"T5553",0.089173891,0.109896625,0.094101031,0.332295263,0.093566334,0.090506834,0.09847502,0.080124717,0.266420619,0.09329465,0.251159365,0.326647815,0.107674567,0.373867157,0.077680753,0.450495420338279,0.124409766753653,1.53612723718791
"T5547",0.080475051,0.086727666,0.081709873,0.345662945,0.088265547,0.099808457,0.124130993,0.189425607,0.261139278,0.067798708,0.297989212,0.356652187,0.08774153,0.373099877,0.078259895,0.46231461601682,0.0946041768989286,1.52285369595032
"T5551",0.093463799,0.095058752,0.10066059,0.34272004,0.092441323,0.111553157,0.095431076,0.179140723,0.280980538,0.307086468,0.252918856,0.328046574,0.284104503,0.359061158,0.065230041,0.191856322383155,0.871076023229822,1.86864558003452
"T5555",0.103956719,0.303092983,0.13309502,0.291764612,0.148812408,0.134397568,0.100659215,0.111508013,0.228274074,0.274615774,0.254882664,0.224705405,0.30333538,0.076586483,0.066442069,0.0645850394624147,1.51738274071698,2.15647007565818
"T5557",0.093510914,0.255639277,0.154926186,0.202090444,0.121533394,0.137600161,0.189849892,0.136451528,0.158227932,0.236969902,0.115133941,0.110741586,0.2540163,0.1371019,0.126133577,4.06491481282811e-05,3.94054028382652,3.23559253994857
"T5559",0.077583403,0.114216873,0.103295695,0.303829478,0.085801742,0.126158869,0.080495614,0.067545869,0.255530566,0.114472081,0.082855477,0.271412721,0.27445907,0.351715504,0.075347952,0.373400712003658,0.322859797573376,1.62450444027388
"T5561",0.093392944,0.09773093,0.095668235,0.317109957,0.088325198,0.086684147,0.0922778,0.109730597,0.271212515,0.083181415,0.256622175,0.199262657,0.196849155,0.358343797,0.086111292,0.30776354408084,0.502199651366432,1.70437116851075
"T5563",0.093935214,0.290301006,0.204458542,0.283793644,0.117326851,0.150297389,0.08826531,0.108878661,0.195033291,0.276884176,0.09614863,0.133392243,0.104610432,0.109054564,0.099809511,0.0652395290375242,1.51221546488099,2.15416889493237
"T5569",0.0669256,0.278787292,0.063877305,0.233313614,0.141909771,0.12560591,0.221585502,0.084613902,0.20752883,0.170268302,0.236172433,0.247565832,0.279744913,0.063481456,0.108024949,0.0390282788371699,1.76207540784176,2.26544085004812
"T5565",0.112050066,0.254704063,0.141354634,0.249286935,0.132166336,0.135654397,0.108322359,0.162695167,0.200332035,0.266919707,0.137312248,0.206118296,0.255283065,0.137065691,0.148486024,3.7579639591465e-05,3.95933331679202,3.24396177871428
"T5567",0.101449072,0.273302195,0.180217067,0.262539373,0.084065767,0.139228426,0.102982673,0.079899221,0.190566304,0.26086769,0.106624228,0.257968716,0.276346917,0.148644712,0.129766905,0.0225210425788556,2.00426122492136,2.37329523057996
"T5571",0.089037932,0.279399206,0.166643887,0.277584582,0.137928818,0.13169504,0.160365305,0.11233199,0.2101448,0.267908982,0.16519706,0.145654846,0.270940564,0.160288393,0.148585862,0.000119389390124665,3.67400422568145,3.11689408853931
"T5577",0.094064248,0.199643281,0.224237735,0.260112647,0.132512261,0.11589682,0.255428121,0.095789764,0.139000258,0.266544683,0.113764477,0.157022071,0.270734783,0.262426758,0.120288085,0.0022063981757372,2.8470389451556,2.74861559424939
"T5573",0.090230229,0.289767242,0.114620242,0.278901927,0.12991523,0.113757334,0.099506483,0.130950554,0.177173945,0.293114452,0.166718186,0.145598636,0.288993196,0.107866644,0.151764571,0.0243810652195132,1.97066566389813,2.35833387377355
"T5575",0.100366831,0.281783319,0.07452531,0.271939729,0.096503395,0.143871148,0.071320641,0.124545703,0.207543921,0.275095188,0.173034036,0.235396686,0.285584462,0.09125787,0.07859782,0.112906895564359,1.21121297533737,2.02012125564557
"T1708",0.102474948,0.247507513,0.352968435,0.156636389,0.24562938,0.057712037,0.067779977,0.335043316,0.225339581,0.156302772,0.145345234,0.151585297,0.348993424,0.287425772,0.055871495,0.160064067097079,0.994194604869877,1.9234748781118
"T1709",0.119526417,0.278710965,0.385099607,0.148671938,0.119604996,0.077564933,0.087993469,0.230570864,0.235196026,0.125939698,0.104532608,0.124470235,0.386541633,0.384841159,0.062547927,0.361989580425335,0.353145770299849,1.63799191392781
"T5774",0.115207245,0.398725242,0.094404941,0.270968633,0.180166225,0.154849592,0.189354192,0.0945511,0.109156587,0.088876733,0.116920372,0.382737895,0.396288858,0.363230308,0.076477132,0.359997644888878,0.358465088366136,1.64036080473162
"T5776",0.115207245,0.386081554,0.094404941,0.270968633,0.144550043,0.150587809,0.180997926,0.102844778,0.101635485,0.069875117,0.184951492,0.366817837,0.387811703,0.389773491,0.076477132,0.353665244849729,0.375443727174681,1.64792202608244
"T5778",0.115207245,0.386705363,0.094404941,0.270968633,0.097060413,0.148671228,0.181906086,0.108663043,0.074376413,0.075225695,0.098678995,0.375516468,0.379887891,0.387864734,0.076477132,0.495076658384851,0.0123413005702262,1.48621896781393
"T5779",0.115207245,0.396126957,0.094404941,0.270968633,0.174861501,0.163434151,0.196735,0.112377377,0.087095677,0.083877612,0.091193726,0.39716289,0.393311127,0.406844195,0.076477132,0.425876930585485,0.186881096140389,1.56394805102935
"T5781",0.115207245,0.404890315,0.094404941,0.270968633,0.132908631,0.140201307,0.173717457,0.180145854,0.079131942,0.110111915,0.089661389,0.400364649,0.399175853,0.415266449,0.076477132,0.433956880930498,0.166309027757924,1.55478654141493
"T5782",0.115207245,0.411659808,0.094404941,0.270968633,0.112082981,0.13239881,0.168295799,0.171570589,0.06972446,0.134789903,0.122108609,0.406128488,0.409855613,0.417716096,0.076477132,0.439865002021506,0.151311492392286,1.54810757934411
"T5784",0.115207245,0.389844743,0.094404941,0.270968633,0.062816821,0.173479157,0.188054649,0.088951601,0.100459795,0.109600528,0.190426749,0.387968767,0.391765102,0.393505967,0.076477132,0.411368494289785,0.22402610755646,1.5804901105291
"T5786",0.115207245,0.401894841,0.094404941,0.270968633,0.147957723,0.137279574,0.176553126,0.113385004,0.071397789,0.090161102,0.237988952,0.397345367,0.400891082,0.412908121,0.076477132,0.394435478605799,0.267777024059418,1.59997402603674
"T5788",0.115207245,0.387437066,0.094404941,0.270968633,0.097094864,0.150633662,0.190344269,0.089758851,0.093027387,0.083841632,0.113327706,0.382578302,0.382951235,0.395452822,0.076477132,0.473459725137172,0.0665757516650544,1.51037159242611
"T5790",0.115207245,0.402813593,0.094404941,0.270968633,0.095984442,0.137375279,0.166799613,0.127128037,0.089439638,0.1189829,0.101656622,0.401370456,0.405437576,0.419485859,0.076477132,0.490589874454093,0.023589874469367,1.49122837746636
"T5792",0.115207245,0.398446515,0.094404941,0.270968633,0.14367666,0.145105487,0.178138385,0.222295448,0.197054786,0.097949258,0.084719263,0.398739431,0.39374036,0.404281892,0.076477132,0.287762792886853,0.559932344566296,1.73008169085508
"T5794",0.115207245,0.408802463,0.094404941,0.270968633,0.126481439,0.127378321,0.162122265,0.110097142,0.098126246,0.114502314,0.114154337,0.407313586,0.399185361,0.413062069,0.076477132,0.470288029108049,0.0745458517460516,1.51392097536429
"T5796",0.067412535,0.398497529,0.094404941,0.134253417,0.133680958,0.13744931,0.172499801,0.129333805,0.126182893,0.122231856,0.11649451,0.397776824,0.396838137,0.412899965,0.072993731,0.447427928272725,0.13216237989117,1.53957976507552
"T5798",0.115207245,0.395934468,0.094404941,0.270968633,0.134175825,0.131279986,0.167077094,0.100403495,0.114434515,0.097119079,0.106085626,0.393959369,0.399016256,0.404142929,0.076477132,0.453321050610846,0.117275043152649,1.53294987856497
"T5802",0.115207245,0.397747409,0.094404941,0.270968633,0.118608218,0.140175328,0.173480858,0.108558256,0.110554041,0.100753397,0.106745969,0.39478762,0.399459336,0.402786383,0.076477132,0.447307728229131,0.132466325712359,1.53971512349021
"T5804",0.115207245,0.396024678,0.094404941,0.270968633,0.098385007,0.161482661,0.19180276,0.122545412,0.085626161,0.116302765,0.080301513,0.391623843,0.395952882,0.408879298,0.076477132,0.466046155725247,0.0852126782583457,1.5186713111998
"T5806",0.115207245,0.405704835,0.094404941,0.270968633,0.140447883,0.14867456,0.184433251,0.0897201,0.080470891,0.10745612,0.093212004,0.401577851,0.405378657,0.366627987,0.076477132,0.468128530097053,0.0799750995591503,1.51633882198594
"T5808",0.115207245,0.410078651,0.094404941,0.270968633,0.158487825,0.151602507,0.188996409,0.094271172,0.118762884,0.120912384,0.128632873,0.400474042,0.408115109,0.357162803,0.076477132,0.347284795054575,0.392661391338543,1.65558969434226
"T5812",0.115207245,0.397822601,0.094404941,0.270968633,0.099568108,0.137183881,0.161647875,0.205948567,0.085013287,0.074256275,0.098509402,0.391347196,0.401574356,0.412656165,0.076477132,0.477097561028522,0.0574394703969939,1.50630286549398
"T5816",0.115207245,0.405236523,0.094404941,0.270968633,0.192841436,0.164941082,0.206533815,0.094807363,0.099225978,0.083018795,0.076368321,0.401329314,0.405562781,0.404475833,0.076477132,0.446333594344841,0.134930039440164,1.54081230713673
"T5791",0.115207245,0.401873636,0.094404941,0.270968633,0.081958267,0.15760484,0.178661496,0.259631316,0.201592782,0.098251927,0.077190329,0.402453172,0.389866151,0.409743234,0.076477132,0.345225066620908,0.398244273983431,1.65807596028676
"T5793",0.115207245,0.40917622,0.094404941,0.270968633,0.139653254,0.130209738,0.157730008,0.116510874,0.108115173,0.128860921,0.120269998,0.408857362,0.392682953,0.41867652,0.076477132,0.423442713069064,0.193093904745178,1.56671484650694
"T5795",0.115207245,0.412951577,0.094404941,0.270968633,0.127850558,0.128974282,0.162312509,0.110579269,0.145276763,0.149115857,0.070839245,0.412016934,0.407210943,0.408942185,0.076477132,0.447048309476565,0.133122350963186,1.54000727601133
"T5803",0.115207245,0.396770718,0.094404941,0.270968633,0.088813902,0.15519499,0.189683859,0.152963418,0.118643923,0.087711313,0.085530667,0.391898948,0.391122074,0.40952638,0.076477132,0.443570221361621,0.141923486283112,1.54392674994814
"T5805",0.115207245,0.402429969,0.094404941,0.270968633,0.182209194,0.158915759,0.19175551,0.11916233,0.083421021,0.082140806,0.097484162,0.401069397,0.400458377,0.398635195,0.076477132,0.425173492715541,0.18867571614979,1.56474726227853
"T5807",0.115207245,0.411284693,0.094404941,0.270968633,0.184057169,0.158714877,0.190968712,0.124781014,0.090946453,0.108360431,0.087762851,0.403384393,0.407407203,0.410953267,0.076477132,0.410911940638088,0.225199753405955,1.58101277881574
"T1092",0.059781262,0.248671012,0.079237626,0.345847313,0.345764348,0.197080581,0.207777415,0.059518742,0.20986673,0.344029941,0.104954131,0.307258204,0.251488767,0.310682402,0.057722946,0.105677398088145,1.24984877115364,2.03732721706134
