"","ackA","arcA","dcuC","fnr","pta","pval","z","inv_cof_var"
"T6023",0.226716535,0.264661084,0.125285126,0.275268061,0.083275666,0.486792716268738,0.0331118004187134,1.96753502362855
"T1772",0.140596266,0.32824392,0.098191502,0.114973436,0.085373147,0.34485508658868,0.399248414180709,3.73857916596654
"T1778",0.184208675,0.335123435,0.075560941,0.146050032,0.206284748,0.466005568837078,0.0853147849791332,2.22004675434115
"T1780",0.16806088,0.300831796,0.080947721,0.132460844,0.159446947,0.415766962360083,0.212734667703391,2.83639111443534
"T1781",0.203653469,0.292579684,0.083800828,0.111437466,0.218235032,0.460666252919026,0.0987553686721788,2.28506037528059
"T1800",0.224886034,0.261054254,0.090430445,0.098747478,0.283505952,0.482760215961595,0.043227188660961,2.0164642987148
"T1801",0.237414225,0.279142894,0.084390346,0.089678554,0.30530409,0.496706988820163,0.00825444866850989,1.84729720649549
"T1803",0.123171802,0.263620931,0.097365409,0.108218822,0.212717773,0.452431892917472,0.119519507784135,2.38549886070566
"T1804",0.188967346,0.252476002,0.095619902,0.079933547,0.111626563,0.431202934206192,0.173312411426125,2.6457012095383
"T1805",0.213183775,0.262773527,0.088345413,0.091371328,0.116842114,0.473268257902924,0.0670567613679844,2.13173063256641
"T1806",0.248883843,0.216331153,0.080811637,0.09362693,0.288019246,0.49480300071058,0.0130273138322564,1.8703840942109
"T1807",0.218012705,0.224082269,0.082359158,0.092175176,0.246362209,0.477603680918253,0.0561687674451942,2.07906417656618
"T1808",0.225878447,0.251826242,0.086430768,0.091980305,0.167831325,0.460688921321659,0.0986982698193379,2.2847841816822
"T1809",0.178611467,0.242097045,0.095047262,0.094537701,0.10094325,0.428626812448041,0.179871277169137,2.67742718371823
"T1810",0.204683045,0.291108901,0.094923957,0.097377318,0.079436766,0.496449551857295,0.00889977118649122,1.85041870438025
"T1811",0.204901711,0.270286347,0.107597523,0.094271103,0.071822271,0.495647686722493,0.0109098479412995,1.86014167260698
"T1815",0.18740684,0.250212992,0.097513194,0.105652542,0.108056591,0.429579592550172,0.177444590164255,2.66568902467119
"T1816",0.197180186,0.241646056,0.093951407,0.11723467,0.08977622,0.476956128645332,0.057794577749338,2.08692840458239
"T1817",0.216875324,0.264668219,0.096902548,0.105203689,0.088458439,0.495109999965237,0.0122577193003226,1.86666147856273
"T1818",0.146959124,0.269510896,0.09202835,0.094357448,0.103272551,0.330278893412831,0.439143188600797,3.93155469447383
"T1819",0.201719444,0.267052865,0.084793187,0.097195258,0.19583862,0.447912727399904,0.130936608215713,2.44072466463188
"T1820",0.237593751,0.256403449,0.090745997,0.103286682,0.241913825,0.466927708948006,0.0829951225252015,2.20882628513151
"T1825",0.20656782,0.232902248,0.079346178,0.092769618,0.107043566,0.487595813707436,0.0310976956152403,1.9577925712756
"T1826",0.194186696,0.239729056,0.099779748,0.082251423,0.098767682,0.452155232358204,0.12021799309494,2.38887751302208
"T1827",0.15343915,0.258692485,0.080731003,0.126458418,0.107409866,0.394992108144633,0.266331109274809,3.0956431540495
"T1828",0.126158655,0.209745456,0.088913624,0.130154317,0.090490213,0.265638854966504,0.626056763837773,4.83567676286135
"T1829",0.188609247,0.235655146,0.082427951,0.135650477,0.106929569,0.462222922399034,0.0948350520784494,2.26609736126214
"T1715",0.18989603,0.184258167,0.057512663,0.213750616,0.129541583,0.4927053907898,0.018285892701684,1.89582043396406
"T1716",0.178659841,0.152587115,0.068738713,0.215664054,0.106923231,0.474535408284189,0.0638736714862493,2.11633366739634
"T1085",0.368026224,0.143437157,0.312654519,0.203439384,0.365346256,0.0264985592074233,1.93494440406816,11.166914069042
"T1086",0.334596805,0.115279842,0.28516152,0.247090974,0.336841576,0.0298459237132753,1.88306287660322,10.915957262597
"T4795",0.068811063,0.102636007,0.068120023,0.146347757,0.068873235,4.64212293312668e-247,33.549083790618,164.088075928046
"T4799",0.070296586,0.066744331,0.072743,0.365467708,0.082351281,0.0195148240638995,2.06387417255335,11.7905619170475
"T4807",0.099736558,0.111676469,0.068453402,0.375672589,0.099946253,0.259148727969346,0.645972051000181,4.93200925556006
"T4808",0.063720545,0.109900901,0.056763668,0.353549696,0.088674119,0.313720056779329,0.485333052061423,4.15498027946738
"T4811",0.174411301,0.115306117,0.085333772,0.152533488,0.164558411,0.410947577245966,0.225108132534209,2.89624296094662
"T4812",0.120391525,0.123438147,0.097184845,0.126665222,0.145550112,0.254354232221767,0.660850077137809,5.00397594790984
"T4801",0.158752357,0.134840047,0.084801056,0.141594605,0.129806877,0.375705191288974,0.316780208681171,3.33967114423554
"T4803",0.092480466,0.112396872,0.093243612,0.30701387,0.114657074,0.101934285131435,1.27060678973065,7.95343801616066
"T5743",0.207738525,0.132077194,0.123627489,0.175120722,0.180787276,0.327047124103875,0.448081681220869,3.97479119254884
"T5745",0.164181476,0.140624423,0.087941945,0.243781801,0.154975834,0.381903354764021,0.300485690788475,3.26085272132622
"T5747",0.192412651,0.107842363,0.106466245,0.175438721,0.172267453,0.363667281207922,0.34867333846222,3.49394181413437
"T5755",0.204475231,0.129319994,0.119009057,0.184167359,0.182094849,0.339995741163155,0.412474752604537,3.8025564583477
"T5757",0.240534204,0.226054353,0.10689222,0.209696276,0.205458567,0.430057666281969,0.176227352884967,2.6598011105094
"T5759",0.241904238,0.091448246,0.10418477,0.197393224,0.195118963,0.436864130423466,0.158924623054012,2.57610585261452
"T6894",0.289258494,0.188642727,0.13501273,0.074462689,0.184500578,0.43682256068564,0.159030148053272,2.57661628895108
"T6896",0.308686787,0.06464776,0.128897405,0.082276176,0.180003829,0.465834553635338,0.0857450273378787,2.22212788521034
"T6898",0.282776328,0.129980529,0.127359337,0.064787826,0.132014396,0.480498527391546,0.048902426910705,2.04391606693679
"T6900",0.232514521,0.084463459,0.111864781,0.088299379,0.237808108,0.424828204372577,0.189556842376771,2.72427735625346
"T6902",0.282776328,0.129980529,0.127359337,0.064787826,0.132014396,0.480498527391546,0.048902426910705,2.04391606693679
"T6901",0.086983201,0.150398694,0.121148662,0.101097383,0.23204446,0.489496658736233,0.0263310145201568,1.93473559659858
"T0864",0.180823781,0.165199538,0.082898367,0.051574793,0.158063241,0.423270817195229,0.193532910484462,2.74351004664001
"T0871",0.190538566,0.242257977,0.093070564,0.387276076,0.216030332,0.437657981147897,0.15690976695398,2.56635976615529
"T0873",0.139716225,0.29953955,0.083955483,0.068644511,0.205475379,0.455202467125626,0.112527792757858,2.35167914566828
"T0874",0.146854708,0.367624706,0.067749698,0.105828408,0.226416733,0.496234759978446,0.00943819722201308,1.85302313190935
"T1651",0.130431915,0.137613368,0.086134712,0.380664383,0.141848418,0.320747147200222,0.465610543865026,4.0595802803945
"T1652",0.142374893,0.137772503,0.064601553,0.331333375,0.153419049,0.44456218268763,0.139412284693816,2.48172246877024
"T1653",0.177306019,0.179585073,0.072783071,0.366627127,0.183749801,0.457667456416875,0.106311871552833,2.32161203294147
"T1654",0.184810384,0.190071096,0.087533511,0.325013869,0.191143078,0.430027471522774,0.176304224886456,2.66017294906045
"T1655",0.173038202,0.181750265,0.075940722,0.336942518,0.181714993,0.447586498951541,0.131761426203411,2.44471440237103
"T1656",0.185398792,0.170034874,0.083077711,0.267876435,0.177111678,0.433829856397592,0.166631873613886,2.61338669382115
"T1657",0.195692248,0.186719851,0.084428696,0.329081187,0.18875418,0.442464446969917,0.144723867587154,2.5074151949719
"T1724",0.303457385,0.440885405,0.088235191,0.24810923,0.310788038,0.496308889847562,0.00925237308158749,1.85212427956015
"T2211",0.273378087,0.282507894,0.158294351,0.125099969,0.239478876,0.34148450075017,0.408415029015644,3.78291911695279
"T2212",0.23565415,0.335311863,0.161282018,0.151377979,0.241574016,0.27102834249229,0.609705840427052,4.75658550009242
"T2216",0.197028198,0.382571924,0.086636729,0.01789854,0.252260109,0.474365501872357,0.0643004392058079,2.11839799104345
"T2111",0.271172169,0.423076453,0.07219434,0.316994036,0.229192034,0.498985339181872,0.00254338023797297,1.8196721236433
"T2088",0.147038711,0.609151214,0.045290091,0.506166068,0.1472359,0.490306140588792,0.0243012937450594,1.92491760802764
"T2089",0.114424031,0.444683111,0.053751449,0.445796685,0.142563275,0.460910629776125,0.0981398310650472,2.28208295037271
"T2084",0.091578776,0.662473585,0.052422231,0.181237725,0.147419331,0.481259043578273,0.0469939026315908,2.03468431950158
"T2085",0.096606658,0.509232202,0.045377464,0.320574612,0.140634844,0.486090758319844,0.0348723651267746,1.97605107391203
"T5290",0.317550036,0.234343002,0.123360933,0.260009736,0.168397847,0.484260464677365,0.0394634050004791,1.99825845216907
"T5294",0.320665496,0.243912463,0.147379885,0.269546222,0.207457956,0.43825587241513,0.155392692375328,2.55902150512096
"T5296",0.311243283,0.229698934,0.130313388,0.253848462,0.175343569,0.469038943003967,0.0776859306344288,2.18314512447924
"T5302",0.313148235,0.235594571,0.170968971,0.258680207,0.189258412,0.410496304458099,0.226268483970443,2.90185571186241
"T5304",0.324643493,0.242392534,0.165077098,0.268299207,0.168320429,0.450833799225682,0.123555032490583,2.40501914937382
"T5306",0.322495724,0.239950305,0.171344542,0.264989272,0.15452802,0.456459339701281,0.10935783059075,2.33634568073614
"T5308",0.33069363,0.235496706,0.16577005,0.261741082,0.168278183,0.455774892345502,0.111083939053714,2.34469506227153
"T5312",0.32237314,0.240454331,0.16061206,0.266582067,0.179799049,0.443081275499191,0.14316160650354,2.49985836171093
"T5314",0.321113125,0.237885619,0.141475044,0.262191158,0.169089032,0.469568729930457,0.0763540069643624,2.17670245929567
"T5316",0.326719497,0.234128769,0.148861688,0.259378964,0.141639621,0.487203887041589,0.0320806004023196,1.9625469927134
"T5549",0.365315471,0.280287879,0.097236336,0.307116426,0.296796905,0.499174315841204,0.00206968473596678,1.81738080501374
"T5551",0.356711822,0.306182388,0.101424219,0.299545429,0.313985724,0.493822392551893,0.015485584392502,1.88227502648143
"T5555",0.300318967,0.246150176,0.079123644,0.216135479,0.252801615,0.499788638956449,0.000529803592706518,1.80993222605124
"T5557",0.254502915,0.23122152,0.091544455,0.185785144,0.23320898,0.46931369004438,0.0769951791208723,2.17980388141336
"T5559",0.332465219,0.251677931,0.121616901,0.257558173,0.275413619,0.465217832831122,0.0872967142980698,2.22963357024236
"T5561",0.348709855,0.235764708,0.101870253,0.30479759,0.289381849,0.49118091994715,0.0221079562051598,1.9143081866909
"T5563",0.162641328,0.236640808,0.086372598,0.08450626,0.254117539,0.484376062932485,0.0391734190812348,1.99685575753451
"T5569",0.280624427,0.224112182,0.087166747,0.251354242,0.244551393,0.48542416597354,0.0365443301540031,1.98413855753526
"T5565",0.250434099,0.21710749,0.113822869,0.128608017,0.220846298,0.425685374526422,0.187369736621166,2.713698078761
"T5567",0.273779636,0.220133662,0.080989006,0.236241543,0.226081329,0.490033299476524,0.024985412704309,1.92822676867943
"T5571",0.275625084,0.213570158,0.08507681,0.113143795,0.242047319,0.486153934815586,0.0347139092547524,1.97528460496733
"T5577",0.264555535,0.196588867,0.099176414,0.148231557,0.194148732,0.464311042389151,0.0895786075170329,2.24067134539782
"T5573",0.280254009,0.215180212,0.158600073,0.202874232,0.235483924,0.35137956595741,0.381598587750859,3.65320496263109
"T5575",0.255116895,0.250914728,0.109437634,0.238818936,0.245207206,0.443312073369375,0.142577147474215,2.49703126739308
"T1711",0.192977808,0.483411558,0.099812373,0.376744282,0.28662739,0.478539291196714,0.053819990614999,2.06770287783117
"T5774",0.083685402,0.113955838,0.116283917,0.292348741,0.090617572,0.214059359916969,0.792415027701616,5.64037046917583
"T5778",0.074898488,0.094020255,0.121326293,0.311993026,0.077612695,0.362959504183659,0.350559282050735,3.50306433621951
"T5786",0.068600713,0.105994017,0.117356023,0.2856838,0.057124881,0.440325456904303,0.150144117411706,2.53363355538975
"T5788",0.099825838,0.108481594,0.108777931,0.326307287,0.079128063,0.176142101349961,0.930167815952269,6.30669626002021
"T5790",0.076183331,0.108486778,0.11438441,0.259889479,0.060381437,0.401602473886256,0.249201463047713,3.01278512108986
"T5792",0.063985028,0.12156118,0.063622638,0.311619558,0.143245351,0.486718139646996,0.0332988393731985,1.96843975217052
"T5798",0.141333979,0.096745104,0.109923006,0.277656047,0.07312432,0.389312079973774,0.281112440075345,3.1671421201356
"T5800",0.0882146,0.13153997,0.101740629,0.331488307,0.087517939,0.0221549015322308,2.01114822111762,11.5355205365093
"T5802",0.08717266,0.102186083,0.111950127,0.268979907,0.087170528,0.15734457075193,1.00543145173287,6.67075496453136
"T5804",0.078293569,0.08034227,0.11899946,0.165439094,0.105130109,0.263230932450023,0.633416236449732,4.87127536286528
"T5806",0.109974335,0.120509949,0.104795111,0.201005361,0.124928078,0.0310554696995216,1.86550294775011,10.8310179039908
"T5808",0.116337788,0.109131865,0.115522349,0.15876907,0.095856476,0.0577707777784934,1.57376600670119,9.4198533792537
"T5810",0.140128943,0.086427992,0.135784068,0.343041424,0.101665887,0.194460924722024,0.861574243693537,5.974901405901
"T5812",0.127100047,0.163082041,0.100272659,0.335322995,0.099331706,0.145892231743788,1.05421506677032,6.90672681877021
"T5814",0.186434221,0.198048139,0.10268985,0.3083236,0.096463479,0.438330019679793,0.155204577926803,2.55811157429288
"T5816",0.089804552,0.074168584,0.09154912,0.224406953,0.089997639,2.79182546063195e-82,19.1786259418576,94.5765487025657
"T5818",0.279889648,0.117496291,0.112221852,0.216513834,0.218245703,0.451326461806784,0.122310743735895,2.39900038417106
"T5820",0.208792413,0.091948842,0.114121599,0.138957355,0.15137761,0.37764362888963,0.311675357244244,3.31497840143121
"T5791",0.134819813,0.106172457,0.09462469,0.355836942,0.097716736,0.262943812047573,0.634296064957471,4.87553119270125
"T5805",0.33670495,0.109486464,0.097525494,0.316200468,0.239471133,0.495084472197814,0.0123217127564555,1.86697102213574
