"","ddpA","ddpB","ddpC","ddpD","ddpF","ddpX","glnG","patA","potF","potG","potH","potI","yeaG","yeaH","yhdW","yhdX","yhdY","yhdZ","pval","z","inv_cof_var"
"T5557",0.163227993,0.181572673,0.103027835,0.085656026,0.085829877,0.110364829,0.084297827,0.189365928,0.194018321,0.23527148,0.084632715,0.095460663,0.087371934,0.131660574,0.10741391,0.084514991,0.121247529,0.085594053,0.260948939917695,0.640422621668712,2.62682485014769
"T5559",0.085719636,0.078327561,0.264224646,0.081740691,0.082581143,0.08431689,0.09228362,0.180468951,0.213796499,0.099996191,0.078453603,0.158589013,0.176018155,0.07916845,0.105714991,0.077727405,0.149989647,0.079974382,0.4607819639155,0.0984639106060706,2.11986076876013
"T5561",0.085660455,0.095171144,0.224008883,0.086797741,0.086561139,0.088537366,0.086068811,0.242677313,0.099033834,0.095811649,0.08673118,0.151557819,0.148769818,0.10582371,0.093613038,0.084481881,0.122460637,0.09298793,0.33897325584045,0.41526692405933,2.41620760370855
"T5563",0.160321056,0.084479785,0.163471059,0.096551936,0.079429774,0.100456648,0.074042957,0.188103049,0.198334157,0.232650331,0.082082153,0.069055212,0.136546907,0.085628128,0.086286187,0.073128539,0.127945058,0.072153433,0.369878827220302,0.332174292340192,2.3384803177554
"T5569",0.152302306,0.101740184,0.249012507,0.095690701,0.068704772,0.18316363,0.070551485,0.249246442,0.183636596,0.193470241,0.064130252,0.196710649,0.097461849,0.143670717,0.248546227,0.065512044,0.116937687,0.069541514,0.438716820088995,0.154223339378649,2.17201977462048
"T5565",0.14654405,0.154405949,0.195499896,0.110971329,0.106751718,0.077531038,0.106633577,0.162488971,0.186577195,0.221461614,0.109269914,0.157711758,0.154796418,0.052816716,0.14376494,0.106859162,0.135004264,0.106684264,0.108643522362908,1.23377422975357,3.18186335546623
"T5567",0.155545552,0.061989164,0.168941383,0.099419482,0.088073633,0.068409443,0.085514527,0.172226448,0.183827524,0.210145221,0.09156561,0.183001746,0.097514409,0.063496686,0.122039106,0.085083595,0.12617578,0.084637268,0.298660868622046,0.528255897618533,2.5219008050874
"T5571",0.127691955,0.147511378,0.117773007,0.085423435,0.085796155,0.145615069,0.084874832,0.145256251,0.174769384,0.229335443,0.085723245,0.101459394,0.12272581,0.141018869,0.146601061,0.085064585,0.110742667,0.084881717,0.0974753966471101,1.29607167261645,3.240138211556
"T5577",0.128779865,0.070175368,0.205801739,0.093086547,0.090646724,0.122288793,0.09071596,0.083656648,0.157774101,0.201461576,0.092137616,0.098753937,0.113042647,0.107525407,0.115957609,0.090202017,0.110472977,0.089847916,0.150018498556999,1.03635405387163,2.99719072991304
"T5573",0.127396256,0.123068877,0.113447422,0.092438001,0.097096246,0.124897767,0.102844825,0.130803072,0.164043964,0.206138642,0.091078359,0.090660716,0.16644359,0.122697458,0.147212386,0.097905142,0.102420467,0.099771558,0.026253533957864,1.93895294678153,3.84150821990834
"T5575",0.169764852,0.184196332,0.195978874,0.082159495,0.087097618,0.11266327,0.087328038,0.111099385,0.203213897,0.23857905,0.073558085,0.09895513,0.194666275,0.12990746,0.094954851,0.088852139,0.135919485,0.085634514,0.279631531309222,0.583936459115068,2.57398603618349
"T1710",0.043049164,0.029485468,0.062997868,0.057161317,0.053907486,0.05786741,0.076402192,0.056572001,0.093325959,0.059092535,0.062781587,0.05969126,0.112665123,0.055071799,0.069050866,0.019679997,0.029519431,0.057038069,0.264688057566692,0.62895866888666,2.61610113232087
"T1712",0.06306319,0.106812058,0.06508539,0.057292145,0.053194135,0.057775204,0.073263061,0.148111809,0.10812741,0.058163839,0.064048643,0.058588286,0.130887056,0.089180721,0.029465265,0.0147923,0.063535552,0.056460583,0.468659324836549,0.0786404035204016,2.10131727853767
"T5776",0.113138664,0.119424099,0.30280651,0.103071336,0.103262711,0.140643094,0.102736468,0.148111809,0.102944546,0.096449728,0.105673924,0.172860044,0.184682135,0.11909753,0.06752454,0.072966179,0.076370611,0.112019594,0.40122609002006,0.250174790139316,2.26177557723007
"T5778",0.102692165,0.09368344,0.297161596,0.093775309,0.099632085,0.143392352,0.099294867,0.148111809,0.124230752,0.096449728,0.101441228,0.17786114,0.184554572,0.099122394,0.06752454,0.072966179,0.076370611,0.098649549,0.441173880450619,0.147993673725483,2.16619236256723
"T5784",0.053311588,0.073350304,0.217420452,0.095386936,0.091399413,0.098484369,0.091571111,0.148111809,0.09011811,0.096449728,0.09895266,0.191561493,0.196627536,0.097417026,0.06752454,0.072966179,0.076370611,0.087479363,0.412335975971342,0.221540054983329,2.23498980571683
"T5786",0.106607768,0.088973792,0.284119665,0.10599673,0.105743283,0.132852503,0.105934037,0.148111809,0.221189383,0.096449728,0.106524286,0.156280421,0.168300645,0.105695244,0.06752454,0.072966179,0.076370611,0.105653535,0.407130625149146,0.234932337351519,2.2475173396228
"T5790",0.095332981,0.113257923,0.258551121,0.095030216,0.096531769,0.129069961,0.095492574,0.148111809,0.227254852,0.096449728,0.098563498,0.159792832,0.17444477,0.096299687,0.06752454,0.072966179,0.076370611,0.100785981,0.386233242860043,0.289150139472667,2.29823426267642
"T5794",0.091924931,0.115389311,0.297942856,0.090529864,0.090055954,0.122412383,0.090326279,0.148111809,0.215134897,0.096449728,0.090832631,0.148859242,0.168303355,0.089975489,0.06752454,0.072966179,0.076370611,0.121060697,0.474181097084038,0.0647636369294761,2.08833654387321
"T5796",0.104491776,0.121958069,0.295770083,0.093502931,0.079270108,0.132795732,0.078770995,0.148111809,0.226055788,0.131262072,0.081930868,0.16247434,0.176140828,0.078521425,0.06752454,0.07095715,0.076370611,0.130366652,0.472851669465142,0.0681033810362848,2.09146063851108
"T5798",0.104692697,0.130444147,0.27186552,0.096080853,0.096684411,0.129552515,0.096411387,0.148111809,0.210962138,0.096449728,0.097328741,0.150036516,0.168312947,0.096867474,0.06752454,0.072966179,0.076370611,0.107202775,0.365683286758707,0.343308251915287,2.34889535025322
"T5802",0.096115223,0.107981671,0.29318269,0.089084371,0.090988125,0.12866902,0.090719096,0.148111809,0.186056102,0.096449728,0.092797315,0.161655796,0.178227886,0.092755123,0.06752454,0.072966179,0.076370611,0.107505146,0.445002773158945,0.138297189885038,2.15712198705242
"T5804",0.082411361,0.082735484,0.287751491,0.082094582,0.095775168,0.144927765,0.092308775,0.148111809,0.124056005,0.096449728,0.08804397,0.177208207,0.198005858,0.096928596,0.06752454,0.072966179,0.076370611,0.091965863,0.491109637854321,0.0222866779393017,2.04860235000377
"T5806",0.104800927,0.114522854,0.296212078,0.090389711,0.086693555,0.138406607,0.085661343,0.148111809,0.213345194,0.096449728,0.092601387,0.155287821,0.186605119,0.085267938,0.06752454,0.072966179,0.076370611,0.136372635,0.460889467128688,0.0981931341696304,2.1196074765359
"T5808",0.088148797,0.090847352,0.294211111,0.090490703,0.090558916,0.139317268,0.089957089,0.148111809,0.201726204,0.096449728,0.094814049,0.167870776,0.18777848,0.094177459,0.06752454,0.072966179,0.076370611,0.131213676,0.468686856788135,0.0785711776131626,2.10125252259269
"T5812",0.082699106,0.074408864,0.29171411,0.096588796,0.099462948,0.136139229,0.096278052,0.148111809,0.213622964,0.096449728,0.10304161,0.159612983,0.180618166,0.100822819,0.06752454,0.072966179,0.076370611,0.099207258,0.48464613861893,0.0384959290367633,2.06376495911931
"T5818",0.094469122,0.078029664,0.29946411,0.092288861,0.101337345,0.134725848,0.099618062,0.148111809,0.182426453,0.096449728,0.103068137,0.167218254,0.169098861,0.103609884,0.06752454,0.072966179,0.076370611,0.088271411,0.470192890279824,0.0747849950984395,2.09771081636792
"T5820",0.071484615,0.095448361,0.294219793,0.099964574,0.099674653,0.125478524,0.099025703,0.148111809,0.189934451,0.096449728,0.104709233,0.172708821,0.175681437,0.104848429,0.06752454,0.072966179,0.076370611,0.101743963,0.457012668895521,0.107962627527926,2.12874614729608
"T1088",0.046314616,0.042474257,0.042153825,0.042893057,0.04296389,0.041642628,0.046071737,0.069197518,0.084454202,0.041070322,0.041875346,0.042102674,0.140695317,0.05013313,0.045716861,0.041088172,0.041898612,0.04247754,0.478720830842934,0.0533642842495145,2.07767325487748
"T1091",0.008568505,0.06024827,0.064024334,0.099300226,0.059499783,0.061033148,0.045106198,0.075526699,0.100697015,0.063170663,0.060538428,0.049168195,0.101325895,0.057848557,0.018808101,0.008166821,0.096768019,0.060545516,0.466844845720082,0.083203548236502,2.10558577800454
"T1089",0.123369975,0.058433382,0.043667717,0.064333019,0.062213593,0.055489302,0.042553678,0.056112955,0.056093501,0.052603916,0.045918864,0.043926637,0.135101295,0.043537123,0.043118975,0.047201454,0.046189128,0.067869476,0.386059729184704,0.289603670849059,2.29865850923417
