"","ddpA","ddpB","ddpC","ddpD","ddpF","ddpX","glnG","patA","potF","potG","potH","potI","yeaG","yeaH","yhdW","yhdX","yhdY","yhdZ","pval","z","inv_cof_var"
"T6178",0.070899179,0.106812058,0.100468637,0.053070085,0.046342628,0.062050216,0.078497964,0.148111809,0.074511019,0.100264745,0.050580265,0.069892919,0.166199783,0.089180721,0.052937847,0.072966179,0.06365617,0.046352611,0.370153388478289,0.331447121005417,2.33780010035097
"T6180",0.062234694,0.106812058,0.088182388,0.055147542,0.054736198,0.057132543,0.078497964,0.148111809,0.06607798,0.091844101,0.055041635,0.062017703,0.166199783,0.089180721,0.055115351,0.072966179,0.057702644,0.055058217,0.364974634048082,0.345193017040308,2.3506584148571
"T6182",0.057805733,0.106812058,0.08254278,0.05291937,0.05348177,0.054701965,0.078497964,0.148111809,0.061252241,0.083148524,0.053043612,0.057944546,0.166199783,0.089180721,0.052905513,0.072966179,0.054923323,0.055982858,0.411918410592259,0.222612867162624,2.2359933457096
"T6192",0.053122418,0.106812058,0.09043053,0.04685582,0.051336532,0.048177008,0.078497964,0.148111809,0.04808156,0.092374984,0.049191581,0.051011467,0.166199783,0.089180721,0.047985792,0.072966179,0.047907621,0.060325713,0.497892484101985,0.0052827835109092,2.03269640819873
"T6194",0.052639687,0.106812058,0.091221361,0.04700488,0.051338876,0.04829952,0.078497964,0.148111809,0.048538648,0.094354594,0.049227056,0.050778602,0.166199783,0.089180721,0.048203727,0.072966179,0.048073683,0.061102404,0.496129443103132,0.00970219956977773,2.03683045966209
"T6199",0.055885253,0.106812058,0.098403203,0.046465298,0.048588386,0.049904128,0.078497964,0.148111809,0.063431077,0.105032962,0.046831647,0.05318194,0.166199783,0.089180721,0.046336622,0.072966179,0.050066492,0.054268071,0.485583106531707,0.0361456620291442,2.06156645039492
"T6201",0.060675512,0.106812058,0.107266149,0.049142399,0.048356027,0.055469712,0.078497964,0.148111809,0.069796917,0.113939392,0.047328991,0.060915562,0.166199783,0.089180721,0.047663089,0.072966179,0.055456239,0.053155348,0.442586345166293,0.144415104292794,2.16284486371152
"T6203",0.067698331,0.106812058,0.114020852,0.053308703,0.049430261,0.061064179,0.078497964,0.148111809,0.081946055,0.120974339,0.050129581,0.067200306,0.166199783,0.089180721,0.051867494,0.072966179,0.060964149,0.051336686,0.382858694084309,0.297981362799938,2.30649524811728
"T6205",0.066551001,0.106812058,0.097054605,0.0584165,0.054791063,0.063356654,0.078497964,0.148111809,0.072476815,0.101933561,0.055617034,0.065666625,0.166199783,0.089180721,0.056791043,0.072966179,0.063062348,0.054767488,0.314898253432313,0.482013287842665,2.478644110975
"T6207",0.058983182,0.106812058,0.084336657,0.053560705,0.054590267,0.055880658,0.078497964,0.148111809,0.062935685,0.088789322,0.053542897,0.058571715,0.166199783,0.089180721,0.053361251,0.072966179,0.055851672,0.067564205,0.37753604382927,0.311958467161785,2.31956984167694
"T6210",0.057877352,0.106812058,0.095890486,0.049791334,0.051335049,0.05294701,0.078497964,0.148111809,0.067011254,0.097867124,0.050286155,0.053432393,0.166199783,0.089180721,0.049735334,0.072966179,0.053141196,0.05627673,0.436359298637538,0.160206261330048,2.17761637537473
"T6214",0.05824782,0.106812058,0.108361322,0.051132875,0.05021776,0.057399251,0.078497964,0.148111809,0.073697163,0.11461421,0.049708143,0.062912687,0.166199783,0.089180721,0.050651464,0.072966179,0.057958488,0.051480286,0.417701143281478,0.20777803153733,2.22211640515712
"T6216",0.070840971,0.106812058,0.11496726,0.055020414,0.050044946,0.063925495,0.078497964,0.148111809,0.085953275,0.118897031,0.050919966,0.069404082,0.166199783,0.089180721,0.052615123,0.072966179,0.063571844,0.051821914,0.353447585505481,0.376029222790049,2.37950350656297
"T6218",0.067861771,0.106812058,0.094228677,0.059179123,0.056086682,0.064100979,0.078497964,0.148111809,0.07534902,0.096650194,0.056759517,0.066780879,0.166199783,0.089180721,0.058010947,0.072966179,0.063899716,0.057748321,0.28837806738429,0.55812924067047,2.54984520677181
"T6220",0.053632177,0.106812058,0.080312501,0.050709491,0.055699223,0.051160717,0.078497964,0.148111809,0.057840563,0.084786769,0.053196441,0.053084044,0.166199783,0.089180721,0.051439944,0.072966179,0.05111955,0.083014081,0.421122959627691,0.199021509182617,2.21392529719799
"T6177",0.069457762,0.069531086,0.089655576,0.060503444,0.060989926,0.063344985,0.142457695,0.113688598,0.070438333,0.089546249,0.060485023,0.06704324,0.106064218,0.073906511,0.06042055,0.085397545,0.063587711,0.06099614,0.00447324921092677,2.61409184066699,4.47305295230419
"T6189",0.061741369,0.084568007,0.092561796,0.062447088,0.068097334,0.058350633,0.152359999,0.12810778,0.059577483,0.096093689,0.064733656,0.062235104,0.121214543,0.089745496,0.062782589,0.101584534,0.058528157,0.072523951,0.0539605448868355,1.60760785962092,3.53155830249619
"T6202",0.054842296,0.075890141,0.084526758,0.056436194,0.061640928,0.053651053,0.156357224,0.121037391,0.057902087,0.088830901,0.060017505,0.054700732,0.1132483,0.081041128,0.058498935,0.092898751,0.053613537,0.065803783,0.0696608476373965,1.47832168817118,3.41062022399088
"T6213",0.051911873,0.076894636,0.085018081,0.057069189,0.060233733,0.051913849,0.148928126,0.121631393,0.05376721,0.088024054,0.057836305,0.05446785,0.114873763,0.083166395,0.055581986,0.095611541,0.051973982,0.061915706,0.110597094186216,1.22335885033749,3.17212050393494
"T6186",0.054410687,0.076219277,0.075849406,0.0568807,0.061722828,0.053601174,0.148792426,0.123872894,0.055628622,0.075056799,0.059671831,0.053946533,0.116720689,0.082052346,0.05851972,0.09565088,0.053596874,0.07144812,0.0874434402510716,1.35666750954028,3.29682133551902
"T6198",0.055258834,0.076664561,0.08469726,0.056956586,0.061972533,0.054384306,0.156304625,0.120541705,0.058309124,0.088801595,0.060181709,0.055320921,0.113227461,0.081694013,0.058463939,0.093571434,0.054433904,0.065842184,0.0629655910376083,1.53034569954549,3.45928501080602
"T6209",0.054286979,0.080500356,0.079535226,0.056776383,0.063293786,0.053238314,0.151957428,0.125980727,0.053390153,0.082752497,0.061109906,0.054145972,0.119341517,0.086667155,0.058945551,0.100151697,0.053239283,0.068261357,0.111963506405058,1.21615203154914,3.16537903416578
"T6179",0.055814691,0.077157718,0.082054795,0.055604976,0.060597987,0.053876569,0.153322286,0.128025075,0.054336025,0.084113128,0.057938635,0.055445406,0.120563309,0.083625553,0.056797307,0.098279052,0.053864035,0.063282471,0.13013306467051,1.12576233850385,3.08082586292555
"T6191",0.062965354,0.084133667,0.091628739,0.061360153,0.06751165,0.058333189,0.154514739,0.127843962,0.065126747,0.095920292,0.064242213,0.062993997,0.121044457,0.089692103,0.061918622,0.102141926,0.058527421,0.07310277,0.0474961364699287,1.66963160695693,3.5895771357589
"T6204",0.053986733,0.077880648,0.081761121,0.056834751,0.06288981,0.05323107,0.15374978,0.122649575,0.055278717,0.086006406,0.060963583,0.053943741,0.114991087,0.082842523,0.058868691,0.094425236,0.053245808,0.067654036,0.0806892344785952,1.40045045857048,3.33777719079444
"T6215",0.056406321,0.080013232,0.07890292,0.057892834,0.063747274,0.055215953,0.153695492,0.125913445,0.055425047,0.082909354,0.061700811,0.056579626,0.118844918,0.08569531,0.059816994,0.09866393,0.055205778,0.069411374,0.0831575799773147,1.3841414080073,3.32252122633018
"T6181",0.055619509,0.078739529,0.080963388,0.056474064,0.061376576,0.053995766,0.153300635,0.129952894,0.054579481,0.082432138,0.058665128,0.055736448,0.122479258,0.085262635,0.057293385,0.100011215,0.053944294,0.064753063,0.137572434085244,1.09129097387902,3.04858033693901
"T6193",0.061247375,0.079368817,0.088738078,0.057099507,0.061960305,0.056328617,0.153299446,0.125037476,0.059090563,0.092474935,0.059600231,0.060961534,0.117590463,0.084771281,0.057810169,0.096925956,0.056450065,0.067356956,0.06919214670284,1.48183466312562,3.41390636384686
"T6206",0.054735005,0.077021999,0.083344781,0.056074533,0.0615338,0.053743876,0.151662168,0.121608689,0.056765032,0.087087717,0.060010735,0.055070309,0.114838541,0.082533965,0.057888423,0.0953714,0.053690467,0.066590462,0.0782081335410854,1.41722803710534,3.35347143007173
"T6217",0.056076127,0.083480029,0.078887205,0.060041895,0.066544017,0.055561573,0.149788204,0.126256842,0.055711011,0.083505551,0.064091197,0.056047199,0.119801076,0.088991844,0.061682168,0.101097166,0.055584148,0.071449711,0.0777815798929467,1.42015294324944,3.35620747310642
"T6175",0.054555653,0.074252389,0.080998354,0.053884696,0.058541883,0.05263136,0.15830871,0.129988514,0.05281816,0.082347093,0.055957669,0.054297413,0.121074453,0.080728408,0.054975815,0.095959192,0.052625791,0.061685218,0.165510614006787,0.972058938850716,2.93704719266761
"T6188",0.05399258,0.076616677,0.075149099,0.057122961,0.062711451,0.053350898,0.148504178,0.124481353,0.054801913,0.074750921,0.060032469,0.053480803,0.116911479,0.082115759,0.059178247,0.095325607,0.053337896,0.070187389,0.0914541895310255,1.33185336176738,3.27360945355399
"T6200",0.054033709,0.07666571,0.0834526,0.056109908,0.06115631,0.052694521,0.149690638,0.120280946,0.055577429,0.086823819,0.059293051,0.053937788,0.113745495,0.081944015,0.057339662,0.094881986,0.052670738,0.065852777,0.0822214550530103,1.39028315786135,3.32826639936517
"T6211",0.054765074,0.079333053,0.080297316,0.056928147,0.063074046,0.053785567,0.151189054,0.124493066,0.054035551,0.084364479,0.060857529,0.055120376,0.117846249,0.085331078,0.05893006,0.098692777,0.053756311,0.068144625,0.0950748602682359,1.3101363288658,3.25329470372033
"T6183",0.054755191,0.076717749,0.07833244,0.055494106,0.060116401,0.053785965,0.151683953,0.128716091,0.053582059,0.079561911,0.057859497,0.054943683,0.12115145,0.083613111,0.057066057,0.098852114,0.053651135,0.06320567,0.140822078340459,1.07663322086317,3.03486904465566
"T6195",0.063354884,0.079749357,0.083970819,0.059790338,0.064034356,0.059293331,0.149547487,0.125514136,0.06246209,0.087120469,0.061876149,0.063442907,0.118919215,0.085841206,0.060437734,0.099257946,0.059414569,0.070708134,0.0408056121848794,1.7414129242473,3.65672348627986
"T6208",0.055740002,0.074546564,0.082772858,0.056265855,0.060876814,0.054089062,0.148869731,0.120658356,0.05793342,0.086676909,0.059432098,0.055166662,0.113077462,0.079680904,0.057768392,0.09223614,0.054063487,0.065454672,0.065112797309191,1.51321287599641,3.44325846491823
"T6219",0.055154872,0.081416065,0.08046871,0.058483104,0.064845353,0.054609687,0.150452767,0.125883579,0.05463926,0.085043156,0.062339738,0.055434225,0.119118099,0.086822866,0.060369929,0.099628546,0.054612625,0.069361067,0.0896072052495224,1.34317779323387,3.28420265904817
"T7317",0.127119856,0.173523296,0.074169638,0.087551678,0.081969566,0.088087809,0.07781743,0.224096754,0.089101233,0.094445558,0.073653328,0.077671247,0.120281747,0.086120703,0.084445828,0.073153666,0.072378826,0.087184959,0.317555913561747,0.474544283450745,2.47165738509877
"T7253",0.130320785,0.186790798,0.04417997,0.096675895,0.084696132,0.100081088,0.06626288,0.222123367,0.098998738,0.066193041,0.076386062,0.063379264,0.107680832,0.082110513,0.090824973,0.073642131,0.098023852,0.093622722,0.387790137078286,0.285083365167066,2.29443008265686
"T7255",0.110106659,0.146220346,0.063407936,0.086337621,0.079965001,0.086594605,0.075002697,0.269565323,0.085631573,0.079581387,0.075565362,0.07762903,0.084069587,0.081129081,0.080726215,0.080781598,0.120862831,0.084939936,0.479478176742598,0.051463289900578,2.07589500898133
"T7142",0.065699033,0.075843721,0.100441211,0.049450216,0.054978432,0.052677449,0.055692794,0.087186562,0.080651473,0.106334119,0.049835916,0.067096869,0.068136148,0.05066777,0.049332521,0.049181386,0.057561731,0.052666442,0.050691401152584,1.6381864645625,3.56016242684716
"T7144",0.051313256,0.060763094,0.083694082,0.041834391,0.055531499,0.042882695,0.053746977,0.07162033,0.063215516,0.08608812,0.045459641,0.053128963,0.051343949,0.047097294,0.042094709,0.043743503,0.044527021,0.049915818,0.0200342618002012,2.05304180098125,3.94823028191287
"T7146",0.056050775,0.06724173,0.092114459,0.044540319,0.054209878,0.04645356,0.053311719,0.079221531,0.070582809,0.094831124,0.045906354,0.059747375,0.05844988,0.046981129,0.044515851,0.044956742,0.048567646,0.050497611,0.0455699589844819,1.68941505462889,3.60808315323028
"T7148",0.063565215,0.076814997,0.102597046,0.050049861,0.053276521,0.052027202,0.054590288,0.092789397,0.082457484,0.109041377,0.050605019,0.066748782,0.06766598,0.051042592,0.050049829,0.05005204,0.056822582,0.052637059,0.0733036915766177,1.4516196815284,3.38564238344225
"T7150",0.053839235,0.059016271,0.073892782,0.037962053,0.035990299,0.045589314,0.035874255,0.066702808,0.061649664,0.075410683,0.03485805,0.055301126,0.052702066,0.034487743,0.037089356,0.035201403,0.046758088,0.034625537,0.0593928476923191,1.55989077273708,3.48692233923042
"T7152",0.055585001,0.063646036,0.087857039,0.045042802,0.060933085,0.045879637,0.068158567,0.07435933,0.067484867,0.089244957,0.049582448,0.05679288,0.054098521,0.054032961,0.045639623,0.048678404,0.045413589,0.057988527,0.00864115014374351,2.38064622878282,4.25468107679589
"T7154",0.055871716,0.06477125,0.086535774,0.041474996,0.05336521,0.044030208,0.057516739,0.077392565,0.06810105,0.092898484,0.044808561,0.054239574,0.054652713,0.048724745,0.041694448,0.042966732,0.044952199,0.050645409,0.0480733418013281,1.6638286160669,3.58414884779929
"T7156",0.061804853,0.070937752,0.096540481,0.049426778,0.060698822,0.050867449,0.071852987,0.084416822,0.075389034,0.101990898,0.05281546,0.061546614,0.060909672,0.05595267,0.049798303,0.051105769,0.051714094,0.061722003,0.0186865929004943,2.08166383918529,3.97500417632468
"T7158",0.0480153,0.055977434,0.078746605,0.035122579,0.046827756,0.038389727,0.046843238,0.067801623,0.05940761,0.082719902,0.037822401,0.049620425,0.046181027,0.039260292,0.035220097,0.036420594,0.039509544,0.044224224,0.0815511642601677,1.39471324717847,3.33241043490749
"T7160",0.060027284,0.066624788,0.086243921,0.052165837,0.062439359,0.053124,0.06825981,0.075581751,0.06992564,0.088993779,0.055954601,0.061248195,0.06007259,0.059898815,0.053130147,0.054956108,0.053873516,0.061005879,4.56375053754746e-05,3.91268646266936,5.68779646726205
"T7162",0.052223035,0.058407993,0.077942815,0.041371365,0.052685912,0.043758443,0.059841422,0.067703377,0.060926478,0.080659728,0.044055243,0.053681623,0.050753478,0.046957209,0.041841265,0.04341247,0.043644713,0.049172571,0.00544191151634415,2.54640692902049,4.4097384998261
"T7164",0.056911481,0.062300553,0.08390349,0.05265985,0.067748055,0.051205127,0.074119775,0.071334887,0.065158208,0.089041809,0.058308317,0.05703462,0.056502624,0.062169256,0.053787523,0.056493448,0.051640613,0.066523143,2.79398020378109e-05,4.02956735191066,5.79713028077303
"T7157",0.049548073,0.0573882,0.079535128,0.037192663,0.043861396,0.041649103,0.055815892,0.06619946,0.059490177,0.084612182,0.037624092,0.04970043,0.047898175,0.038886185,0.036625281,0.054081975,0.040686591,0.045536469,0.0505494089644611,1.63954975266646,3.56143768654348
"T7159",0.059673653,0.066791942,0.086301422,0.050670928,0.060073847,0.052605186,0.075207208,0.074569794,0.070060522,0.09029088,0.054161211,0.061242488,0.059394564,0.059772112,0.05188619,0.056301205,0.052711112,0.061118422,0.000143055736113512,3.6275607475879,5.42108150673891
"T7161",0.052019473,0.059180913,0.077685359,0.038509223,0.051379012,0.042160176,0.058442265,0.068333406,0.062089389,0.079850604,0.041906822,0.054011373,0.048037195,0.045255718,0.038787498,0.040517487,0.042390806,0.046825095,0.0172179205479107,2.11493085343058,4.00612311762613
"T7163",0.058072415,0.062741403,0.083251461,0.05038176,0.061062079,0.051702214,0.091896222,0.071562131,0.065514766,0.09145058,0.05358117,0.057679633,0.057366846,0.057461151,0.050940048,0.08238712,0.050806463,0.068669767,0.000589490266233825,3.24391710257067,5.06220998367585
"T5290",0.113701803,0.15043546,0.22207327,0.075295031,0.080072639,0.13349818,0.075722733,0.192235336,0.099057359,0.237719344,0.075218585,0.147772288,0.14712569,0.097083589,0.078380615,0.077760282,0.126750805,0.082847604,0.336695182193615,0.421499516211081,2.42203775329445
"T5292",0.093251723,0.129857239,0.221527211,0.077519136,0.080963219,0.110313043,0.077764314,0.205897571,0.164411456,0.241709636,0.077962356,0.136508111,0.138345031,0.119281018,0.077991953,0.077884787,0.123816768,0.077684464,0.355981777347652,0.369220261494063,2.37313420436676
"T5294",0.115173082,0.165224728,0.234339827,0.073652178,0.066097401,0.094412582,0.068284699,0.18537799,0.072948084,0.24749547,0.069270829,0.1580504,0.15615511,0.094779656,0.082101463,0.078721255,0.133270656,0.117285099,0.423811857373771,0.192151270884219,2.20749867469563
"T5296",0.115379436,0.150897316,0.21793296,0.083774363,0.08687697,0.107543262,0.083335487,0.202401968,0.107846259,0.232842524,0.083452644,0.149088808,0.148691443,0.104699595,0.085110644,0.084455436,0.130197495,0.083852338,0.271726135351161,0.607600799105332,2.59612235420905
"T5298",0.088763581,0.150150393,0.220808821,0.084318424,0.085369162,0.12991565,0.084710655,0.203648974,0.091562268,0.236140824,0.084124178,0.147028911,0.146346662,0.099192157,0.08586452,0.084566918,0.127474086,0.084734462,0.319509116571261,0.469071914854606,2.46653837093455
"T5300",0.105974801,0.141721827,0.223301627,0.079033679,0.080618211,0.11506863,0.079127427,0.205236663,0.099892082,0.240968624,0.080221808,0.14336719,0.143844065,0.140585189,0.079563943,0.078908173,0.125617833,0.07924038,0.33648142548799,0.422085171524581,2.42258559245998
"T5302",0.110556337,0.151368974,0.222547321,0.06763521,0.063859315,0.099196635,0.068563763,0.20845447,0.086844404,0.238083792,0.071062557,0.152565316,0.153276009,0.067769449,0.078744515,0.076610922,0.136621529,0.067889841,0.483425008527029,0.0415593025482086,2.06663052859255
"T5304",0.133724142,0.163006855,0.231952921,0.073791304,0.061895496,0.144723424,0.068986818,0.180852342,0.103606924,0.245905389,0.069504056,0.15748389,0.15613197,0.076630042,0.082270582,0.079410076,0.134513563,0.061227126,0.430345367178065,0.175494955301836,2.19191786834238
"T5306",0.118562659,0.151982491,0.227025158,0.068007863,0.061306877,0.101548699,0.067915102,0.210737544,0.106630281,0.243221674,0.067134534,0.151319591,0.151204748,0.072326023,0.078531997,0.076576613,0.132806388,0.061356161,0.488109879015059,0.0298085272473589,2.05563850856522
"T5308",0.117183491,0.151391591,0.222688425,0.069041546,0.068944408,0.109626609,0.069039689,0.160553342,0.082733405,0.238797365,0.068065622,0.150247564,0.15002083,0.093006683,0.07875788,0.076479502,0.130453411,0.080326957,0.391903920496422,0.274360180065086,2.28439930065482
"T5310",0.112974719,0.145542586,0.223728311,0.0755495,0.077630003,0.140638191,0.075470555,0.203901254,0.093043898,0.239497168,0.075557443,0.141802677,0.14099381,0.101289316,0.079518398,0.077659375,0.120217556,0.082750789,0.361938018052125,0.353283337289997,2.35822633781838
"T5312",0.135933713,0.163620941,0.230557774,0.077603654,0.064839289,0.112002305,0.07143668,0.170507972,0.106500807,0.244026825,0.070023092,0.157303895,0.155686763,0.058388706,0.086316904,0.082532067,0.134596435,0.058156546,0.442905446283287,0.143606898938261,2.16208884470718
"T5314",0.119685305,0.154089628,0.225128309,0.072360036,0.072011114,0.125689222,0.072553869,0.160271718,0.126872872,0.240969074,0.072239589,0.15381299,0.153810727,0.088150741,0.080580953,0.07916143,0.135717946,0.071900091,0.348306041745058,0.389897850416885,2.39247662780159
"T5316",0.11507368,0.14934304,0.221168783,0.066465297,0.06345424,0.129223591,0.066640632,0.162285088,0.08952722,0.23727519,0.06623207,0.149330712,0.149387449,0.081263313,0.074892148,0.072432031,0.130821583,0.065324654,0.430929254644994,0.174008847144925,2.19052771916454
"T5318",0.108470957,0.14120828,0.220232706,0.07502297,0.078950242,0.126758902,0.075692319,0.19379408,0.091777574,0.236611558,0.075464397,0.138248508,0.137627679,0.10567446,0.075339205,0.075020392,0.117491284,0.080882784,0.356534944319162,0.367736276037734,2.37174604082533
"T5545",0.088264353,0.165069939,0.236697893,0.133992493,0.069296564,0.097785287,0.075700352,0.093521169,0.215390356,0.117139186,0.084959666,0.178611674,0.127464157,0.09381962,0.073228266,0.083834164,0.125852499,0.087960415,0.325746582263474,0.451688832407078,2.45027772552963
"T5549",0.074869781,0.085487593,0.209596892,0.068798439,0.069344832,0.107545882,0.073654437,0.220954371,0.099688326,0.091792788,0.080001568,0.066375012,0.154968201,0.067893142,0.07965976,0.077547275,0.12797074,0.068055343,0.459840534335536,0.100835470843076,2.12207919579611
"T5551",0.087606986,0.094111539,0.2517279,0.067434159,0.062756728,0.069122125,0.073898895,0.117484628,0.203816063,0.09722416,0.080596648,0.176677779,0.154271323,0.07512293,0.074290771,0.097787214,0.132522672,0.062738436,0.493531135761413,0.016215748633707,2.04292342458795
"T5555",0.162630943,0.177462381,0.113730222,0.083990887,0.081636663,0.093689348,0.070469291,0.139758291,0.202132492,0.261785066,0.070403631,0.069127012,0.078733443,0.08891856,0.084935025,0.077491406,0.123872903,0.067336371,0.469874620222975,0.0755850378861166,2.09845919986771
