"","agaB","agaC","agaD","agaI","agaR","agaS","kbaY","pval","z","inv_cof_var"
"T0866",0.067816604,0.097114482,0.064126719,0.070638523,0.064451731,0.074608305,0.074965662,0.125270530558428,1.14903618282833,6.47344796512464
"T0868",0.050838214,0.06191374,0.050318034,0.058003411,0.102236389,0.050318003,0.066277342,0.419142185096734,0.204088462488544,3.40335074615371
"T0869",0.061643936,0.109513243,0.053066129,0.070260331,0.072749725,0.07631482,0.077788277,0.326500189775541,0.449597931937678,4.20100115914776
"T0870",0.064349637,0.108375708,0.054321071,0.070758635,0.130644334,0.071006467,0.081097489,0.459695132357176,0.101201803966459,3.06907612185568
"T1658",0.072101085,0.093870587,0.069351121,0.076616246,0.156925043,0.06579079,0.086685535,0.491993194184962,0.0200714334351282,2.80548680407548
"T1660",0.078202493,0.098323527,0.075726781,0.082671735,0.163523968,0.072128543,0.09172811,0.470487304770977,0.0740449612260179,2.9808446297013
"T2460",0.048754422,0.026052678,0.052635499,0.051174298,0.046066126,0.028550189,0.040840606,0.360495121598649,0.357135668555011,3.90059497628633
"T8315",0.073202533,0.09810323,0.068305458,0.076353645,0.154763814,0.076663419,0.082885188,0.468913094916525,0.0780023422403801,2.99370200179193
"T8316",0.075396014,0.114866632,0.069028375,0.078996727,0.124813908,0.079791651,0.087976949,0.322345120997197,0.461151044481272,4.23853675813072
"T2112",0.115931817,0.09267592,0.064638325,0.09324488,0.110157783,0.117238359,0.089461455,0.220010274697683,0.772158513808157,5.24898754403909
"T2088",0.061556183,0.07911282,0.055682416,0.057326686,0.106475931,0.056964564,0.063525523,0.382095345437062,0.299982255311451,3.7149058304459
"T2089",0.069737086,0.090976531,0.062975253,0.065011874,0.099557693,0.063997775,0.071578259,0.228394605669186,0.744144250063949,5.1579703254551
"T6034",0.114094076,0.045690175,0.077317447,0.071861681,0.046339852,0.073038627,0.050435701,0.490038793281731,0.0249716374801475,2.82140737035357
"T6045",0.107103521,0.057900369,0.088885898,0.072391401,0.057074044,0.072827747,0.063144825,0.340129175171678,0.412110612679462,4.07920636338917
"T6058",0.096284065,0.051391043,0.080470404,0.058064893,0.049325403,0.058585143,0.05920166,0.375759405888411,0.316637323555603,3.76901747873874
"T6069",0.10076173,0.051338961,0.0849244,0.060675876,0.049276973,0.061638772,0.060181164,0.401631375108272,0.249126734380283,3.54967828396962
"T6030",0.107978914,0.051110929,0.079291968,0.07202729,0.051139288,0.072785212,0.055667843,0.412570852745859,0.220936719878042,3.45809005822634
"T6041",0.113285912,0.051547303,0.082094619,0.073027818,0.051128387,0.073629073,0.058177768,0.432401353317801,0.170263764797257,3.29345566087088
"T6054",0.099001689,0.049089209,0.082130713,0.058963107,0.047786927,0.059734687,0.058949801,0.409991648644384,0.227566459453945,3.47962981603132
"T6065",0.102016518,0.050020673,0.086441626,0.060690802,0.048338589,0.061441216,0.059253507,0.42382212539703,0.192125053266991,3.36448210973084
"T6047",0.11054315,0.057217943,0.088484531,0.073888457,0.055888031,0.074305514,0.061533496,0.37203933345136,0.326456935002847,3.80092100223178
"T6060",0.115277528,0.049240456,0.081012698,0.068544324,0.051382615,0.069553757,0.054520108,0.464160140851069,0.0899583887139287,3.03254671694202
"T6071",0.098860355,0.049833923,0.082167409,0.060142069,0.048406832,0.060989826,0.058580029,0.399343720145893,0.255046169047725,3.5689102896343
"T6038",0.110047351,0.047460508,0.08132187,0.070703846,0.047809491,0.071802091,0.053496628,0.457984946592507,0.105511565611985,3.08307836447456
"T6049",0.112152484,0.056127725,0.085193689,0.071431706,0.054787769,0.071875952,0.061773944,0.390168987845625,0.278878621232343,3.64634097029348
"T6062",0.095405599,0.050898775,0.072624694,0.058068026,0.049489315,0.058896724,0.05705269,0.356537577429225,0.367729214111161,3.93501298063823
"T6073",0.099427468,0.050483,0.080810794,0.059539476,0.049100969,0.060388441,0.059137052,0.394843178075137,0.266717919059918,3.60683133699136
"T6032",0.112283476,0.045700956,0.078988758,0.071430742,0.046085467,0.072230454,0.051592481,0.481792361501921,0.0456556375674441,2.88860885650814
"T6043",0.110180521,0.053523835,0.080395794,0.071889915,0.052989065,0.07259138,0.059518975,0.396871002802811,0.261454535772285,3.58973081592981
"T6056",0.095301143,0.052114827,0.082755307,0.057955067,0.049802197,0.058655904,0.060833713,0.367413404683145,0.33871185457416,3.84073674408158
"T6067",0.099779487,0.0508808,0.083012789,0.059700016,0.048749326,0.060506796,0.058906712,0.402316584665204,0.247355423456186,3.5439233658668
"T6040",0.112960972,0.046679292,0.077489721,0.071798354,0.047324752,0.072680969,0.051481662,0.477154230695585,0.0572971866628519,2.92643178229865
"T6051",0.107863889,0.052159943,0.081440349,0.069461968,0.05185361,0.070041484,0.058014061,0.402953479184645,0.245709705781949,3.53857649519223
