"","agaB","agaC","agaD","agaI","agaR","agaS","kbaY","pval","z","inv_cof_var"
"T7330",0.085052636,0.066852383,0.08944042,0.064674112,0.163061487,0.081599152,0.09726862,0.494232379918961,0.0144577832357069,2.78724827987509
"T7332",0.084394681,0.067347067,0.112697586,0.067561931,0.163175131,0.075552615,0.095755112,0.493451032794569,0.0164165637240291,2.7936122790682
"T7334",0.093121624,0.084728592,0.073183099,0.083429355,0.156422955,0.089573725,0.075222893,0.434299098623296,0.165439332607099,3.27778127430822
"T7336",0.089506894,0.071328267,0.071035534,0.067066562,0.152592633,0.086243237,0.066048031,0.491077674020003,0.0223668193622977,2.81294442083012
"T7342",0.09002944,0.066504796,0.07855797,0.064253672,0.161999366,0.087265674,0.085447054,0.499994789092672,1.30618076441921e-05,2.74031795967795
"T7344",0.09003511,0.074623871,0.083650871,0.075090328,0.161804904,0.08566894,0.064404331,0.493254494425641,0.0169092807590443,2.79521309694032
"T7348",0.081532364,0.080941386,0.081396695,0.079760915,0.150116016,0.087961539,0.054881796,0.467634782182096,0.0812167683372745,3.00414554317336
"T7350",0.095593153,0.075890519,0.061914308,0.072764699,0.155950148,0.090554457,0.070201307,0.492418110720206,0.0190061222539446,2.80202565080288
"T7352",0.079548291,0.079559512,0.079063956,0.079503825,0.15554322,0.084488454,0.064079661,0.47415212184626,0.0648364197285461,2.95092644795046
"T7354",0.087415519,0.080997105,0.070454688,0.079280156,0.152322003,0.091140796,0.068882763,0.450223874185921,0.125095749374268,3.14670659152905
"T7358",0.087857037,0.067333695,0.092751778,0.064615607,0.143521563,0.082390795,0.066914946,0.450517192742578,0.124354767626366,3.14429917156858
"T7360",0.080166267,0.072472951,0.0949971,0.073409163,0.167020952,0.075975025,0.092662996,0.492733819002965,0.0182146218705864,2.79945409782332
"T7362",0.085221422,0.070385724,0.086226973,0.068540175,0.152288772,0.084493574,0.056565676,0.496207486773655,0.00950656407536826,2.77116196753476
"T7364",0.081589871,0.080494388,0.08359043,0.082344511,0.162567907,0.08015036,0.073599343,0.474939532566856,0.0628586463336827,2.94450074156626
"T7368",0.107498264,0.074216711,0.062284667,0.071436448,0.144679613,0.087635851,0.067596597,0.467534638616694,0.0814686228683851,3.00496380843704
"T7416",0.084305362,0.084252852,0.054624243,0.083364124,0.162929221,0.090006966,0.085857988,0.496782759208337,0.00806451414830486,2.76647680519678
"T7418",0.078631083,0.077747053,0.074078194,0.078687574,0.157632426,0.082377373,0.107208385,0.455941195200315,0.110664509475964,3.09982007228102
"T7422",0.085137929,0.060790197,0.098486462,0.058858696,0.152471542,0.080238576,0.082781315,0.491826169664424,0.0204901879342918,2.80684732063702
"T7424",0.08655997,0.074278588,0.075057936,0.073614979,0.138091595,0.086596889,0.053737554,0.443918075375056,0.141042774704204,3.1985178368101
"T7426",0.084449169,0.079829749,0.074571281,0.078623066,0.135741673,0.088840744,0.058644179,0.398544232187784,0.257116987214624,3.5756382947486
"T7428",0.080299115,0.07833852,0.090625041,0.081245453,0.158487468,0.078782342,0.072080092,0.463455677208768,0.0917315190024262,3.03830754608676
"T7430",0.08317226,0.069470618,0.10244857,0.070019953,0.158133353,0.081128492,0.099563842,0.457701316438368,0.106226516460143,3.08540121108648
"T7432",0.083374545,0.061009101,0.109858596,0.059921093,0.124784035,0.080359959,0.096613234,0.390662128971516,0.277593714167452,3.64216635880795
"T7434",0.087255198,0.082162794,0.066240786,0.079094998,0.148279741,0.09240591,0.067483434,0.444343134967857,0.139966739184225,3.19502184059116
"T7229",0.081080391,0.080475298,0.067020329,0.080319351,0.16498581,0.083782191,0.083771039,0.493934861227297,0.015203634038149,2.78967151919834
"T7232",0.086018487,0.071171481,0.08627556,0.068158566,0.165536341,0.083900196,0.088801726,0.491443168250272,0.0214504412595547,2.80996714515211
"T7446",0.116442848,0.07039094,0.083887049,0.070960039,0.167886275,0.081470829,0.083071501,0.499602910638493,0.000995355585464277,2.74350939273883
"T7242",0.084821008,0.075551286,0.076289861,0.073552409,0.144365881,0.085021626,0.065841583,0.434025314494802,0.166135104034409,3.28004180775154
"T7249",0.102053109,0.071275265,0.073558802,0.069092844,0.148075704,0.079810656,0.080732077,0.447706611107606,0.131457730866484,3.16737641406629
"T7450",0.129461669,0.073599676,0.071488504,0.073453221,0.159070411,0.085415527,0.078302264,0.495226271981433,0.011966247197231,2.77915337928107
"T7262",0.074648904,0.062638475,0.081204047,0.058282945,0.144674381,0.082459475,0.069116297,0.491241691419095,0.0219555877398824,2.81160834579321
"T7271",0.083778354,0.072734689,0.056642472,0.071318912,0.150367375,0.084140575,0.074832274,0.493063663458514,0.0173876933998571,2.79676744040977
"T7272",0.08355072,0.066930903,0.066044757,0.063481877,0.140224524,0.082272351,0.072233592,0.460489916077533,0.099199549988032,3.06257087903798
"T7276",0.087498815,0.061025873,0.069641555,0.056560799,0.130192929,0.083355254,0.069263238,0.443781736494432,0.141387950204114,3.19963929815608
"T7277",0.082954362,0.081548662,0.067608697,0.082801553,0.163707524,0.083235799,0.087016492,0.479830153560699,0.05057986571016,2.90460747611547
"T7279",0.081436519,0.076098587,0.079473659,0.077274422,0.166811121,0.079249235,0.105861927,0.484641268155678,0.0385081465299551,2.86538694498384
"T7280",0.082327144,0.070438409,0.079201541,0.069605001,0.165974992,0.082913797,0.100340672,0.49840603144686,0.0039954972748344,2.75325673268028
"T7284",0.08392708,0.072243264,0.066847572,0.070595456,0.162635794,0.084615095,0.104110966,0.498835961790247,0.00291781522951978,2.74975538696661
"T7486",0.141190071,0.078918721,0.07255971,0.078199661,0.160766199,0.083288987,0.078588446,0.498936075660566,0.00266686599249215,2.74894006296707
"T7488",0.135229944,0.080188485,0.097018347,0.079030316,0.142994052,0.087274771,0.093446039,0.359741634058276,0.359149479532179,3.90713776732911
"T7492",0.15742941,0.068080066,0.094976334,0.065729132,0.132110281,0.0847766,0.091448567,0.475874482244498,0.0605106116183289,2.9368720710118
"T7290",0.085780028,0.065428865,0.097024084,0.064668776,0.163443916,0.08131331,0.107136968,0.492668926029824,0.0183773116593724,2.79998267041772
"T7295",0.084539223,0.07242815,0.06909362,0.07509084,0.158369842,0.07795327,0.092229216,0.481896825110496,0.0453935146492834,2.88775722966704
"T7299",0.086209979,0.083822646,0.061647498,0.082566592,0.149580022,0.090526752,0.075802178,0.440203982052745,0.150452068373002,3.22908825430861
"T7300",0.087628118,0.07032602,0.077585071,0.069148505,0.15252736,0.079356217,0.074548995,0.472096297860685,0.0700013366939066,2.96770705588279
"T7142",0.077879223,0.067474189,0.125948172,0.052520146,0.060252938,0.053629506,0.097138001,0.48669301207619,0.0333618598480534,2.84866686609477
"T7144",0.064223992,0.053734457,0.103449924,0.050445801,0.052557003,0.051498212,0.079793009,0.434872048606794,0.163983545540977,3.27305148055676
"T7146",0.068958871,0.057813662,0.113793324,0.049845366,0.048911465,0.05130897,0.084806448,0.489019334440414,0.0275279230857442,2.82971263969251
"T7150",0.061476181,0.054917552,0.086634294,0.034596798,0.039306281,0.034726565,0.071119483,0.499021868486519,0.00245181456446687,2.74824136950827
"T7152",0.067216661,0.055308012,0.116063208,0.056437029,0.046497995,0.057810254,0.082070207,0.479930005874046,0.0503292542944495,2.90379324968383
"T7156",0.072245974,0.056413234,0.123682992,0.05835415,0.048915087,0.059397505,0.092781069,0.497774859593888,0.00557762877680187,2.75839701443311
"T7160",0.070086934,0.060256076,0.106804387,0.060326727,0.051900964,0.061749924,0.083055986,0.375926155555505,0.316197887470862,3.76758976853569
"T7162",0.062248057,0.052934652,0.106233319,0.048364164,0.042702965,0.049523258,0.074095196,0.488428315834447,0.0290099792319085,2.83452778063074
"T7164",0.065907068,0.055488699,0.11224718,0.06360165,0.051733395,0.06570838,0.078225632,0.411215226853717,0.224420072086519,3.46940732975126
"T7159",0.069487555,0.06012146,0.106176901,0.059056652,0.051093102,0.060150984,0.083967662,0.386647984443489,0.288066325484346,3.67619145267007
"T7161",0.061032835,0.052830157,0.099105326,0.046995762,0.039577433,0.047478095,0.074477331,0.476713262036851,0.0584043824114051,2.93002901684964
"T7163",0.061941275,0.054990598,0.078166122,0.060270498,0.051151378,0.063439359,0.07948493,0.163583303639629,0.979836954823316,5.92372646395689
"T5296",0.1210481,0.116395976,0.151614405,0.107012666,0.081690554,0.085983729,0.193571836,0.452061096965061,0.120455670214144,3.13163116056216
"T5310",0.115508436,0.109209677,0.141518316,0.131047974,0.068117586,0.152369447,0.198314884,0.438446660551026,0.154908666684439,3.24356756336191
"T5318",0.109869168,0.104033381,0.160533292,0.122126978,0.067716081,0.126034901,0.193524303,0.45501947113409,0.112989421067233,3.10737361673335
"T5555",0.065104737,0.090277502,0.090988742,0.063924383,0.08690377,0.126993949,0.106145486,0.341363473642112,0.408744807729635,4.06827099818998
"T5557",0.100670386,0.163972959,0.115476309,0.09266118,0.179042409,0.125396587,0.105681951,0.369521192948954,0.333121744831324,3.82257470187986
"T5563",0.085523046,0.162402708,0.08482713,0.069572765,0.090898592,0.091275058,0.093298942,0.440134972018406,0.150627022101612,3.22965667195129
"T5571",0.092879329,0.14556796,0.139346795,0.085943506,0.102766801,0.10819509,0.101634467,0.256557506172095,0.653995022641215,4.8650791035964
"T5573",0.100602533,0.127738221,0.110234786,0.138433041,0.092325607,0.06114665,0.090018118,0.348352398282574,0.389772478257354,4.00663066116762
"T1708",0.061628498,0.0861592,0.123227455,0.068519064,0.132954677,0.061607303,0.076427721,0.471541071535397,0.0713965653732727,2.97224009786611
