"","alaE","kbl","lrp","tdh","yojI","pval","z","inv_cof_var"
"T6055",0.085186313,0.047647882,0.118907667,0.059721062,0.045225901,0.341803262661611,0.407546668290034,3.24938544591689
"T6057",0.085186313,0.058041248,0.064347873,0.074197332,0.049479575,0.217741368741306,0.779843942998947,4.16640212479987
"T6059",0.085186313,0.051438745,0.110917456,0.059896634,0.051392803,0.253676397317626,0.662965274235609,3.8785147403289
"T6061",0.085186313,0.064184847,0.113141065,0.072071902,0.062375245,0.0311902531335143,1.86358143845994,6.83578873163342
"T6063",0.085186313,0.061962131,0.061135081,0.068949942,0.06558296,0.0302039865477444,1.87780407145203,6.87082092917389
"T6066",0.085186313,0.039290676,0.346284773,0.047895442,0.036979305,0.485217850281093,0.0370618372624467,2.33683305188963
"T6068",0.085186313,0.04984551,0.207102417,0.05023423,0.042237993,0.386227782749307,0.28916441024523,2.95779452520496
"T6070",0.085186313,0.048013285,0.159667577,0.062113831,0.049242399,0.299099747267816,0.526991495184601,3.54359361210411
"T6072",0.085186313,0.059683438,0.157269923,0.056616864,0.0622592,0.126854822628538,1.14138523742136,5.05692542328364
"T6074",0.085186313,0.06553714,0.125128939,0.071052189,0.074016772,0.00330058284451464,2.71632212093066,8.93620010101322
"T6076",0.085186313,0.059391672,0.083422972,0.067338387,0.079072009,0.0506504661110808,1.6385791756172,6.28157885197601
"T6077",0.085186313,0.041593569,0.158900277,0.041895842,0.03714693,0.494801687491848,0.0130306058628656,2.2776409989133
