"","ykgM","znuA","znuB","znuC","zur"
"ykgM",1,0.99276831435051,0.987483299722829,0.988282913397196,-0.0460357043301622
"znuA",0.99276831435051,1,0.988006446544393,0.990011855631638,-0.0115240216272818
"znuB",0.987483299722829,0.988006446544393,1,0.989492475508841,-0.0467360179316739
"znuC",0.988282913397196,0.990011855631638,0.989492475508841,1,-0.0127024188385414
"zur",-0.0460357043301622,-0.0115240216272818,-0.0467360179316739,-0.0127024188385414,1
