"","argO","lysP","argP","lrp"
"argO",1,0.991328767942172,0.188258133391475,-0.0679694260927509
"lysP",0.991328767942172,1,0.186684746330472,-0.0482667275617934
"argP",0.188258133391475,0.186684746330472,1,-0.27025607085359
"lrp",-0.0679694260927509,-0.0482667275617934,-0.27025607085359,1
