"","fldB","ompN","pgi","ribA","ydbK","soxS"
"fldB",1,0.321680803314519,0.385295848991319,0.47733545771597,0.26464323694578,0.180001488638743
"ompN",0.321680803314519,1,0.193685046203215,0.10511590328131,0.10373658710491,0.199480001815392
"pgi",0.385295848991319,0.193685046203215,1,0.367213136734188,0.392228129707916,0.175293301821356
"ribA",0.47733545771597,0.10511590328131,0.367213136734188,1,0.415023367810445,0.0638735759873104
"ydbK",0.26464323694578,0.10373658710491,0.392228129707916,0.415023367810445,1,0.0933739683316384
"soxS",0.180001488638743,0.199480001815392,0.175293301821356,0.0638735759873104,0.0933739683316384,1
