"","dgcN","gfcA","ybhL","yfiB","yfiR","yjjQ"
"dgcN",1,0.679290161674466,0.658856211137684,0.635172209912666,0.642577739740643,0.467857891574604
"gfcA",0.679290161674466,1,0.713090204124273,0.716759644173857,0.722420480610902,0.628721299241074
"ybhL",0.658856211137684,0.713090204124273,1,0.654854929229402,0.637108155032621,0.440053493139718
"yfiB",0.635172209912666,0.716759644173857,0.654854929229402,1,0.683957047711402,0.738120304176902
"yfiR",0.642577739740643,0.722420480610902,0.637108155032621,0.683957047711402,1,0.576493347620787
"yjjQ",0.467857891574604,0.628721299241074,0.440053493139718,0.738120304176902,0.576493347620787,1
