"","lolA","osmB","rarA","rcsB","pval","z","inv_cof_var"
"T7299",0.122890957,0.076249721,0.080364412,0.35328031,0.49364045278615,0.0159416960652729,3.60801519836511
"T5290",0.136925246,0.143218986,0.100301933,0.201409896,0.43320868449541,0.168210896412823,5.47184971559979
"T5292",0.127844841,0.134852424,0.090790296,0.197774081,0.449175937795663,0.127743611782865,4.97651433759871
"T5294",0.14605996,0.13419217,0.113954283,0.213793374,0.351057661563612,0.382466566813383,8.09442284985377
"T5296",0.139211474,0.145143469,0.106864865,0.198128915,0.405826586690842,0.238293872684819,6.32969273275718
"T5298",0.136354203,0.14215238,0.105588923,0.200237166,0.399959554603256,0.253451792445607,6.51523159416282
"T5300",0.133215435,0.139625118,0.097130975,0.199216626,0.436058690603391,0.160969552826931,5.38321284027809
"T5302",0.14345451,0.149501692,0.106403777,0.203214652,0.42572689310622,0.187263823054285,5.70506498334694
"T5304",0.14614965,0.124566878,0.113511534,0.211475565,0.362599836020752,0.35151813189792,7.71560191221063
"T5306",0.14126261,0.147367861,0.104958941,0.206075159,0.425169207934272,0.188686649396812,5.72248093380297
"T5308",0.139610853,0.146064359,0.103520538,0.202077034,0.427226642845344,0.183439371843637,5.65825220597886
"T5310",0.130430617,0.136662524,0.099383689,0.201995213,0.412560354267862,0.220963685918764,6.11756447431114
"T5312",0.146171751,0.129366415,0.115139522,0.210258751,0.342346594093565,0.406067250260676,8.38330443811321
"T5314",0.143941985,0.150186113,0.107794902,0.205207915,0.42096315766771,0.199430102079897,5.85398499305663
"T5316",0.139170065,0.145553803,0.102272459,0.201059087,0.431626823578468,0.172233900745826,5.52109286077768
"T5318",0.127441968,0.133612096,0.094519701,0.198079473,0.427824664088972,0.181915133078759,5.63959492784248
"T5553",0.108562859,0.105864288,0.092331989,0.073961934,0.24771780080371,0.681689036165717,11.7570228072854
"T5549",0.097743316,0.1547169,0.134443235,0.148270491,0.465724084314768,0.0860229559825575,4.4658372066701
"T5555",0.142432654,0.154266239,0.092003483,0.233755688,0.483523437050713,0.0413123669326661,3.91856212433646
"T5557",0.086161716,0.149392665,0.118708147,0.222751673,0.489516427606529,0.0262814441620949,3.73457775571999
"T5561",0.109860177,0.148611711,0.084515043,0.147240851,0.495802846410021,0.0105208979501809,3.54166251105337
"T5563",0.14759869,0.157588945,0.088053223,0.230066667,0.497598592965887,0.00601947112202778,3.48656328757306
"T5569",0.124946113,0.141618906,0.173138345,0.21255356,0.416665641271408,0.210431022074271,5.98864055281561
"T5571",0.126341256,0.125066157,0.141579965,0.201850406,0.187832463617531,0.885912040783997,14.2567921917185
"T5577",0.120956976,0.12412312,0.150533386,0.186778496,0.350268267285764,0.384596301710258,8.12049163726642
"T5573",0.119856431,0.124283669,0.126031975,0.195837581,0.00193816013690136,2.88805504767672,38.7638050096048
