"","alaA","avtA","leuE","livF","livG","livH","livJ","livK","livM","lrp","lysU","sdaA","yfbR","pval","z","inv_cof_var"
"T1593",0.085209652,0.180665922,0.040006584,0.183652276,0.177941194,0.066263899,0.145405557,0.117553036,0.186892727,0.193085132,0.276554583,0.117769366,0.036398605,0.469321592468937,0.0769753118933567,1.89077413952259
"T2299",0.253991527,0.283918223,0.101742144,0.042743715,0.075217276,0.339610577,0.204004116,0.327420181,0.253481993,0.249360899,0.26336076,0.192890887,0.067391402,0.454400642581691,0.114550665825504,1.91815787123544
"T2300",0.260320416,0.277823755,0.055629168,0.077108047,0.097052002,0.329552311,0.233604963,0.250824922,0.307847796,0.239520183,0.249189021,0.163029451,0.051051363,0.450763399488951,0.123732852520387,1.92484955902217
"T0878",0.106935233,0.167581937,0.079188284,0.126008982,0.129110626,0.094331446,0.08818723,0.123322894,0.090693038,0.340497847,0.127696846,0.070070752,0.080953892,0.00378682764800768,2.67050806131751,3.78085893092528
"T0879",0.083799445,0.190792385,0.056451185,0.076515722,0.082421579,0.094402792,0.204004116,0.135963715,0.067052064,0.382849012,0.086531159,0.069113284,0.063247038,0.390658026404852,0.27760440174345,2.03698628645723
"T0344",0.355964004,0.136825485,0.117097771,0.359704733,0.275540563,0.179147792,0.204004116,0.170115038,0.20726904,0.1348371,0.125681305,0.066999938,0.081065877,0.434932152140796,0.163830850923774,1.95407171438719
"T0345",0.31245323,0.149918119,0.126824658,0.309776744,0.274558405,0.214468835,0.204004116,0.120055711,0.25134661,0.138489772,0.141075709,0.0656266,0.083358948,0.311840804174204,0.490639267301763,2.19223937108463
"T0346",0.329448513,0.146852563,0.118160452,0.353536079,0.280142589,0.188640811,0.204004116,0.157351868,0.218191205,0.138109469,0.133776968,0.062635867,0.078536831,0.391929767676033,0.274292906487804,2.03457297325697
"T0877",0.027968244,0.183616236,0.046907566,0.071321761,0.078373991,0.090694024,0.087361538,0.131639771,0.066070304,0.378056295,0.072455279,0.101793795,0.066044934,0.353643334249206,0.375502660053827,2.1083314465206
"T0726",0.141902255,0.199797776,0.03411575,0.21965381,0.349539237,0.230819262,0.186559922,0.224895457,0.22377574,0.311566913,0.267738663,0.14677042,0.033871786,0.36336323652035,0.349483344004985,2.08936939039945
"T0727",0.132222718,0.207548197,0.041316603,0.207110082,0.249162457,0.21248499,0.189580672,0.214076184,0.194856913,0.259038515,0.274941942,0.135116558,0.038393763,0.24184464504987,0.700381173913032,2.3450926511883
"T0734",0.129214031,0.22300264,0.041305502,0.218887939,0.322764748,0.227472462,0.185319061,0.196065235,0.227690798,0.331228968,0.27010619,0.158079252,0.037467092,0.306624239566894,0.505441924129163,2.20302708006885
"T0735",0.133547368,0.232070193,0.039050862,0.218971334,0.398804487,0.225421996,0.178483744,0.212022995,0.211300278,0.337857888,0.277362003,0.157701447,0.035290215,0.431507166042426,0.172538327593133,1.96041744849365
"T0743",0.11679533,0.257434508,0.045469706,0.21543394,0.394689621,0.223507027,0.099001882,0.215989505,0.213611732,0.270162493,0.266922263,0.153468026,0.043262527,0.492111669511228,0.0197744008877517,1.84908792138245
"T0737",0.13240056,0.172586014,0.039192712,0.205232225,0.09932264,0.213761931,0.195691238,0.063329712,0.200996922,0.407524688,0.291650611,0.12555507,0.039798171,0.470013949771296,0.0752347960611416,1.88950570653118
"T0730",0.126799842,0.154160506,0.039722286,0.166468374,0.126309752,0.151834037,0.199732223,0.045124555,0.187650454,0.408183357,0.303642284,0.192400692,0.038661358,0.482955772827359,0.0427365472807925,1.86582200877159
"T0774",0.111663196,0.250741497,0.04551305,0.230692007,0.361026821,0.240027342,0.134393101,0.238110789,0.233682054,0.3093364,0.235190837,0.139542522,0.04103789,0.412965072529824,0.219924256169464,1.99495081729283
"T0775",0.114513261,0.251954805,0.046767546,0.211178606,0.376442584,0.218172117,0.140548904,0.21630658,0.21803324,0.188397896,0.235657317,0.118801651,0.045693649,0.440570114550782,0.149523928865786,1.94364528125285
"T0782",0.108312046,0.24775423,0.046144648,0.200511281,0.340266235,0.212646966,0.132500452,0.202680984,0.213306385,0.237018254,0.23005726,0.099011425,0.04557399,0.427759244902856,0.182081853092535,1.96737246859386
"T0783",0.108598941,0.252138307,0.045209773,0.206250979,0.232763256,0.210694084,0.124132323,0.20796746,0.207521972,0.230684557,0.214377221,0.114315101,0.044362699,0.283643252807429,0.572052355577819,2.25157065965458
"T0790",0.107934343,0.247387514,0.048594012,0.235850048,0.133123021,0.24097092,0.134317593,0.244144318,0.223360878,0.090053514,0.149765454,0.11310625,0.04355419,0.352945362880953,0.37738067554067,2.10970008491952
"T0791",0.117819499,0.256786054,0.038222422,0.196961689,0.140419347,0.198566803,0.15892038,0.184037629,0.198233072,0.056927937,0.21954008,0.127301936,0.035542592,0.267091833196322,0.621632316222146,2.28770296976056
"T0834",0.136145166,0.236966519,0.055880703,0.196065166,0.194442669,0.105586729,0.170486967,0.089847988,0.070048297,0.101124864,0.049909053,0.163265376,0.050379681,0.440513757345467,0.149666784992789,1.94374939028832
"T0835",0.127685309,0.217174561,0.064937496,0.179708794,0.183421463,0.112565693,0.167455523,0.1405459,0.107579159,0.317668702,0.240337881,0.181476643,0.068676589,0.117177375300086,1.18921582040128,2.70133990931268
"T0837",0.13334238,0.210931197,0.041057178,0.281518201,0.206730945,0.11820886,0.175689626,0.152329904,0.110067019,0.289576237,0.232039144,0.07968376,0.052605395,0.404375978385802,0.242036402181938,2.01106545123865
"T0750",0.117784954,0.247344643,0.043447075,0.206476832,0.164683787,0.213205816,0.135831766,0.185057279,0.211625581,0.133060663,0.224018511,0.150164528,0.042341791,0.217685608042532,0.780033399603292,2.40314067869517
"T0751",0.126497729,0.23303102,0.048889781,0.206567325,0.327693341,0.210828953,0.157025708,0.17185469,0.207831223,0.276398395,0.271027674,0.157412196,0.045588975,0.312650570002891,0.488351145506883,2.19057186015525
"T0766",0.115026651,0.253588398,0.035912114,0.200908391,0.224104918,0.202932584,0.141496246,0.167562229,0.209794931,0.271992831,0.296079347,0.13668809,0.035865133,0.35519812386899,0.371323968572835,2.10528614808821
"T0767",0.118152326,0.26404713,0.036460573,0.205277974,0.270465787,0.203007904,0.141722659,0.170173825,0.205319199,0.244812738,0.294552334,0.144796321,0.035710977,0.373161371848037,0.323491896333207,2.07042764387172
"T0832",0.125673959,0.213624143,0.064713633,0.192958997,0.180454019,0.101987315,0.165319375,0.071487646,0.080941124,0.049576362,0.061097132,0.133811825,0.054187156,0.340512534390942,0.411064733389621,2.13424796289297
"T0844",0.118629974,0.210068941,0.046212373,0.203656258,0.262775101,0.213884845,0.079118196,0.226740833,0.22249103,0.349530384,0.253138792,0.218071666,0.045336292,0.310522619422206,0.494369515835596,2.19495785845423
"T0752",0.116259663,0.245193605,0.049385259,0.194255287,0.323506777,0.199588371,0.126971437,0.152450196,0.1993953,0.285876035,0.25948169,0.149860332,0.047050358,0.364255058595441,0.347108088390043,2.08763837909278
"T0768",0.128364061,0.268634498,0.035386033,0.191681658,0.242430236,0.201061843,0.143748308,0.156817424,0.201086597,0.299315917,0.29576045,0.168527223,0.033541403,0.346608709080992,0.394492561212953,2.12217068698482
"T0753",0.12410431,0.230952025,0.046003697,0.215229137,0.351784539,0.226562278,0.089361685,0.156214005,0.220077171,0.199336015,0.193736294,0.143335468,0.048422508,0.441265782538043,0.147760776767468,1.94236035166532
"T0769",0.111613395,0.271852357,0.039040483,0.206364415,0.267548572,0.20760355,0.121819829,0.201350364,0.206600682,0.260007817,0.302870474,0.154239753,0.03564509,0.390046962757068,0.279196635485685,2.03814665614265
"T0762",0.124298682,0.254486537,0.037377037,0.195113614,0.291074813,0.206863852,0.148835486,0.198637556,0.206579132,0.172379341,0.263515658,0.153211184,0.038449914,0.315985095598049,0.478955634050428,2.18372470801683
"T0770",0.113502378,0.264827464,0.038308184,0.196042036,0.203526525,0.198474182,0.130430864,0.176688617,0.198323482,0.208437681,0.298970916,0.15074685,0.03722731,0.352615407042091,0.378268943255803,2.11034742638819
"T0763",0.11796566,0.26928475,0.034151215,0.203879546,0.192267551,0.208027732,0.124780544,0.15954341,0.207820541,0.252119076,0.264435445,0.146118289,0.034775419,0.343408546183704,0.403178258932706,2.12850054928036
"T0771",0.125340012,0.271570229,0.036983761,0.182873293,0.220669555,0.211201735,0.085765497,0.207331228,0.206060931,0.304282375,0.297553827,0.154872827,0.035960394,0.406960987416679,0.235369476557282,2.00620680631451
"T0764",0.117058771,0.252348112,0.035484429,0.181952245,0.182918529,0.192824312,0.140972711,0.154051388,0.201098947,0.188796899,0.278429399,0.128725574,0.03423799,0.343050368797245,0.404152286638983,2.12921038992318
"T0772",0.122105125,0.268808328,0.037567816,0.164431592,0.289556819,0.210721316,0.09700374,0.207426296,0.201487905,0.30202436,0.274275251,0.158551836,0.035053648,0.41586622301309,0.212480170781286,1.98952580286754
"T0765",0.117494201,0.259810687,0.035028801,0.18121382,0.154757381,0.190804257,0.145687619,0.127324368,0.189116335,0.087225857,0.246793881,0.147483666,0.033226833,0.320234741646452,0.467042483536042,2.17504278001344
"T0773",0.109287928,0.257270861,0.04153642,0.170001798,0.234342606,0.182312301,0.115475932,0.149907288,0.194201812,0.272424751,0.249384029,0.131405128,0.038116642,0.341229458614319,0.409110028235123,2.13282343548532
"T0821",0.138948491,0.186058727,0.040193742,0.207291453,0.24451599,0.197475671,0.04166741,0.130193453,0.207858553,0.362986819,0.283247776,0.161724735,0.043795794,0.442977662941437,0.143424004779407,1.93919984914989
"T0822",0.105735994,0.195467129,0.057220598,0.246629555,0.241572181,0.211098512,0.06108848,0.197478638,0.220228702,0.302117952,0.291685039,0.122250215,0.052723569,0.406193868126644,0.237346828038381,2.00764783765005
"T0823",0.129424036,0.217964741,0.055385196,0.221637392,0.21409793,0.218284988,0.108245868,0.199313092,0.162180421,0.228797986,0.270322265,0.205096104,0.04607016,0.217064403403296,0.782145946806998,2.4046802364053
"T0801",0.124263889,0.240964537,0.046764405,0.048572641,0.164559791,0.076351266,0.187966661,0.204270267,0.073411133,0.044148949,0.139199938,0.123361316,0.045313903,0.493638843373507,0.015945730777293,1.84629770747492
"T0829",0.117002376,0.115519907,0.05536718,0.233958951,0.326431648,0.175764553,0.057830078,0.161235132,0.234827477,0.328007838,0.147297942,0.150169481,0.055122363,0.491839621493049,0.0204564621328523,1.84958498608559
"T0808",0.133368368,0.233209546,0.059526818,0.084050598,0.144768,0.049634294,0.185350803,0.118783762,0.048934208,0.390161919,0.172385504,0.14111219,0.050690354,0.439549155478036,0.152112366117133,1.94553165260612
"T0831",0.128951841,0.186321185,0.068348699,0.056378206,0.130940991,0.06943492,0.166902389,0.157301384,0.110191733,0.384064867,0.235912145,0.145655705,0.070900118,0.257713125207938,0.650411810475661,2.30867655661999
"T0820",0.138232418,0.230121201,0.051623268,0.052785139,0.124948693,0.094678066,0.17960167,0.120974745,0.089615717,0.360655684,0.262169184,0.123851267,0.053195881,0.484061669013989,0.0399621049318754,1.86380008277529
"T0815",0.151863366,0.225942213,0.037475686,0.066054544,0.147442027,0.11601938,0.209860892,0.163123356,0.120330524,0.386053268,0.270011946,0.114346298,0.046672209,0.439301939170427,0.152739286190705,1.94598853216422
"T0827",0.149931706,0.201797829,0.054212176,0.161934139,0.154570654,0.051783159,0.192487864,0.168593434,0.158408827,0.379956359,0.259489777,0.180027864,0.056319148,0.253788458694147,0.662615380053904,2.31757013286875
"T0828",0.135301301,0.103253845,0.04399623,0.223782937,0.297755684,0.221090546,0.044724367,0.213521324,0.221838671,0.324007123,0.244115898,0.142006615,0.046939547,0.493644756511005,0.0159309068569083,1.84628690426973
"T0798",0.13154847,0.235788301,0.053082574,0.153349465,0.37953054,0.08936226,0.166394133,0.165862797,0.204146388,0.253541277,0.198111721,0.141749846,0.048261435,0.497129203576605,0.0071960815915992,1.83992123936992
"T5127",0.172562427,0.11014541,0.073676688,0.093390945,0.062349072,0.079300978,0.062596733,0.132970863,0.066538001,0.066004137,0.062111625,0.102446608,0.136433143,0.122426074566605,1.16294418414221,2.68219397018793
"T5129",0.153645222,0.111381633,0.088871237,0.146828864,0.128383208,0.083415415,0.059638932,0.16884514,0.068512234,0.122087456,0.093775461,0.074447176,0.082993645,0.071918796402539,1.46164836789994,2.89988014938663
"T5131",0.168485997,0.107002285,0.065851114,0.164773914,0.090003061,0.082903104,0.1190072,0.176384093,0.066162975,0.070825544,0.072441275,0.066332435,0.085939492,0.180693519158642,0.912725292289791,2.49984234107629
"T5133",0.161532841,0.097946381,0.06917331,0.154126205,0.112454963,0.063541548,0.129792394,0.106543216,0.060067344,0.130324438,0.115993811,0.064259703,0.075519855,0.0820215732904724,1.39160136076891,2.84883210193436
"T5135",0.18111214,0.129316945,0.084829054,0.190789854,0.075090076,0.104083243,0.094366928,0.149832065,0.058543828,0.250631099,0.102913989,0.13930981,0.112467052,0.0715489645604705,1.46435151244305,2.90185011579289
"T5137",0.150561923,0.115472839,0.085056014,0.202827363,0.151818992,0.084743491,0.085515342,0.093560021,0.100822214,0.255158747,0.085265189,0.187348472,0.098727837,0.0847313143879913,1.37393253239033,2.83595561760707
"T0321",0.111285626,0.056908716,0.061057091,0.092506409,0.10231437,0.099461948,0.146773189,0.05821068,0.108746848,0.333729136,0.166343548,0.120918475,0.07004644,0.0792936052580494,1.40983905886416,2.86212316055225
"T2491",0.168268086,0.268247125,0.032343469,0.088954251,0.106421839,0.134707045,0.229174512,0.225638959,0.117150606,0.305756305,0.282399763,0.193987157,0.034505263,0.493504590900393,0.016282295517529,1.84654298523245
"T2492",0.154798349,0.275674658,0.041557759,0.0898185,0.103597183,0.128588606,0.224492936,0.221484728,0.113267132,0.449787001,0.25242316,0.17553114,0.043492514,0.447747002962618,0.131355605560854,1.93040478079202
"T2493",0.162509125,0.287874345,0.039554664,0.094930803,0.112657216,0.137342249,0.223470906,0.221878366,0.122194052,0.517472202,0.213293017,0.1880682,0.04240732,0.402431404277549,0.247058683404464,2.01472553124302
"T0054",0.278024401,0.27846696,0.086383593,0.072364884,0.078805569,0.092988654,0.204004116,0.196029801,0.08829284,0.277226501,0.271490806,0.233933543,0.080446601,0.484195217850876,0.0396270824723131,1.86355592898323
"T1864",0.104377664,0.332773892,0.132082263,0.088921379,0.091927709,0.103147166,0.204004116,0.170406079,0.095984383,0.173284547,0.119814732,0.144485708,0.095438091,0.410528529186878,0.226185614891135,1.99951389786159
"T1868",0.091370827,0.319537763,0.134119937,0.08247884,0.081425454,0.086559078,0.204004116,0.139428817,0.082646445,0.182835288,0.124737107,0.158207655,0.100978225,0.451703298045408,0.121359118632406,1.92311965670206
"T1866",0.204585208,0.106349526,0.127014285,0.094993463,0.095700467,0.101602848,0.204004116,0.14452258,0.097595371,0.262189997,0.201028426,0.162183907,0.123242898,0.035836751561656,1.8011864132969,3.14732475784584
"T1870",0.17214911,0.111889358,0.122100348,0.095652646,0.097226072,0.10434415,0.204004116,0.148495958,0.099712019,0.279104031,0.195913335,0.141225474,0.144381015,0.00839411270624792,2.3913131819869,3.57739051689524
"T0009",0.158028603,0.238040542,0.083078046,0.066845377,0.073028358,0.079638008,0.198669035,0.187464829,0.085282344,0.213155851,0.197371091,0.071724675,0.067013925,0.44326986054513,0.14268404111661,1.93866058699268
"T2674",0.138173739,0.221822881,0.057565409,0.05324585,0.078058856,0.099130528,0.204024349,0.196618908,0.085332277,0.202350642,0.231713843,0.17177154,0.048826015,0.469853741365292,0.075637523238007,1.88979920138381
"T2675",0.138081646,0.235614702,0.062197545,0.064710432,0.085681147,0.102840746,0.196636888,0.190064005,0.092257438,0.338262549,0.262679034,0.20893594,0.057556975,0.454044389330224,0.115449584833601,1.91881297503017
"T1865",0.310201557,0.248119845,0.125523453,0.076623611,0.074828039,0.077246905,0.204004116,0.111320573,0.075127243,0.282993726,0.158833844,0.122885524,0.128986113,0.470312741068674,0.0744837358380969,1.88895835755117
"T0497",0.253722178,0.121403935,0.05151413,0.081444995,0.092961631,0.113231674,0.204004116,0.176678502,0.102586541,0.05143072,0.164883872,0.26694254,0.048758342,0.462335055326682,0.094552713488651,1.9035839948965
"T0709",0.13885494,0.1201356,0.176509402,0.076541948,0.083567607,0.100430933,0.204004116,0.174866305,0.090978636,0.238957719,0.295611859,0.169494504,0.08810932,0.299243345214842,0.526577974731386,2.21843036649446
"T0711",0.152146421,0.227889139,0.097086042,0.09377228,0.101021235,0.114995014,0.204004116,0.194792572,0.107782616,0.120848479,0.221333295,0.212728182,0.088711727,0.12341070520766,1.15810445937135,2.67866693156233
"T1075",0.079687239,0.256936512,0.081583153,0.0806585,0.092060417,0.118304097,0.204004116,0.233547682,0.102627152,0.358325261,0.155569508,0.076406207,0.070232759,0.444419688784315,0.139772960966242,1.93653908368026
"T1077",0.136855425,0.293784405,0.095015172,0.083948999,0.094650163,0.121626456,0.204004116,0.244551489,0.105373288,0.181212625,0.139799277,0.097466313,0.079965076,0.388782082453614,0.282494758751645,2.04055022425897
"T1705",0.143358766,0.053788351,0.077431954,0.097749727,0.105791489,0.061902185,0.204004116,0.169344696,0.113647503,0.264836465,0.132646501,0.081317879,0.016640794,0.405099890074507,0.240168309466348,2.00970404424217
