"","fabA","fabB","fabR","fadR"
"fabA",1,0.993748219775688,0.355783478402814,-0.156649426103018
"fabB",0.993748219775688,1,0.340460983247511,-0.165810105166631
"fabR",0.355783478402814,0.340460983247511,1,-0.0741106253773395
"fadR",-0.156649426103018,-0.165810105166631,-0.0741106253773395,1
