"","erpA","iscR","rnlA","rnlB","pval","z","inv_cof_var"
"T8405",0.181975695,0.120676799,0.166837735,0.165083807,0.222834927313151,0.762653859580535,6.00405045867242
"T1996",0.150860036,0.186571492,0.261465825,0.094067872,0.496145540723991,0.00966184692685886,2.47230279330978
"T1994",0.149415952,0.135711287,0.156678404,0.050985256,0.492230477333902,0.0194765364820305,2.51833649133079
"T4825",0.270132615,0.394407028,0.241547681,0.280701052,0.335858628645466,0.423792350560815,4.41469317034738
"T4828",0.272895095,0.269634976,0.155193765,0.109483226,0.498027800243577,0.00494359180875324,2.45017282882419
"T5536",0.12496841,0.08553549,0.079774669,0.076699595,0.361727650580655,0.353844661223869,4.08661852365536
"T5538",0.151859383,0.065195065,0.103583433,0.087792577,0.469935981828829,0.0754307880524586,2.78077791704332
"T5540",0.151009791,0.08065113,0.107256352,0.080292902,0.438917876064601,0.15371335758577,3.14794553308949
"T5542",0.164348118,0.135387647,0.103498907,0.132660628,0.263940248796252,0.631244763065372,5.38770425310078
"T5548",0.139007051,0.108344156,0.080477383,0.061798722,0.460563046442204,0.0990153368689627,2.89139618897926
"T5550",0.150617531,0.10563445,0.101748645,0.055281185,0.480845885015749,0.0480307072036451,2.6522637097976
"T5556",0.134396978,0.170686737,0.111466936,0.115183738,0.298620483795514,0.528372288076708,4.90520295525715
"T5558",0.111898315,0.148716162,0.117319577,0.110140172,0.177968766881378,0.923133701328455,6.75674676475085
"T5564",0.145981162,0.07602996,0.132428323,0.098918871,0.404026905015817,0.242937506161718,3.56643228079953
"T5566",0.112293405,0.141284883,0.134291626,0.12224369,0.0548826760771784,1.5992487049099,9.92791929419132
"T5568",0.10609953,0.094232728,0.09921452,0.095251318,0.00034542484298598,3.39318498103196,18.341992947742
"T5570",0.103753026,0.099755317,0.115499747,0.10130471,0.00439268286579457,2.62029529300515,14.716919500214
"T5572",0.093996015,0.137219263,0.141754201,0.112992452,0.25903465547565,0.646324366276428,5.45843190032716
"T5574",0.094669683,0.127928973,0.093170683,0.094753262,0.218061556488261,0.778756591132792,6.07957687012162
"T5576",0.102568053,0.073357402,0.111922757,0.106402106,0.241428645383226,0.701714400154949,5.71822698387049
"T5578",0.115454439,0.105009695,0.115071363,0.105510043,0.00019329849542947,3.54906816444544,19.0731296129899
"T5535",0.128594816,0.068076048,0.101328715,0.064621681,0.451448512944182,0.122002515734277,2.99921262517855
"T5537",0.097262573,0.144225734,0.084171841,0.108117226,0.352256278108458,0.379236086648886,4.20571156310076
"T5539",0.115491128,0.094041686,0.099153255,0.095514447,0.0477886191020739,1.66668408972413,10.2442105149191
"T5541",0.141221975,0.107223914,0.109605652,0.096789346,0.227406571478037,0.747414918405251,5.93257547087177
"T0883",0.260744241,0.252134157,0.305146566,0.116796848,0.462064798594054,0.0952332035778013,2.87365690330733
