"","erpA","iscR","rnlA","rnlB","pval","z","inv_cof_var"
"T2299",0.309737438,0.267275817,0.263214265,0.33163607,0.0869676655425111,1.35966698225771,8.8042125676638
"T0878",0.115815458,0.102354574,0.198464609,0.0862006,0.4925501099732,0.0186751904623767,2.5145779495581
"T2298",0.132558336,0.346638631,0.232348892,0.275411176,0.472040486062804,0.0701415800003346,2.75597002017881
"T2389",0.166448321,0.062454837,0.138666324,0.091205746,0.497393122810446,0.00653451857544637,2.45763472987973
"T2862",0.123503435,0.075222504,0.100979973,0.058761862,0.439205876041525,0.152982910509425,3.14451952761639
"T0347",0.22754496,0.226794856,0.153557153,0.131880828,0.390407982495089,0.278255849802635,3.73208540274792
"T0348",0.229300194,0.228757798,0.151044006,0.121182644,0.424608982157269,0.190116342310229,3.31868593159618
"T0349",0.227930078,0.226982836,0.149037067,0.155270985,0.340267904101864,0.411732080903115,4.35812706009461
"T0728",0.3185928,0.340816605,0.312062653,0.201802425,0.313011376894695,0.487332451942697,4.71271439891462
"T0736",0.318475506,0.354650405,0.31178587,0.20004721,0.334484813134383,0.427562563869158,4.43237654789442
"T0744",0.321565925,0.352132301,0.316905358,0.178307257,0.387402033218052,0.286096690275767,3.76886118465546
"T0737",0.301674314,0.222309552,0.293956848,0.154354381,0.408065371385876,0.232524393896709,3.51759180930303
"T0745",0.317690113,0.325690915,0.313283908,0.166825771,0.394202590290708,0.268382146539325,3.68577491357582
"T0738",0.305249582,0.131998672,0.299168776,0.159724195,0.497046876143516,0.00740245136106907,2.46170558260831
"T0746",0.291663334,0.139666521,0.285494451,0.161677803,0.473425374478241,0.0666620472790239,2.73965001763093
"T0739",0.300327587,0.159332165,0.294515589,0.1563069,0.466394510663297,0.0843363385413693,2.82254749310713
"T0747",0.292752673,0.135719131,0.287109478,0.160184447,0.481013009008051,0.0476113102013865,2.6502966180374
"T0776",0.275849356,0.273098174,0.304962478,0.13192797,0.436913646543501,0.158798928430843,3.1717983132748
"T0784",0.283787364,0.340767179,0.328152756,0.14426839,0.447489245201936,0.132007334532052,3.04613808366634
"T0792",0.285662562,0.165997562,0.303166562,0.142723499,0.472929942396711,0.0679067256831543,2.74548791494464
"T0785",0.273611933,0.301917066,0.296854387,0.12581872,0.452050097666431,0.12048344216363,2.99208773614056
"T0793",0.329047572,0.318388619,0.335874795,0.131685683,0.465294740973052,0.0871031998457322,2.8355248631029
"T0778",0.313014531,0.225181854,0.330786226,0.124841925,0.482714411251658,0.0433421116492626,2.63027285713946
"T0786",0.317264953,0.339942054,0.318918473,0.119522819,0.481211130086629,0.0471141369751797,2.64796473356661
"T0794",0.335501364,0.266334488,0.336943503,0.137115845,0.462786052877637,0.0934172262954034,2.86513945103734
"T0779",0.321255934,0.227708154,0.335413522,0.128737275,0.481556620787762,0.046247176112293,2.64389843943333
"T0787",0.315653711,0.353152017,0.324573107,0.130955609,0.470574520107612,0.0738257464530435,2.77324981338978
"T0795",0.338151784,0.33939814,0.342178432,0.136160181,0.46524097673403,0.0872384798120456,2.83615936479371
"T0796",0.329108291,0.354994738,0.327442048,0.134398947,0.467972685299358,0.080367001972674,2.80393017058053
"T0781",0.282102984,0.265531321,0.298363596,0.139180483,0.418673264510826,0.205288755199349,3.38984888272792
"T0789",0.302498734,0.335026802,0.314235302,0.124383,0.471438666963397,0.0716539130056192,2.7630632940395
"T0797",0.322865992,0.370379941,0.326696927,0.138956719,0.466744058524342,0.0834570629409237,2.81842343933644
"T0834",0.27907687,0.384249903,0.279962518,0.263643253,0.260671278487042,0.641277265980282,5.43475955800715
"T0836",0.282748089,0.40839504,0.282343906,0.170502625,0.456254475276147,0.109874443987318,2.94232850375643
"T0835",0.249304887,0.323149101,0.24634535,0.180777548,0.345225997015963,0.398241749361583,4.2948535510452
"T0837",0.209623091,0.291296075,0.233289858,0.218001686,0.19465199228585,0.860880278477123,6.46476042608945
"T0832",0.223636197,0.375088995,0.241608521,0.240323453,0.381925305671074,0.300428127548291,3.83607971988287
"T0833",0.340212248,0.407915167,0.342658067,0.213775861,0.367371896506196,0.338822045053602,4.0161581619312
"T0807",0.298370549,0.16672179,0.305300151,0.138489549,0.484217091924586,0.0395722092933345,2.61259093804809
"T5135",0.133140474,0.234469274,0.151027207,0.110169195,0.45961278588735,0.101409277862399,2.90262445617533
"T5137",0.093863118,0.121072853,0.103206904,0.085840947,0.183019357358815,0.903918318884111,6.66662113134911
"T0321",0.159137172,0.162941603,0.165560641,0.091462212,0.363682019660596,0.348634079563233,4.0621794070301
"T2493",0.211801046,0.252941639,0.20520521,0.085713173,0.483170470955303,0.0421978933735323,2.6249061465289
"T1866",0.095002867,0.14021197,0.136427906,0.094997163,0.317344418453492,0.475137688605703,4.65551747488179
"T1870",0.135879954,0.208135749,0.107279528,0.095968757,0.475669337377868,0.0610257838768011,2.71321433202251
"T1865",0.076484172,0.089840899,0.079342924,0.075698674,0.0175016046202076,2.10832127107038,12.3156150689463
"T0497",0.166741919,0.160338508,0.087173001,0.074327763,0.490692562840022,0.0233324020071189,2.53642160224477
"T1077",0.161002103,0.292520707,0.327100979,0.312161554,0.402181319296831,0.247705031511625,3.58879333674852
"T5142",0.187585008,0.172219844,0.143657898,0.136997184,0.180378269610128,0.913924461476035,6.71355279880966
"T5144",0.187585008,0.158409057,0.140218703,0.138545753,0.172508096900178,0.944300336968153,6.85602433310198
"T5146",0.187585008,0.164633632,0.133079561,0.12672809,0.263859133433128,0.631492935603917,5.3888682532082
"T5148",0.187585008,0.161945123,0.134429831,0.13054734,0.237717377210449,0.71366435229914,5.77427567346775
"T5150",0.187585008,0.163299089,0.138261548,0.134153765,0.205233859817472,0.823070823148409,6.28742327862725
"T5152",0.187585008,0.172219844,0.143657898,0.136997184,0.180378269610128,0.913924461476035,6.71355279880966
"T5528",0.093830281,0.048661241,0.10857529,0.096587399,0.425699534821731,0.18733361358432,3.30563413886011
"T5532",0.20429382,0.183089325,0.109154899,0.09059199,0.480975993884748,0.0477041987833386,2.65073229202455
"T5534",0.164388723,0.113324073,0.113904249,0.064761448,0.467891880014151,0.0805702076200375,2.80488326312149
"T5714",0.081912323,0.109612588,0.080362769,0.080639951,0.213822683884957,0.793227363272877,6.14744892568517
"T5716",0.164323113,0.152866164,0.104912911,0.118656691,0.304282615114035,0.512122568848483,4.82898712961402
"T5719",0.127381337,0.130941051,0.125230729,0.107820593,0.0212671254401722,2.02825478693069,11.9400803837408
"T5720",0.119924558,0.193905705,0.116201605,0.101025208,0.435086667129993,0.163438319031848,3.19355838064399
"T5721",0.11112555,0.140949331,0.11677694,0.110710375,0.102237617420006,1.26890419814222,8.3785091796929
"T5723",0.116624679,0.153010051,0.097033528,0.090003153,0.365221544174784,0.344536184726077,4.04295910949597
"T5724",0.102591769,0.114110811,0.105788653,0.101366606,0.000316374904958466,3.41717332683776,18.4545051429206
"T5728",0.08506113,0.093965259,0.078837811,0.062842616,0.216032784813969,0.785661934362982,6.11196490269292
"T5730",0.073823301,0.117129703,0.074066108,0.073343937,0.376808447342085,0.313873793966309,3.8991437367424
"T5732",0.102290528,0.097950685,0.103232577,0.105340087,4.23064953101474e-11,6.49216237121444,32.8770822698946
"T5734",0.154725602,0.099174001,0.072368449,0.073453811,0.4860822772568,0.0348936369372865,2.59064709705372
"T5736",0.104680692,0.158398861,0.103922379,0.102601914,0.345351396978263,0.397901500473321,4.29325768655186
"T5738",0.073153532,0.098468318,0.073029492,0.074167744,0.200474155075196,0.839928797365817,6.36649199394503
"T5740",0.149653276,0.105135582,0.080261831,0.087451141,0.418653610848468,0.205339068986351,3.39008486876335
"T5742",0.073165716,0.099665222,0.07253061,0.070370174,0.243337099206633,0.695608249608238,5.68958739331002
"T5744",0.122120138,0.107395689,0.105755215,0.108265754,0.00454534875913349,2.60862435234182,14.6621794541741
"T5746",0.107094909,0.13318621,0.095927941,0.091663116,0.240290063355219,0.705369809980543,5.73537190028466
"T5748",0.09995049,0.142878877,0.119072516,0.099804724,0.245742809736988,0.687947854649514,5.65365795241744
"T5750",0.095533853,0.106916144,0.090625507,0.09065051,0.0159218911627253,2.14636609269324,12.494056151571
"T5752",0.104356839,0.099777523,0.097661858,0.087890898,0.00666223842747878,2.47497696754249,14.0353350370821
"T5754",0.071905471,0.070993804,0.072006805,0.071725844,4.50337899406834e-237,32.8571394770107,156.536357236947
"T5758",0.090680177,0.109242225,0.075501058,0.087924226,0.191472593489237,0.872482544021652,6.51917836620199
"T5760",0.08781225,0.10521094,0.087089165,0.089692186,0.0374808897513068,1.78069812579794,10.7789689173398
"T8378",0.204485019,0.264155719,0.247043364,0.10334135,0.464973290190165,0.0879120484809555,2.83931859428607
"T2417",0.196999082,0.262007041,0.250529193,0.08565315,0.496574246616374,0.00858719582868304,2.46726237263694
"T2418",0.232517396,0.21589211,0.244456006,0.095556176,0.462471727546329,0.094208597803822,2.86885120950267
"T2419",0.199133417,0.214177032,0.248374037,0.074586249,0.499993861714529,1.5386399919483e-05,2.42705813749335
"T2420",0.165779604,0.206387472,0.240708036,0.078792948,0.495791166930129,0.0105501756895461,2.47646930899782
"T5664",0.31393998,0.17841125,0.237685429,0.288784998,0.348843535466188,0.388444563948771,4.2489019524527
"T2661",0.130847249,0.110540842,0.163695144,0.06085031,0.47641941455046,0.0591422221062199,2.70437988919439
"T5731",0.117715771,0.077780065,0.129519997,0.105060774,0.30321603976245,0.515173078793351,4.84329489277074
"T5735",0.111878168,0.145095173,0.112593636,0.087118368,0.306302106352368,0.506359625034058,4.80195727668041
"T5764",0.122362867,0.214861068,0.101048928,0.11658879,0.477589373478224,0.0562046875331151,2.69060201280773
"T5527",0.108587928,0.058019299,0.112380218,0.130727685,0.42710762184342,0.183742783760276,3.28879212110339
"T5531",0.169550876,0.107746827,0.090802626,0.078761454,0.470954965378898,0.0728695428704655,2.76876494540495
"T0070",0.196891328,0.320165662,0.174291569,0.131758692,0.490078943920077,0.0248709634967795,2.54363789519053
"T0246",0.101514448,0.086663194,0.057248074,0.077094423,0.341078758972996,0.409520783188128,4.34775544205473
"T0256",0.085199123,0.057761805,0.091532981,0.065827496,0.312353746392764,0.48918957026552,4.721424814418
"T0257",0.093885639,0.077181601,0.073956539,0.086329927,0.0754356376018182,1.43646075740443,9.16439731269579
"T0247",0.046875513,0.089454687,0.0805552,0.056030303,0.417728560393716,0.207707807936657,3.40119493117705
"T0248",0.085730758,0.088280604,0.082844757,0.075241193,0.0044108596340623,2.61888689087032,14.7103136918283
"T0249",0.107929446,0.105250318,0.112575257,0.056373617,0.398366598585925,0.257577239746953,3.63509681381227
"T0602",0.173899639,0.100176904,0.191619257,0.193353398,0.389001953062815,0.281921235513295,3.74927710891311
"T0603",0.20449715,0.101209215,0.168798112,0.159348888,0.393092228162954,0.27126859812931,3.6993131961775
"T0587",0.164546264,0.181369818,0.153904643,0.086805141,0.406519156321274,0.236508241794137,3.5362771941072
"T0588",0.136823223,0.186999357,0.154701972,0.085730962,0.423464639996161,0.193037908133409,3.3323889099835
"T0579",0.145388402,0.143968257,0.199883766,0.076973441,0.467154786731332,0.0824239726818309,2.81357795087262
"T0580",0.15002387,0.195522642,0.187942419,0.070932112,0.481091858213033,0.0474134413432819,2.64936855656275
"T1096",0.302717154,0.123637028,0.232614232,0.251778999,0.449756061010035,0.126277681987022,3.01926437629734
"T0123",0.146579653,0.228157871,0.16537743,0.207709119,0.292942559945857,0.544808663039703,4.98229424962295
"T0095",0.052679638,0.057053246,0.091130651,0.063440379,0.382878938061545,0.297928315476762,3.82435488708371
"T4023",0.062121683,0.085381669,0.082268193,0.074562983,0.14722063789581,1.04842839721324,7.3444146845126
"T4024",0.075853412,0.099595553,0.08461823,0.071811107,0.17876919462216,0.920065772725501,6.74235730311128
"T4025",0.06337469,0.085933918,0.093287226,0.071067412,0.239310140193427,0.708523409099798,5.75016318112131
"T4026",0.069942926,0.085509215,0.10565824,0.079858814,0.245172332854509,0.689760733473738,5.66216087203338
"T4027",0.086532416,0.080584183,0.089125465,0.091186185,0.000221776585600469,3.51271488422136,18.9026223427903
"T4028",0.093558904,0.088904277,0.087543895,0.081275882,0.000741237603297838,3.17809235530823,17.3331470822204
"T4029",0.065232633,0.078326345,0.108292233,0.083264333,0.317950486422351,0.473437651828922,4.64754381670677
"T4030",0.078566732,0.128429011,0.094169645,0.079462673,0.362025697514235,0.353049414882546,4.08288859111669
"T4031",0.081326147,0.136715416,0.096113148,0.096928135,0.342526874131517,0.405576568554658,4.32925594858154
"T4032",0.110390096,0.118012568,0.106438306,0.100824143,0.00349539840964498,2.69728234707563,15.0780107786172
"T4033",0.109126076,0.131770823,0.109963742,0.082280661,0.266929766776654,0.622125218723902,5.34493098473151
"T4034",0.101746322,0.128359218,0.117031953,0.086513953,0.226320694987551,0.751018719606864,5.94947832809514
"T4089",0.063470216,0.142078896,0.076703542,0.119734848,0.473410105120191,0.0667004070701415,2.73982993601047
"T4090",0.11265412,0.173176644,0.122817267,0.075997291,0.449475766776842,0.126985931354238,3.02258626817285
"T4093",0.074911405,0.155008533,0.098155642,0.100610127,0.438010516831158,0.156015208126125,3.15874186975084
"T4094",0.130660484,0.092250843,0.078794937,0.109661993,0.322893587187183,0.459622544319609,4.58274701558161
"T4095",0.064482972,0.09344162,0.105968119,0.066233451,0.366450487546133,0.341269143352414,4.02763575207626
"T4099",0.113949155,0.164781127,0.114087233,0.113094934,0.295143557068717,0.53842001114286,4.95232964702116
"T4101",0.114555083,0.186824017,0.121323109,0.097180398,0.425168767326074,0.188687773674448,3.31198553655951
"T5038",0.105271306,0.146487483,0.092173244,0.068304781,0.438993675660032,0.153521101047582,3.14704379499867
"T5039",0.049157831,0.068396758,0.061269312,0.052403472,0.185158888146337,0.895878278818887,6.62891104644435
"T5042",0.127926466,0.115077884,0.099170324,0.074897776,0.324260870083769,0.4558167750773,4.56489687054612
"T5043",0.103296502,0.161489931,0.116544203,0.091067665,0.381461829665043,0.301643741481372,3.84178129652379
"T6958",0.069067775,0.072306306,0.075860583,0.105187257,0.302745266274848,0.516521061886278,4.84961731858854
"T6962",0.055797753,0.106244239,0.086606625,0.079534804,0.373594889543219,0.32234706832575,3.93888581425989
"T6963",0.104599928,0.084512824,0.08269043,0.071361334,0.210184030457189,0.805782862961023,6.20633780626546
"T6966",0.118974454,0.077157146,0.104386516,0.096918355,0.242090548004017,0.699593671287234,5.70828015959937
"T6967",0.100458792,0.06717739,0.110681205,0.10154832,0.293399717641291,0.543479887063267,4.97606191066888
"T6970",0.130310046,0.095254659,0.095503257,0.111807164,0.192379940486849,0.869159527511412,6.50359246939992
"T6971",0.10375966,0.095503171,0.101412727,0.096891642,3.13746670999207e-07,4.98255750413219,25.7966041567888
"T6981",0.059562632,0.119546936,0.106250662,0.113897278,0.397531581076958,0.259741521315465,3.64524791269291
"T6984",0.133604294,0.125893784,0.117326304,0.095774084,0.152686728812834,1.0249782347258,7.23442672285346
"T6988",0.127703339,0.126069255,0.089224642,0.066714141,0.413844103230006,0.217667475996695,3.44790861980552
"T6989",0.060249196,0.109182414,0.086458513,0.068397721,0.39016770730901,0.278881958341338,3.73502203067049
"T6992",0.059225857,0.116248665,0.088764924,0.070193973,0.421827890974647,0.197219486641723,3.35200170784336
"T4096",0.083891348,0.08990727,0.079018356,0.082502104,0.000314495887235962,3.41879464337689,18.462109580691
"T4100",0.131630583,0.078641832,0.065755614,0.085407984,0.438848019175268,0.153890546197092,3.14877659829848
"T4102",0.141769819,0.157856549,0.061856872,0.124873326,0.460475105698123,0.0992368572838422,2.89243518301231
"T4834",0.14036015,0.191297131,0.097736525,0.093041741,0.463481981461273,0.0916653062253759,2.85692244539419
"T4836",0.119493754,0.121199552,0.06982184,0.088069078,0.370406154326182,0.330777829402989,3.97842849233802
"T4838",0.087693735,0.134784938,0.111945509,0.096224313,0.276831565935483,0.592279961802865,5.2049482031326
"T4840",0.100781697,0.079948056,0.09737302,0.082757825,0.0911609949006787,1.33363962599514,8.68213683090806
"T4842",0.108340774,0.191757514,0.095781568,0.096745765,0.479155893447816,0.052272221730312,2.67215762470696
"T4844",0.162775534,0.16797535,0.082237683,0.089797873,0.47387813534678,0.0655246624974901,2.73431535806045
"T4847",0.111280118,0.191605312,0.095501305,0.096806498,0.476367913946901,0.0592715414383685,2.70498643380805
"T4849",0.070025061,0.088418728,0.08316797,0.079439919,0.0456064398762679,1.68903418122841,10.3490388293824
"T4851",0.086414746,0.082131207,0.090009262,0.089805963,3.2613380915591e-06,4.50869772811109,23.5740664279039
"T4853",0.082729374,0.136651505,0.093902059,0.088157598,0.362554501407842,0.351639013685122,4.07627340655627
"T4855",0.085948611,0.112258236,0.081919693,0.098619966,0.169675925051816,0.955446694234096,6.90830393313726
"T5040",0.042051865,0.038971954,0.074105366,0.054018003,0.427614258665406,0.182451366831041,3.28273500675398
"T5041",0.067633463,0.114633282,0.102038904,0.086894366,0.322909220235902,0.459578992906637,4.58254274701235
"T6957",0.059700514,0.089881932,0.066013125,0.066593587,0.26872526877178,0.616672842477964,5.31935778242169
"T6960",0.08773948,0.073010976,0.072995287,0.066610489,0.10201527399455,1.27015184225053,8.38436098700651
"T6961",0.067540398,0.124282683,0.076153334,0.065859055,0.449245837808353,0.127566964975291,3.02531148185396
"T6964",0.07487572,0.088572288,0.07918666,0.071810816,0.0375918587608512,1.77934194878209,10.7726080596826
"T6965",0.114382442,0.063444025,0.111047298,0.086199341,0.37361461957476,0.322294975571116,3.93864148435802
"T6968",0.133647265,0.061332631,0.104233309,0.085039156,0.439548094457059,0.152115056650508,3.1404490450766
"T6969",0.126241825,0.10987304,0.098043936,0.066096923,0.37385996205691,0.321647276383071,3.9356035901217
"T6972",0.109316007,0.05263048,0.097777669,0.080832601,0.413088224295814,0.219608015170147,3.45701030293126
"T4103",0.071071506,0.081850666,0.069148663,0.043517004,0.361685968706398,0.353955894279572,4.08714023846533
"T4105",0.090692469,0.079258828,0.089906228,0.074503928,0.043420338857085,1.71230390341334,10.4581804744719
"T4107",0.074500282,0.117113981,0.064886606,0.054130812,0.467045983852465,0.0826976321382442,2.81486149190632
"T4109",0.0964018,0.154689257,0.080004911,0.06285163,0.49644886711427,0.00890148765070691,2.46873649107382
"T4111",0.087784107,0.099395812,0.063802789,0.048836527,0.428003513413374,0.181459363506451,3.27808222775131
"T4113",0.069333026,0.07030991,0.069180062,0.051678516,0.151731658337217,1.02903481187102,7.25345322860815
"T4115",0.097487881,0.089531206,0.077367548,0.059897322,0.294955733329773,0.538964331047384,4.95488266288283
"T4117",0.115126861,0.078849361,0.069391789,0.056387784,0.436892475222548,0.158852670646483,3.17205037962003
"T5049",0.10750667,0.115805203,0.089116077,0.073423061,0.285680232042112,0.56604901047111,5.08191754733629
"T5050",0.050885719,0.121861053,0.081647951,0.061903457,0.491098403799889,0.0223148445408706,2.53164896701704
"T5052",0.125807747,0.137369982,0.085364099,0.07248682,0.420162775840934,0.201477077174585,3.37197102381461
"T5054",0.100575007,0.144618669,0.080548533,0.060367995,0.478494071237444,0.0539335048731885,2.67994951726725
"T5055",0.10759064,0.107168112,0.096786241,0.087247947,0.0468090614161705,1.67661330746565,10.2907813828542
"T5056",0.108341704,0.106139733,0.10685243,0.099227875,2.56283815188944e-07,5.02154772857594,25.9794794487403
"T6973",0.057545768,0.131692943,0.093221958,0.089441376,0.446193285905611,0.135284965218879,3.0615111079901
"T6976",0.037770041,0.092759497,0.105661575,0.091056323,0.475083197518306,0.0624978236409961,2.72011861907091
"T6977",0.056016801,0.093651202,0.068058857,0.061666597,0.352368091435897,0.378934932514004,4.20429906416994
"T6979",0.099561107,0.103823037,0.103115558,0.055610999,0.378635492531883,0.309066442837408,3.8765958865119
"T4104",0.08700808,0.086590999,0.108733194,0.086757688,0.10114300624473,1.27506563235495,8.40740806644124
"T4106",0.095925205,0.167109775,0.107384578,0.082643159,0.448241363542156,0.130105792804636,3.03721930970388
"T4108",0.07334257,0.079446299,0.085011635,0.066908974,0.0589152368217847,1.56394504973014,9.76233506532218
"T4110",0.120366034,0.141469894,0.063308144,0.082730364,0.461620196162297,0.0963527816865697,2.87890804449526
"T4112",0.11989272,0.202590169,0.11458275,0.093041318,0.472250317425065,0.0696143250648533,2.75349704389733
"T4118",0.140418683,0.115783724,0.101629232,0.08890804,0.28737084037067,0.561081937742423,5.05862055717114
"T4833",0.122587719,0.12106816,0.08584645,0.072165732,0.371840423062223,0.326982863837,3.96062901963103
"T4835",0.116559571,0.077083566,0.092783461,0.095485987,0.230574114800177,0.736957443197829,5.88352692450108
"T4837",0.056775937,0.057444738,0.112689476,0.101075168,0.467012506199825,0.0827818358999547,2.81525643160533
"T4839",0.087777544,0.111793187,0.096564366,0.085063878,0.121013811493224,1.16993376909088,7.91430959209011
"T4841",0.12623306,0.117790423,0.090501461,0.089742801,0.24519836007429,0.689677974054795,5.66177270671459
"T4843",0.121411371,0.136716713,0.094620058,0.089981288,0.292806040380042,0.545205657721219,4.98415626809864
"T4846",0.131823716,0.224390222,0.121489135,0.090660217,0.496554750347956,0.0086360675384888,2.46749159491833
"T4850",0.09505524,0.07275286,0.110821283,0.083737725,0.251580382837237,0.669524800799693,5.56724856648829
"T4852",0.097257423,0.089067889,0.089770904,0.093188165,1.12079133844397e-06,4.73032719083985,24.6135719265205
"T4854",0.139280961,0.144581854,0.127706007,0.103188848,0.165156580712382,0.973483289520812,6.99290071799618
"T4856",0.099900202,0.106617522,0.111979274,0.098632746,0.00110325012009273,3.06093088165424,16.7836262983416
"T7008",0.084445028,0.107047066,0.061328858,0.079142444,0.336615008441844,0.421719161062173,4.40496931929898
"T7010",0.118179817,0.116990609,0.102085434,0.121100043,0.00932291700313856,2.35253701261855,13.4610566680118
"T7012",0.075185203,0.106260031,0.069944499,0.075589756,0.295983337891562,0.535988243302254,4.94092396110492
"T2774",0.253094781,0.229672055,0.199891085,0.091147544,0.476614169589804,0.0586531961474025,2.70208621773529
"T2771",0.211390502,0.209678148,0.128661299,0.091892822,0.478297306858373,0.0544274444881704,2.68226623517757
"T2773",0.242391513,0.219049989,0.232528544,0.091020635,0.470694863581115,0.0735232703013315,2.77183111382234
"T5994",0.133823326,0.074332407,0.130052299,0.074496899,0.442669298344773,0.144204995057373,3.10334859634013
"T5998",0.117004813,0.075302733,0.117988672,0.080160398,0.349912265255819,0.385557342716467,4.23536006000866
"T6000",0.117139958,0.077617462,0.120320945,0.08717391,0.313651049939536,0.485527655818414,4.7042493894706
"T6002",0.12623726,0.073930109,0.112382852,0.081140489,0.373082712629015,0.323699664003922,3.94522987442028
"T6004",0.129440604,0.079285918,0.115345141,0.074768184,0.392261616390046,0.273429299579352,3.70944750327969
"T6006",0.132882529,0.079485128,0.121096406,0.071317544,0.423345973456027,0.193340963947019,3.33381032833085
"T6008",0.129135037,0.077987971,0.116820743,0.077969514,0.385102469286108,0.292106838058169,3.7970504948238
"T6010",0.133153829,0.078145132,0.116532396,0.078226295,0.396784773391083,0.261678202772757,3.65433150202772
"T6012",0.136553087,0.072289524,0.119992317,0.070907217,0.45217826137395,0.120159849472611,2.99056999397088
"T6016",0.124735615,0.081222053,0.114487134,0.08040797,0.337200188793734,0.420116461653925,4.39745220119117
"T6018",0.128391928,0.077872106,0.114627452,0.081924896,0.362859540962775,0.350825744540518,4.07245894192119
"T6020",0.117826114,0.068181617,0.128776222,0.062381016,0.469722908253612,0.075966416761439,2.78329016871485
"T6022",0.132839769,0.07179152,0.122433783,0.072858947,0.442679662421918,0.144178744692546,3.1032254746295
"T6024",0.134827688,0.07584237,0.122439555,0.073086281,0.434265393048583,0.165524984724956,3.20334543889452
"T6026",0.137630585,0.068362172,0.123366528,0.071218555,0.466860933720941,0.083163081837678,2.8170445839733
"T6028",0.131217952,0.077893734,0.121321312,0.075284305,0.409582923302513,0.228617982594638,3.49926962425433
"T5993",0.096035199,0.078166428,0.126707519,0.069759633,0.394900267276619,0.266569638972271,3.67727373526207
"T5995",0.083890862,0.089231239,0.116025192,0.058328069,0.395346154438883,0.265411719602948,3.67184276260823
"T6001",0.109406322,0.142720372,0.120035522,0.058144809,0.450708858943389,0.123870617109031,3.00797455433328
"T6003",0.097651919,0.142091532,0.126551843,0.058376326,0.461100142237566,0.0976625117720855,2.88505105277961
"T6005",0.052672628,0.052050634,0.108633724,0.069532364,0.479785484196173,0.050691978839101,2.66474583407976
"T6007",0.102360181,0.1340388,0.125520507,0.06084467,0.432323377230189,0.170462078970753,3.22650182141021
"T6009",0.109213163,0.08421753,0.126817543,0.06650135,0.398999364811734,0.255937976934887,3.62740820289457
"T6011",0.111315038,0.076594571,0.123839258,0.067674302,0.408181396287039,0.232225603462116,3.51619039680187
"T6013",0.098536581,0.116351526,0.119548272,0.060089994,0.400268854464715,0.252651267793047,3.61199259802312
"T6015",0.114741293,0.057333289,0.117430659,0.074814962,0.446310452257661,0.134988578747949,3.06012097076532
"T6017",0.096707771,0.126566141,0.125708482,0.058808655,0.435167937259502,0.163231869445275,3.19259007310136
