"","adeD","adiY","chiA","gspA","gspB","hchA","hns","mdtI","mdtJ","rcsB","yjjP","pval","z","inv_cof_var"
"T5549",0.067168906,0.067791953,0.13970092,0.090656086,0.116398626,0.068060785,0.290239738,0.233490344,0.263228368,0.148270491,0.084938981,0.345322972953282,0.397978619606989,1.82475523205225
"T5551",0.063922817,0.068693233,0.157078955,0.06725095,0.113028406,0.080016805,0.296401878,0.215355735,0.2808044,0.09267873,0.064395674,0.424976804535165,0.189177618118963,1.60836265982397
"T5555",0.066850103,0.076742306,0.126761925,0.130399797,0.09993431,0.287571362,0.249106837,0.247186971,0.134278455,0.233755688,0.096702788,0.307543395451268,0.50282574564137,1.93341438182469
"T5557",0.087143782,0.083864789,0.113866843,0.083662971,0.100303046,0.246736449,0.229361953,0.205253353,0.165512473,0.222751673,0.108793512,0.207076659653365,0.816606534991627,2.25860358896178
"T5559",0.079849371,0.078607043,0.133081088,0.085772699,0.154508769,0.252270437,0.264774319,0.079822855,0.116427576,0.086058721,0.135116348,0.217868416552472,0.779412380624327,2.2200571323929
"T5561",0.085788856,0.093412112,0.086396201,0.098539662,0.11952613,0.297056141,0.215170687,0.107134415,0.182724606,0.147240851,0.084400453,0.299839760544219,0.524861433708966,1.95625124174291
"T5563",0.067588906,0.072179012,0.081134041,0.121811944,0.073833473,0.272152045,0.241154226,0.240026069,0.192290096,0.230066667,0.09727296,0.352243829402082,0.37926961768993,1.80536600968356
"T5569",0.068524327,0.068037037,0.125875104,0.082923309,0.094971173,0.259328645,0.236036096,0.239933425,0.185693447,0.21255356,0.085767887,0.317080880657997,0.475877347439741,1.90548619583552
"T5565",0.113683421,0.12422334,0.139581459,0.108698301,0.109194656,0.232307165,0.22348653,0.241896846,0.162017444,0.202149749,0.110217521,0.0711076214160056,1.46759140961474,2.93325692154877
"T5567",0.082447628,0.095975452,0.114656312,0.115239974,0.108152593,0.255734405,0.235649122,0.216532834,0.146162154,0.216381311,0.108090809,0.170565098325993,0.951934509383726,2.39885180743035
"T5571",0.104613955,0.096258415,0.100710056,0.088129918,0.086048929,0.252601528,0.211376586,0.232763161,0.160774603,0.201850406,0.091336298,0.231722288440493,0.733186682282746,2.17215076366911
"T5577",0.089957281,0.106840859,0.107996718,0.152606529,0.100139667,0.231919445,0.203297281,0.224918668,0.270051521,0.186778496,0.095266276,0.185613733996552,0.894176491846366,2.33899382833712
"T5573",0.11695736,0.112359416,0.103416329,0.15043474,0.104833536,0.251425774,0.218054367,0.260707449,0.160110838,0.195837581,0.092367969,0.147169587458886,1.04865012932061,2.49908380643249
"T5575",0.073032199,0.071279669,0.133296299,0.107964522,0.079814,0.26376879,0.137110992,0.25176371,0.197258445,0.229839883,0.10448675,0.295266626756841,0.538063437290157,1.96993324275412
"T1708",0.245539609,0.190841327,0.063077507,0.058172858,0.055117212,0.335988291,0.240989952,0.057062418,0.079413928,0.194905035,0.199836271,0.469045348128024,0.0776698268586705,1.49280067687203
"T1711",0.02102196,0.026204585,0.058229251,0.036823437,0.042556603,0.103390841,0.331378663,0.023202121,0.042499018,0.027007786,0.049198672,0.368223455097261,0.336562259898551,1.76110590106488
"T1712",0.070047109,0.024222526,0.054666273,0.042637558,0.078361145,0.091979177,0.26801008,0.063453227,0.024714558,0.056761719,0.051314868,0.131566868609587,1.11901500617588,2.57200700406434
"T1713",0.044907429,0.069333147,0.038131415,0.132850328,0.149422283,0.098116194,1.155113686,0.043788583,0.028713664,0.135474277,0.037049034,0.407043905789952,0.235155798717603,1.65601251157378
"T5774",0.086190122,0.091800245,0.160009332,0.112657637,0.136318334,0.359346682,0.313542013,0.37552476,0.316952649,0.118880614,0.085059174,0.442293638219893,0.145156542592886,1.56274106942231
"T5776",0.105741239,0.100181413,0.153131661,0.114612138,0.139547985,0.343358698,0.298226276,0.359576863,0.291589002,0.089884866,0.085059174,0.41497845889661,0.214756822830928,1.63487187129197
"T5778",0.09414991,0.073507302,0.165778068,0.120572636,0.145463248,0.343206062,0.280887293,0.359054815,0.302444991,0.213787005,0.085059174,0.372250884701563,0.325897682178808,1.75005358144928
"T5779",0.081046325,0.105633117,0.153273854,0.10150954,0.134693374,0.349697082,0.316300256,0.36654492,0.299869735,0.09008897,0.085059174,0.452607102163141,0.119077186927694,1.53571352255123
"T5780",0.060298871,0.119199422,0.165083206,0.10288451,0.143542505,0.362930241,0.319077538,0.376736409,0.320610504,0.085780743,0.085059174,0.471625975232469,0.0711832018704008,1.48607821167172
"T5781",0.074605804,0.142916126,0.153176202,0.090311517,0.116192634,0.36111538,0.329062179,0.378194296,0.317151357,0.080757869,0.085059174,0.478240407779161,0.0545702812932748,1.46886127980698
"T5782",0.073201401,0.16129675,0.143941263,0.093760264,0.117849684,0.367480559,0.328200992,0.386172431,0.327911314,0.09000653,0.085059174,0.475302276369437,0.0619476103004806,1.47650683317438
