"","flu","oxyR","pth","ychF","pval","z","inv_cof_var"
"T6122",0.049457393,0.299100844,0.053158929,0.045130624,0.267741373242702,0.619658343429207,12.2564536954857
"T6124",0.046957527,0.299284471,0.054011299,0.046814851,0.275520671136072,0.596200424210565,11.9731651737523
"T6093",0.085542219,0.070248772,0.060002633,0.083513063,0.480010755903928,0.0501265885000948,5.37852870007962
"T6106",0.051196443,0.072320782,0.059557971,0.054227063,0.248094948365407,0.680496879947111,12.9911675852363
"T6117",0.056492027,0.259543643,0.070063988,0.080834607,0.47049048582764,0.0740369656132205,5.66728130952178
"T6102",0.054158536,0.073223019,0.060905789,0.058303867,0.156011731695917,1.01098530447444,16.9822963960114
"T6113",0.053775407,0.237817556,0.068332166,0.081416965,0.495601018964736,0.0110268336992191,4.90634224422051
"T6095",0.081388542,0.063535019,0.056812805,0.073166246,0.471654862690254,0.0711106082540637,5.631941284577
"T6108",0.050856334,0.073082149,0.061039242,0.053903239,0.315485164673741,0.48036155059884,10.5742421508333
"T6119",0.055158103,0.262260163,0.069361424,0.08259598,0.49147347298188,0.0213744611462496,5.03130490845324
"T6110",0.051239357,0.348413661,0.07564356,0.059027941,0.493451610377187,0.0164151157440202,4.97141359351314
"T6104",0.050009936,0.074232626,0.061440523,0.053153998,0.3541364176136,0.374176730224121,9.29190587394059
"T6115",0.054629187,0.083548243,0.069385396,0.076673294,0.46097475996259,0.0979783058104733,5.95640784327704
"T6112",0.05149327,0.353711233,0.072216348,0.058990197,0.465987464492148,0.0853603313862862,5.80402743440183
"T6123",0.055240989,0.205990785,0.068552564,0.083603194,0.496738621629864,0.00817515429782208,4.87190406432272
"T6130",0.059540704,0.251897594,0.07172792,0.06324106,0.32132338409236,0.464001364281776,10.3766690858975
"T6140",0.065633502,0.242093387,0.069187527,0.060455837,0.202623526535495,0.832286846909557,14.8242523935677
"T6145",0.061954415,0.246544734,0.072084516,0.06924418,0.248710519683959,0.678553145160426,12.9676941582358
"T6167",0.06922611,0.219073344,0.062612798,0.062974502,0.146640795230953,1.05094992174685,17.4649273251753
"T6126",0.062657072,0.247473315,0.068795344,0.061072109,0.182078176993653,0.907473694699911,15.7322430284488
"T6141",0.062695904,0.248681882,0.071122781,0.068090755,0.181292940735072,0.910448781524648,15.7681715326249
"T6158",0.065393968,0.280852844,0.065939285,0.059489297,0.140677424523571,1.07728077353418,17.7829106897392
"T6165",0.067111429,0.230967882,0.063882316,0.059586951,0.159065631330378,0.998305456195121,16.8291687702671
"T6132",0.061835611,0.25619723,0.076238378,0.064541169,0.36868410298321,0.335340553059467,8.82290250172294
"T6147",0.061922295,0.25775111,0.072172343,0.064359147,0.265102698941541,0.627692502420309,12.3534778604488
"T6153",0.066613657,0.22042599,0.06778897,0.066342266,4.86824322208094e-12,6.81034514984765,87.018008527307
"T6160",0.064066614,0.25181254,0.062858815,0.056420786,0.201580373301468,0.835989612813886,14.8689686818959
"T6134",0.060066223,0.251212606,0.071343567,0.063665884,0.294765607131211,0.539515486245825,11.2886120328317
"T6149",0.064024469,0.254661318,0.070768134,0.067981322,0.104485360075699,1.25640072161621,19.9460448037319
"T6162",0.062804128,0.24420086,0.063773022,0.058400689,0.0825807757624712,1.38791952534562,21.5343258077454
"T6169",0.067385788,0.221094327,0.063376774,0.062210691,0.0585675762214213,1.56691247018238,23.6959261726757
"T6128",0.059279466,0.249980312,0.071368814,0.063320096,0.317506905952237,0.474681772308471,10.5056505600509
"T6138",0.062107838,0.234592264,0.068341726,0.061373513,0.161668389858128,0.987624098194647,16.7001758237974
"T6143",0.062802623,0.250369237,0.068030295,0.068543426,0.0905940824198493,1.3371056142982,20.920673863174
"T6155",0.068677751,0.187736425,0.06124388,0.069753148,0.213547104127563,0.794173886940153,14.3639829217537
"T6136",0.057968109,0.251732858,0.07802639,0.068078914,0.433924095037963,0.16639235479964,6.78260707362213
"T6151",0.063143443,0.229159036,0.070660814,0.07248443,0.225198325205793,0.754753914564817,13.8879293725495
"T6164",0.063635399,0.303216169,0.06755541,0.059923801,0.161815434698815,0.987024007677777,16.6929288572679
"T6171",0.067398041,0.208457819,0.064461973,0.064167452,0.00422087926019396,2.63387087446188,36.5810020518352
"T6137",0.078014817,0.212460292,0.057997223,0.054717888,0.491139598887631,0.0222115581753357,5.04141407362287
"T6148",0.068807171,0.36334054,0.062760967,0.060362908,0.205484337945581,0.822190164041783,14.7023202504239
"T6152",0.067237429,0.294311478,0.076752,0.064598893,0.306637633981829,0.505403775016973,10.8766634640883
"T6154",0.061622853,0.263776274,0.063888477,0.048661613,0.42468746072211,0.18991604213057,7.06668984104862
"T6159",0.069299031,0.176948933,0.054671634,0.054819422,0.423850699056902,0.192052096075321,7.09248580183744
"T6161",0.063873042,0.278619677,0.055519202,0.043517905,0.482362200508073,0.0442258197305557,5.30726832757031
"T6163",0.062732601,0.268695611,0.071668873,0.075722735,0.316537559444417,0.477403083529294,10.5385143543942
"T6172",0.072649066,0.305726693,0.071896419,0.062913122,0.25402754176198,0.661869151436275,12.7662106475002
"T6174",0.054452075,0.39258092,0.057619616,0.050883171,0.173776313330538,0.939346977250953,16.1171593124772
"T6178",0.072657454,0.408316353,0.059143678,0.049036818,0.489655636096595,0.0259323812877748,5.08634842902456
"T6185",0.056195349,0.269348192,0.05518471,0.049177127,0.219813736504224,0.772822436748461,14.1061330798606
"T6205",0.078275861,0.457438496,0.079349498,0.057552466,0.464873725219187,0.0881625898934785,5.83786878506121
"T6214",0.070585837,0.213715202,0.07619326,0.056365801,0.439056195735787,0.153362530681173,6.62525298016812
"T6177",0.072041829,0.304971358,0.061892951,0.062125741,0.294993565709744,0.538854678620272,11.2806318188303
"T6213",0.06174676,0.188882276,0.068354234,0.060803343,0.187946622251181,0.885488453326917,15.4667392354458
"T6173",0.06186218,0.244774994,0.072211455,0.064040724,0.27192695155027,0.606995493102848,12.1035313447669
"T6186",0.055272156,0.212685098,0.07080138,0.060846631,0.397206541336615,0.260584320223509,7.92011216925266
"T6209",0.062294369,0.236175218,0.074690457,0.062808024,0.347873555802421,0.391067812741034,9.49589028330333
"T6179",0.06174387,0.273275029,0.068854849,0.064694876,0.132724965637797,1.113602085666,18.2215434058526
"T6191",0.072230519,0.369057924,0.083665062,0.066878301,0.373790343021461,0.321831055504169,8.65975565326928
"T6215",0.062624225,0.266433658,0.076325933,0.062119642,0.38464528619882,0.293302984786577,8.3152376716799
"T6181",0.06016674,0.268519097,0.069862729,0.062767559,0.252985896321982,0.665123050323082,12.8055062131862
"T6193",0.072334205,0.367060677,0.078716809,0.06642353,0.280587053698889,0.58109844383621,11.7907867771169
"T6217",0.062935373,0.233455807,0.078790012,0.069804409,0.367268966998378,0.339095306602667,8.86824661646783
"T6175",0.059346545,0.288373244,0.066833441,0.059506608,0.210968382061438,0.803065695486869,14.4713644535621
"T6188",0.056708554,0.246438684,0.071397327,0.060470408,0.387082835497045,0.286930324128564,8.23827851769481
"T6211",0.062770588,0.232487586,0.075277639,0.06079299,0.380743829325008,0.303527808045417,8.43871729657691
"T6183",0.059790318,0.260290037,0.066418664,0.059254024,0.18740057846515,0.887515998031112,15.4912247892004
"T6195",0.070954626,0.368161457,0.077858455,0.062813879,0.351819146976662,0.380413770904217,9.36722721927336
"T6219",0.063101907,0.237106866,0.077255564,0.06460611,0.369756412514538,0.332498562435359,8.78858132791465
"T3655",0.084128185,0.067751099,0.077000325,0.079371292,0.075852128234369,1.43353761798628,22.0852306816185
"T7305",0.065942955,0.302265164,0.087805529,0.093881014,0.472127089378139,0.0699239646779399,5.61761083602479
"T7307",0.07251157,0.385224483,0.083651547,0.084330768,0.272588590800469,0.605002731754396,12.0794658506663
"T7309",0.077220082,0.401248798,0.082951813,0.087985961,0.190424060199931,0.8763346738857,15.3561940237411
"T7311",0.06408339,0.377176613,0.085601735,0.095041026,0.487841308716077,0.0304820391186595,5.14129217016764
"T7314",0.067691688,0.264754793,0.080011273,0.09102661,0.432809286625974,0.169226389579273,6.81683216902725
"T7315",0.085454019,0.346445995,0.085831569,0.091351493,0.0358807348569954,1.80062840035329,26.5183862445415
"T7316",0.072207548,0.322777721,0.085851072,0.09063899,0.373528767650456,0.322521654838146,8.66809564551706
"T7317",0.076382531,0.305410383,0.093075739,0.09169636,0.350953945468596,0.382746286976398,9.39539574623643
"T7318",0.06748981,0.224214792,0.083401055,0.086631036,0.403396248502189,0.244565994489046,7.72666756849052
"T7319",0.069832315,0.356056035,0.085086197,0.092175388,0.419916366595499,0.202107437978265,7.21391869265179
"T7321",0.06538499,0.380006031,0.077118498,0.090192845,0.451326550622565,0.122310519436258,6.25025474266753
"T7323",0.081275057,0.444165231,0.088331698,0.108519358,0.441298046713338,0.147679015256403,6.55661625804773
"T7324",0.062123343,0.455699355,0.087617061,0.092860846,0.49521448740244,0.0119957888763422,4.91804378847065
"T7326",0.072617874,0.33027948,0.078948094,0.081164145,0.146136309297395,1.05314919579372,17.4914867607252
"T7328",0.070507863,0.352008513,0.084030016,0.083900344,0.325710127098719,0.45179002807336,10.2291994254119
"T7330",0.059631455,0.278710146,0.08500856,0.085122024,0.485388651064991,0.0366334124372719,5.21557895740643
"T7332",0.074062077,0.299251295,0.080123626,0.080352111,0.0778880006249717,1.41942207208261,21.9147649171473
"T7334",0.076969145,0.336980057,0.07898354,0.079199776,5.28065337411398e-07,4.88088079947916,63.7169178185085
"T7338",0.07568344,0.296453443,0.083673496,0.084039716,0.152115751556652,1.02740137753149,17.1805443746856
"T7340",0.070195717,0.429338342,0.082608638,0.081934919,0.297023685674431,0.532980077499233,11.2096874587683
"T7342",0.06218539,0.281706807,0.08860147,0.088587415,0.484808283769379,0.0380891933221383,5.23315963073887
"T7344",0.076984963,0.240000432,0.086216659,0.097123242,0.375415103313915,0.317544859153748,8.60799359301779
"T7346",0.06708364,0.373274276,0.08790141,0.091283902,0.450878791947654,0.123441389124117,6.26391164033014
"T7348",0.073953799,0.198195475,0.078505022,0.078934273,0.0274978131011655,1.91891077938162,27.946818152322
"T7352",0.079859844,0.272154488,0.079600448,0.084163276,0.0129175698382739,2.22868096463926,31.6877440648382
"T7354",0.071873804,0.306054991,0.081831326,0.079369585,0.199014438259809,0.845146808350264,14.9795551479224
"T7360",0.082267734,0.342022541,0.078423545,0.081198211,0.00149008820569787,2.96977530645841,40.637537036762
"T7362",0.066533141,0.134008698,0.084348475,0.085784376,0.415320084629335,0.213880599845771,7.35609676013032
"T7364",0.086617686,0.135518925,0.079189844,0.079003697,0.122906673054069,1.16057851701242,18.7888521969011
"T7368",0.06177276,0.383994083,0.084664285,0.085862731,0.46928600547053,0.0770647802436894,5.70384657870672
"T7380",0.060480896,0.468169797,0.082769747,0.092131779,0.498269878411784,0.00433678528569722,4.8255501710734
"T7382",0.062816356,0.369647686,0.085279414,0.093074332,0.488643323717763,0.0284708117528219,5.11700367202645
"T7406",0.062789689,0.284187699,0.08590618,0.0921828,0.486332612317622,0.0342657647066987,5.18698616452792
"T7408",0.067482325,0.331276199,0.077192663,0.087799197,0.406633231458518,0.236214197863636,7.62580746671515
"T7410",0.071563142,0.167597173,0.082328122,0.080209992,0.230319166368224,0.737796150779734,13.6831396898071
"T7398",0.078565824,0.391099247,0.083981642,0.084160842,0.0403822600515634,1.74626727173746,25.8618964842263
"T7400",0.070274832,0.36345964,0.082294242,0.089969283,0.390066847628247,0.279144810836971,8.14425711150126
"T7402",0.06721415,0.375975292,0.081001346,0.08910028,0.422026219242399,0.196712613919152,7.14876833901328
"T7412",0.084271744,0.111204666,0.088938721,0.075475947,0.271305892663328,0.608868227904496,12.126147343595
"T7414",0.061931532,0.21233533,0.084392419,0.09078154,0.485378211758902,0.0366595974739923,5.2158951798418
"T7416",0.077782238,0.384599164,0.077765761,0.078200513,5.59596901840481e-147,25.7909868278979,316.236886485319
"T7418",0.084429158,0.338553078,0.07724378,0.077408766,0.112443905650217,1.21363323129062,19.4295651023713
"T7420",0.082371883,0.260156929,0.083386404,0.08294266,1.59786082699277e-39,13.1022659484772,163.002111179135
"T7424",0.072962069,0.357940585,0.084930237,0.097746226,0.430914014995614,0.174047630144317,6.87505566702221
"T7426",0.072945745,0.299186442,0.080179427,0.083873218,0.217217589953459,0.781624677235855,14.2124329469705
"T7428",0.089371291,0.255090971,0.081819729,0.096127159,0.262504391835778,0.635643540376919,12.449498217923
"T7430",0.076243092,0.337694277,0.087990133,0.090091209,0.292748389410381,0.545373330765247,11.359354032537
"T7432",0.06498833,0.174698499,0.086246293,0.089355222,0.457996938068246,0.105481339707345,6.04701789958039
"T7434",0.06903982,0.395470921,0.081785666,0.081519441,0.313732497047706,0.485297971654507,10.6338566209182
"T7223",0.082419881,0.326875943,0.078559084,0.095371983,0.341557058027986,0.408217343813486,9.702995835192
"T7224",0.077641943,0.282404974,0.081765772,0.090987586,0.268881489589735,0.616199316978048,12.2146809158605
"T7225",0.067335743,0.339917827,0.08733172,0.092340306,0.452202056790591,0.120099771269242,6.22355674041415
"T7226",0.060597377,0.294128889,0.085279699,0.086148104,0.481574307889163,0.0462027937321334,5.3311431664762
"T7227",0.079661989,0.383766694,0.078183804,0.098880898,0.41353450334168,0.218462200466815,7.41142625696298
"T7229",0.080321382,0.342618723,0.07737007,0.083647903,0.0422009129072566,1.72569762351815,25.6134880392012
"T7231",0.09217732,0.374056415,0.079912245,0.097816969,0.337767359008917,0.418564117822499,9.82794819291833
"T7232",0.061606658,0.343676688,0.082550358,0.093264099,0.495315429552405,0.0117427466048548,4.91498793469447
"T7233",0.068383384,0.353096057,0.080206331,0.098203408,0.476716764027516,0.058395589240555,5.4783889210201
"T7436",0.070791864,0.375679031,0.083750254,0.104769529,0.491159265676079,0.0221622487123254,5.04081859007834
"T7438",0.076940046,0.410503542,0.079274662,0.092743699,0.340793751605568,0.410297803428231,9.72812041351857
"T7440",0.082199107,0.375751312,0.077871504,0.100161347,0.415870879313266,0.212468232712455,7.33904037104429
"T7235",0.077406287,0.283079798,0.083527983,0.097393201,0.381689278827804,0.301047127781416,8.40875947131832
"T7237",0.078743027,0.387573634,0.083424001,0.10770554,0.466580430686734,0.0838686550545216,5.7860132712959
"T7442",0.082369365,0.37942453,0.080014553,0.100721147,0.4030897165053,0.245357758880975,7.73622927607678
"T7444",0.08218896,0.403771012,0.081449027,0.079914168,3.36096723217738e-08,5.39844933435424,69.9673112900649
"T7446",0.076623904,0.414290162,0.082164606,0.084109642,0.0916161936601465,1.33086818500455,20.8453478247669
"T7242",0.068387981,0.410712635,0.083846814,0.093796466,0.446244909207493,0.135154376364569,6.40536301159214
"T7243",0.075060262,0.332651556,0.08180509,0.081948928,0.100386705179255,1.27935119981143,20.2232052364369
"T7244",0.063573542,0.360086835,0.084279216,0.08598904,0.451429673623437,0.122050091806827,6.24710969994348
"T7247",0.071250162,0.314532702,0.084732619,0.095844882,0.432851963461039,0.169117872843552,6.81552167147803
"T7249",0.067494364,0.389187012,0.082444707,0.099544479,0.486379661321737,0.034147761324779,5.18556110191635
"T7251",0.070982748,0.350335905,0.089634429,0.089112488,0.399845508817034,0.253747004777153,7.83754163231074
"T7255",0.076670635,0.33693066,0.089936449,0.097281603,0.381317978993259,0.302021126413893,8.42052192263351
"T7448",0.086734723,0.16902075,0.078534148,0.100842938,0.399094356088897,0.255691949205349,7.86102966749332
"T7450",0.076738126,0.261882664,0.085653183,0.101924898,0.430142858997389,0.176010468721762,6.89875980010508
"T7259",0.0756011,0.373526253,0.081253688,0.08627934,0.194625984747893,0.860974714540535,15.170700155499
"T7260",0.064163252,0.29949675,0.084616242,0.083409151,0.435175695034983,0.163212162820253,6.74420162613671
"T7263",0.062530266,0.364167472,0.088419887,0.09027895,0.486439916815013,0.0339966355048506,5.18373603765024
"T7269",0.075734294,0.32650391,0.086744474,0.09614109,0.380702583854509,0.303636070761684,8.44002472647145
"T7454",0.076319326,0.431194371,0.078472281,0.101353964,0.454482216492818,0.11434484681894,6.15405765036195
"T7456",0.065648734,0.492988088,0.07744555,0.082585968,0.373694735841695,0.322083455393485,8.66280374934565
