"","flu","oxyR","pth","ychF","pval","z","inv_cof_var"
"T1997",0.11770269,0.049106749,0.144993255,0.131539746,0.343770587480047,0.402194112270732,9.6302565464298
"T8144",0.075245202,0.089893589,0.05651555,0.070990762,0.430648010847007,0.174724619612993,6.8832313003349
"T0928",0.358891985,0.042250855,0.389638638,0.302289361,0.397674887900411,0.259369998199687,7.9054474631536
"T0929",0.370623097,0.033626196,0.415784054,0.299772804,0.453256419445641,0.117438168930867,6.19141401774328
"T0930",0.361717084,0.05592248,0.386538831,0.271936476,0.47137829837158,0.0718056244130266,5.64033461641596
"T5538",0.080303344,0.217261594,0.076088797,0.082828799,0.0613069174910781,1.54389473835285,23.4179535544366
"T5550",0.095826517,0.249772492,0.142193999,0.107487624,0.499940468057451,0.00014922445099189,4.77497927825568
"T5556",0.138685299,0.250786099,0.115192498,0.11497984,0.362428461893966,0.351975116833775,9.02378907386013
"T5572",0.183317015,0.241369267,0.136818704,0.141703874,0.458730442698716,0.103632638416803,6.02469214038397
"T8212",0.101445321,0.09571059,0.108485466,0.131674733,0.420399875910483,0.200870606550758,7.1989821527368
"T8214",0.079649428,0.073829217,0.100687279,0.116939647,0.482598244784626,0.0436335732758667,5.30011608951003
"T5537",0.115436546,0.157055864,0.094715537,0.143315118,0.498081044802888,0.00481012590366448,4.8312664480667
"T1589",0.072888099,0.068656504,0.064110476,0.068517792,0.184786360714127,0.897274009885488,15.6090669868616
"T2300",0.258427734,0.076275171,0.315932626,0.273689861,0.348065403591493,0.390548759535522,9.48962196027264
"T0880",0.082452198,0.076906322,0.066848477,0.093520678,0.458219680944621,0.104919907957384,6.04023779393597
"T2296",0.269137771,0.067059489,0.226223528,0.218554293,0.371613224171861,0.327583699538972,8.72922720398478
"T2297",0.268855036,0.072767365,0.288769286,0.19352523,0.493034855438652,0.0174599153590582,4.98403106975616
"T2298",0.276943071,0.058777589,0.229582401,0.199478688,0.458677429352507,0.103766239586714,6.02630556899088
"T2390",0.124663582,0.106501756,0.138823274,0.13744633,0.153371392462488,1.02208053526206,17.1162874588512
"T0347",0.085035387,0.070080076,0.098568625,0.085132471,0.288593278932487,0.557498976957337,11.5057888613384
"T0348",0.085954877,0.072020702,0.101340487,0.085630682,0.328578465618804,0.443841846705519,10.1332135654054
"T0349",0.086715586,0.07170321,0.106454787,0.084508011,0.405550209481912,0.239006659343751,7.65953050401126
"T0830",0.259339608,0.299802681,0.212851338,0.268420619,0.385708279494982,0.290522475405006,8.28165897337211
"T5131",0.14807019,0.262146697,0.101218826,0.123537284,0.482499128685049,0.0438822584658744,5.30311932518484
"T5133",0.103631661,0.282486777,0.094863808,0.103718334,0.106666717325466,1.24445151132821,19.8017406953061
"T5135",0.121819024,0.293650873,0.119874354,0.145595506,0.362732983637306,0.351163132153578,9.01398317685881
"T1866",0.181033961,0.095831287,0.219091225,0.14704345,0.490514869973318,0.0237779355587888,5.06033036066859
"T0009",0.093543219,0.070982415,0.065427346,0.088825602,0.476471631517618,0.0590111049765374,5.48582216952458
"T1077",0.110714229,0.230443845,0.116565409,0.095791859,0.3309694137004,0.437237898642462,10.0534612793244
"T1079",0.107734439,0.078766062,0.100300948,0.079978916,0.437206916340816,0.158054526539902,6.6819156601957
"T2526",0.082928328,0.071935428,0.118991299,0.106559222,0.472275868290707,0.0695501233081863,5.6130961572925
"T5718",0.087638095,0.142016231,0.085837855,0.087363858,1.05113246225946e-12,7.02752676485666,89.6407926749601
"T5721",0.123688995,0.204470392,0.118039333,0.115665966,0.0228451337878445,1.99824350031866,28.9048762405043
"T5740",0.085417946,0.120060636,0.080329043,0.079296426,0.0475910713101103,1.66867330378822,24.9248363694355
"T2424",0.08778252,0.081124536,0.108944571,0.11148415,0.398012497038782,0.258494887494171,7.89487922750541
"T2261",0.076192496,0.063335269,0.106079462,0.074380472,0.498920798495465,0.00270516030463305,4.80584592430705
"T5662",0.092118847,0.088474331,0.095618242,0.087173106,0.0818016158998397,1.39305476090781,21.5963412524064
"T5668",0.083849923,0.086686466,0.120538172,0.095170529,0.48210679664293,0.0448666578050707,5.31500738017373
"T2667",0.077929467,0.043616648,0.098210236,0.081273788,0.398120638060023,0.258214618943483,7.89149457677519
"T2652",0.073110256,0.05035738,0.097574672,0.089786861,0.428581510538028,0.179986685315979,6.94677840356981
"T5731",0.094320878,0.238454118,0.105561283,0.11277174,0.297070601030913,0.532844535527188,11.2080505921504
"T5733",0.088583546,0.135306628,0.087969561,0.093867894,0.0282886032547775,1.90656295155352,27.797700156841
"T0598",0.075223137,0.028249796,0.077077342,0.066922283,0.234630602374471,0.723681644277255,13.5126864776183
"T0600",0.072845924,0.023938341,0.080578208,0.066329544,0.324512409023274,0.455117348042581,10.2693816575455
"T1946",0.075902474,0.069122412,0.06436642,0.06788557,0.282130000396955,0.576525556503805,11.7355625059283
"T1947",0.080247157,0.072659335,0.084713713,0.086574339,0.0409442010229987,1.73983268151315,25.7841894405787
"T1941",0.071349777,0.063014324,0.079725794,0.068492437,0.260169603523343,0.642822615023957,12.5361959947044
"T1943",0.073257972,0.064023677,0.064932442,0.072038165,0.18530234604041,0.895341257101976,15.5857261835357
"T0101",0.094298795,0.284639178,0.122052908,0.128576457,0.449145879387975,0.127819574679054,6.31678460413279
"T0110",0.110989716,0.089281227,0.12148828,0.132605439,0.295632646984083,0.537003358790051,11.2582744369555
"T0111",0.110313332,0.091611937,0.105546359,0.12842172,0.347474264708803,0.392148451671892,9.50894057145537
"T4099",0.182489573,0.070780631,0.123113494,0.145368572,0.492132076420815,0.0197232383750526,5.01136398984298
"T4102",0.181318054,0.216899068,0.120922879,0.149857486,0.492870959933063,0.0178708045773997,4.98899315518987
"T7008",0.085975103,0.134783133,0.060593549,0.062388937,0.495232714876803,0.0119500960987829,4.91749198166767
"T7010",0.108647971,0.155203064,0.103045448,0.099385579,0.0741814245948249,1.44533842714959,22.2277426304394
"T0409",0.097210936,0.288584938,0.10098014,0.104636675,0.0317321282841228,1.85592494701318,27.1861725394058
"T6000",0.129261489,0.295004891,0.089227113,0.10106059,0.486598597627376,0.0335986544531571,5.17892983711893
"T5997",0.104579259,0.304295133,0.078816787,0.093054051,0.422289531495573,0.196039737991896,7.14064238270122
"T5999",0.105713221,0.312049084,0.124249352,0.119042457,0.270134939510786,0.612404932732523,12.1688582026955
"T6003",0.083966792,0.312683925,0.060535823,0.089677234,0.490695905293567,0.0233240214384922,5.05484868691338
"T6011",0.09355594,0.305319885,0.068931645,0.080792403,0.440371583743429,0.150027184968526,6.58497382549975
"T6013",0.068267917,0.321369571,0.055782322,0.05694238,0.371088228514872,0.328972522468585,8.74599926253833
"T4797",0.063272103,0.099623946,0.072846467,0.06513594,0.242238052893201,0.699121495958837,13.2160869350148
"T4796",0.104506045,0.170178914,0.089792262,0.096720471,0.243216447445947,0.695993508807826,13.1783119368254
"T4798",0.098118946,0.094785881,0.095512259,0.095133072,3.27127938566951e-06,4.50805185584405,59.2144656053603
"T4800",0.106334255,0.262957245,0.087196005,0.098475932,0.329032251702055,0.442586980798399,10.1180592328966
"T4804",0.080124665,0.339446301,0.080743686,0.081313138,9.89804506843541e-28,10.8506736523654,135.810856611041
"T4806",0.095914712,0.326826118,0.095525145,0.091564639,0.00218506393650627,2.85013061486181,39.1926532216315
"T4803",0.092009208,0.147620593,0.093833743,0.090695048,4.34879770972448e-06,4.44725157630197,58.4802137242826
"T6898",0.126624293,0.13793539,0.127728586,0.130916213,6.03419818168583e-06,4.37634857402912,57.6239567599234
"T6902",0.126624293,0.13793539,0.127728586,0.130916213,6.03419818168583e-06,4.37634857402912,57.6239567599234
"T6891",0.076327184,0.075801283,0.103315273,0.076313698,0.47685340460087,0.0580525010656132,5.4742456318819
"T6897",0.158620369,0.236450307,0.113444268,0.141316905,0.45805013598253,0.105347249359408,6.04539856343673
"T6901",0.097762083,0.243103087,0.117412322,0.130314986,0.426030235388501,0.186490062963262,7.02531615548213
"T0871",0.142933912,0.124741594,0.190060593,0.215245139,0.493213575605006,0.0170118637853654,4.97862019478516
"T0900",0.124663582,0.106501756,0.138823274,0.13744633,0.153371392462488,1.02208053526206,17.1162874588512
"T8317",0.115338416,0.105985333,0.124001496,0.162265765,0.48059214552757,0.0486674816281041,5.36090786061109
"T6058",0.051992051,0.363852733,0.057179369,0.05683392,0.118087963683816,1.18459926605,19.078937707997
"T6069",0.05233391,0.360132616,0.061957998,0.065799897,0.373973424875038,0.321347782481015,8.65391942802497
"T6030",0.052401501,0.342854133,0.074067152,0.068233892,0.466477595479947,0.0841273356660093,5.7891372162352
"T6054",0.048755633,0.343203128,0.0576909,0.060678068,0.363788859213074,0.348349506509325,8.98000455147254
"T6065",0.051585229,0.334045312,0.062102897,0.066662816,0.401860166163534,0.248535208085045,7.77460160055766
"T6060",0.049491545,0.306225389,0.067631688,0.06581894,0.45614210148801,0.110157833131396,6.10349336514268
"T6071",0.050743055,0.338133478,0.060698581,0.064448645,0.385839815752515,0.290178567884077,8.27750578943841
"T6038",0.048948038,0.32289968,0.073327659,0.061699223,0.491547563250013,0.0211887023241514,5.02906160027144
"T6062",0.050609251,0.376393749,0.058856954,0.05362226,0.247184314705533,0.683377032123704,13.0259496153417
"T6073",0.052707387,0.326483154,0.059981213,0.064894759,0.343050392291805,0.404152222735303,9.6539035806671
"T6032",0.047518941,0.32532386,0.072595293,0.059931554,0.499559146339379,0.0011050564755932,4.78652234133604
"T6056",0.052976466,0.356518421,0.057416044,0.060298142,0.188854320918596,0.882126058555804,15.4261334240217
"T6067",0.052203915,0.371006443,0.061354016,0.066431881,0.384469988713283,0.293761733966746,8.32077773582136
"T6064",0.050159166,0.398499954,0.058734495,0.052740359,0.268008385530655,0.618847584834132,12.246662605247
"T6075",0.052460422,0.337314406,0.062399151,0.068641101,0.410822872756206,0.22542875308189,7.49555752084484
"T2084",0.06510657,0.104461661,0.09406665,0.069775598,0.495537606029489,0.0111857961595784,4.90826194732745
"T6042",0.051003594,0.305685229,0.047920635,0.044410529,0.21068147598561,0.804058912950249,14.4833590002369
"T6044",0.052505927,0.257963434,0.058007139,0.056154845,0.10596428624405,1.24827989977622,19.8479740587153
"T6046",0.066386352,0.30430657,0.048604533,0.062106122,0.447708843979477,0.131452085318197,6.36065245786493
"T6050",0.074913657,0.289864468,0.093333418,0.072872011,0.42259010943121,0.195271740694166,7.13136769737465
"T6052",0.081342055,0.32854075,0.070198567,0.06985531,0.294647109398475,0.539859081214201,11.2927614422384
"T6066",0.046415176,0.369383111,0.04452526,0.038156937,0.334213376649951,0.42830819503745,9.94562210952412
"T6068",0.047273814,0.316302532,0.051359746,0.043586683,0.269491892981725,0.614350427893261,12.1923528887752
"T6070",0.054592037,0.320110093,0.062114249,0.048048443,0.400967906821476,0.250842587821859,7.80246656968077
"T6074",0.068362144,0.385036999,0.099582062,0.086873975,0.478963028728488,0.0527563289567989,5.41028664414868
"T6076",0.062838406,0.361176568,0.088025607,0.086520936,0.472674363739369,0.0685488592209927,5.6010044359219
"T6103",0.056364041,0.064190096,0.043358762,0.053176542,0.410072305223478,0.227358984929782,7.51886788020345
"T6105",0.05455544,0.140418866,0.038830201,0.053604934,0.474130179664105,0.0648915364481471,5.55683693955683
"T6107",0.053349061,0.193435131,0.038164963,0.043491631,0.464755793438629,0.0884593559907453,5.84145266768148
"T6109",0.043801981,0.287872067,0.057870564,0.060990781,0.462132263045582,0.0950633280557261,5.92120524362055
"T6114",0.047618223,0.389812619,0.051946428,0.042853993,0.319497935758236,0.469103200497164,10.4382811848272
"T6116",0.053502053,0.315966801,0.052170966,0.037668643,0.477967274920298,0.0552559568848968,5.44047329003293
"T6118",0.05170198,0.390831706,0.060655594,0.055381309,0.26319473546576,0.633527128535429,12.4239394641236
