"","aroF","tyrA","tyrB","tyrR","pval","z","inv_cof_var"
"T6067",0.067528148,0.048887883,0.073673572,0.402191578,0.459516166024772,0.101652719478539,4.90918217185692
"T6040",0.07862936,0.049354812,0.076372188,0.338704099,0.48599552715081,0.0351112204537999,4.18183171247376
"T6051",0.074403503,0.05295928,0.05634222,0.271912001,0.444943209957875,0.138447928900706,5.31138249599393
"T6064",0.067426636,0.049167567,0.076280246,0.399627985,0.468930429755664,0.0779587579263373,4.6501887005317
"T6075",0.069057767,0.049292783,0.077932079,0.374488258,0.475753658354854,0.0608140299614132,4.46278345802806
"T6029",0.065526441,0.053340021,0.054627251,0.224946059,0.328972890895653,0.44275109305021,8.63765331164841
"T6031",0.055183236,0.054268702,0.051333891,0.224787468,0.0182823276867212,2.09059197913125,26.6498388356894
"T6033",0.055282092,0.054954501,0.047092465,0.289812705,0.245950456952282,0.687288548167575,11.3106383348724
"T6035",0.069570889,0.052117247,0.065253119,0.287702526,0.389873555996276,0.279648606068169,6.85481597597586
"T6037",0.070646658,0.067568917,0.06607768,0.265576672,0.00999909948506033,2.32638166308211,29.2272039003945
"T6039",0.06962454,0.077136314,0.07754489,0.276213458,0.117738971136409,1.18636562101484,16.7659398162548
"T6044",0.068591266,0.047599825,0.069784963,0.257384118,0.457381462821365,0.10703284150968,4.96799109994303
"T6046",0.049629924,0.058699637,0.046717334,0.281617682,0.341221567343132,0.409131535390238,8.27016533697643
"T6048",0.067681804,0.051740342,0.068062344,0.283725594,0.395014180178423,0.26627378590458,6.70861876472072
"T6050",0.070972554,0.067836365,0.070011579,0.25717883,0.000149774955560517,3.61568892985254,43.3203374563859
"T6052",0.069349823,0.076118939,0.074333681,0.280864708,0.0590102675071167,1.56313631734008,20.8843372535051
"T6057",0.053414836,0.057927862,0.055247783,0.311539918,0.0293277963443737,1.89076596266081,24.4655846934369
"T6059",0.072469388,0.050867375,0.06309354,0.257717107,0.429607732580603,0.177372934758294,5.73686315553667
"T6061",0.065650593,0.063027363,0.062377112,0.322292397,0.00128723167664838,3.0144491827729,36.7483183007127
"T6063",0.067460016,0.062431388,0.062460767,0.280083843,0.0465932522747982,1.67882320593211,22.1488851340801
"T6074",0.076459049,0.065770321,0.103729622,0.324681934,0.485750887804789,0.0357248251085476,4.18853888970979
"T6085",0.054606911,0.039433656,0.049995657,0.182708337,0.414024073507035,0.217205566225452,6.17226487056726
"T6093",0.071246147,0.049342067,0.05273025,0.080351205,0.459852750223005,0.100804694133112,4.89991259371989
"T6106",0.079955809,0.052903603,0.067507921,0.077867711,0.458666959661621,0.10379262491527,4.93257300652784
"T6117",0.076826876,0.054375473,0.083408413,0.362832287,0.46713612380188,0.0824709129778997,4.69951007287322
"T6078",0.070497718,0.045018503,0.073165434,0.079890841,0.490886159289279,0.0228469982933542,4.04777420320333
"T6089",0.069591422,0.043732312,0.06703294,0.078603983,0.484631005267712,0.0385338908686373,4.21924416838527
"T6102",0.078792511,0.053865814,0.063492881,0.078571741,0.448922462256659,0.128384212308751,5.20137822807777
"T6113",0.07704404,0.051463243,0.076160967,0.321071137,0.467181813824604,0.0823559954783841,4.69825393501506
"T6095",0.069211576,0.046699956,0.0582518,0.07626382,0.45052430666019,0.124336797287419,5.15713682657304
"T6108",0.078429504,0.053040251,0.064662803,0.077764431,0.45100356787551,0.123126236343813,5.14390445171902
"T6119",0.076384223,0.052422904,0.078511583,0.334918749,0.464568214857642,0.0889313988729622,4.77012822023213
