"","aaeA","aaeB","aaeX","agp","cpdB","cstA","dksA","glgS","glpR","gluQ","gpsA","grpE","grxC","hofB","hofC","hofM","hofN","hofO","hofP","ilvB","ilvN","ivbL","lacI","mhpR","nadC","ompA","patZ","ppdD","preA","preT","priB","raiA","rmf","rplI","rpsF","rpsR","secB","sfsA","sxy","ubiG","uhpA","uhpB","uhpC","ychH","yeiP","yfiP","yibN","crp"
"ilvN",0.055364352980145,-0.0957237860087643,0.0940530601396481,-0.127262479300716,-0.0857714622528774,0.134975453833784,0.0359303660144827,-0.0111729325438595,-0.0792823445723809,0.0471399278239304,0.0888010612378447,0.0380262079953621,0.164832792932548,-0.0568357240138847,-0.0216114811923607,0.0410997177537397,-0.0036086912177845,-0.00360739301896097,0.0455097143323858,0.0634540353476796,1,-0.0473172346441619,-0.0513820609118699,-0.012784466794084,-0.0618705362204,-0.108260045628845,-0.0963274739362606,0.0198425233429717,0.046487453899047,0.00826097991616504,0.204700473696086,-0.0656705628819885,-0.0140641313467383,0.115361608795855,0.0990475115046057,-0.0509382579488079,0.0842258459910408,-0.0357034712997739,-0.0622736962015476,0.242289552720348,0.00779812888817016,0.0254366959444493,0.0137978267524328,-0.0706619110811445,0.101637193319154,0.0333804351286396,0.134563820875438,0.0126649699027629
"ivbL",0.0210012283821351,0.0094918583685699,-0.0814484854308316,0.0939130581014538,-0.113773851032984,-0.0773109975152155,-0.169775770986256,0.197987613765983,0.0895865608984254,-0.0336601035135356,-0.0120933446831868,0.0732631330953242,-0.12468654121029,-0.0990497064870127,-0.129161178645629,-0.128478406227726,0.0157984667892415,0.0766279290914336,-0.126514378527708,-0.0965342646573962,-0.0473172346441619,1,0.0185987173858653,-0.11574780329175,0.0509416937890315,0.305526850900482,0.0431208099833326,0.0738854240590301,0.160306733271269,0.0718836614626677,-0.15178534246548,0.100606414384985,0.021405206338901,-0.0464775685057738,-0.111463636253447,0.104424022721028,-0.0592474699325284,0.346539178137745,-0.246891784255826,0.105744702989096,0.00559034914383834,-0.0030413009801995,-0.0032877290036139,0.161721130024349,0.0979531580477091,-0.0724371840897437,-0.211628954918424,0.100337242381851
"lacI",0.370934319292739,-0.0378842094511729,-0.0586787251419481,0.149511980577615,0.179979592800557,0.00405506388766233,-0.0952731421305754,-0.0760516268545938,-0.0265009226002544,0.240194584356791,-0.138376488513887,-0.0555146001136638,-0.00477012124518622,0.0300062669496631,0.212958682974718,0.13045627366484,0.459813115872799,0.242043943550885,0.071715073638932,0.0388565186058391,-0.0513820609118699,0.0185987173858653,1,0.530782595760037,0.433618326452136,0.0913782190265138,0.119751402696696,0.317873076647691,-0.0807981942908216,-0.0596607741719802,-0.142025124643434,0.0932161095742409,0.246704020997961,-0.0203090854180242,0.0180723798486579,0.132203458498537,-0.0491982661414807,-0.186678959724484,0.052182313300189,-0.171122269125901,0.126187428132823,0.021921130970451,0.182070719903785,-0.0672273218056531,0.107828170339975,0.33602994115739,-0.146911647935207,-0.0464647263480193
"mhpR",0.255312099791939,-0.072252922653361,-0.0684227968908062,0.0225256790525139,0.312260518515216,0.108017802689128,0.0277610730288164,-0.1633389693771,0.0388208072505203,0.144644778652365,-0.0623311607296934,-0.0708051591081174,-0.043269773481124,0.00701631170339391,0.228166172545377,0.173668513259356,0.142318101264566,0.174113901531096,0.0584394715676614,0.124652568939291,-0.012784466794084,-0.11574780329175,0.530782595760037,1,0.151006597196318,-0.0371133108775097,0.187307541810011,0.141685738911693,0.00942459877791407,0.0608773552829936,-0.236553053618376,0.0937568759976189,0.247168709525651,0.0493536557419143,-0.110319616018284,0.0398656087721629,-0.0369847368362848,-0.142236010166454,0.103001984813472,-0.186147920002906,0.136688806790418,0.0449370141759727,0.0518621030563473,0.00907779688455082,-0.0386529913574419,0.264758680118471,-0.0559330300770369,0.053722347448978
"nadC",0.413092383325628,-0.175740487725239,-0.0585518014997342,0.260603261309292,-0.0724948831377914,-0.0168170566131866,-0.0447986663639301,0.123452463402008,0.0855637171275017,0.275937688949562,-0.144757216794172,-0.199150433902573,-0.132214788749786,0.106736640516069,0.285876696987643,0.211375987846326,0.641737640553143,0.0890642570888854,0.171404836660502,-0.0608891031756205,-0.0618705362204,0.0509416937890315,0.433618326452136,0.151006597196318,1,-0.0275841217912458,-0.069462274565695,0.320316655936818,-0.0450257485442946,0.161801352908316,-0.147649395318481,0.123595444068083,0.138794396030344,-0.157286389186025,-0.0277043138791728,0.121204817330474,-0.118078410523882,-0.0180087097594081,0.0671601342444969,-0.113326562447239,0.125708779884476,-0.0570429344802073,0.243401742975849,-0.0665917152821377,0.194309298754202,0.311502967699514,-0.169262689223606,-0.00859914045559335
"ompA",-0.186983652539084,0.238723749149525,0.0142511100866129,-0.0367999055607242,-0.00804787104088592,0.00142758517699747,-0.116097066772162,0.217075031039507,0.0385000050395175,0.126026794428082,-0.138016072289915,0.152604712177729,-0.0468020570531348,-0.0606793057829392,-0.0435304188055336,0.000272505755388514,0.058754549718191,0.0476321352943124,-0.165707500111371,-0.11350166949021,-0.108260045628845,0.305526850900482,0.0913782190265138,-0.0371133108775097,-0.0275841217912458,1,-0.0109169663352554,0.0170025006972499,0.285339596329054,0.0638740674546921,0.0408577083092312,0.0153573234742972,-0.220962847505219,0.0997089672432971,0.150456611834266,-0.094651815001277,-0.0157620086225682,0.399294653172977,0.0945233959604144,0.168241038426511,-0.257193786072796,-0.050256959575165,0.0290448361581897,0.0867886332180967,0.0232734751105387,-0.136776270602996,-0.234378991030199,-0.0617153333929331
"patZ",0.0331013739028287,-0.106444341698174,-0.124371341796005,-0.0861847209064752,0.235810816708515,-0.127306469250052,0.0261310004802851,-2.03239247794114e-05,-0.0292270800245148,-0.0336621509832198,-0.00808571631897911,-0.0357423817525281,0.0957817995705593,-0.0768846606754837,-0.0985048948141154,-0.059108988348586,-0.0255736004123233,-0.104666138292345,-0.0957634227609098,0.0458712008443301,-0.0963274739362606,0.0431208099833326,0.119751402696696,0.187307541810011,-0.069462274565695,-0.0109169663352554,1,-0.00731705798597956,0.110672087808363,0.156135234941835,-0.156549044244348,0.121627611663083,0.152657013448196,0.139067763463431,-0.0672886664703424,-0.048692491970825,-0.0301870177665574,0.0379662505790446,-0.0680017117614634,-0.0209552524013749,0.121181162569891,0.0493698346570835,0.188672467996931,0.0140971664618857,-0.0645955181575338,0.028160235518613,0.107941282725589,-0.046503347826584
"ppdD",0.425311650919495,0.115564783273313,0.0971878919905768,0.192553663067457,-0.0351437337182366,0.0231098710418248,-0.120176416658097,0.0396236870033844,0.0947444174268095,0.368106885242624,-0.11380904657726,-0.1534905413058,-0.101279553993306,0.264619186071705,0.451060942256117,0.295267628290412,0.517837206597892,0.268188734448944,0.225721695424541,-0.0898534164529385,0.0198425233429717,0.0738854240590301,0.317873076647691,0.141685738911693,0.320316655936818,0.0170025006972499,-0.00731705798597956,1,0.0550777379854565,0.0812063341232841,-0.12199761472104,-0.0987196311181104,-0.111836467552014,-0.0950821934767083,0.00667591553596689,-0.0171383145571209,-0.0369565145998188,-0.0733669406898075,0.119680438912507,-0.150593685754775,0.0474711652636938,0.101002003273828,0.30864740214141,-0.0812585411188385,0.0871746155698378,0.348953938185282,-0.176623315963407,-0.144879698199123
"preA",-0.0258575106307351,0.132807107868164,0.32533799421773,-0.0362743818267267,-0.114227672970745,-0.00701291831161479,-0.0721360172217238,0.161604891974082,0.078749313410635,0.286870315574041,-0.192186546499761,0.049374506738845,0.0774890042329356,0.0970315418093061,0.0335173010744822,0.307384804645104,0.00210927362233495,0.221059163889104,0.191278476506747,-0.279938249544342,0.046487453899047,0.160306733271269,-0.0807981942908216,0.00942459877791407,-0.0450257485442946,0.285339596329054,0.110672087808363,0.0550777379854565,1,0.468629965116211,0.0872088916501649,-0.0767005263295066,-0.325835034513774,0.162069132958579,-0.024472190693001,-0.197768209767764,-0.172020681605243,0.15359555084269,0.245599759985522,0.270265425557653,-0.169117470561819,0.179366016703069,0.227232501270064,0.0193225164005489,0.0191231719442746,0.0386551485565201,-0.129789881031848,-0.160128614519077
"preT",-0.0135512172376804,0.0853987343734277,0.303390583115673,-0.0164160474022052,-0.0994925044150482,-0.0174125136951797,-0.0425003839720379,0.119800822420182,0.0509288241660651,0.193478637595624,-0.204976853956312,-0.113044218815756,0.135679002101674,0.0888604191501128,0.0778301526318089,0.295160718655119,0.0755010642883401,0.22075596912159,0.121999729134613,-0.142755979565449,0.00826097991616504,0.0718836614626677,-0.0596607741719802,0.0608773552829936,0.161801352908316,0.0638740674546921,0.156135234941835,0.0812063341232841,0.468629965116211,1,0.0964579054942904,0.0122858248150139,-0.256767477624237,0.00821610801606954,0.0229312908508543,-0.180146266298503,-0.103307028146739,0.00625413979889764,0.252675456730755,0.18858223809394,-0.148031949709862,0.412497940045611,0.184383829777108,-0.00762117479159155,-0.0120298219442564,0.0430144427757902,0.0165663750249614,-0.0244999113388297
"priB",-0.323530404931701,0.160012743250455,0.250781193002672,-0.0377203461624493,-0.145741298375704,0.130023547461461,0.135279859160165,0.056580270258564,-0.171259735394894,0.028806476492093,-0.135166263127384,0.269727227700767,0.378133278976602,0.042013908198341,-0.0347659012788179,0.0223347423018915,-0.0192341077892942,-0.0232964143813339,0.0401356443584994,-0.0195308756538356,0.204700473696086,-0.15178534246548,-0.142025124643434,-0.236553053618376,-0.147649395318481,0.0408577083092312,-0.156549044244348,-0.12199761472104,0.0872088916501649,0.0964579054942904,1,0.0555845989952973,-0.365708946497861,0.0517997010252566,0.580077040107099,-0.0276037952252368,0.0612628979033727,-0.168966007357164,0.115684852801703,0.282446195898914,-0.366745610000264,0.0559567565539128,0.0338619406628188,-0.226548467743905,0.0379867436883443,-0.18119995559166,0.190687427298266,-0.107014147312866
