"","fnr","ompX","rimM","rplS","rpsP","trmD","ychO","ysgA","pval","z","inv_cof_var"
"T0878",0.301969932,0.728485642,0.772209157,0.536243939,0.692352544,1.009241523,0.079188496,0.06485064,0.491373112416906,0.0216260859282721,1.54881896712642
"T0879",0.34469103,0.787872591,0.827698912,0.588329329,0.74744517,1.062322201,0.054964395,0.101684842,0.478151775305898,0.0547927823555942,1.56632758718442
"T0151",0.418304249,0.193805784,0.218665671,0.0554302,0.292978687,0.356714415,0.110873046,0.048993514,0.48991141145767,0.0252910372113436,1.55075368618073
"T1081",0.313344733,0.180667876,0.25328198,0.226766056,0.267876842,0.363280584,0.132101289,0.067147347,0.104838014736185,1.25445676942987,2.1996273489794
"T1082",0.242706797,0.157194615,0.279532629,0.361001991,0.351143663,0.361760934,0.079250451,0.065139344,0.326963165564634,0.448314370120493,1.77406669619984
"T1083",0.340296182,0.183552593,0.402416614,0.407979145,0.477283121,0.451910399,0.249232244,0.038281928,0.22470031881903,0.756414632504253,1.93671209097614
"T2861",0.290393991,0.272921225,0.506239743,0.261848795,0.277616841,0.514916296,0.072691228,0.21807495,0.233611449993582,0.727004988251569,1.92118680981377
"T2862",0.423777175,0.532914843,0.630854379,0.140442738,0.487165761,0.653411794,0.04769052,0.665699634,0.324592966265296,0.454893398338247,1.77753974952814
"T2863",0.334413303,0.299253309,0.471059302,0.310132151,0.409026638,0.504788468,0.07556048,0.37951849,0.0420452086696857,1.7274302749183,2.44930893614754
"T0347",0.295080861,0.27395303,0.625634416,0.296867121,0.477377486,0.545494398,0.043607413,0.188883404,0.388950022385026,0.282056686131237,1.68629966076206
"T0348",0.295325687,0.272065052,0.616012262,0.294607515,0.469271611,0.539393666,0.047355129,0.189094846,0.37331329431498,0.323090653237156,1.7079613942755
"T0349",0.293970232,0.272859846,0.649427455,0.273925672,0.482611989,0.557393426,0.045300854,0.188938887,0.42916554967809,0.178499009058493,1.63163180965639
"T0836",0.184605746,0.489528474,0.266661164,0.481039278,0.490832105,0.130800198,0.053234326,0.267570546,0.362367331176961,0.352138145319253,1.72329549616948
"T0835",0.138626722,0.463224979,0.394645511,0.410243206,0.456543163,0.372432913,0.065214958,0.176720146,0.108148039023224,1.23643724736882,2.1901148861966
"T0819",0.095376406,0.499004941,0.406179976,0.465099528,0.504705683,0.253273541,0.055037814,0.039850644,0.480691802597419,0.0484173839108156,1.56296202952834
"T5127",0.12130383,0.202387219,0.340963106,0.252408389,0.300603272,0.143027936,0.120587299,0.094916657,0.100197575991676,1.28042657683579,2.21333674846229
"T5129",0.093903763,0.26050872,0.347038713,0.226683713,0.298611108,0.145795721,0.131127126,0.058360037,0.165741446780124,0.971131311025409,2.05006051422296
"T5131",0.073013322,0.091764476,0.356685701,0.208845808,0.304813382,0.145746176,0.136910807,0.069947468,0.352498091331967,0.378584838505548,1.73725664252013
"T5133",0.117691958,0.282540329,0.354135418,0.255051267,0.293457017,0.1378056,0.135705274,0.061640676,0.166228211930987,0.969177923564988,2.04902932563456
"T5135",0.108285948,0.284935969,0.355286775,0.241259955,0.29388102,0.152087757,0.151434962,0.153291389,0.00750207192716352,2.43227902259827,2.82139691146123
"T5137",0.093347553,0.086154647,0.353332148,0.247789727,0.281444527,0.152869991,0.109976192,0.115840533,0.253627149043065,0.663119069970853,1.88746158569672
"T0321",0.230181719,0.254098696,0.277491772,0.056962381,0.24160536,0.245337848,0.055963114,0.168691111,0.207713366736552,0.814380976107782,1.96731238571848
"T0033",0.407454921,0.34185936,0.40501583,0.260885625,0.390942389,0.383134753,0.049041264,0.041795426,0.391976203479149,0.274172049123811,1.68213737966298
"T0034",0.375793443,0.345046268,0.374244788,0.306430248,0.361630159,0.351986804,0.053969253,0.054598359,0.293968682466993,0.541827471067758,1.82343203948988
"T0035",0.418905343,0.347168894,0.41494722,0.26289538,0.395467148,0.377051517,0.040605156,0.020851839,0.465263177866379,0.0871826177950722,1.58342610417702
"T0041",0.036228804,0.453880773,0.437050086,0.366999947,0.454834467,0.45549352,0.032387948,0.034601049,0.441513530210045,0.147132978040462,1.61507375657969
"T0042",0.073112889,0.506247553,0.506831457,0.385578527,0.511702125,0.517556828,0.031227389,0.055544356,0.432002255929231,0.171278847595865,1.62782030361497
"T0043",0.182141014,0.337294397,0.489514408,0.486768644,0.460904347,0.456688482,0.039330276,0.042632857,0.439479157472802,0.152289869180928,1.61779606713169
"T0045",0.26595266,0.453605074,0.376236972,0.373456592,0.43489319,0.385479099,0.047197633,0.048886218,0.368764184747659,0.335128215398205,1.71431599467305
