"","csgD","dgcC","iraP","nlpA","wrbA","yccJ","yccT","pval","z","inv_cof_var"
"T5131",0.069607859,0.08420808,0.070211634,0.089654537,0.136775379,0.120106402,0.066238516,0.324901819447417,0.454034995553061,3.35867013067735
"T5133",0.064845566,0.119181462,0.067929263,0.11155264,0.110710835,0.086754998,0.060338469,0.268205421452088,0.618249563896413,3.73844450665254
"T5135",0.087069573,0.102778776,0.059134476,0.117936725,0.107707517,0.073047917,0.086226688,0.222792827057108,0.762795015718607,4.07273067455846
"T5137",0.08763462,0.070605772,0.131270075,0.100822989,0.094118497,0.154371199,0.103338292,0.273874283627185,0.601137261372656,3.69886936981772
"T2826",0.044220171,0.053420005,0.120185845,0.086349597,0.079408794,0.134256954,0.052504003,0.450656553440294,0.124002738386728,2.59541388744952
"T0707",0.061094495,0.091314899,0.102909053,0.062183623,0.110171724,0.123971604,0.086691593,0.171407660641645,0.948617236447406,4.50247645552991
"T1704",0.049928672,0.048516923,0.062621156,0.063579414,0.050971577,0.083865069,0.121950654,0.447692509568141,0.131493385011785,2.61273729350527
"T1707",0.07211507,0.065655422,0.084896517,0.097887811,0.103960686,0.130893898,0.029980654,0.473382070660484,0.0667708356970187,2.46305528888468
"T2323",0.012492918,0.066923557,0.089290864,0.054696562,0.14864736,0.080064873,0.056734631,0.489908453349307,0.0252984544618947,2.36714328873349
"T2335",0.069522765,0.09845149,0.099841526,0.067657771,0.187936327,0.113884175,0.093685681,0.43414436126044,0.165832558964579,2.6921525274336
"T4072",0.073256467,0.178679184,0.098519654,0.07309899,0.182027774,0.131128867,0.092848847,0.426268057756849,0.185883507998105,2.73852378872751
"T4074",0.073256467,0.178679184,0.098519654,0.07309899,0.182027774,0.131128867,0.092848847,0.426268057756849,0.185883507998105,2.73852378872751
"T4075",0.062751113,0.162165898,0.083947341,0.078901455,0.163642899,0.115573899,0.0787773,0.4129365912709,0.219997396227434,2.81741801075106
"T4077",0.065995901,0.156354703,0.090278507,0.086740959,0.163672882,0.120361266,0.086339313,0.333721467764931,0.429660067330093,3.30229892531655
"T4083",0.061179937,0.162421486,0.080645144,0.078287867,0.158672962,0.112551947,0.077064089,0.419292195745067,0.203704543442982,2.77973799209319
"T4085",0.060362303,0.165330054,0.079108126,0.075701222,0.158577885,0.110861696,0.074825934,0.442773586598619,0.143940855978926,2.64152420666837
"T5142",0.135446071,0.273040323,0.139700732,0.080473719,0.139319744,0.153442745,0.143356148,0.47690870100786,0.0579136603304242,2.4425715505557
"T5144",0.138739604,0.232633184,0.143123905,0.085949267,0.183145934,0.144990191,0.140004935,0.356965933611674,0.366580618808751,3.15641687331151
"T5148",0.130214748,0.273259174,0.130577658,0.078311948,0.19504396,0.143061985,0.134703343,0.489119021279442,0.0272779513989039,2.37172121517194
"T5150",0.134089416,0.269486633,0.134103306,0.077087394,0.194914335,0.145777241,0.137352,0.477587290368807,0.0562099173687645,2.43863135251716
"T5152",0.135446071,0.273040323,0.139700732,0.080473719,0.139319744,0.153442745,0.143356148,0.47690870100786,0.0579136603304242,2.4425715505557
"T5714",0.082298465,0.156031605,0.079176548,0.079302533,0.142734899,0.098808132,0.079420405,0.374839337080257,0.319063087030512,3.04652442490687
"T5716",0.138974884,0.174542342,0.105703816,0.107331494,0.161057045,0.110111066,0.106973636,0.224661600751117,0.756543834276845,4.05827374448763
"T5718",0.13005476,0.146111961,0.086718463,0.087579293,0.143550085,0.09215302,0.087547874,0.27681871689645,0.592318344881498,3.67847411170515
"T5719",0.108146624,0.244249304,0.12723025,0.107920739,0.1954129,0.133871922,0.115582314,0.407025123079375,0.235204200185704,2.85258635508305
"T5720",0.105626981,0.19267363,0.115520642,0.101055507,0.184756246,0.124499367,0.10139903,0.333564311477704,0.430092132330312,3.30329814979155
"T5721",0.111031004,0.213784703,0.11554762,0.115646544,0.178340451,0.128109918,0.11505903,0.310539136254796,0.494322733410671,3.45184243967941
"T5723",0.108833646,0.16325171,0.093798706,0.094809201,0.164318814,0.130303138,0.092791012,0.292052978394588,0.547397086039733,3.57458599010451
"T5724",0.165509891,0.149616269,0.103781248,0.101799389,0.141029495,0.110927078,0.103128615,0.0797420685414875,1.40680864945193,5.56212274456774
"T5732",0.123330065,0.232161445,0.106636174,0.158992956,0.210543498,0.105760842,0.102330763,0.440669253035434,0.149272636725767,2.65385486482127
"T5734",0.079514229,0.152359712,0.079001435,0.085399975,0.129422879,0.071603584,0.082454782,0.374097006870414,0.321021611016511,3.05105384779619
"T5736",0.137825541,0.24050138,0.104005277,0.103290199,0.195186238,0.113981518,0.103695744,0.48251886358319,0.0438327428138912,2.41000701187349
"T5738",0.334088932,0.176283031,0.099369053,0.074105997,0.180620452,0.187398775,0.080910848,0.470583572463931,0.0738029936601027,2.47931836121213
"T5744",0.115353723,0.165213326,0.113149477,0.106626223,0.197436874,0.121651307,0.11988716,0.256957296867917,0.652754449214698,3.81824297655716
"T5746",0.244273256,0.169385144,0.088143695,0.089777559,0.087336217,0.089220649,0.08904629,0.366055716808634,0.342318209031154,3.10030588616891
"T5748",0.128231732,0.182909618,0.118762574,0.113441364,0.18312457,0.130049411,0.113963605,0.20895124880919,0.810065558809003,4.18205191922798
"T5750",0.365875391,0.167599637,0.099710295,0.091507976,0.115824053,0.093708883,0.098658839,0.253601474067675,0.66319925568477,3.84239838432256
"T5752",0.093320525,0.122424168,0.095065445,0.092903213,0.10015318,0.113419221,0.093106661,0.00443710173181645,2.61686267712138,8.36058038380452
"T5756",0.132562679,0.193005036,0.117320958,0.1151135,0.186472561,0.126014124,0.117420975,0.249182526582546,0.677064465945792,3.87446406295123
"T5760",0.280798336,0.147341135,0.088013924,0.087058173,0.136480708,0.095581412,0.088697364,0.241616678939324,0.701111622086215,3.93007723911056
"T8378",0.289622842,0.303272973,0.103391193,0.272825759,0.303006184,0.255272043,0.11012192,0.482304806635697,0.0443698260562772,2.4112491090594
"T8379",0.247936918,0.188702524,0.136490166,0.24175054,0.249857283,0.204014658,0.143355754,0.22400431171471,0.75873913162503,4.06335074641807
"T4080",0.055935479,0.14191792,0.072810278,0.066186856,0.176874267,0.11088031,0.07044662,0.49312678012491,0.0172294596785099,2.34848235329079
"T4082",0.051722917,0.135591153,0.072618145,0.065220612,0.176285883,0.11472285,0.070135275,0.489373166768269,0.026640671573128,2.37024739618866
"T2651",0.055446512,0.077093888,0.056373486,0.057567012,0.140881651,0.089948902,0.070019043,0.448996698226303,0.128196592701544,2.60511289540849
"T2653",0.052593931,0.070353629,0.088707099,0.06666978,0.156704146,0.106744923,0.071402835,0.430877240151279,0.174141218596471,2.71136772897585
"T5733",0.090309168,0.208057618,0.098452239,0.087415762,0.17300054,0.11624604,0.091235766,0.451950926218354,0.120733842732021,2.58785400515699
"T5735",0.088052424,0.140469331,0.107775687,0.097318381,0.181069217,0.138708592,0.102322962,0.231283562716443,0.734626284879225,4.00758564945831
"T0606",0.053233149,0.036219781,0.151329772,0.085544655,0.12420229,0.076692753,0.091681573,0.489445731395508,0.0264587149084288,2.36982659016952
"T0602",0.110209993,0.069341628,0.135630557,0.059973247,0.164932075,0.127664801,0.139174438,0.420461820400874,0.200712172916704,2.77281762162443
"T0569",0.062795446,0.084563836,0.091915106,0.078040613,0.17617927,0.103690698,0.054931503,0.490063039565774,0.0249108421526047,2.36624686873638
"T0578",0.288935275,0.052338569,0.114408532,0.108001244,0.104395804,0.077459989,0.080540075,0.261009389164505,0.640236620368684,3.78929334872256
"T0579",0.09944193,0.042984832,0.120699283,0.157472598,0.112757528,0.056782565,0.114820966,0.493001586828951,0.0175433201695617,2.34920820954907
"T1096",0.095392412,0.108646266,0.132183895,0.095623204,0.095481336,0.151706095,0.106777657,0.110514492685887,1.22379655201153,5.13887585604554
"T4088",0.082993524,0.120025918,0.095087978,0.08966795,0.045183377,0.047885039,0.117863035,0.446723649756182,0.133943440118825,2.61840346648108
"T4093",0.098296144,0.075848645,0.093094365,0.11363928,0.085319164,0.147424872,0.1135535,0.223963511441787,0.758875522055329,4.06366617269893
"T4094",0.086725582,0.149788507,0.113141353,0.087828917,0.131439468,0.122868825,0.129958181,0.0612427695941271,1.54442445606977,5.88038291849661
"T4102",0.120844519,0.148111781,0.150668114,0.130065533,0.200899216,0.121500434,0.099268322,0.218993458273077,0.775597094348591,4.10233767880867
"T7008",0.371634759,0.150811881,0.062801309,0.073231758,0.061330748,0.07353696,0.061923538,0.499197453591028,0.00201168687727609,2.31328864162669
"T7010",0.3206968,0.169026687,0.177341942,0.131940663,0.158867301,0.09765864,0.10613913,0.208059012967237,0.81317448508006,4.18924184486281
"T0412",0.035613384,0.066107301,0.053111365,0.043013341,0.082074534,0.035459615,0.058715742,0.320542019838169,0.466183666470369,3.38676601743754
"T1782",0.058072907,0.083823938,0.160971814,0.217624672,0.206280873,0.186387835,0.076734918,0.460979145849262,0.0979672591332675,2.53520237280471
"T1783",0.052139162,0.083992908,0.155405231,0.224773231,0.129994014,0.178221078,0.076430256,0.468878872380617,0.0780883870708284,2.48922906904265
"T1786",0.054182794,0.077852902,0.160603802,0.216575135,0.152082713,0.185395329,0.070769501,0.473358625111459,0.0668297362419421,2.46319150650482
"T1794",0.051423188,0.073657978,0.166835362,0.201315917,0.196799868,0.189804484,0.067700151,0.48346471395948,0.0414596900073752,2.40451891993474
"T1795",0.063317191,0.101517725,0.144053071,0.212544012,0.163586209,0.16480325,0.094243618,0.330245059061129,0.439236585581751,3.32444626753916
"T1796",0.070601056,0.089508268,0.145633694,0.26056191,0.17162523,0.16147555,0.084274759,0.491165712418449,0.0221460851595146,2.35985289363194
"T1797",0.056355533,0.082001193,0.162868663,0.22415823,0.218350217,0.186450004,0.076271466,0.479808330904481,0.0506346370897064,2.42573755990042
"T1798",0.053271133,0.080598989,0.159739547,0.201485884,0.158016324,0.184232624,0.073736166,0.437627908158339,0.15698608292774,2.67169353314117
"T1799",0.043627976,0.071009509,0.168183177,0.187593845,0.142207899,0.193798216,0.063223285,0.485846488301794,0.0354850382570397,2.39070151224038
"T1801",0.057855105,0.084840234,0.153260677,0.246095766,0.179969865,0.178872948,0.076857792,0.485274470346149,0.036919814673317,2.39401967897585
"T1802",0.061163696,0.089296303,0.1636883,0.218849076,0.102007993,0.188178974,0.082651784,0.474221060758269,0.0646632528778918,2.45818114185848
"T1803",0.092510606,0.107334761,0.128135342,0.240265432,0.164855817,0.149113071,0.103836642,0.391711364933069,0.274861391900875,2.94430041790035
"T1804",0.068115138,0.082837057,0.164794438,0.197713129,0.130168982,0.093290221,0.077409469,0.459349299222057,0.102073168179148,2.54469799223386
"T1805",0.068764727,0.088304167,0.150196303,0.200617706,0.223581148,0.170826355,0.082468049,0.443223731227765,0.142800854183284,2.63888775683984
"T1812",0.057831522,0.082073186,0.155572314,0.246186166,0.186567916,0.176413918,0.07527548,0.493345512956923,0.0166810989542122,2.34721417499224
"T1813",0.067343262,0.084113124,0.15366691,0.244688441,0.175915087,0.175732675,0.079374012,0.47890851384663,0.0528931682899679,2.4309608009676
"T1816",0.062779441,0.078642718,0.150895042,0.228337119,0.142882416,0.170578809,0.075063544,0.478948776274494,0.0527921043456331,2.43072707324916
"T1824",0.063999908,0.092665817,0.172522396,0.220262005,0.216111873,0.202250817,0.085550818,0.432883562023451,0.169037526724216,2.69956456549584
"T1825",0.07255172,0.098215871,0.149713261,0.232183728,0.262721437,0.176792156,0.091467928,0.480658424556759,0.0485011485458593,2.42080350143921
"T1716",0.049228953,0.065720564,0.124008833,0.086213791,0.118235465,0.138984163,0.060578243,0.377940675749887,0.310893808510654,3.02763156611032
"T4795",0.201583213,0.11325325,0.068925647,0.071798885,0.116365718,0.080083303,0.070615244,0.239900238467408,0.706623506697608,3.94282441836424
"T4797",0.384556162,0.123896849,0.07796318,0.087738207,0.115830867,0.06406818,0.078024058,0.249093304930171,0.677345750178931,3.87511458102152
"T4799",0.32357931,0.137074281,0.067817711,0.069077913,0.142801493,0.095983139,0.067319673,0.425696436591344,0.187341517176168,2.74189568521241
"T4796",0.285066235,0.114438761,0.089808296,0.089501096,0.116707625,0.103133629,0.090365582,0.0073653164011936,2.43893462724316,7.94909122792345
"T4798",0.243324952,0.148308953,0.203630512,0.094896188,0.126443887,0.096234195,0.095627896,0.389263163981695,0.281239998302809,2.9590520400635
"T4800",0.264190822,0.161746745,0.121575869,0.086017172,0.155167146,0.110673227,0.08721481,0.273881268043383,0.601116287098589,3.6988208632088
"T4802",0.102670809,0.136643337,0.080873535,0.081213215,0.13718841,0.0967826,0.081536667,0.269096502289029,0.615547811528841,3.73219624055906
"T4804",0.106632852,0.101411131,0.082737561,0.080031063,0.128628541,0.097012915,0.080568044,0.116336786120791,1.1935001019836,5.06881011510858
"T4806",0.311031461,0.131198282,0.10335123,0.099623862,0.126009791,0.094039799,0.09757127,0.024648835901217,1.96600812734132,6.85536752122516
"T4807",0.278423268,0.119427102,0.076605827,0.076265441,0.106068998,0.072782304,0.071835153,0.196570937194511,0.85393343186547,4.28350390539126
"T4808",0.33005139,0.103426146,0.099440007,0.066280135,0.096845121,0.069663044,0.059552842,0.200530836070989,0.839726642752565,4.25064826703716
"T4809",0.374425431,0.162012785,0.081254029,0.084217636,0.144893824,0.085331203,0.069517848,0.432410882170364,0.170239530820352,2.70234440628668
"T4810",0.337369469,0.167223509,0.090673641,0.104429368,0.138402839,0.075454805,0.054625883,0.461095877311715,0.097673253466423,2.5345224342354
"T4811",0.161164884,0.175706006,0.086864636,0.092493456,0.165986457,0.09779838,0.087869489,0.408244549803819,0.232062977548199,2.84532173855729
"T4812",0.322296208,0.187517983,0.097494978,0.104296532,0.142049385,0.09867059,0.097832697,0.333205551091565,0.431078762430714,3.30557990124928
"T4801",0.153563607,0.152423378,0.088231953,0.086074128,0.147415656,0.091296587,0.087342022,0.317508210243534,0.474678113056003,3.40641088319981
"T4803",0.286655426,0.11465636,0.114223028,0.096683652,0.109973914,0.087222582,0.09802947,0.00130343933934544,3.01065149534267,9.27128461799467
"T4805",0.337022395,0.118728868,0.069771899,0.071192884,0.133869945,0.085083974,0.0715869,0.333897546303132,0.429176075214535,3.30117961047429
"T5743",0.122439731,0.121662233,0.124243656,0.121845731,0.183700425,0.139229992,0.123429147,0.0804534131627448,1.40202819844564,5.5510671310731
"T5745",0.124344073,0.159043476,0.088926759,0.09038242,0.160396825,0.104425583,0.089829987,0.330031082420133,0.439827339514246,3.32581248740828
"T5747",0.109365694,0.196856686,0.105883001,0.105840543,0.17476803,0.113826172,0.105783988,0.339587136417048,0.413590170916576,3.26513453153592
"T5755",0.109738812,0.146167147,0.119814766,0.113211455,0.184279255,0.134763138,0.117957956,0.11284285602948,1.21154731588752,5.11054739498331
"T5759",0.090111936,0.182287913,0.096545153,0.099602079,0.19999935,0.117557865,0.094253848,0.416494015459221,0.210870875720098,2.79631136555225
"T6892",0.07598446,0.078337285,0.06432854,0.069389193,0.083899938,0.077871374,0.087081127,0.00210067776842842,2.86263400826767,8.92896877260762
"T6894",0.12221788,0.074369945,0.125267348,0.103560309,0.061228091,0.086361169,0.125343681,0.287352709543012,0.561135133231587,3.60635758230877
"T6896",0.07338036,0.070492612,0.132335532,0.070110683,0.062589291,0.066009843,0.10485142,0.380625921930423,0.303837305419951,3.01131219149652
"T6898",0.126615885,0.064804572,0.127418249,0.070189282,0.082942097,0.102295982,0.126742046,0.306076423112349,0.507002810999449,3.4811672955809
"T6902",0.126615885,0.064804572,0.127418249,0.070189282,0.082942097,0.102295982,0.126742046,0.306076423112349,0.507002810999449,3.4811672955809
"T6891",0.070993833,0.077894185,0.061005857,0.060175511,0.071730066,0.075571615,0.06275305,0.00282844822396732,2.76703336956546,8.70787588619545
"T6893",0.078756733,0.089232734,0.108689968,0.088529008,0.088038425,0.087747447,0.093262497,4.47102133573813e-05,3.917639157185,11.3688492662977
"T6895",0.080287483,0.093618815,0.120537157,0.085144984,0.08479469,0.072110022,0.062876274,0.188882556019437,0.882021627032211,4.34846267792486
"T6897",0.07960606,0.08840358,0.117373167,0.084655024,0.106468012,0.080005321,0.103033248,0.0301717332767499,1.87827564488276,6.65247109665954
"T6899",0.084564893,0.054547027,0.075552094,0.045364086,0.071996591,0.075654147,0.104670828,0.306972634763763,0.504449886334528,3.4752632190954
"T6901",0.101659612,0.084672552,0.095935589,0.113921113,0.111895418,0.096683616,0.103727389,0.00143552770793794,2.98121671159248,9.20321162822606
"T2143",0.066205864,0.047771275,0.094171974,0.077815998,0.058940772,0.055415103,0.060881471,0.251003040164323,0.671336668137506,3.86121754736922
"T2144",0.070148626,0.073026714,0.075142078,0.070370224,0.138089611,0.133333636,0.072034974,0.404152968154802,0.242612061896187,2.8697183068142
"T2145",0.05015641,0.098675693,0.096564671,0.069091535,0.112938597,0.058633054,0.040159629,0.407027814997886,0.235197263303897,2.85257031235319
"T2146",0.065189657,0.098957282,0.077587381,0.061390279,0.159955396,0.061580383,0.070789558,0.493893131283578,0.0153082476683942,2.34403922075012
"T2147",0.065200415,0.059762853,0.109462721,0.084817986,0.052333772,0.035888553,0.055776571,0.464470472314505,0.0891773765501326,2.51487426058798
"T2148",0.080104539,0.073349624,0.095977712,0.08549033,0.103160722,0.072349618,0.077714402,0.0288160530355636,1.89848588005689,6.69921073449433
"T2150",0.061925007,0.074233343,0.104810337,0.080288923,0.115930934,0.074390513,0.054121783,0.270808290836488,0.610370233575924,3.72022220283532
"T2151",0.064488129,0.063532896,0.091277827,0.071384962,0.152182432,0.064290356,0.063826908,0.480462655175102,0.0489924530027684,2.42193972732598
"T2107",0.051550175,0.109014402,0.104383178,0.074379487,0.13477652,0.120253642,0.041062316,0.406536768146848,0.236462843622892,2.85549718407195
"T2109",0.071201017,0.059650867,0.116879562,0.090467,0.117192186,0.039690258,0.061281342,0.467319567902397,0.082009529165833,2.4982973831835
"T2126",0.059833484,0.047545355,0.112527244,0.081691507,0.105186049,0.070652524,0.049099209,0.409811705402778,0.228029366358125,2.83599332032929
"T2127",0.065859784,0.060296377,0.098853735,0.07789455,0.116750581,0.066676825,0.060960856,0.304281792546242,0.512124919633968,3.4930130509848
"T2116",0.053046128,0.047418235,0.091492496,0.067538239,0.131034159,0.124132055,0.04857667,0.498629146684995,0.00343622644204491,2.31658313388593
"T2117",0.059743141,0.049862866,0.099495835,0.075115812,0.12833011,0.063262125,0.053045168,0.455360090240288,0.112130189656818,2.5679565806428
"T2118",0.074824958,0.071568851,0.097323826,0.082055162,0.121203472,0.069299417,0.072594125,0.202818728116106,0.831595228580521,4.23184297604417
"T2134",0.056750424,0.063686873,0.097918348,0.073639611,0.122737353,0.049025836,0.050304974,0.445284978350715,0.137583044381003,2.62682067605883
"T2135",0.060753576,0.051740021,0.109393778,0.081864646,0.125982562,0.094906188,0.052687085,0.405499056046229,0.23913859918279,2.86168532808544
"T2136",0.060875472,0.051224316,0.112197461,0.081558313,0.103411183,0.058046816,0.052377539,0.406511461789351,0.236528076215671,2.85564804563963
"T2110",0.05523563,0.046296572,0.095134821,0.071569194,0.104717851,0.040554275,0.047519428,0.471703323196034,0.0709888287924168,2.47281012191705
"T2111",0.058512196,0.11472199,0.105545012,0.080150576,0.114233633,0.114014561,0.048409095,0.291667822352005,0.548518915538661,3.57718041337769
"T2128",0.052384412,0.032811957,0.093590632,0.068703008,0.083430721,0.038628169,0.044513242,0.486467960626073,0.0339262995447084,2.38709666141773
"T2129",0.058856592,0.119480667,0.10892962,0.078436644,0.042843251,0.054405499,0.051483852,0.490028487133135,0.0249974792279368,2.36644723184394
"T2130",0.068276548,0.047044033,0.107864119,0.085822121,0.08885504,0.101672234,0.060086894,0.311052964225808,0.492867902018195,3.44847789236914
"T2119",0.050139783,0.054461538,0.113608878,0.068764681,0.056681881,0.132576761,0.053477672,0.49752506134993,0.00620379099225422,2.32298360194811
"T2121",0.061623534,0.138676831,0.075738624,0.062331433,0.083044155,0.067195393,0.063687259,0.411866182702845,0.222747069460913,2.82377710207234
"T2124",0.07779261,0.059161737,0.119398905,0.096181641,0.088228856,0.062089362,0.067687979,0.304041275243963,0.5128124064433,3.49460298223535
"T2138",0.058262264,0.053910967,0.090168046,0.069089224,0.131681506,0.053053951,0.054441246,0.479645182982157,0.0510441171255144,2.42668455276861
