"","asnB","clpP","clpX","glsA","lon","uspE","ybaT","gadX"
"asnB",1,0.332579493150986,0.227624557600622,-0.12184815424429,0.291510216667735,-0.074158955804017,-0.130566198818941,0.139354892892321
"clpP",0.332579493150986,1,0.493430802329497,0.177282770370185,0.356624140336236,0.359867601525541,-0.120189324733591,0.0717507893593932
"clpX",0.227624557600622,0.493430802329497,1,0.410769855515044,0.326288290626567,0.318624200640504,0.0399718191493985,-0.04601701145357
"glsA",-0.12184815424429,0.177282770370185,0.410769855515044,1,0.197927148390601,0.19014858369547,0.221409937095248,0.14169136941653
"lon",0.291510216667735,0.356624140336236,0.326288290626567,0.197927148390601,1,0.066695396894383,-0.0754777376543524,0.127420564682366
"uspE",-0.074158955804017,0.359867601525541,0.318624200640504,0.19014858369547,0.066695396894383,1,0.0233526220886246,0.0317575676919019
"ybaT",-0.130566198818941,-0.120189324733591,0.0399718191493985,0.221409937095248,-0.0754777376543524,0.0233526220886246,1,-0.0724792365282545
"gadX",0.139354892892321,0.0717507893593932,-0.04601701145357,0.14169136941653,0.127420564682366,0.0317575676919019,-0.0724792365282545,1
