"","cirA","entA","entB","entC","entD","entE","entH","fepA","fiu","crp","fur"
"cirA",1,0.442785493992327,0.653632858681563,0.750304853256141,0.457122558842138,0.544692283995331,0.545903658294171,0.728554403261394,0.352187767155025,-0.0848998001149623,-0.24487870005139
"entA",0.442785493992327,1,0.884288431057189,0.772324435222195,0.628121054177501,0.907240003180957,0.681549411058013,0.722330281836766,0.858555180538989,-0.247268977347367,-0.0801006118965455
"entB",0.653632858681563,0.884288431057189,1,0.869348163063533,0.573790913936797,0.889369463413887,0.758221074059819,0.848974391123818,0.758436214279918,-0.191213503043048,-0.139759975372841
"entC",0.750304853256141,0.772324435222195,0.869348163063533,1,0.546568076700174,0.797647206656011,0.691935969054401,0.82541175428884,0.675868693763323,-0.162296229760571,-0.174761506170601
"entD",0.457122558842138,0.628121054177501,0.573790913936797,0.546568076700174,1,0.657679689818568,0.471084209343894,0.533307939824635,0.740144594422796,-0.316106680148065,-0.180494461574741
"entE",0.544692283995331,0.907240003180957,0.889369463413887,0.797647206656011,0.657679689818568,1,0.742919416723555,0.781466589649653,0.829513475926755,-0.201944146000872,-0.0907933533870122
"entH",0.545903658294171,0.681549411058013,0.758221074059819,0.691935969054401,0.471084209343894,0.742919416723555,1,0.699563410952336,0.644473722610928,-0.299795628556255,-0.126700841738598
"fepA",0.728554403261394,0.722330281836766,0.848974391123818,0.82541175428884,0.533307939824635,0.781466589649653,0.699563410952336,1,0.670814708463825,-0.125158165389267,-0.162387759948706
"fiu",0.352187767155025,0.858555180538989,0.758436214279918,0.675868693763323,0.740144594422796,0.829513475926755,0.644473722610928,0.670814708463825,1,-0.268234639048009,-0.051190623989514
"crp",-0.0848998001149623,-0.247268977347367,-0.191213503043048,-0.162296229760571,-0.316106680148065,-0.201944146000872,-0.299795628556255,-0.125158165389267,-0.268234639048009,1,0.197211375241035
"fur",-0.24487870005139,-0.0801006118965455,-0.139759975372841,-0.174761506170601,-0.180494461574741,-0.0907933533870122,-0.126700841738598,-0.162387759948706,-0.051190623989514,0.197211375241035,1
