"","bdcA","dkgB","grxD","mepH","mhpT","nsrR","pgpC","rfe","rffC","rffG","rffH","rffM","tadA","tehA","tehB","tsgA","wecB","wecC","wecE","wzxE","wzyE","wzzE","ydbD","yeaE","pval","z","inv_cof_var"
"T5556",0.14446393,0.113087502,0.262841271,0.117717683,0.136117062,0.07860045,0.076133564,0.12320091,0.102947122,0.090725983,0.14167955,0.152236432,0.114520493,0.078265771,0.111573671,0.101123524,0.140794101,0.118084472,0.262520099,0.210336191,0.086175485,0.134820467,0.139053979,0.253076136,0.167776263105445,0.962990030830341,2.51917652804145
"T5558",0.132798772,0.106762786,0.25074138,0.113765925,0.123382991,0.115298897,0.074498522,0.117898308,0.10207633,0.097049064,0.131217035,0.1935938,0.110883228,0.120211593,0.107036837,0.11560081,0.129568399,0.110675361,0.239543377,0.213221211,0.169752974,0.126762313,0.135628537,0.235305774,0.0973102168518091,1.29703125282297,2.84191713311161
"T5560",0.107410181,0.098144603,0.087561701,0.053703472,0.18436088,0.14611637,0.185019243,0.141422022,0.182204087,0.051527122,0.145823149,0.274062812,0.097114851,0.275949622,0.087070087,0.062322483,0.099186319,0.099778411,0.33056523,0.275720307,0.259679378,0.152524475,0.093529214,0.296124093,0.40253219752161,0.246798211059271,1.82721348264128
"T5564",0.135297946,0.093241069,0.283538092,0.084923464,0.122854884,0.125273814,0.141256934,0.101931536,0.082942131,0.070084684,0.128312027,0.231850874,0.092379313,0.165264248,0.071515298,0.158549719,0.135485232,0.099701478,0.277713705,0.235769957,0.082969496,0.124072209,0.075367736,0.26881066,0.31940767831586,0.469355771585832,2.0422419193079
"T5566",0.14802178,0.113458688,0.259770423,0.124172734,0.13656798,0.085044258,0.105077416,0.126810165,0.109137779,0.09993179,0.142862678,0.162661537,0.129672578,0.124904205,0.103046947,0.09263089,0.140160704,0.120245715,0.255246358,0.218168412,0.100308175,0.134068231,0.094873285,0.251110381,0.113349741402328,1.20890464140035,2.75677184558196
"T5568",0.118398234,0.094207968,0.265233013,0.094266734,0.094837712,0.14357605,0.148405039,0.094383781,0.095678457,0.112456986,0.11628249,0.142866272,0.145218371,0.136564769,0.149119721,0.095726121,0.119062768,0.095314864,0.251354146,0.213190498,0.158006877,0.109992144,0.121816618,0.244110417,0.141985600708742,1.07144096567662,2.62395856698838
"T5570",0.128982061,0.096545633,0.257679139,0.104498174,0.129224173,0.162230486,0.101069324,0.125688021,0.092867574,0.170147435,0.125107289,0.209811699,0.09523024,0.177393001,0.04262604,0.096728893,0.125160935,0.100465286,0.247847899,0.207942933,0.101958127,0.120690884,0.167651177,0.239694537,0.179636028676654,0.916753055362465,2.47450374978343
"T5572",0.119317563,0.111133212,0.269152992,0.109024192,0.102574123,0.146426391,0.141268995,0.131977988,0.106333414,0.095467651,0.133947171,0.212355692,0.121797726,0.175512046,0.079990564,0.171116187,0.135590212,0.113741463,0.257374049,0.213734987,0.156887077,0.132211987,0.10837582,0.247074555,0.115251666648765,1.19906329943647,2.74726343628691
"T5574",0.107913842,0.091719263,0.294355759,0.092971522,0.09275079,0.126493179,0.131758181,0.116686892,0.089577502,0.090482571,0.10825858,0.221700283,0.117633961,0.151983551,0.136885622,0.152202574,0.108528076,0.094582721,0.277035191,0.214842062,0.098466784,0.106311288,0.135293222,0.26229294,0.253438326090133,0.663708884076945,2.23002006461726
"T5576",0.133830159,0.104397192,0.258031873,0.091591582,0.13891893,0.141046152,0.122800881,0.099110896,0.091135357,0.067644425,0.135290447,0.10473867,0.070912773,0.20581448,0.093936844,0.199901641,0.13655005,0.093915353,0.258745922,0.21455595,0.078526736,0.125699882,0.125010891,0.252718357,0.236434670533048,0.71781827923506,2.28229893855126
"T5578",0.113881468,0.100772893,0.273371559,0.100058947,0.101730389,0.192859206,0.122037478,0.125388761,0.100394486,0.100417117,0.104491402,0.129532701,0.108677229,0.227604297,0.211971443,0.227161141,0.109823181,0.1017352,0.245132205,0.192360641,0.100396108,0.109884641,0.116606374,0.234152812,0.180554046148715,0.91325566789724,2.4711246789611
"T8214",0.073580281,0.061406906,0.323519663,0.18503939,0.079016326,0.117992229,0.057648436,0.121548449,0.099288418,0.11998265,0.092979284,0.087950776,0.064276327,0.089058104,0.063026923,0.06202943,0.092608283,0.109182124,0.056944148,0.056816526,0.060525198,0.118573239,0.086039361,0.058617846,0.470188378705236,0.0747963356119481,1.6610304318671
"T8138",0.041132918,0.051048885,0.104136736,0.028785511,0.033484239,0.176539854,0.048846989,0.172278109,0.12197268,0.159976604,0.106521934,0.028656763,0.035418576,0.120573814,0.032844798,0.075242253,0.075366173,0.170650285,0.061366823,0.052146246,0.064520463,0.144881837,0.030936744,0.049616933,0.485466167786681,0.0364389770986819,1.62397070306591
"T8139",0.052960268,0.060266008,0.088481715,0.059734466,0.052736749,0.161787699,0.061304868,0.157979007,0.108873635,0.14628192,0.098781554,0.054151179,0.05275737,0.086088542,0.066862832,0.07851593,0.092937839,0.156788544,0.067677518,0.062131078,0.073299674,0.130275085,0.052482549,0.060085089,0.191287999335223,0.873159771060889,2.43238522660069
"T5537",0.103615418,0.081685846,0.105110748,0.110191402,0.119895461,0.297763319,0.139106291,0.081708452,0.140796413,0.148185738,0.088828734,0.315317199,0.090852882,0.244985973,0.12233182,0.096173128,0.094295242,0.09189258,0.091540515,0.091816316,0.248878579,0.093279297,0.085349539,0.306810312,0.382864872688787,0.29796517229427,1.87664946521276
"T5541",0.096821923,0.091714965,0.299633941,0.090493695,0.105497515,0.21539315,0.153319986,0.098277634,0.108802887,0.103278483,0.09814121,0.309122156,0.100563031,0.280978216,0.097635235,0.108831625,0.07608939,0.081440746,0.323779546,0.110629237,0.260916426,0.106872558,0.091012561,0.317156888,0.459404255233371,0.10193469536675,1.68725070071784
"T8252",0.06578446,0.065749786,0.089159804,0.076177446,0.065974494,0.147521407,0.073211122,0.154156721,0.119469281,0.137555603,0.112719833,0.066591227,0.065769749,0.066678021,0.069600846,0.077235866,0.112922208,0.168320712,0.072294351,0.068701072,0.076186445,0.145262725,0.075911632,0.066914247,0.109578079014549,1.2287750513255,2.77597003939762
"T8254",0.067660701,0.058336265,0.124439215,0.091800871,0.070249086,0.16427674,0.044511785,0.170039378,0.102564599,0.109252078,0.095595122,0.073975326,0.064708416,0.074295081,0.07658848,0.044232724,0.100286594,0.166256914,0.044981223,0.049391788,0.044083724,0.150441094,0.061321636,0.054206866,0.262784150036598,0.634785532768718,2.20207519049008
"T0509",0.039944413,0.036764993,0.116363769,0.036845686,0.040494711,0.099377102,0.051450105,0.107695266,0.094852573,0.105413037,0.093855094,0.046269606,0.039435582,0.046429498,0.038339975,0.085116636,0.097590508,0.108557591,0.049249706,0.037639236,0.055148279,0.104754172,0.041745507,0.03759664,0.274079458650524,0.600521228811317,2.16897004817994
"T0510",0.041176066,0.038143258,0.119541073,0.038136266,0.041656698,0.091710967,0.052541596,0.104622322,0.08836441,0.10143645,0.087208523,0.048718552,0.04098036,0.049049163,0.039544759,0.085116636,0.091631769,0.105835199,0.050634944,0.039377173,0.055565163,0.100517885,0.043338839,0.039503909,0.225228610397988,0.754652988716719,2.31788752954844
"T0511",0.039737495,0.037251103,0.118733153,0.037242901,0.039901825,0.09823618,0.05495243,0.103750414,0.094545161,0.101654893,0.093979132,0.045151405,0.041933523,0.045270583,0.038264662,0.085116636,0.096112046,0.104604405,0.052215321,0.039033986,0.059303842,0.101095312,0.041316836,0.038805519,0.246983841193526,0.684011850994387,2.24963618201908
"T8188",0.032174673,0.034332694,0.0904042,0.148845947,0.031823671,0.14292611,0.045379595,0.14120784,0.078077682,0.137499777,0.087183764,0.031785869,0.035690478,0.031817772,0.077905995,0.049691012,0.092326214,0.161561414,0.044135811,0.038742245,0.048278207,0.136821074,0.040205469,0.036153278,0.488099568339817,0.029834383772247,1.61758954317881
