"","fucA","fucO","fucR","zraR","crp"
"fucA",1,0.909846809882054,0.861092824848258,0.866451406105577,-0.0760020309245813
"fucO",0.909846809882054,1,0.877157170530801,0.873161328965994,-0.051023578492154
"fucR",0.861092824848258,0.877157170530801,1,0.833604328885771,-0.09166641050564
"zraR",0.866451406105577,0.873161328965994,0.833604328885771,1,-0.108920505272277
"crp",-0.0760020309245813,-0.051023578492154,-0.09166641050564,-0.108920505272277,1
