"","lolA","osmB","rarA","rcsB"
"lolA",1,0.520978871448591,0.619843795663967,-0.180724427579689
"osmB",0.520978871448591,1,0.676774418656531,-0.234311661601594
"rarA",0.619843795663967,0.676774418656531,1,-0.171472539606339
"rcsB",-0.180724427579689,-0.234311661601594,-0.171472539606339,1
