"","cra","crp","epd","fbaA","gapA","mpl","pgk","yeaD","pval","z","inv_cof_var"
"T0175",0.142513853,0.269039892,0.13375558,0.472782516,0.168693975,0.25938438,0.222045405,0.178440886,0.483420138857631,0.0415715195482082,1.95235779369094
"T8405",0.101536757,0.193747091,0.173026361,0.194508982,0.191195912,0.081704039,0.171019703,0.08692936,0.169417398407654,0.956470073579334,2.90402748324903
"T0717",0.16072117,0.292703696,0.390533812,0.273304513,0.051081723,0.200760815,0.220348982,0.225283682,0.441802721301575,0.146400233990516,2.06139973029748
"T0718",0.156538908,0.32132625,0.390484966,0.320921351,0.067770483,0.21683341,0.257142501,0.334955184,0.346212410411978,0.395566545762949,2.32058040724578
"T0719",0.156877044,0.283606566,0.415193309,0.307762974,0.074002103,0.217600292,0.30588004,0.371965813,0.349574909681282,0.386468375622857,2.31111656809704
"T0928",0.026158206,0.357964419,0.368251896,0.389588711,0.378545694,0.228380395,0.380699177,0.128168068,0.177349761978589,0.925512232054564,2.87182539996509
"T0929",0.024489749,0.369848302,0.377102398,0.41662795,0.407161895,0.212562841,0.397688374,0.039661444,0.454123255003873,0.115250578345603,2.02899812359823
"T0930",0.042521804,0.349377367,0.351724122,0.394426178,0.372229011,0.194550964,0.361226419,0.347965133,0.00369146076906656,2.67905976331204,4.69585061821938
"T1993",0.090167813,0.312496804,0.13132367,0.825346481,0.803893681,0.427097859,0.55821437,0.363977388,0.490666197079591,0.0233985092106792,1.93345438300125
"T5536",0.096984272,0.112288697,0.091295719,0.335883461,0.268883216,0.344960033,0.353573081,0.235389635,0.219255032138777,0.774711651945874,2.714963919941
"T5538",0.097115239,0.250883137,0.095542351,0.332823222,0.267529752,0.212000205,0.35397165,0.274861339,0.212065828593978,0.799273817587163,2.74051327560205
"T5540",0.073648537,0.295148106,0.089717674,0.304794868,0.270977141,0.07090026,0.342545827,0.317093951,0.491003559774613,0.0225526430881176,1.9325745202594
"T5542",0.096392556,0.300177065,0.124610306,0.243552058,0.274164699,0.267171251,0.317674537,0.294933867,0.0402295222679858,1.74802877701823,3.72740010991848
"T5544",0.077918738,0.313529877,0.162170841,0.278400985,0.270015037,0.1388288,0.323065809,0.103780146,0.322459963866387,0.46083090406035,2.38846783730722
"T5548",0.075395749,0.308593223,0.068655461,0.335968325,0.286140377,0.37321309,0.375506413,0.35404762,0.270517701475283,0.611248011463426,2.54493043228651
"T5550",0.083052927,0.110301363,0.13722527,0.233407472,0.283761844,0.336455295,0.31637042,0.318256936,0.0502919633377665,1.64202932603429,3.61714038312502
"T5552",0.045418582,0.316357991,0.133343315,0.227555562,0.270790625,0.103499945,0.300539473,0.209062773,0.221698866429774,0.766468256245369,2.70638920988966
"T5554",0.09214316,0.307911163,0.188623145,0.390846731,0.233056759,0.175343778,0.387009913,0.286318556,0.167695201795858,0.963313135005911,2.91114557750632
"T5556",0.12807245,0.231276339,0.172238424,0.162705603,0.221080072,0.075944837,0.108377033,0.079123557,0.335321869497459,0.425264678879639,2.35147215256452
"T5558",0.112616204,0.196158974,0.177448926,0.188523618,0.201923752,0.249196019,0.160413338,0.109735381,0.0263421927144982,1.937498918689,3.92448533877788
"T5560",0.04036671,0.287149174,0.20505277,0.398979045,0.245272376,0.244743444,0.379957798,0.251558447,0.056516740336097,1.58470453657102,3.55751162499426
"T5562",0.063363308,0.269745079,0.225910714,0.283685588,0.266582528,0.331193673,0.333487073,0.204000722,0.000919258131966295,3.11514962163214,5.14946757745309
"T5564",0.103534101,0.246476845,0.187012776,0.17674966,0.251281356,0.28190877,0.162574955,0.152572864,0.0301606632410306,1.87843759563658,3.86305025318666
"T5566",0.123775832,0.234626352,0.192799202,0.200825982,0.23550145,0.238527356,0.108049785,0.125056271,0.0868167839940389,1.36062075865247,3.3244215862931
"T5568",0.096496228,0.219278513,0.161049108,0.193755336,0.213681485,0.225550006,0.136188122,0.147409303,0.00206472171637467,2.86810049668388,4.89248918022075
"T5570",0.096664647,0.224920522,0.165717684,0.18364661,0.218903352,0.257767471,0.177317516,0.134364385,0.00845900782542205,2.38848463683827,4.39359684463304
"T5572",0.114478881,0.228867612,0.174543043,0.212289072,0.22915401,0.255164718,0.154732354,0.143575982,0.00811512183424239,2.40369645560385,4.40942004905113
"T5574",0.093479041,0.244675066,0.150008044,0.212646678,0.231404696,0.290431173,0.156798576,0.152768835,0.059874954871879,1.55582416703039,3.52747051038768
"T5576",0.116457825,0.24450597,0.191028901,0.14434825,0.208004782,0.258260372,0.150330164,0.138016417,0.0286926919692147,1.90036387720039,3.88585778466329
"T5578",0.102707412,0.145163587,0.138701889,0.280989607,0.210589118,0.258382456,0.228971717,0.222201594,0.00518638011953738,2.56314873392824,4.57528095192796
"T8217",0.091693703,0.44380404,0.420531275,0.459587758,0.552712161,0.455231477,0.552612147,0.241139999,0.0277393157172458,1.91510878714043,3.90119531449474
