"","cra","crp","epd","fbaA","gapA","mpl","pgk","yeaD","pval","z","inv_cof_var"
"T0931",0.493929872,0.328034516,0.597918694,0.57210179,0.592652806,0.165572623,0.591435384,0.306853209,0.281133252417174,0.57947826995466,2.51188381754898
"T0932",0.503568976,0.323842825,0.566076378,0.535745551,0.583892083,0.164898955,0.584528197,0.267402849,0.307511805065975,0.502915603655389,2.4322439836595
"T0933",0.508621151,0.314944095,0.61714407,0.603836329,0.622935608,0.164501498,0.617920507,0.248991167,0.370985583020583,0.329244134836129,2.2515923998439
"T8216",0.083298303,0.489170995,0.509710006,0.481670132,0.447024512,0.47136943,0.449953738,0.089945173,0.256314911701618,0.654748298031538,2.59017906016067
"T8218",0.088211532,0.434015784,0.492508742,0.452655091,0.486481644,0.185576949,0.492915371,0.094849855,0.444952280387991,0.138424973791306,2.0531039325126
"T8220",0.085142506,0.485530273,0.407643124,0.409967225,0.488968879,0.283492491,0.496839501,0.092484382,0.328969636838289,0.442760089746468,2.36967073005157
"T5535",0.090572634,0.088177183,0.060911777,0.297527585,0.292597324,0.345927903,0.330755056,0.324302301,0.261411716202869,0.638999230615224,2.5737970142684
"T5543",0.087499603,0.340893625,0.069031284,0.182688613,0.319514995,0.200893851,0.26735779,0.088908943,0.494200062726611,0.0145387989381534,1.92423858777731
"T5537",0.081618615,0.235175066,0.143661536,0.341923895,0.269458816,0.213393552,0.362264629,0.263730299,0.0934656296138746,1.31971179872371,3.28186843433543
"T5539",0.091008594,0.314886066,0.09122724,0.193398042,0.300659183,0.083716339,0.272799334,0.325556699,0.465644300296499,0.0862236879173576,1.99880459921132
"T5541",0.091436043,0.31003211,0.107912696,0.308822401,0.285210327,0.255188089,0.322913186,0.091170739,0.380259141447853,0.304800260782372,2.22616609008547
"T8254",0.102885163,0.348736682,0.359851623,0.111998212,0.264304428,0.400292891,0.385026593,0.091563948,0.484611322620736,0.0385832646380029,1.94924943636521
"T8255",0.160280837,0.358063065,0.272080812,0.26844474,0.388493945,0.216422108,0.36850387,0.174383663,0.0809662653960287,1.39860145167365,3.36392877993486
"T8256",0.117580754,0.434392717,0.206784415,0.122334498,0.33338977,0.336299111,0.334331553,0.101928507,0.402037861611807,0.24807584658629,2.16716183719809
"T8305",0.100902371,0.49651886,0.306562381,0.490553739,0.496158811,0.496522146,0.497557116,0.112129897,0.284792534249884,0.568662695568472,2.50063354911961
"T8306",0.093968539,0.509832462,0.515160707,0.209017957,0.470738816,0.488878369,0.499472596,0.110966667,0.398277810610867,0.257807311772527,2.1772844244641
"T1634",0.108279282,0.15240413,0.481632333,0.474942485,0.368996882,0.513792369,0.276067633,0.121239931,0.298175893295418,0.529654086889373,2.46005712635868
"T1635",0.109221821,0.231372254,0.359755296,0.360686407,0.37899207,0.23109818,0.341228369,0.153732237,0.0829022851383247,1.38581117137037,3.35062443921648
"T1636",0.061746729,0.106614602,0.404134523,0.534916305,0.342541318,0.351457925,0.34606855,0.067502061,0.377257505966264,0.312691555355291,2.23437454754048
"T1637",0.073175194,0.288615701,0.463120621,0.412539934,0.426351206,0.384301988,0.425959119,0.128507023,0.137531677649071,1.09147629895008,3.0444598098943
"T1638",0.085737776,0.121475489,0.366455346,0.411861378,0.309027421,0.263835444,0.112197968,0.160577018,0.34526731283634,0.398129641669665,2.32324651779444
"T1717",0.41140648,0.379229498,0.450803628,0.419860309,0.483040579,0.223955984,0.489052948,0.437363714,0.0124382201913838,2.24331606119582,4.24259372772294
"T1718",0.432723252,0.353194607,0.428758948,0.407339506,0.416395546,0.192494652,0.428523799,0.370717781,0.0180511422388738,2.09577354187568,4.08912125480302
"T1719",0.439472363,0.318161981,0.450068363,0.428870277,0.438210001,0.198795085,0.450000479,0.411983335,0.0197212145083321,2.05954113127849,4.05143260965975
"T1591",0.207647065,0.315384987,0.339309156,0.34477878,0.260421862,0.217820755,0.093146244,0.115080336,0.42014175661011,0.201530845160283,2.11874612284113
"T1592",0.091786635,0.517814916,0.233788615,0.20609136,0.417317283,0.377368887,0.306551419,0.122285912,0.284870575680398,0.568432759423452,2.50039437149845
"T8191",0.083883586,0.398113736,0.254101338,0.125958408,0.278117331,0.401093952,0.295635684,0.080895717,0.451137822050716,0.122787157538057,2.03683760913333
"T0883",0.135685753,0.384795897,0.359193652,0.266038835,0.265708146,0.174269311,0.12067324,0.23586215,0.177630226721906,0.924433896314973,2.87070372430606
"T2299",0.147959326,0.121188412,0.25909365,0.181359091,0.321647271,0.252806416,0.156768691,0.141926198,0.120920462838169,1.17039778737946,3.1265532704885
"T2300",0.079730901,0.254998092,0.248348272,0.061720611,0.316457586,0.197209564,0.173718269,0.12123277,0.441022006549975,0.148378567997319,2.06345757649453
"T0150",0.128260901,0.375749885,0.423366636,0.288401406,0.401722414,0.096918974,0.424358784,0.391749373,0.243240232871966,0.695917550195004,2.63300296588564
"T0151",0.07990828,0.326429184,0.348409492,0.282407914,0.411646721,0.229793928,0.333832726,0.371395788,0.00114721815159032,3.04921052895213,5.08087829442927
"T0344",0.286710652,0.342446721,0.297395301,0.285687667,0.206185877,0.124110261,0.176563723,0.13138385,0.215143255437253,0.788701466033683,2.72951600549328
"T0345",0.099195082,0.312918842,0.305150627,0.291956697,0.221209228,0.140399426,0.156830157,0.199816926,0.103598104901654,1.26131269314375,3.22112218172319
"T0346",0.261898278,0.342754431,0.314648337,0.287116469,0.226367334,0.128358825,0.158328314,0.137836982,0.24655704263843,0.685364269260947,2.6220255328729
"T1081",0.141190749,0.255109214,0.294175514,0.254379569,0.390289088,0.058346054,0.293109414,0.251413883,0.337046389237308,0.420537585143705,2.34655506989086
"T1082",0.136882275,0.379690481,0.360356071,0.285282187,0.372313912,0.173200817,0.378323943,0.277851665,0.0288072547371073,1.89861960006607,3.88404340243303
"T1083",0.092409507,0.397004311,0.14740804,0.288483217,0.480697281,0.43155463,0.503984157,0.456043456,0.203385238710636,0.829590274320445,2.77204819588446
"T1961",0.123602636,1.055770393,0.527434985,0.486678761,0.652140956,0.17722686,0.497151302,0.235776595,0.338877070117867,0.415529751410673,2.34134596386148
"T1962",0.127741472,0.891393797,0.527338483,0.381801807,0.710480908,0.166600769,0.462657635,0.224806884,0.444008611947033,0.140813568331303,2.05558852822471
"T2296",0.062683483,0.293903475,0.430382394,0.323815498,0.207351486,0.25223486,0.356885933,0.080562853,0.378755924496938,0.308749812286155,2.23027437994661
"T2297",0.057648671,0.29329711,0.427114536,0.325343155,0.243135747,0.242271273,0.309214989,0.087192345,0.316954138895236,0.476233160147957,2.40448913300694
"T2298",0.052745538,0.254689344,0.361431492,0.295738457,0.203263221,0.217927962,0.214653809,0.065371706,0.364165035935999,0.347347763323609,2.27042364012365
"T2390",0.151155,0.108407563,0.299816047,0.290536904,0.386817815,0.153469798,0.300519476,0.097800147,0.328388783344377,0.444366586889611,2.3713417947076
"T2391",0.152527663,0.147208216,0.171021758,0.17112664,0.522962223,0.200555241,0.282766576,0.405346238,0.454563200699138,0.11414052048697,2.02784345086095
"T0347",0.260184302,0.412622819,0.127675586,0.131499355,0.046422208,0.165220247,0.106356253,0.097891257,0.191946194563514,0.87074685454338,2.81485892036474
"T0348",0.239395205,0.406030993,0.12866362,0.129342483,0.046151589,0.165766444,0.112923498,0.099282615,0.182603457508604,0.905487998704048,2.85099636285233
"T0349",0.253462063,0.411298902,0.127224549,0.129641449,0.043920214,0.168269916,0.112476053,0.098446036,0.210588822532989,0.804379832077552,2.74582450841965
"T2063",0.11225288,0.327981794,0.460634233,0.804983155,0.310853038,0.233828615,0.591613776,0.249590713,0.477320067197612,0.0568808182430083,1.96828239590179
"T0784",0.124188794,0.62865362,0.46285109,0.745968339,0.403682098,0.216229357,0.449884605,0.151028896,0.494747454139973,0.0131665603787624,1.92281119690642
"T0793",0.131917728,1.014828218,0.47696469,0.714363815,0.430716042,0.254566854,0.442900276,0.161555838,0.407319007012826,0.234446949022317,2.15298517394228
"T0778",0.118477801,1.004220516,0.472325268,0.742303858,0.411465248,0.235077051,0.335741173,0.159714466,0.499398993320076,0.00150650090698471,1.9106825022781
"T0786",0.105135765,0.927443515,0.515781215,0.743762277,0.556974729,0.222591315,0.471603675,0.132857143,0.48291299471824,0.0428438743117454,1.95368128628745
"T0794",0.111726128,0.996710085,0.496462114,0.708920489,0.434740868,0.247951264,0.424746037,0.140578967,0.441334807516588,0.147585859923106,2.06263300830216
"T0779",0.097465784,1.103993692,0.490985011,0.746624865,0.440499272,0.246163999,0.375435094,0.155156147,0.473341562307313,0.066872602027612,1.97867576435836
"T0787",0.097518431,1.018399353,0.510321853,0.720967053,0.492051149,0.243378987,0.470373771,0.129786441,0.452786708522467,0.118623789608923,2.03250690924624
"T0795",0.115200209,0.997126878,0.496763918,0.706645127,0.420962532,0.250721879,0.395111687,0.140731461,0.448635412357849,0.129109727861967,2.04341429297533
"T0780",0.108856393,1.094592479,0.492116897,0.742195394,0.484415939,0.237409667,0.345211592,0.151050364,0.491020923471711,0.0225091077052593,1.93252923512466
"T0796",0.110168332,1.028685586,0.513796792,0.729970192,0.476090805,0.237082411,0.415453739,0.138974196,0.467750644862006,0.0809253876859437,1.99329335240237
"T0797",0.117332441,1.148908533,0.517387781,0.741489486,0.40756292,0.244344375,0.348728862,0.151687707,0.495663068794766,0.0108712885174232,1.92042367465042
"T0834",0.133184123,0.512421893,0.422865636,0.482560498,0.191927387,0.219458779,0.384490729,0.138961811,0.398981129786027,0.255985207485204,2.17538908709165
"T0835",0.118954134,0.366705811,0.352380816,0.42827485,0.181568167,0.203539757,0.236776206,0.117860953,0.391930488231851,0.274291031083661,2.19443064900503
"T0837",0.127685992,0.361411715,0.300176537,0.37030487,0.283527868,0.199121285,0.16383518,0.143921286,0.208756062406354,0.810745000835821,2.75244550279053
"T0833",0.129274131,0.355801642,0.405618493,0.355854431,0.248045214,0.282507785,0.33190421,0.152702342,0.0883267868663501,1.35113068450054,3.31455009192659
"T0811",0.089517141,1.141336038,0.401022638,0.302292413,0.287615666,0.22945061,0.131578954,0.114944868,0.374501782315225,0.319953521137944,2.24192838254384
"T0822",0.092085235,1.170513646,0.391024102,0.434582212,0.24758193,0.226892358,0.161558222,0.101349122,0.460333757801337,0.0995929191164911,2.01271115972434
"T0817",0.078338376,1.344419268,0.410028765,0.491796475,0.226025284,0.214818558,0.282060797,0.146360984,0.368468176715737,0.335913159267098,2.25852946229952
"T0830",0.045877183,1.257286976,0.344844871,0.304779912,0.254807781,0.254394089,0.2372264,0.205694562,0.000466522535327752,3.30997439204544,5.3521226455593
"T0808",0.050652431,0.623493605,0.4278264,0.538578014,0.241523439,0.234256719,0.289764648,0.119950626,0.445206790672898,0.137780898257327,2.05243397062363
"T0819",0.091715942,0.379985324,0.404255135,0.469427323,0.264784744,0.222225807,0.222789941,0.192410213,0.250233228268407,0.67375599383862,2.6099507035721
"T0820",0.093739376,0.513109762,0.422066143,0.490235434,0.176923119,0.220297879,0.268971361,0.155841965,0.422498051537386,0.195506942687882,2.11248011075642
"T5127",0.080601208,0.268449942,0.075805695,0.331504071,0.283900669,0.450840834,0.440458752,0.242451921,0.396734163268815,0.261809484427952,2.18144745039935
"T5129",0.092625175,0.310436534,0.097291559,0.425069299,0.284953185,0.412192721,0.419138761,0.332901645,0.253571803861834,0.663291924245253,2.5990660674367
"T5131",0.095241949,0.284920468,0.075046061,0.443983469,0.286761202,0.427286307,0.174918541,0.239750649,0.498800041484085,0.0030078544798072,1.91224419748711
"T5133",0.088953367,0.062227803,0.116332176,0.319270769,0.274987163,0.08940949,0.36316826,0.335012894,0.41823451783088,0.206412079831092,2.12382354160342
"T0033",0.067638512,0.042457958,0.38218583,0.121944904,0.385495858,0.248565366,0.279565877,0.12563526,0.38930168989154,0.281139533909047,2.20155440335906
"T0034",0.086072942,0.085401948,0.337903078,0.112213916,0.371679248,0.193694062,0.367059344,0.144152348,0.405227783861631,0.239838360013619,2.15859327377123
"T0035",0.059878557,0.021114093,0.359075677,0.171756973,0.419128427,0.263939632,0.325592293,0.119579542,0.311954682081101,0.490317332225052,2.41913936893664
"T0040",0.04772849,0.339795695,0.32020364,0.197580147,0.337787465,0.082685496,0.280102098,0.237108087,0.258728943043592,0.647268961416596,2.58239911786753
"T0036",0.059736871,0.054529048,0.352238623,0.259578088,0.389706532,0.389581007,0.355347586,0.128761331,0.132562290641538,1.114360454598,3.06826371384113
"T0037",0.05304847,0.022113472,0.363671029,0.184466383,0.403543165,0.367609711,0.404087006,0.10650665,0.318893427299515,0.470795393260271,2.39883281416909
"T0057",0.359676467,0.33074125,0.239927283,0.354332628,0.356269131,0.077949859,0.281640007,0.359660081,0.272630983887406,0.604875131879018,2.5383014171799
"T0056",0.057205782,0.261006272,0.211141439,0.248326353,0.2229609,0.153618566,0.261099243,0.054715685,0.286495672105106,0.563651479995289,2.49542092532888
"T0017",0.080813237,0.184564653,0.267799226,0.069006676,0.3766188,0.287371762,0.378358361,0.129606831,0.476643742186335,0.058578941186062,1.97004876893509
"T0018",0.087116752,0.185290325,0.347041625,0.108627609,0.354007958,0.322353048,0.356498589,0.132853921,0.347804932858975,0.391253500917365,2.31609401470405
"T0054",0.147702419,0.277164249,0.23982701,0.27469902,0.091211382,0.10248565,0.270869744,0.165765861,0.350968465738684,0.382707124305928,2.30720414648771
"T0055",0.139374691,0.280522693,0.240978403,0.285217979,0.109904411,0.074159638,0.265701823,0.160059893,0.401611990917905,0.249176855107831,2.16830709689194
"T1864",0.220213729,0.337797061,0.159973948,0.251660408,0.092309479,0.279139714,0.190152239,0.054145139,0.484152511025457,0.0397342169197714,1.9504466471334
"T1868",0.281856225,0.342997079,0.165296602,0.239718509,0.084506705,0.234972915,0.231790976,0.05679747,0.435829869857467,0.16155062785431,2.0771590410555
"T1866",0.303719732,0.242830369,0.304193473,0.270679785,0.118712725,0.211195998,0.115356228,0.098947767,0.421402606170187,0.198306569119483,2.11539225834404
"T1870",0.31015764,0.273559428,0.305997002,0.275623107,0.122947945,0.21404655,0.107715791,0.094674749,0.447320718309028,0.132433477543437,2.04687162910685
"T0024",0.04617869,0.074694652,0.300690166,0.082787652,0.338908107,0.215306604,0.344950579,0.123926084,0.432141103097018,0.170925677306673,2.08691088770846
"T0029",0.064072361,0.047044671,0.224629837,0.271413561,0.263591125,0.058384702,0.225777261,0.255089559,0.220291570050504,0.771208865606586,2.71132035140172
"T0027",0.037279158,0.025384757,0.328000505,0.097559991,0.388186907,0.31956156,0.379655687,0.115838904,0.435367851963053,0.162724057981027,2.07837963308671
"T0060",0.060250433,0.323985033,0.315658802,0.374467817,0.192739266,0.248223096,0.363356708,0.304315317,0.0100670650486828,2.32383889792089,4.32635289718587
"T0061",0.049147173,0.271195017,0.379918016,0.351544096,0.127746284,0.132955755,0.390763741,0.341896584,0.340488421038499,0.411130506091698,2.33676990632094
"T0062",0.051187134,0.26163783,0.391333476,0.333319651,0.126507595,0.079115343,0.220680584,0.336796168,0.479147310166587,0.0522937662517144,1.96351098345906
"T0003",0.094895089,0.043465096,0.305844173,0.209444057,0.328184143,0.210507305,0.213148592,0.102307149,0.190742492234405,0.875163436796746,2.81945301163688
"T0004",0.050228718,0.164818297,0.325428516,0.127994504,0.388248314,0.282732582,0.393651949,0.132152927,0.353682788508146,0.37539654098715,2.29959973993705
"T0005",0.086159317,0.137898751,0.321388578,0.128008069,0.348452553,0.340658641,0.332329591,0.149876709,0.240532215692194,0.704591593715931,2.64202563213471
"T0047",0.303621726,0.312237011,0.210040577,0.301600221,0.28105319,0.043729492,0.295956294,0.242819534,0.333897541762416,0.429176087694434,2.3555407667252
"T0048",0.271137095,0.326685294,0.22746575,0.302823347,0.312849485,0.026508865,0.333773128,0.163496908,0.487038156646866,0.0324962415039049,1.94291776670541
"T0049",0.033002683,0.273058767,0.206432076,0.260748392,0.215886584,0.045652388,0.279039339,0.23521621,0.292708436733959,0.54548953879244,2.47652902865888
"T2415",0.147830251,0.051518755,0.300062919,0.367874608,0.349308269,0.395478981,0.423197561,0.148121074,0.0831812788296937,1.38398660061089,3.34872653624068
"T2416",0.148812286,0.034068166,0.389004239,0.385068843,0.455197014,0.407268107,0.386933238,0.078559337,0.259239676285573,0.645691212667542,2.58075795704637
"T0009",0.06825806,0.293811166,0.317462831,0.193942213,0.321808854,0.222319436,0.338877888,0.361035086,0.0103190455872501,2.31454052163573,4.3166808053089
"T1867",0.255250546,0.35121479,0.146376373,0.217207683,0.083084507,0.263996691,0.279874671,0.130449224,0.329397242862383,0.441578167261414,2.3684413043415
"T0006",0.084176988,0.147819165,0.344295586,0.103204518,0.381968563,0.388117167,0.377945058,0.142562387,0.383771314902181,0.295590761475332,2.21658644728474
"T0007",0.067015093,0.060416859,0.33699037,0.148940253,0.33240817,0.206364851,0.302382042,0.116334931,0.287224037541082,0.561512699973434,2.49319618455247
"T0050",0.207007283,0.309581212,0.378709152,0.37414439,0.333853908,0.241421104,0.27065403,0.373754426,0.000241244121447611,3.49029465801973,5.53969025159024
"T2821",0.131509476,0.435789609,0.430721212,0.329592979,0.424759003,0.43398442,0.275448205,0.105701571,0.257911118353906,0.649798734181446,2.58503056596761
"T0173",0.031561756,0.287477637,0.1846875,0.23636904,0.230489134,0.04325889,0.288209999,0.164226111,0.366348070509178,0.341541270760556,2.26438377597636
"T0485",0.097345699,0.347356355,0.158917666,0.351011823,0.343538222,0.228601942,0.350809332,0.119860881,0.29078281141724,0.551099274363945,2.48236422785809
"T0486",0.07861759,0.329347876,0.485640655,0.333261971,0.329062194,0.212387281,0.200364367,0.10230644,0.439972494904836,0.151038951094575,2.06622488435081
"T0487",0.101442443,0.32626955,0.340469246,0.325846285,0.312638252,0.229953193,0.223500391,0.128637712,0.107479316707863,1.24004531591542,3.19900003692864
"T0690",0.063977826,0.299822059,0.265913387,0.358558523,0.428419772,0.205249099,0.301268851,0.074266663,0.388920435502837,0.282133859813747,2.20258869270281
"T0697",0.216236402,0.288781428,0.400392926,0.263165854,0.361262257,0.247235902,0.180116896,0.13728869,0.249616948050712,0.675695653580992,2.61196832112843
"T0698",0.393639123,0.299619362,0.121131461,0.27768937,0.362567998,0.243122856,0.094951342,0.150606705,0.460509784501383,0.0991495017121659,2.01224992071411
"T0707",0.122943919,0.112615211,0.099245288,0.288781416,0.054995824,0.22442614,0.163852013,0.141815306,0.496770584009833,0.00809503384131297,1.91753583816395
"T0711",0.08765918,0.088320254,0.177528751,0.222014498,0.089107181,0.160428018,0.108288606,0.170195608,0.110036982604443,1.22633146498197,3.18473500590091
"T0904",0.134928417,0.192586866,0.172553731,0.367667696,0.483926661,0.336868886,0.483167423,0.490861149,0.124073342294586,1.15486263042103,3.11039373243401
"T0905",0.248788865,0.435744325,0.203814745,0.365197051,0.45748972,0.31956114,0.456983109,0.433185822,0.0382738993596477,1.77107759792776,3.75137529726905
"T2323",0.313712584,0.456223288,0.459662857,0.365423322,0.44053979,0.237422334,0.450107529,0.392996154,0.00386417712638612,2.66371267308919,4.67988670558267
"T2324",0.403816917,0.455746234,0.433768712,0.406795275,0.414495354,0.247345102,0.454292272,0.399263008,0.000535904442764973,3.27096575466244,5.31154619294082
"T2325",0.416697201,0.470680882,0.45432456,0.411933905,0.43829861,0.250380723,0.471757781,0.422428007,0.00112579833022541,3.05486790724275,5.08676305117943
"T2330",0.059274059,0.464602917,0.45284093,0.413111015,0.459504989,0.226952419,0.099793276,0.300991629,0.365423129182722,0.344000036867887,2.2669413635556
"T2331",0.068145491,0.446800503,0.416165206,0.200015555,0.460583562,0.204018842,0.094167199,0.31016406,0.465821473013788,0.0857779363950291,1.99834093227141
"T2332",0.292870906,0.379939843,0.387556285,0.377771601,0.387810189,0.330493666,0.221304477,0.387578645,0.000631917314976266,3.22406782305818,5.26276336361609
"T2333",0.141429437,0.349378086,0.346324045,0.357801799,0.355055339,0.328304354,0.231391505,0.347806164,1.40594216627753e-06,4.68410311595055,6.78147964949129
"T2334",0.244783613,0.352398456,0.34098742,0.357011162,0.345484769,0.32841888,0.240120976,0.343244099,2.50919613843906e-08,5.45065754732237,7.57884304515818
"T2335",0.120790079,0.249754789,0.314814522,0.22298115,0.275528533,0.200253177,0.296252805,0.202132566,0.00127748397866372,3.0167543185369,5.0471176205775
"T2336",0.099353256,0.243716831,0.321310646,0.21931109,0.285097975,0.198827787,0.304651747,0.195633131,0.00582924972088395,2.52231579005658,4.53280687122593
"T2337",0.049221045,0.254200902,0.335025939,0.217862953,0.259932751,0.181440195,0.332975523,0.176797582,0.0602939664090378,1.55231055820526,3.52381568439073
"T2647",0.12126032,0.332173611,0.392685085,0.326067132,0.286781335,0.349682152,0.324832048,0.127517131,0.0943319589076059,1.31454186914496,3.27649071758687
"T2665",0.12247708,0.184688762,0.358265818,0.108294508,0.439286706,0.245212436,0.409003578,0.125945573,0.479714329659388,0.0508705669306452,1.96203058363758
"T4083",0.2681734,0.412153675,0.088735217,0.341646419,0.447024286,0.404421722,0.356408988,0.161327716,0.424499767561251,0.19039510249902,2.10716281809685
"T4085",0.241093392,0.427669917,0.082925892,0.360577416,0.477819432,0.395856071,0.330975208,0.161605442,0.458288478080442,0.104746508896436,2.01807187995324
"T5142",0.133715128,0.100581021,0.169342028,0.154616595,0.137083598,0.300042067,0.201944754,0.237643848,0.090604124184285,1.3370440811548,3.29989732701195
"T5144",0.137483202,0.115796218,0.155583874,0.206113607,0.156725206,0.266572613,0.238075643,0.212156858,0.00394378981030036,2.65684458391771,4.67274257767813
"T5146",0.135866942,0.114861009,0.161052676,0.169954066,0.136339343,0.318173059,0.195661831,0.241610898,0.133162182649716,1.1115670057976,3.06535799217291
"T5148",0.140211931,0.112266788,0.157861045,0.181804645,0.141991261,0.300130301,0.212972578,0.231550295,0.0570205494998448,1.58028724735563,3.55291679834625
"T5150",0.134973053,0.110221791,0.16018567,0.190907876,0.160519901,0.299261807,0.223297179,0.229074454,0.0218336376209564,2.0172706644746,4.00746322983782
"T5152",0.133715128,0.100581021,0.169342028,0.154616595,0.137083598,0.300042067,0.201944754,0.237643848,0.090604124184285,1.3370440811548,3.29989732701195
"T5528",0.099652992,0.318273104,0.22591934,0.340711128,0.271377894,0.317067308,0.363385355,0.096410176,0.21035758535574,0.805181118347881,2.74665799957861
"T5530",0.101236324,0.292336681,0.211602623,0.184546436,0.242251032,0.284451599,0.271755453,0.154967747,0.00716833577013257,2.44871530787437,4.45624827604501
"T5532",0.049276403,0.314029075,0.241504875,0.260797429,0.219147336,0.08809161,0.322359331,0.11464757,0.347525257999139,0.392010418264616,2.31688135368683
"T5534",0.068217408,0.304855053,0.228564811,0.373287754,0.196442644,0.1074407,0.369867254,0.139315566,0.434719600154203,0.164370862022104,2.08009262463493
"T5716",0.107299944,0.152819237,0.104566537,0.154527353,0.106144105,0.19010626,0.159575839,0.105712301,0.0376763482565534,1.77831157390194,3.75890001751184
