"","ihfA","pspA","pspB","pspC","pspD","pspE","pspF","pspG","pval","z","inv_cof_var"
"T0600",0.572668824,0.068702586,0.067262416,0.057108947,0.04974511,0.075036577,0.041207667,0.042979647,0.494363826032443,0.0141282630323663,4.8854179159994
"T0571",0.594357213,0.076764165,0.075119564,0.064879869,0.056349077,0.075209137,0.045491262,0.062534587,0.343459782840055,0.40303895724044,8.14429177913222
"T1096",0.13128853,0.11109002,0.109254993,0.09949183,0.095819487,0.15916156,0.119535444,0.105250688,0.494112666745071,0.0147578916815517,4.89069388392435
"T4025",0.200120357,0.107120615,0.103239071,0.092779084,0.116585182,0.089216885,0.115095931,0.114348088,0.293129799527772,0.544264315708515,9.32768847245365
"T4026",0.197303737,0.124392002,0.078186307,0.088978946,0.117635722,0.09348346,0.123661951,0.091902512,0.46379335330256,0.0908815548809826,5.52857147397546
"T4027",0.191817678,0.080856164,0.080968525,0.081780583,0.112966949,0.099646038,0.094718182,0.08116721,0.41497448938869,0.21476700504022,6.56666855271093
"T4028",0.195407654,0.073369296,0.07176237,0.078069783,0.101727345,0.091968005,0.089368584,0.072564681,0.414892483203969,0.214977364594675,6.56843125881308
"T4030",0.186198385,0.089471146,0.085735662,0.094850147,0.0933365,0.09437227,0.103932284,0.098996063,0.0334492247692094,1.83235565995593,20.1212389651785
"T4032",0.193788516,0.079156849,0.082070304,0.079325281,0.098349528,0.11216663,0.123669999,0.08598711,0.404839415756729,0.240840380465915,6.78515018091986
"T4091",0.183077157,0.108913943,0.105466555,0.084446966,0.115277008,0.079088434,0.157305309,0.075847237,0.461459158367249,0.0967583296371002,5.57781585819387
"T4093",0.183492878,0.083121204,0.077819252,0.074552355,0.079578518,0.114732689,0.120859369,0.087571487,0.447158608142806,0.132843417688544,5.88019054742466
"T4099",0.114014485,0.102654631,0.111769023,0.108498657,0.116272376,0.11866048,0.123948535,0.111854244,0.0379049795135177,1.77553277373439,19.6450920720924
"T4101",0.099314605,0.125402982,0.123480292,0.122204882,0.095609998,0.097100647,0.049703456,0.128307279,0.360469340261531,0.357204549159727,7.76022274541601
"T6971",0.200802237,0.092019805,0.071110915,0.076767028,0.073135241,0.111667855,0.095348932,0.069495629,0.489245832847651,0.0269599650270257,4.99294105401713
"T6992",0.219879853,0.060338655,0.076531185,0.066939454,0.088522473,0.093336949,0.098420653,0.060616118,0.477309202532987,0.0569080960316624,5.24389116373171
"T4836",0.166476397,0.10621444,0.074419286,0.075984054,0.087530222,0.10006653,0.100608318,0.106772342,0.42857927594589,0.179992378077002,6.27527486105278
"T4838",0.148222791,0.089940477,0.080450105,0.088104729,0.089943508,0.107311618,0.109903018,0.091081051,0.252714006902313,0.665973539132926,10.3475498777248
"T4842",0.177743699,0.082440803,0.078569266,0.079741344,0.079717617,0.108989767,0.094219422,0.097460626,0.394843232214807,0.266717778437991,7.0019896177186
"T4851",0.087046827,0.096116763,0.090822684,0.098208836,0.092459933,0.10295973,0.115888022,0.082201106,0.158199531793515,1.00188515407012,13.1623184056786
"T4853",0.161019244,0.088997435,0.0831546,0.090021137,0.127255362,0.110227508,0.139546724,0.08236888,0.46952600417863,0.0764614176239772,5.40773805615101
"T4855",0.133268152,0.084183855,0.079675173,0.085058173,0.084508086,0.110806608,0.089525756,0.080059286,0.373864295816677,0.321635836558509,7.46217501989016
"T4111",0.086571612,0.053539728,0.061210289,0.046806784,0.051557043,0.070393379,0.044388675,0.041254415,0.4792284236064,0.0520901678973272,5.20351937579873
"T5049",0.200104659,0.085419244,0.077825299,0.107003994,0.101556563,0.088705089,0.134521582,0.067709597,0.440302517826866,0.150202269187805,6.02564889631408
"T5056",0.190842381,0.089209819,0.09853792,0.109374308,0.082611829,0.109767691,0.133407248,0.091061471,0.32019945872969,0.467141118402191,8.6814352948325
"T4833",0.167905592,0.117347996,0.086522884,0.101256667,0.12276799,0.08123282,0.088202606,0.133740775,0.483047745245927,0.0425057971243162,5.12320722220691
"T4835",0.170728544,0.075996642,0.074399414,0.076454582,0.074582833,0.103106903,0.14279239,0.072164007,0.404212518696114,0.242458335314447,6.79870781984863
"T4839",0.084977746,0.090929222,0.080853666,0.088467904,0.090235834,0.094995567,0.089294046,0.093764234,0.058430462764773,1.5680865906079,17.9067985402722
"T4843",0.177119608,0.087629494,0.080690795,0.082589351,0.122831705,0.100176326,0.116586356,0.122733491,0.481842959256828,0.0455286759187399,5.14853740942283
"T4856",0.131942535,0.104282644,0.08763836,0.102897752,0.090717675,0.108535628,0.097712943,0.092570084,0.212265899867864,0.798583773270239,11.4587562097954
"T6002",0.083863408,0.088668161,0.073998328,0.09731312,0.078092732,0.117238997,0.112584944,0.077795414,0.468213653730741,0.079761044620817,5.43538725258153
"T1770",0.250774935,0.083476383,0.093841012,0.085096814,0.078711148,0.097428699,0.121074019,0.09313634,0.1864183304021,0.891172452057324,12.2346022582967
"T1802",0.189729273,0.059848472,0.098903409,0.072658125,0.059260464,0.087437291,0.118707926,0.081435726,0.494946612159618,0.0126673036023731,4.87317581884855
"T1826",0.172128571,0.130788899,0.109625221,0.097419491,0.085692663,0.085351012,0.12052581,0.093534741,0.451772230193277,0.121185056094031,5.78249940533695
"T1827",0.15707645,0.097990469,0.094340167,0.079035043,0.077604891,0.08611129,0.124402296,0.092027298,0.245842381183191,0.687631665265324,10.5290339619334
"T1829",0.148632477,0.098137532,0.098758768,0.080313489,0.076794411,0.101236628,0.124208418,0.092445991,0.313609921867649,0.485643648389773,8.83647708791341
"T4802",0.326993012,0.081299514,0.111381449,0.102526331,0.08241406,0.081151895,0.10152111,0.090023956,0.386950084277685,0.287277083002833,7.17426613592282
"T4801",0.430749929,0.090925487,0.117914795,0.112175184,0.086657931,0.088062223,0.092088585,0.104859354,0.373091838472922,0.32367555860719,7.47926685349489
"T5743",0.204174483,0.121161909,0.130476348,0.128130387,0.158376666,0.121284261,0.143076112,0.123869026,0.296873644332761,0.533413623908173,9.23676519255503
"T5755",0.131136993,0.11014566,0.14076579,0.136466426,0.135118586,0.112345848,0.140577884,0.11575468,0.303284834462919,0.514976174816277,9.08226874428747
"T5759",0.231270743,0.092748021,0.10051102,0.093268199,0.103029427,0.09785578,0.117074322,0.089904918,0.0445979868174503,1.69965428153199,19.0092688903312
"T6892",0.22599428,0.06338212,0.062256759,0.06369046,0.063934532,0.061807631,0.064998136,0.068148372,0.00247255613471826,2.81058761661989,28.3183253480689
"T6894",0.072590792,0.095161252,0.107113787,0.103247363,0.141376324,0.107483407,0.072843093,0.105721298,0.401039113764948,0.250658398017066,6.86742017570716
"T6898",0.06962118,0.127927398,0.128365344,0.121535153,0.147474187,0.126834834,0.085038856,0.12786757,0.121236083870474,1.16882990842401,14.5612305586572
"T6902",0.06962118,0.127927398,0.128365344,0.121535153,0.147474187,0.126834834,0.085038856,0.12786757,0.121236083870474,1.16882990842401,14.5612305586572
"T0866",0.574843031,0.084404416,0.070203444,0.071726433,0.063802113,0.071006355,0.096338966,0.064222297,0.286145556608276,0.564680480556183,9.498765552612
"T0868",0.503590486,0.081419268,0.063475255,0.072124815,0.070773054,0.098037183,0.156697093,0.056061577,0.488222148435349,0.0295269856673752,5.01445138169787
"T8316",0.116428,0.075403391,0.078583722,0.059560745,0.051760422,0.086070022,0.103526353,0.073666596,0.462352145679572,0.094509682490087,5.55897333849991
"T2148",0.572093945,0.086132203,0.085606308,0.093270152,0.079938657,0.116564741,0.076896007,0.072394055,0.448438134722906,0.12960838435955,5.85308261308593
"T2118",0.583911196,0.083168548,0.082238959,0.095243043,0.074469832,0.124129789,0.071800886,0.083311363,0.485085054891157,0.0373949366932189,5.08038081057804
"T6045",0.228964371,0.080975382,0.083035629,0.080757854,0.073764054,0.089031104,0.060190113,0.076555339,0.105766807526215,1.24935949844407,15.2360275751279
"T6058",0.277774015,0.062329785,0.069338918,0.067421988,0.061888019,0.079138259,0.052481526,0.06201318,0.267193398114293,0.621323497603464,9.9734052334782
"T6069",0.204847723,0.067169591,0.07417023,0.071196323,0.063677547,0.084329983,0.052587243,0.065372214,0.291908151018551,0.547818838393199,9.35747356513827
"T6054",0.227738658,0.063953202,0.071049057,0.068976307,0.062699341,0.081583153,0.050758299,0.063483001,0.283407219785347,0.572749318090243,9.56637830828373
"T6065",0.217120845,0.065900693,0.074422637,0.071123066,0.062837556,0.084030998,0.050999547,0.065366079,0.30500826163682,0.510049871218646,9.04098882507911
"T6047",0.225644275,0.08401812,0.08559724,0.083406891,0.071917616,0.092470005,0.059086748,0.079004968,0.192615477026842,0.868298480036302,12.0429300037779
"T6060",0.227905326,0.075113804,0.08375869,0.081042149,0.05751245,0.095984617,0.049686414,0.074400636,0.435036785460303,0.163565036320001,6.13762209014697
"T6049",0.217892225,0.079254327,0.083689458,0.081649335,0.069022715,0.09201185,0.05761404,0.076466442,0.247367689739884,0.682796598319042,10.4885185594711
"T6073",0.208739353,0.066288818,0.073203313,0.06989827,0.06201863,0.082542169,0.052020613,0.064385283,0.290888192772105,0.550791829810104,9.38238572149746
"T6056",0.269961925,0.06179223,0.068695484,0.066793118,0.064818529,0.077277883,0.053898168,0.061653246,0.210799366841231,0.80365069996753,11.5012144790745
"T6067",0.226773699,0.06411362,0.072896369,0.070491559,0.062322924,0.082290494,0.052064438,0.064195669,0.298592567919815,0.528452746774042,9.19519556469085
"T6051",0.223161279,0.078031881,0.08239515,0.080334678,0.06453525,0.091685415,0.05353203,0.074626554,0.31686015481646,0.4764970484156,8.75983323101701
"T6075",0.218941006,0.067379496,0.073769617,0.07119385,0.062969856,0.082439018,0.052198148,0.0654158,0.264001043187175,0.631058788048624,10.0549820171826
"T6072",0.284885595,0.118943944,0.122720209,0.108669097,0.072422946,0.112250629,0.055903252,0.08579,0.480087670816409,0.0499335499680626,5.18544801415424
"T6082",0.186488144,0.061431584,0.073544731,0.06800406,0.051077754,0.074846829,0.044459739,0.063158971,0.375975755720762,0.316067187736261,7.4155125743209
"T6093",0.198238372,0.072375478,0.076998972,0.073247586,0.068118255,0.073899469,0.055141622,0.069014821,0.0196926404585994,2.06013872295263,22.029945209361
"T6106",0.192173839,0.064481693,0.074221364,0.069960286,0.064619066,0.077903373,0.052659434,0.065913953,0.178474637214576,0.921193762133671,12.4861655714219
"T6078",0.18221115,0.060972799,0.072781832,0.067123588,0.054310386,0.0750107,0.046733111,0.062764536,0.329488571199457,0.441325811567149,8.46511615018984
"T6089",0.179109678,0.062715715,0.073891324,0.068416577,0.058718777,0.07227302,0.047199275,0.063803784,0.217554547789134,0.780478809733189,11.3070458214143
"T6102",0.189004423,0.062995309,0.073465096,0.069981937,0.069858831,0.077564549,0.05721081,0.066162976,0.146696777636578,1.05070618328153,13.5714138058251
"T6084",0.186838624,0.061661045,0.073106287,0.067602419,0.052608204,0.074389746,0.045311827,0.063006027,0.346757235067434,0.394090167371274,8.06930547033278
