"","evgA","hns","nhaR","pval","z","inv_cof_var"
"T8404",0.045279449,0.31163876,0.045660292,0.475734136350105,0.0608630550155061,168.846762420337
"T8400",0.035479967,0.488493219,0.035495315,0.0138416727005013,2.20174472695662,3269.94417506078
"T8388",0.047138002,0.34169593,0.046539007,0.491765990406826,0.0206410668664498,110.58464311918
"T8395",0.043115744,0.518353871,0.043111628,1.33691443061583e-24,10.1709157501863,14813.4012305923
"T8396",0.035656937,0.534121017,0.03601963,0.483739890046836,0.0407693425963215,139.740735492199
"T8398",0.035328075,0.516531968,0.035534124,0.455340172879955,0.11218043006617,243.180706738158
"T8498",0.048287849,0.529194744,0.048451345,0.407827227234374,0.233137734165154,418.3890742521
"T8499",0.05518722,0.425726877,0.05515906,0.0316430801751226,1.85717570458488,2770.83106770992
"T8403",0.033879635,0.461843336,0.03330908,0.499288514337007,0.00178343102525765,83.2690906147703
"T8407",0.044790439,0.30694897,0.045470961,0.496391640894136,0.00904493828737043,93.7874866931441
"T2297",0.170396602,0.621250695,0.168219829,0.491927868660085,0.0202352134998095,109.996758771486
"T0836",0.233197285,0.383852337,0.234922807,0.469418602148056,0.0767314255004422,191.832321733869
"T0816",0.06949438,1.827964069,0.069756926,0.419484698378499,0.20321191954293,375.041108078897
"T2674",0.121674677,0.07129738,0.120246946,0.489224378951017,0.0270137615571275,119.815581603926
"T2334",0.190392927,0.346727314,0.193579164,0.498753095114111,0.00312553213159838,85.2131430689171
"T4085",0.063161839,0.244177272,0.062394024,0.490377148231966,0.0241232517992424,115.62863729548
"T5771",0.072012402,0.142858346,0.072425936,0.454301368216874,0.114801151366071,246.97685864552
"T2686",0.245772359,0.30786524,0.242054558,0.49666850386341,0.00835091947432172,92.7821906164498
"T0257",0.118341473,0.308115245,0.117913311,0.41540665469306,0.213658585649743,390.173251839642
"T4028",0.072248353,0.089015348,0.072031264,0.394067250337337,0.268733850578297,469.950552850196
"T6960",0.068135326,0.140316005,0.06750439,0.480362795891929,0.0492430652316469,152.015042701348
"T6972",0.069358466,0.082355915,0.070008298,0.480463144670065,0.0489912245474681,151.650247904727
"T4113",0.045740379,0.06747754,0.046156503,0.479223349473038,0.0521029041351487,156.157559842978
"T5759",0.090122765,0.110627896,0.090023107,0.204199121515351,0.826715660298188,1278.19510419613
"T6031",0.051980198,0.381674752,0.051371759,0.489142750812212,0.0272184481957042,120.11207309788
"T6039",0.069753592,0.381674752,0.070285562,0.470981076932832,0.0728039170630828,186.143270156266
"T6052",0.069381395,0.381674752,0.069754907,0.449810069054781,0.12614122138282,263.403110618716
"T6057",0.045743768,0.381674752,0.045360727,0.475916882127469,0.0604041364621286,168.182012398352
"T6135",0.086501048,0.381674752,0.086469675,0.00419818354828847,2.635701040969,3898.53603990805
"T6152",0.083578841,0.381674752,0.082850346,0.477742301215426,0.0558207527295889,161.542916169726
"T6178",0.046309554,0.381674752,0.045916647,0.476522923152574,0.0588823123494766,165.977628625025
"T3654",0.057135623,0.378134375,0.056919287,0.420090736839542,0.201661358082645,372.795097850657
"T3656",0.045430254,0.461535776,0.045743903,0.465653681645103,0.0862000848115597,205.547808804323
"T7307",0.083924132,0.277855033,0.085021813,0.492248596207143,0.0194311106071292,108.832004346863
"T7314",0.080896846,0.407737035,0.080744376,0.322104861339109,0.461820954537538,749.639956683211
"T7316",0.084835353,0.399674435,0.086066607,0.495190575358189,0.0120557318168603,98.1486637477499
"T7318",0.089240799,0.39453868,0.088269818,0.486621619704565,0.0335409141380342,129.2702545295
"T7321",0.074857777,0.405315235,0.073948698,0.490344891897711,0.0242041300470542,115.745790582519
"T7328",0.086033294,0.384057863,0.086440611,0.439986445264769,0.151003581676368,299.416591507899
"T7336",0.090843614,0.38277971,0.091782409,0.484341347337646,0.0392605051149738,137.555163038183
"T7344",0.086759183,0.413962914,0.08767842,0.485269407057989,0.0369325151104184,134.183036556651
