"","evgA","hns","nhaR","pval","z","inv_cof_var"
"T7350",0.091951763,0.391262676,0.091322178,0.465573302098551,0.0864023181620839,205.840746675799
"T7352",0.084183448,0.395516603,0.083041329,0.493708090908504,0.0157721311186238,103.531920753537
"T7360",0.078502482,0.41357969,0.079822308,0.498860351368932,0.00285667936715285,84.8237060331713
"T7362",0.085360076,0.414201244,0.085650265,0.408279259157253,0.231973600494537,416.702810148282
"T7364",0.082276135,0.409652635,0.082036433,0.390151238811034,0.278924875917112,484.712397339106
"T7368",0.088361177,0.366992446,0.088429993,0.115380446315226,1.19840113036463,1816.58676995037
"T7410",0.078445864,0.403996059,0.079763619,0.498840676835851,0.00290599631278481,84.8951423271539
"T7400",0.088631593,0.40675216,0.087417104,0.493992239611035,0.0150597912921912,102.500086429565
"T7424",0.086023317,0.387215071,0.086917005,0.484539701113499,0.0387629274357244,136.834414725032
"T7224",0.081985609,0.352707016,0.082714596,0.478233474517739,0.0545876863066917,159.756801998272
"T7225",0.089138902,0.329577438,0.089686068,0.45864887562354,0.103838199810807,231.096868103069
"T7227",0.081637924,0.322918533,0.08135228,0.411828198682489,0.222844673911059,403.479430743786
"T7230",0.086285824,0.396515688,0.087698131,0.498230837895053,0.00443464628998087,87.1094134619137
"T7232",0.085883034,0.3773337,0.0856461,0.38296506891552,0.297702627534112,511.912236413765
"T7233",0.080069368,0.343222722,0.08110543,0.491926717662675,0.020238099213283,110.000938768309
"T7436",0.088528938,0.342596145,0.088737852,0.359981213465492,0.358509009278794,599.991141274252
"T7438",0.0890379,0.353405948,0.088292426,0.475910923259735,0.0604191004095142,168.203687888001
"T7240",0.080268336,0.394632927,0.081087164,0.483850142370045,0.0404927527903723,139.340091242294
"T7442",0.083895321,0.359217395,0.083179973,0.476750338388355,0.0583112873913483,165.150490888543
"T7444",0.086598908,0.397564642,0.086417933,0.340539425548359,0.410991385914746,676.012606882579
"T7242",0.084743863,0.370262531,0.084537462,0.365172851713919,0.344665705029214,579.938919073738
"T7243",0.078805848,0.415178719,0.080004727,0.496424677451463,0.00896212456213451,93.6675298396542
"T7244",0.084792575,0.397283253,0.086245597,0.499297909999627,0.00175987955471296,83.2349759762421
"T7249",0.08103688,0.343301719,0.082314237,0.497317329283338,0.00672450894885086,90.4263119434095
"T7448",0.08126027,0.428893047,0.081034815,0.383728675398449,0.295702417521295,509.014903891009
"T7450",0.085431479,0.425249792,0.085744766,0.416434914309745,0.211022353378551,386.354632070758
"T7452",0.080483057,0.401447393,0.080905838,0.448028576350056,0.130643723590997,269.925048814172
"T7259",0.083946753,0.281824466,0.082885975,0.491593942769199,0.021072420152799,111.209464461604
"T7260",0.089210668,0.387363549,0.088389509,0.480110293787192,0.0498767719302761,152.9329758264
"T7261",0.088319563,0.247530458,0.089218688,0.483772298039533,0.0406880404003278,139.622968110217
"T7270",0.087847512,0.351587569,0.088704869,0.482124364154164,0.0448225782841334,145.611904772143
"T7454",0.08435094,0.378625122,0.083869651,0.454254368806006,0.11491974111653,247.148637578066
"T7456",0.080555694,0.429479549,0.079493972,0.492865125401118,0.0178854319176041,106.5930668812
"T7458",0.078713475,0.461853686,0.078111954,0.471472804531017,0.0715681231239673,184.353205138953
"T7460",0.078455238,0.437086425,0.079793917,0.499200363154778,0.00200439366780896,83.5891581309188
"T7271",0.085166942,0.205680592,0.085754859,0.46564672123163,0.0862175969347524,205.573175362706
"T7466",0.080032017,0.44352752,0.07948339,0.465641003820031,0.0862319817344968,205.594011948797
"T7468",0.089391974,0.413705624,0.088308618,0.490278966484258,0.0243694292961211,115.985228885117
"T7470",0.08528745,0.421774476,0.08584323,0.462313360436023,0.0946073382892628,217.725834497578
"T7278",0.082842849,0.38414418,0.083621514,0.480596211242381,0.0486572783186942,151.166522064302
"T7280",0.083090562,0.392209424,0.082402403,0.475403464427091,0.061693484310282,170.049651011128
"T7282",0.082780618,0.401549307,0.083047243,0.40210220154123,0.247909533986894,439.786235434627
"T7474",0.086821299,0.407357293,0.087606557,0.478972869248909,0.0527316280959599,157.068275401755
"T7284",0.084673026,0.401926561,0.083355948,0.497376731896818,0.00657560538571245,90.2106230240108
"T7286",0.079339067,0.415364318,0.080727432,0.499769328519038,0.000578207688547442,81.5233075478635
"T7478",0.082845412,0.420536586,0.083241616,0.440803570988085,0.148932188155306,296.416148665629
"T7480",0.087108915,0.418597296,0.086802559,0.412384594130628,0.22141516142911,401.408761674491
"T7482",0.082803563,0.414831768,0.081539645,0.496899668926102,0.00777145575669869,91.942829217363
"T7492",0.083719948,0.428189608,0.084099899,0.43647516761042,0.159912076567478,312.320672485104
"T7494",0.086692916,0.411888468,0.086267422,0.443251227566165,0.142731225092491,287.433965875236
"T7291",0.085512143,0.318443151,0.08625019,0.476912211157873,0.0579048469237366,164.56175611678
"T7292",0.083900399,0.376502992,0.084967932,0.491416441081364,0.0215174517997582,111.85409910303
"T7293",0.085531562,0.276994122,0.084140452,0.498468918094597,0.00383786261627136,86.2449638612178
"T7294",0.085604508,0.375991796,0.084827696,0.479503525226275,0.0513996665821839,155.138910290995
"T5557",0.092000279,0.229361953,0.093330844,0.495096253069893,0.0122921802529766,98.4911626551269
"T5565",0.109121933,0.22348653,0.108221288,0.47524155018065,0.0621001213524579,170.638670523931
"T5774",0.079693284,0.313542013,0.079382125,0.423141914369278,0.193862140531175,361.497820805188
"T5776",0.103386159,0.298226276,0.10302723,0.410978224332836,0.225029341113677,406.643952117532
"T5778",0.097026458,0.280887293,0.096196461,0.476897810046419,0.0579410057636826,164.614132708382
"T5779",0.083698416,0.316300256,0.084492315,0.480971186842984,0.047716261971844,149.803446562878
"T5782",0.0691863,0.328200992,0.070341686,0.498703724966477,0.00324928536829762,85.3924013843877
"T5786",0.106672593,0.290205382,0.105771587,0.476317294617974,0.0593986488333124,166.725549332209
"T5790",0.096237786,0.251798904,0.096036819,0.340410401640704,0.411343327620412,676.522399426065
"T5794",0.090569596,0.298367342,0.090008285,0.459639386980111,0.101342255297476,227.481457137657
"T5796",0.078698341,0.296354538,0.078933394,0.392938463052449,0.271668497246045,474.201430097473
"T5798",0.096123737,0.245071223,0.096121261,0,37.846693684474,54902.1574050587
"T5800",0.080914107,0.319684083,0.080934504,6.73208149538469e-05,3.81780985667098,5610.83739587654
"T5802",0.089084028,0.281686331,0.090052804,0.486213912419095,0.0345634774779118,130.751452004875
"T5810",0.070981262,0.316811109,0.070848869,0.320158983727511,0.467254273557254,757.510196208787
"T5812",0.09647967,0.304306364,0.096871931,0.426646156562308,0.184919325138695,348.544026095836
"T5814",0.095091715,0.294189766,0.094689997,0.430572546579701,0.174916693270088,334.055072215818
"T5820",0.094561159,0.299326374,0.096018135,0.496748180675948,0.00815119252426724,92.4928833015402
"T5793",0.083804175,0.309674095,0.083655764,0.310259734192588,0.495114260082098,797.865781134719
"T5795",0.071946006,0.322319968,0.071040524,0.491469696538892,0.0213839294486132,111.660690086973
