"","acrZ","inaA","marA","nfo","nfsB","rob","soxS","pval","z","inv_cof_var"
"T8190",0.041380077,0.034651611,0.053195239,0.047176927,0.068029703,0.123109058,0.092687362,0.45738423601986,0.107025850202689,3.31573051222276
"T8192",0.033856264,0.032865549,0.041141458,0.034429581,0.049995531,0.072126328,0.087553362,0.348763017454617,0.388662217875497,4.62800474980362
"T8193",0.037984538,0.034228613,0.049774528,0.044214332,0.046284958,0.159907807,0.114184383,0.167233640004252,0.965154805020418,7.31415063542838
"T8188",0.046612914,0.044445865,0.054785929,0.051146963,0.077869948,0.051513529,0.10550848,0.43729850691983,0.157822061649416,3.55241358053193
"T8189",0.048498123,0.047031703,0.057463491,0.053603569,0.050442213,0.121833566,0.102748383,0.000774327732985652,3.16540815185628,17.566149718722
"T0882",0.071061508,0.083543192,0.022880943,0.078397174,0.065919785,0.076455,0.022989597,0.0730513777571342,1.45343593390774,9.5892784942003
"T0883",0.044294985,0.080950729,0.076325978,0.065937991,0.078537691,0.219451425,0.145584299,0.398052054553281,0.258392364125092,4.02101718487137
"T0878",0.084514862,0.058058596,0.088603178,0.086460966,0.104304655,0.101361314,0.125942439,0.3692664051838,0.333796916523824,4.37236190759599
"T0879",0.073352773,0.048575793,0.077272838,0.078204089,0.066728025,0.111042391,0.071567686,0.308926761781557,0.498894763076046,5.141629216718
"T0877",0.067010005,0.080664507,0.079203405,0.07222175,0.091672512,0.094086412,0.103111528,0.171770208027852,0.947193050294879,7.2304585036812
"T2296",0.032922478,0.040380503,0.076747871,0.057264028,0.056560099,0.303068415,0.164095157,0.410669629389764,0.225822780036878,3.86926041254522
"T2297",0.044047764,0.068039057,0.083519291,0.062992559,0.043607344,0.298116391,0.161648862,0.374507274253215,0.319939031952494,4.3077916070322
"T2298",0.050250879,0.073681787,0.065987244,0.053354554,0.052112782,0.299398935,0.128213826,0.302160892710967,0.518195627188661,5.23156087912126
"T1957",0.06127141,0.072459093,0.084273569,0.060472898,0.033522521,0.258596981,0.160398355,0.446602732363577,0.134249272463967,3.4425770412682
"T2065",0.081303252,0.094088058,0.10296732,0.078291951,0.14352214,0.055221363,0.150963439,0.460340400290954,0.0995761860982067,3.28101907788734
"T0321",0.073297473,0.103532064,0.095314352,0.05496673,0.054011479,0.227977938,0.139854898,0.477002171122124,0.0576789738507661,3.08580056717764
"T2492",0.078195517,0.056658165,0.042568286,0.075912374,0.049144356,0.275367105,0.202408288,0.35567640456768,0.370039835748483,4.54123444911555
"T1864",0.088561811,0.113965714,0.233497717,0.09075942,0.132320119,0.170723319,0.3010622,0.310008477349052,0.495826318282231,5.12733191170148
"T0692",0.057738084,0.062146742,0.09011655,0.076150501,0.109852296,0.108513344,0.151936561,0.463778243125484,0.0909195872831692,3.240683975912
"T0693",0.051772947,0.05890105,0.081621512,0.067843113,0.10875863,0.108412433,0.157303019,0.499948550153565,0.000128965640156678,2.81764843266678
"T0694",0.054870979,0.068619334,0.090754888,0.076589142,0.097040259,0.065793496,0.155795697,0.382158848292445,0.29981575567723,4.21402794557769
"T2423",0.061228425,0.030294521,0.034405475,0.049894339,0.068512174,0.090089119,0.123811371,0.471464096880466,0.071590005954323,3.15061850670194
"T1863",0.072037212,0.081546471,0.071725109,0.076260171,0.108647945,0.163330451,0.09379843,0.30949161705226,0.497291884128624,5.13416066155219
"T1867",0.083222064,0.086299195,0.083823798,0.083900996,0.138362669,0.14426161,0.117932147,0.430680577553236,0.174641731958996,3.6307842121881
"T0006",0.052921461,0.032382463,0.147465405,0.038455764,0.031677245,0.476696211,0.182918679,0.404560537789166,0.241560056832537,3.94258767166047
"T0698",0.060630853,0.062690527,0.044036173,0.052934409,0.065395172,0.258817615,0.153304046,0.0345916564166062,1.8172207900848,11.2843205753346
"T1079",0.074068489,0.09725338,0.301432058,0.087851642,0.098761421,0.243127841,0.158636135,0.138546654072161,1.08687216765694,7.88128818436794
"T1702",0.055344863,0.090268255,0.053427082,0.08796122,0.059621127,0.082964572,0.077708529,0.40061129090917,0.251765168393582,3.9901380114971
"T1706",0.117818074,0.097724761,0.120072598,0.092257662,0.05271303,0.085103521,0.081104446,0.458162565145597,0.105063867304945,3.3065887254835
"T1707",0.084123579,0.095729725,0.141703469,0.091358394,0.065591549,0.141585222,0.140637108,0.225303896228798,0.754402130877557,6.33215634589739
"T2525",0.047653657,0.057071229,0.086415525,0.044144101,0.084651027,0.225385166,0.162175665,0.468752881498158,0.0784051676513929,3.18237350053996
"T5142",0.181373131,0.091286811,0.13335311,0.139472626,0.132859323,0.201598319,0.183731986,0.42529818976112,0.188357543246106,3.69469252753928
"T5144",0.164921341,0.094021621,0.138657836,0.139361021,0.141601871,0.184100928,0.166298932,0.354772591542263,0.372466992529428,4.55254369635702
"T5146",0.175513207,0.095455157,0.130247095,0.128436938,0.180779353,0.215454098,0.178049569,0.435447069251733,0.162522846541145,3.57431671385522
"T5148",0.171337651,0.096053422,0.133187039,0.131538979,0.176053703,0.222345482,0.173620153,0.414056455307785,0.217122460367053,3.82872159486421
"T5150",0.171918223,0.091315759,0.157063367,0.135829472,0.193881152,0.206307399,0.173409057,0.458368556883861,0.10454467903394,3.30416958693928
"T5152",0.181373131,0.091286811,0.13335311,0.139472626,0.132859323,0.201598319,0.183731986,0.42529818976112,0.188357543246106,3.69469252753928
"T5714",0.132525821,0.129092764,0.35795503,0.079174063,0.079102222,0.216141449,0.127704839,0.440471859051987,0.149772992166318,3.51490923900656
"T5718",0.135095174,0.095068122,0.292658685,0.086586013,0.114223335,0.344082336,0.126034448,0.320452435551176,0.466434011588432,4.99037954586868
"T5719",0.17491206,0.124565398,0.070273536,0.116872907,0.15260717,0.219131305,0.177089242,0.294305468400368,0.540850057460948,5.33711835899877
"T5720",0.164715884,0.132828081,0.075776469,0.106428067,0.139708842,0.199903482,0.164023728,0.270049393514079,0.612663612753343,5.67173096353562
"T5721",0.160643573,0.247550836,0.067926228,0.116452758,0.133992672,0.339277709,0.147844715,0.498836189795674,0.00291724370223704,2.83064031116001
"T5723",0.160903,0.102245876,0.486473268,0.096056125,0.152658208,0.218357322,0.129179379,0.415154942461609,0.214304146231656,3.81558976439838
"T5724",0.132424657,0.146588244,0.217525921,0.100778413,0.118873411,0.190942658,0.205448857,0.222144891828779,0.764969370729622,6.38139400911109
"T5726",0.141402521,0.125203465,0.357750169,0.067825267,0.124611675,0.339832581,0.140914405,0.43672002298368,0.159290448125935,3.55925547300438
"T5730",0.13148763,0.08539539,0.336239166,0.073152824,0.094991764,0.354712062,0.133654995,0.413921705105443,0.217468298170947,3.83033301331908
"T5732",0.172359394,0.140671564,0.159980266,0.101905337,0.116323939,0.108657829,0.193102639,0.37457665035184,0.319756005231232,4.30693880079455
"T5736",0.190423779,0.250659131,0.099870334,0.103396189,0.182217267,0.21580625,0.158025167,0.483888155425024,0.040397390226588,3.00527766751805
"T5738",0.12435426,0.092397868,0.284702661,0.07436641,0.081384233,0.39119292,0.282909667,0.382209669362041,0.299682512703719,4.21340710487121
"T5740",0.141979591,0.089040235,0.351837417,0.082775196,0.106785464,0.33822262,0.122308277,0.403443772682157,0.244443254473582,3.95602182442085
"T5742",0.126510247,0.119345895,0.258302461,0.070325963,0.098448955,0.38684151,0.125046592,0.390543864202721,0.277901817851197,4.11192076286306
"T5744",0.181423929,0.114650666,0.221565331,0.10589358,0.109735858,0.221371245,0.13407938,0.435906866440789,0.161355094085236,3.56887561448151
"T5746",0.155782114,0.189710141,0.439060762,0.093932026,0.145819852,0.206082295,0.116383846,0.425707901111828,0.187312271220191,3.68982212119862
"T5748",0.172908106,0.138979434,0.248879742,0.114647126,0.129414268,0.188996965,0.143681844,0.27371856777036,0.601604946402943,5.62020351673056
"T5750",0.133065818,0.108004738,0.357212071,0.090636063,0.096487678,0.342841605,0.102430271,0.26816079652183,0.618384985017264,5.69838948596862
"T5752",0.137769594,0.123341976,0.331435417,0.092567059,0.118401906,0.298321488,0.157718353,0.229989425446633,0.738881674662374,6.25983935425678
"T5754",0.117148144,0.10816233,0.34804678,0.071007179,0.087956571,0.309042602,0.117782001,0.34759138431817,0.391831432481684,4.64277158803346
"T5756",0.170988509,0.125082236,0.032793527,0.114850558,0.125013891,0.248816155,0.168918149,0.294771720239291,0.539497762460108,5.33081739046308
"T8379",0.13957738,0.145446983,0.136535686,0.241946662,0.239278598,0.248794583,0.138292438,0.452039668604716,0.120509774417069,3.37855835833595
"T2421",0.061356305,0.063282544,0.077108177,0.058676436,0.088346758,0.304566545,0.116871511,0.32441668453465,0.455383492481091,4.93889006084128
"T2422",0.067363014,0.069606669,0.084725094,0.063575641,0.11856508,0.294858723,0.108855178,0.478268365942863,0.0545000962790158,3.07098870471719
"T2425",0.068332592,0.116338844,0.098262612,0.078257632,0.064893322,0.109675179,0.104085317,0.444198860595253,0.140331950564525,3.47091905488248
"T2426",0.071912159,0.127243446,0.099215964,0.073974124,0.081023893,0.087863015,0.115267005,0.450836372104309,0.123548533827897,3.39271734540849
"T2417",0.073067548,0.077481482,0.092710689,0.066076722,0.046666156,0.28617597,0.162248614,0.332286487156619,0.433608206657384,4.83742892200282
"T2418",0.084994283,0.085894842,0.103866452,0.074424349,0.08615893,0.268216282,0.164073411,0.00550291404152459,2.54251371818061,14.6637961455686
"T2688",0.052798513,0.050536393,0.058914547,0.062044564,0.07317959,0.05090053,0.125105931,0.262029376382454,0.637101467467119,5.78559824363025
"T2419",0.058475628,0.068885073,0.080148281,0.046975286,0.056026648,0.269030484,0.126813632,0.221425556403327,0.767387576497908,6.39266154944018
"T2420",0.065945659,0.072409634,0.084458394,0.055672886,0.052101677,0.261838594,0.130290406,0.208664470442606,0.81106396064631,6.59617004581171
"T5668",0.101291053,0.117640505,0.083776814,0.080474358,0.076427069,0.077310261,0.163204801,0.327547577423086,0.446695190559479,4.89840723941355
"T2428",0.033584786,0.051087958,0.066260692,0.040047328,0.063601009,0.172128277,0.155712012,0.435474891298069,0.162452180271376,3.57398744698515
"T5731",0.206814286,0.208198074,0.11405076,0.114268066,0.181396399,0.103339562,0.224620515,0.396854053124055,0.261498499828647,4.03549010928765
"T5733",0.151305469,0.174058431,0.292684648,0.089804975,0.127773757,0.253223246,0.141929998,0.418777439091087,0.205022074767708,3.77234029575137
"T5735",0.176371587,0.21725827,0.152503074,0.097885309,0.166947242,0.211314731,0.168902815,0.456875011822561,0.10830970598913,3.32171259077049
"T0071",0.069159232,0.076826975,0.074976934,0.082730946,0.088275547,0.183238925,0.125079334,0.0705283661366627,1.47186723771062,9.67515847250497
"T0598",0.076181189,0.032645461,0.068291379,0.0653101,0.069079996,0.264551486,0.107415688,0.471559092618765,0.0713512780106715,3.14950616267892
"T0599",0.037060511,0.03390731,0.070548487,0.067861988,0.065332413,0.05782144,0.107262596,0.498936474879928,0.00266586529439357,2.82946902276703
"T0600",0.079135779,0.042023084,0.065610415,0.062590904,0.07018611,0.263436871,0.105805966,0.398824047534016,0.256392089973754,4.01169698145237
"T0568",0.067206374,0.087616316,0.081574719,0.067666278,0.087193725,0.262675821,0.087505552,0.201496691910389,0.836287143942108,6.71369653538534
"T0569",0.069115421,0.033517872,0.077361605,0.074446689,0.07623157,0.038728201,0.090797012,0.471488277654126,0.0715292383536261,3.15033536231425
"T0570",0.074223623,0.037223451,0.087539588,0.082262387,0.087845312,0.095088999,0.095475853,0.476951433275149,0.0578063669738372,3.08639415072238
"T1094",0.097870478,0.120564954,0.117767598,0.111321261,0.186441453,0.240432851,0.196059602,0.460676836851334,0.0987287090388916,3.27707028987722
"T0112",0.051125219,0.083597025,0.052760572,0.069352246,0.03533637,0.035314671,0.199004049,0.497925210635967,0.00520074912849034,2.84128022022789
"T0113",0.046017712,0.058575625,0.056603543,0.052782334,0.063335428,0.085493197,0.090898432,0.163761146742057,0.979116755721816,7.37920582827587
"T0114",0.08148833,0.10636251,0.091952898,0.068238498,0.051387402,0.12686333,0.097473943,0.457613553379378,0.106447753122737,3.31303689026225
"T0110",0.052742352,0.090354474,0.039245807,0.058236875,0.077383464,0.092837134,0.212722258,0.398742582283588,0.256603122146666,4.01268027805607
"T0111",0.061721564,0.092571139,0.053976588,0.079192261,0.097093028,0.20197658,0.212460836,0.304323096083454,0.512006883308452,5.20272465593002
"T4087",0.087181538,0.122151395,0.152094113,0.092191067,0.099306224,0.261961214,0.088681806,0.215573463807814,0.787230531155961,6.48511906268825
"T4089",0.202740786,0.128048282,0.146385657,0.091362224,0.143167272,0.271858653,0.230350163,0.480190955619346,0.0496743320729802,3.04850323490181
"T4090",0.168276422,0.070394114,0.14503095,0.119138146,0.11168535,0.246459333,0.199085777,0.490834201676558,0.0229772709044277,2.92410926589809
"T4092",0.144858962,0.120744822,0.121308902,0.071492113,0.117485238,0.266436711,0.232720651,0.424085548154394,0.191452494023314,3.70911333620498
"T4094",0.208669642,0.140136554,0.090331585,0.097248759,0.14079136,0.279136278,0.217409898,0.468489654177611,0.0790670290944249,3.18545741945184
"T5043",0.092116206,0.090266844,0.140076804,0.096843565,0.128810032,0.266307421,0.135262955,0.272169375631743,0.606265067566339,5.64191717891581
"T6993",0.2419486,0.235362226,0.146652567,0.107943197,0.213067172,0.264414161,0.231118159,0.467073553799874,0.0826282880128696,3.20205097365311
"T4096",0.190626854,0.189140511,0.156786762,0.092645049,0.142545401,0.269972385,0.070322739,0.45786746539603,0.105807695688769,3.31005456632409
"T4098",0.172157243,0.134330918,0.136484459,0.09336223,0.141968158,0.119842556,0.243576308,0.385609927252831,0.290779644261233,4.17192451867617
"T4100",0.189831826,0.13643819,0.148316899,0.10225053,0.139760309,0.280272095,0.082126043,0.404910202871663,0.240657726113994,3.93838329505418
"T4836",0.187638114,0.114413936,0.095759466,0.097251703,0.138634705,0.263682482,0.105252099,0.448291807785511,0.129978274153994,3.422676482625
"T4838",0.103252335,0.097818218,0.148096683,0.110617665,0.114996922,0.25705299,0.156575691,0.00834996805148547,2.39324827987796,13.9682993570525
"T4840",0.076494896,0.061476586,0.078052617,0.107491288,0.111941669,0.265617029,0.091263738,0.427674360742129,0.1822981869063,3.66645918080656
"T4842",0.107809384,0.088571971,0.103746703,0.111520338,0.138398942,0.244393231,0.081379789,0.286874803651746,0.562537872957456,5.43817193308313
"T4844",0.150005302,0.071571842,0.144751904,0.112401055,0.082479968,0.270799919,0.06578686,0.487424361211736,0.0315276740338933,2.96394955300463
"T4845",0.073252804,0.117295326,0.086549241,0.087877443,0.150969899,0.277949829,0.09786902,0.473776677212417,0.0657795289975259,3.12354480424842
"T4847",0.069707243,0.112179413,0.066049031,0.096583893,0.125911116,0.262247013,0.089444703,0.383910203066428,0.295227093683537,4.19264724475043
"T4849",0.129209154,0.087736231,0.078135989,0.109465675,0.145987951,0.27538218,0.07000997,0.343403996150008,0.403190629895544,4.69569934821222
"T4851",0.131203193,0.098706398,0.082027209,0.1040732,0.128788559,0.255067167,0.090260176,0.18857782078718,0.883149242389207,6.93204874969365
"T4853",0.140055254,0.135234722,0.1302473,0.10650172,0.126890951,0.267529055,0.087468938,0.107886648377147,1.2378456535699,8.58474355754446
"T4855",0.147649846,0.088643617,0.10433903,0.111002306,0.080151036,0.26837558,0.093559782,0.437932686885089,0.156212690747106,3.54491477634246
"T5044",0.153029448,0.132970083,0.161028784,0.120029635,0.166723431,0.267925544,0.14638703,0.190373054781461,0.876522390581906,6.90117117882152
"T5055",0.21036803,0.22384168,0.139520547,0.101682363,0.164937188,0.261475568,0.104439125,0.469045633930331,0.0776691082944077,3.17894385919256
"T5056",0.220131562,0.216457403,0.147195853,0.111036798,0.171792827,0.252995096,0.088503401,0.438715359884725,0.15422704335738,3.53566272577815
"T4833",0.149430032,0.125777773,0.121816577,0.086379052,0.114379398,0.263912953,0.097037405,0.355472871017622,0.370586226985786,4.54378033887501
"T4837",0.051688148,0.071534591,0.141827978,0.113279244,0.104212472,0.268696141,0.055228695,0.486500525866435,0.0338446237147866,2.97474529433992
"T4839",0.118346704,0.086718691,0.080460725,0.101446835,0.089020247,0.262823857,0.108216184,0.195139364523095,0.859111997022628,6.82004809403395
"T4841",0.099812897,0.154592101,0.075130063,0.110874515,0.159271357,0.284201588,0.058885606,0.371530790377267,0.327801727926797,4.34442754808721
"T4843",0.112059774,0.123180424,0.128465753,0.101257066,0.139353508,0.255019416,0.083531002,0.167503347444774,0.964078252742628,7.30913447991116
"T4846",0.118598882,0.160147573,0.068282904,0.094160894,0.080027542,0.261824367,0.078666262,0.465031003088784,0.0877668245195606,3.22599379443411
"T4850",0.133327618,0.122091312,0.073505688,0.118220015,0.11283253,0.26481169,0.08281718,0.00814868279910666,2.40218720814284,14.0099499626562
"T4852",0.138861105,0.115756483,0.082099398,0.113747495,0.089823896,0.26152498,0.087768173,0.266872357493033,0.622299857338802,5.71663068874163
"T4854",0.146594567,0.131513694,0.133534769,0.121722205,0.113175735,0.253907222,0.128169287,0.0943069657385509,1.3146905272328,8.94279940392269
"T4856",0.132616673,0.133448965,0.119769195,0.115677064,0.105237056,0.249645275,0.179470915,0.0967704865994684,1.30017506942019,8.87516516516449
"T7008",0.12040845,0.096259394,0.270783037,0.064031056,0.098800154,0.420165586,0.12047115,0.393013545150435,0.271473224738886,4.08196697104675
"T7010",0.143425505,0.146342306,0.190312369,0.104460549,0.098194188,0.323908339,0.139337609,0.330153210757513,0.439490144689141,4.86483559469181
"T2259",0.054238854,0.058452657,0.076974325,0.065781074,0.071746558,0.156343946,0.086192594,0.13042276708498,1.12439490117804,8.05612397326207
"T5993",0.063811924,0.056012645,0.045082779,0.107235676,0.100298498,0.30129116,0.267015741,0.468320359349914,0.0794927240094036,3.18744092916193
"T6001",0.051530279,0.091944579,0.019559238,0.107936588,0.06799789,0.306418392,0.283792431,0.467942448654509,0.0804430393944968,3.19186888854708
"T6005",0.064171676,0.101400749,0.102773813,0.097659203,0.069511063,0.31409901,0.282288548,0.369902072086204,0.332112721863926,4.36451446487573
"T6009",0.062116741,0.066872998,0.027095891,0.111767422,0.111868208,0.299321498,0.27533012,0.465673726909687,0.0861496518715725,3.21845863829922
"T6011",0.063516266,0.106415271,0.002220501,0.107038949,0.080755233,0.300197591,0.26645314,0.381414733005495,0.301767292443433,4.22312105895343
"T6015",0.067585109,0.116626242,0.014024536,0.107918274,0.068245924,0.301587668,0.276479767,0.443056149670552,0.143225236630841,3.48440021428725
"T1826",0.162770273,0.108891837,0.10709926,0.102893375,0.165225007,0.208480714,0.108570412,0.398954721016226,0.256053609867067,4.01011984591547
"T1828",0.225057343,0.218897096,0.100938826,0.206990331,0.146130884,0.146466,0.164211957,0.282148986767624,0.576469361121852,5.50308518686624
"T1829",0.232365711,0.241114577,0.094256001,0.25161374,0.145000815,0.176138316,0.218267888,0.363750735651814,0.348451047483844,4.44064228875511
"T1715",0.041577142,0.077046048,0.072907479,0.065411611,0.042655017,0.414844468,0.172944815,0.46352839250167,0.0915484818413664,3.24361428684342
"T1716",0.05284876,0.087717033,0.084715936,0.076357407,0.058444165,0.414733485,0.156460099,0.37688463314211,0.313673188418634,4.27859614085665
"T1068",0.04442681,0.054486391,0.063968643,0.043140402,0.084664669,0.424195172,0.157158068,0.490193452158932,0.0245838461418469,2.93159504379041
"T4797",0.103336312,0.1087869,0.06416194,0.07601306,0.067421527,0.225880717,0.100456146,0.368030620043713,0.337073836289055,4.38763059403043
"T4796",0.114663914,0.115282557,0.099884305,0.089183782,0.089808641,0.305386519,0.366694867,0.187634857530179,0.886645637335081,6.94834007261402
"T4798",0.107440024,0.119162477,0.096244547,0.095487427,0.098153632,0.263333721,0.388945675,0.0666203762775243,1.50144403132436,9.81297044831713
"T4800",0.146527107,0.148167317,0.099465896,0.219169437,0.093011566,0.272797301,0.92945938,0.490202406246859,0.024561394794683,2.93149043256877
"T4802",0.129318685,0.131768194,0.086820784,0.081198686,0.111391478,0.39213373,0.348155576,0.330281951258994,0.439134747853476,4.86317963628198
"T4804",0.127671811,0.128494362,0.423182122,0.088002284,0.097704427,0.428739108,0.420527607,0.29481209745646,0.53938070071046,5.33027194557065
"T4806",0.119063272,0.121061697,0.1952886,0.097312161,0.125121084,0.416414186,0.094784252,0.0830613769492101,1.38477017344285,9.2693329232268
"T4807",0.105955768,0.109094277,0.353502568,0.07642732,0.080558324,0.369068455,0.098317563,0.282002570673199,0.576902766924089,5.5051046251703
"T4808",0.104480085,0.107360226,0.16620472,0.073372857,0.059557452,0.371640803,0.078186288,0.427519708786681,0.182692351252426,3.66829577499739
"T4809",0.136673423,0.139257225,0.375178968,0.068344419,0.089689574,0.372560161,0.128726474,0.476922341088452,0.0578794123670779,3.08673450303027
"T4811",0.152475229,0.155445745,0.230327606,0.08689721,0.131363637,0.235345279,0.143987675,0.386760860267859,0.287771413931833,4.15790778072929
