"","dgcC","iraP","nlpA","wrbA","yccJ","yccT","csgD"
"dgcC",1,0.229729178388583,0.160097246382833,0.616101566333134,0.256078393915538,0.44637680537988,0.399068483211882
"iraP",0.229729178388583,1,0.627984900343157,0.555659599047932,0.468094470100956,0.282323844321427,0.110664773972307
"nlpA",0.160097246382833,0.627984900343157,1,0.495161927106942,0.600445165035557,0.140490336470603,0.035328205680566
"wrbA",0.616101566333134,0.555659599047932,0.495161927106942,1,0.45548349622988,0.268994221609107,0.262918042464874
"yccJ",0.256078393915538,0.468094470100956,0.600445165035557,0.45548349622988,1,0.361358974509639,0.0420774275881022
"yccT",0.44637680537988,0.282323844321427,0.140490336470603,0.268994221609107,0.361358974509639,1,0.212021868790042
"csgD",0.399068483211882,0.110664773972307,0.035328205680566,0.262918042464874,0.0420774275881022,0.212021868790042,1
