"","cra","pitB","sbcC","sbcD","phoB"
"cra",1,0.856018513374088,0.801800623877147,0.856541553125244,0.495279826209353
"pitB",0.856018513374088,1,0.818731731478558,0.882030719260262,0.466437252429775
"sbcC",0.801800623877147,0.818731731478558,1,0.795203216218715,0.500476735971909
"sbcD",0.856541553125244,0.882030719260262,0.795203216218715,1,0.503158512484653
"phoB",0.495279826209353,0.466437252429775,0.500476735971909,0.503158512484653,1
