"","asnB","clpP","clpX","gadX","glsA","lon","uspE","ybaT","pval","z","inv_cof_var"
"T1957",0.381531981,0.442886409,0.529323141,0.152466785,0.183640649,0.46766938,0.06081358,0.55294808,0.237458933652737,0.714500305522338,2.02870093191156
"T1958",0.515156542,0.202596897,0.213087103,0.124489829,0.235134213,0.479140561,0.03400155,0.537994141,0.481370750582479,0.0467135871797324,1.63533463691474
"T2063",0.2119494,0.382279529,0.415694803,0.20305188,0.249407506,0.461306287,0.15204318,0.705743107,0.270757216636642,0.610524478382813,1.96745295442465
"T2064",0.118975483,0.198182879,0.420843851,0.203989243,0.304189627,0.424501611,0.179934775,0.618001968,0.344988876854125,0.398885255782517,1.84278480128002
"T2065",0.223380594,0.177642379,0.349545049,0.09279195,0.238659188,0.38871639,0.055544002,0.341485476,0.166494791714162,0.968109705127071,2.17809202813833
"T0741",0.071714665,0.148701912,0.088912301,0.176954509,0.084392837,0.182680825,0.119863146,0.065838137,0.065084732588176,1.51343395623787,2.49932060956889
"T0749",0.067014245,0.144214335,0.109597423,0.181283456,0.084169003,0.158893839,0.105353282,0.050174329,0.0446271863448226,1.69934407454427,2.60883278229091
"T0776",0.138172383,0.122361084,0.058447633,0.104497918,0.087367861,0.137598133,0.235209497,0.134469335,0.0980499094174365,1.29274340907494,2.36932068520118
"T0784",0.125492508,0.041198537,0.063419878,0.097110416,0.074115468,0.140545729,0.263086189,0.138888523,0.480767822088905,0.048226608702197,1.63622589703447
"T0792",0.141661663,0.072845078,0.101407433,0.08279853,0.08965597,0.139376462,0.226991302,0.139587223,0.0516514809452867,1.62904750929558,2.56742390328309
"T0777",0.098675815,0.11316475,0.055066958,0.054462363,0.09296864,0.099587431,0.232246945,0.133003094,0.194136216516093,0.862754549949594,2.11603154398579
"T0785",0.117008219,0.234647794,0.045737174,0.070795667,0.086104177,0.086054135,0.232122622,0.12376104,0.37470324638861,0.319422049542845,1.79597622277962
"T0778",0.083742336,0.092836963,0.044695904,0.100340263,0.071771979,0.097150285,0.251289697,0.131685967,0.480064596417094,0.049991461145171,1.63726550061993
"T0794",0.144629939,0.214632005,0.038885665,0.144493908,0.054460078,0.086284057,0.241725668,0.140694426,0.436402404257131,0.160096816983971,1.70212413691193
"T0779",0.099232481,0.057172743,0.046871624,0.146386029,0.06019144,0.083182315,0.222564601,0.135794621,0.482990795093443,0.042648679438267,1.63294016326943
"T0795",0.137415374,0.159128862,0.038695673,0.147377256,0.05987118,0.095955938,0.174863267,0.143601544,0.143721428329148,1.06374803731178,2.23442872271133
"T0796",0.133622573,0.137160864,0.045126201,0.14575133,0.062398711,0.081476484,0.165986346,0.137644954,0.0916557361382594,1.33062791598565,2.39163692437142
"T0789",0.045466673,0.136295519,0.036717922,0.137206832,0.069834827,0.095162585,0.17696018,0.137315301,0.310968640721857,0.493106580500599,1.89828679375156
"T0797",0.090867377,0.096890809,0.037871632,0.140572297,0.066437333,0.082583673,0.179926407,0.143012418,0.205728886167469,0.821330968724693,2.09163057849132
"T0837",0.106983455,0.39108537,0.227013485,0.278996477,0.105354458,0.146325004,0.233519719,0.198148972,0.235946221973124,0.719403332819467,2.03158910807494
"T0801",0.104027721,0.159024981,0.043885146,0.160596869,0.074945971,0.287854157,0.170818102,0.203300505,0.374645018079093,0.319575649254852,1.79606670219163
"T0802",0.097316943,0.046359743,0.130083938,0.188555587,0.074939005,0.109756628,0.130113614,0.04538922,0.0617230357617582,1.54046900841374,2.51524587135886
"T0813",0.065270475,0.144283967,0.056963053,0.200147118,0.081989538,0.083480893,0.085751846,0.057104944,0.0281883939729501,1.90811164493015,2.73180936062418
"T5127",0.078555253,0.248406852,0.418086054,0.073112989,0.206124602,0.186751474,0.072886592,0.28736574,0.388584883344768,0.283009223383776,1.77452689154388
"T5129",0.063120207,0.228243469,0.407274869,0.129356086,0.207530619,0.172469917,0.309106374,0.284514241,0.163874239061218,0.978659037499562,2.18430621550695
"T5131",0.065978713,0.241011056,0.415455907,0.13433377,0.160269264,0.168778807,0.311237312,0.300796003,0.230316057917808,0.737806379896414,2.04242960287136
"T5133",0.125909874,0.221422723,0.36275282,0.128396994,0.180415946,0.164740424,0.129574047,0.116332552,0.1763479104052,0.929372989445581,2.15527378706011
"T5137",0.118852453,0.259032855,0.357905305,0.146018008,0.11615853,0.187241733,0.102273627,0.092933741,0.388977454168754,0.281985135254341,1.77392364241933
"T0040",0.059052267,0.238416251,0.257216094,0.184871511,0.06042371,0.210878465,0.125315595,0.064741491,0.478551539765303,0.0537892435334148,1.6395026214644
"T0056",0.071663478,0.2553201,0.240613364,0.157708485,0.057538172,0.210252579,0.296834833,0.060588923,0.473781058611464,0.065768522676627,1.64655913295806
"T0054",0.09889102,0.271569906,0.260229794,0.167439838,0.080631619,0.18098594,0.314146156,0.085824358,0.323347280493834,0.458358974381399,1.87781837666018
"T0055",0.093689387,0.264720309,0.28056448,0.16998774,0.076099133,0.171344863,0.307871104,0.080709317,0.375410325031044,0.317557455907626,1.79487786566976
"T1864",0.101911251,0.121151999,0.153143291,0.168192229,0.091215294,0.207604797,0.280666544,0.094166785,0.193768403939808,0.864092993062808,2.11681996698679
"T1868",0.085755481,0.135503969,0.182383317,0.137147191,0.081442042,0.191427596,0.236369552,0.081966474,0.129391755943939,1.12927104423986,2.27302569052213
"T1866",0.100773902,0.194104057,0.234024933,0.141382057,0.095364733,0.294386841,0.212179708,0.095703929,0.152227099733388,1.02692835908557,2.21273973128789
"T1870",0.10344043,0.196821922,0.263070861,0.145672707,0.097553635,0.302231535,0.21498367,0.097382013,0.175396714822307,0.933051401334769,2.1574405915451
"T2826",0.092118399,0.206315061,0.046418448,0.164218196,0.084231087,0.069164197,0.226219813,0.088536918,0.47043516864404,0.0741760064964831,1.65151164349716
"T2404",0.099685448,0.266343721,0.269272785,0.161430205,0.074363473,0.138109556,0.121302838,0.083820995,0.364628331668755,0.346114504480814,1.81169967431722
"T2415",0.100506431,0.308318216,0.263988437,0.191003355,0.088463932,0.336158733,0.163076105,0.078065419,0.410675165426113,0.225808544895192,1.74083227266287
"T2675",0.092954281,0.064629013,0.124135895,0.275245602,0.087054289,0.135435903,0.249267024,0.088437785,0.281101280786727,0.57957306455925,1.94922072151815
"T2676",0.073944099,0.218497814,0.142725935,0.172524433,0.0652967,0.211178914,0.290055424,0.066695097,0.432976120984782,0.168802181998951,1.70725211728123
"T1867",0.092897796,0.114961562,0.171959773,0.155084604,0.085071513,0.212581207,0.265600463,0.086412567,0.219105086670082,0.775219151539616,2.0644679617704
"T1865",0.074784007,0.215096895,0.272822686,0.261583023,0.275258264,0.094530545,0.171758013,0.074982508,0.313482005293492,0.486004450388491,1.89410321457568
"T2817",0.079141028,0.175726094,0.131706358,0.168063453,0.073826751,0.269179122,0.248395545,0.076410213,0.359639441910558,0.359422715733716,1.81953900626228
"T2825",0.088941221,0.221985287,0.140822183,0.162073414,0.078149495,0.057450324,0.207444246,0.080794347,0.319972820930801,0.467774802246745,1.88336486211726
"T0493",0.091576443,0.294341507,0.103598704,0.177212992,0.083864924,0.323541883,0.199696494,0.088785266,0.482658831148583,0.0434815616482268,1.6334307806778
"T0497",0.093158111,0.062195528,0.195508795,0.16496183,0.093273112,0.267046008,0.21373645,0.098494684,0.326065386838972,0.45080406168864,1.87336808147858
"T0698",0.079129756,0.13071103,0.281122635,0.167151754,0.058647746,0.197002229,0.210383943,0.0633687,0.438527875396126,0.154702637262868,1.6989466426115
"T0711",0.115911819,0.24375291,0.25192746,0.185738708,0.101299834,0.238783014,0.291472153,0.104978963,0.10065804649049,1.27781094871511,2.36052457344036
"T1075",0.115480036,0.293527559,0.247537709,0.225011754,0.092410323,0.344912913,0.389987602,0.098420757,0.358367297712426,0.362826365245016,1.82154395928239
"T1079",0.114872789,0.298777352,0.202710715,0.22403928,0.091925734,0.229882729,0.385976043,0.097836374,0.357732029446629,0.364527611732552,1.82254609515796
"T1916",0.05052877,0.202112217,0.205597983,0.209260442,0.069156127,0.217852331,0.274547585,0.072193349,0.410364511801188,0.226607418010793,1.74130285668172
"T2000",0.197828823,0.225006065,0.374701986,0.290899786,0.071505142,0.367432451,0.175782553,0.078323157,0.411574919135245,0.223495560104654,1.73946978635931
"T2330",0.054993861,0.181363713,0.199736509,0.170655926,0.094204149,0.341184287,0.149639862,0.099774726,0.445436248940707,0.137200269517452,1.68863670178073
"T2525",0.088310017,0.131525161,0.054000129,0.119675412,0.074760291,0.229827226,0.241955857,0.077472186,0.464449987994274,0.0892289278208948,1.66037871396684
"T2526",0.079030262,0.270764575,0.223493906,0.099514533,0.069045092,0.342335504,0.202924499,0.071222749,0.472046573761168,0.070126282828091,1.64912611417853
"T2647",0.097053595,0.054512255,0.172249653,0.345668286,0.052511353,0.151529381,0.193654482,0.055775452,0.352783350641133,0.377816788298154,1.83037421453437
"T4072",0.11254143,0.091874869,0.118470867,0.135517031,0.164052323,0.157155684,0.15543921,0.165555368,1.16513832764038e-07,5.17085313076809,4.65375913075721
"T4074",0.11254143,0.091874869,0.118470867,0.135517031,0.164052323,0.157155684,0.15543921,0.165555368,1.16513832764038e-07,5.17085313076809,4.65375913075721
"T4075",0.068350309,0.290917986,0.125711227,0.119026795,0.144611684,0.137320471,0.067812619,0.167481928,0.3094265204713,0.497476542243942,1.90086096243901
"T4077",0.076763964,0.210424596,0.165986229,0.123387333,0.146946902,0.139860271,0.074866839,0.166471417,0.0182664405095955,2.09094626658217,2.83950988197463
"T4083",0.065008764,0.288152228,0.060272311,0.115206686,0.139394873,0.131153085,0.117983631,0.162405447,0.369016242305969,0.334459980630015,1.8048344631035
"T4085",0.076427675,0.283749297,0.07640654,0.113698516,0.138284668,0.129931955,0.098624975,0.162756913,0.298949700083377,0.527423683871282,1.91850161899015
"T5142",0.089542451,0.098281742,0.054281823,0.154384189,0.171303782,0.132671066,0.218739421,0.207597223,0.148128654065405,1.04449310385367,2.22308641591369
"T5144",0.088832862,0.08933402,0.051950344,0.14561033,0.157014737,0.142115759,0.194557956,0.186490172,0.0904644464072255,1.3379004427509,2.3959208773617
"T5146",0.09047237,0.095886553,0.051101839,0.144234822,0.163325422,0.13606914,0.216767465,0.209179341,0.15825685014217,1.00164785354162,2.19784800234462
"T5148",0.086003468,0.090597945,0.049715068,0.143991893,0.160648777,0.136593272,0.209398302,0.202525025,0.162415835009412,0.984577451442409,2.18779251510082
"T5150",0.094742215,0.108169472,0.05590373,0.14664652,0.161826125,0.136308805,0.210676996,0.201249235,0.0795909108019969,1.40782862638254,2.43711275757655
"T5152",0.089542451,0.098281742,0.054281823,0.154384189,0.171303782,0.132671066,0.218739421,0.207597223,0.148128654065405,1.04449310385367,2.22308641591369
"T5528",0.107926281,0.291137347,0.356834955,0.186864665,0.235540156,0.050147642,0.318508771,0.242606655,0.228151985780892,0.744946651063271,2.04663564940842
"T5530",0.093483143,0.27311995,0.301812937,0.193925673,0.228120281,0.053030507,0.292752959,0.290247331,0.189942036874644,0.878109913248723,2.12507677085747
"T5532",0.071580728,0.290208404,0.330655208,0.209046219,0.222571432,0.098928478,0.306889188,0.295192495,0.158564338739979,1.00037579867471,2.19709868598914
"T5534",0.07831702,0.272701345,0.351731158,0.181623791,0.228921742,0.103284341,0.312868426,0.300037967,0.148100202172635,1.04461616734534,2.22315890766658
"T5716",0.105605628,0.222816762,0.249874816,0.108304695,0.1186696,0.200292284,0.171173937,0.144249755,0.00324010592536388,2.72243837323957,3.21149648112724
"T5719",0.114588291,0.232625601,0.176804087,0.119112085,0.198382926,0.109251019,0.207356583,0.121823033,0.00200880436785324,2.87677584713851,3.30241047899392
"T5720",0.103708597,0.230877211,0.213475911,0.11987879,0.155512377,0.189117389,0.196214247,0.116629161,0.000468923655576935,3.30853718061945,3.55674371355691
"T5721",0.117150327,0.165242272,0.358325893,0.127521316,0.139868871,0.131462377,0.209065854,0.172184225,0.14016307310134,1.07958697032967,2.24375880105343
"T5722",0.083052456,0.165448918,0.302683996,0.11689373,0.145700555,0.129854183,0.205123152,0.184430105,0.0626121232076415,1.53320949140587,2.51096958189335
"T5723",0.098381326,0.218164789,0.435757779,0.132548751,0.151964971,0.195064627,0.164217202,0.163778734,0.325854334432753,0.451389750861642,1.87371308741188
"T5724",0.101938255,0.184974509,0.430717306,0.1119774,0.122147238,0.197761374,0.146313495,0.135760951,0.44880008885325,0.128693501492829,1.68362570691017
"T5732",0.102069086,0.132545357,0.229966913,0.192477388,0.239444528,0.104546339,0.233910763,0.220120406,0.0198842711655507,2.05614499476341,2.81900985257827
"T5734",0.077017842,0.182748462,0.231685013,0.081846334,0.120333152,0.135137079,0.209355053,0.205159388,0.0112839232882646,2.28067228130902,2.95126984578889
"T5736",0.10394945,0.103976576,0.303323876,0.104233331,0.136381161,0.136014149,0.210222694,0.103854583,0.203218045949582,0.830181643975011,2.09684415527536
"T5738",0.074136399,0.074457066,0.284739504,0.085443225,0.085410118,0.129512311,0.114819616,0.104404559,0.453271612637153,0.117399821806384,1.67697305447922
"T5740",0.07922974,0.17990302,0.326462352,0.411442701,0.253418648,0.090565986,0.166970232,0.082542268,0.385006987737018,0.292356615740678,1.78003306439566
"T5742",0.081464128,0.084763021,0.229430319,0.344878459,0.069964384,0.101520269,0.071878325,0.097540147,0.323317440719726,0.45844205789212,1.87786731781443
"T5744",0.108402364,0.16349899,0.225081915,0.119687926,0.106721308,0.172572863,0.210392823,0.208196592,0.000526038800245041,3.27621681650679,3.5377050870992
"T5746",0.089137086,0.091237057,0.119168555,0.090081221,0.131176523,0.108552478,0.115855871,0.177861342,3.06522197937536e-05,4.00773273119907,3.96861168824857
"T5748",0.117762418,0.323357872,0.278103455,0.128091851,0.14520849,0.197308534,0.190810797,0.178199167,0.0197830601095569,2.0582502182973,2.82024995508243
"T5752",0.095060414,0.354211865,0.239642655,0.097678969,0.120944498,0.091021921,0.174173821,0.178554189,0.301909801736562,0.518915593074916,1.91348984492796
"T5754",0.071595656,0.078742643,0.206091985,0.282661092,0.073131625,0.145312199,0.14194672,0.077626204,0.166060101023293,0.969852133916369,2.17911842285136
"T5756",0.115429012,0.117414541,0.150360044,0.124907181,0.117302179,0.137735787,0.202186943,0.195980394,2.74961378153841e-05,4.03332868548433,3.98368923535686
"T5758",0.07247803,0.257231996,0.098140518,0.079618017,0.250162036,0.221844719,0.242602208,0.073370058,0.260649611562017,0.641343976662627,1.98560748119044
"T5760",0.086213352,0.086438467,0.253918332,0.098123397,0.117813581,0.093767346,0.213117934,0.141882539,0.189015044695663,0.881531727286808,2.12709242386967
"T5767",0.152614637,0.249645023,0.056623104,0.150323889,0.206917983,0.058361517,0.149328109,0.287151896,0.330367795813202,0.438897798995012,1.86635458103839
"T5771",0.12820931,0.255865379,0.068031771,0.147585937,0.216659987,0.073663391,0.084748306,0.293150828,0.432825930657719,0.16918406764737,1.7074770707559
"T8378",0.159101547,0.135801198,0.101278014,0.296988577,0.103483675,0.029498892,0.296143135,0.211623081,0.424090157021904,0.191440727639894,1.72058757391474
"T8379",0.180553086,0.148060342,0.143592577,0.244962135,0.138578901,0.044929692,0.246458825,0.191106449,0.0588374892137047,1.5646074608529,2.52946486275556
"T2410",0.085944938,0.139168939,0.303978161,0.278496872,0.316823187,0.171991611,0.307795682,0.450392528,0.249938473483741,0.674683378486242,2.00524638177432
"T2422",0.066143215,0.216532955,0.220407419,0.111874692,0.244936541,0.261755153,0.265099104,0.516042545,0.299087973081117,0.527025405425288,1.9182670091778
"T2818",0.072545395,0.140174841,0.174881093,0.161882369,0.06504831,0.173362218,0.234601709,0.067985666,0.249873886783211,0.674886664609782,2.0053661294528
"T2411",0.076012711,0.219662382,0.285465054,0.322256469,0.326143095,0.139324284,0.251521347,0.350998024,0.0976040104156309,1.29532534124543,2.37084159758823
"T2412",0.079505707,0.192991248,0.357255663,0.372162541,0.325081261,0.184937886,0.273036431,0.379271818,0.101188853543169,1.27480659148418,2.35875482744165
"T2819",0.129600915,0.241413345,0.11389602,0.177705998,0.123869754,0.086728796,0.20869652,0.127641231,0.0393961524359479,1.75773679035594,2.64322958241094
"T2413",0.084366162,0.189002124,0.329251429,0.318097143,0.218946269,0.220946861,0.228923042,0.062004589,0.210564929638303,0.804462602137555,2.08169410224109
"T2414",0.111366024,0.132834096,0.32093456,0.330140857,0.258303463,0.148976153,0.305131114,0.122680366,0.161216856281846,0.989469035232153,2.1906739503543
"T2425",0.11670308,0.102089217,0.087142959,0.160388549,0.117910264,0.284368957,0.220679979,0.09604555,0.287695083010695,0.560130884109295,1.93776811504937
"T2405",0.099204839,0.214520717,0.125275448,0.518918787,0.318946327,0.10013498,0.395466265,0.426059216,0.431536358672928,0.172464055657657,1.70940917975987
"T2417",0.101353158,0.344003115,0.337899357,0.180832274,0.395202598,0.30654887,0.489054918,0.030655321,0.398297983070866,0.257755038645878,1.75965066712874
"T2418",0.109243909,0.319376965,0.392999323,0.187081003,0.397103885,0.324019312,0.491025153,0.217561867,0.0548290759901737,1.59973153921185,2.55015504450031
