"","alaE","kbl","tdh","yojI","lrp"
"alaE",1,0.284639077126413,0.487289953526949,0.28838985675596,0.103999159958357
"kbl",0.284639077126413,1,0.565882877709019,0.527270118990495,-0.372935835784986
"tdh",0.487289953526949,0.565882877709019,1,0.541011525774796,-0.120552220636352
"yojI",0.28838985675596,0.527270118990495,0.541011525774796,1,-0.0639600870195721
"lrp",0.103999159958357,-0.372935835784986,-0.120552220636352,-0.0639600870195721,1
