"","cho","dinB","dinD","dinG","dnaG","ftsK","hokE","insK","lexA","phr","polB","ptrA","recA","recB","recD","recN","recQ","recX","rpoD","rpsU","ruvA","ruvB","symE","umuC","umuD","uvrB","uvrD","uvrY","yafN","yafO","yafP","ybfE","ybgA","ybiB","ydjM","yebG","pval","z","inv_cof_var"
"T4072",0.09631917,0.107251229,0.071814667,0.088315872,0.261503255,0.090395412,0.073281584,0.117950435,0.108363167,0.120647333,0.180766237,0.177982357,0.239524511,0.075088758,0.072393915,0.073131164,0.073007995,0.071821254,0.185480474,0.356921415,0.134321279,0.118275636,0.092554237,0.166110398,0.097916651,0.184520371,0.123609387,0.078041096,0.072126948,0.071814891,0.093969683,0.106692255,0.123869345,0.085754379,0.071811947,0.090080536,0.127310563115577,1.13919668906107,1.91619571960485
"T4074",0.09631917,0.107251229,0.071814667,0.088315872,0.261503255,0.090395412,0.073281584,0.117950435,0.108363167,0.120647333,0.180766237,0.177982357,0.239524511,0.075088758,0.072393915,0.073131164,0.073007995,0.071821254,0.185480474,0.356921415,0.134321279,0.118275636,0.092554237,0.166110398,0.097916651,0.184520371,0.123609387,0.078041096,0.072126948,0.071814891,0.093969683,0.106692255,0.123869345,0.085754379,0.071811947,0.090080536,0.127310563115577,1.13919668906107,1.91619571960485
"T4075",0.083737256,0.095019304,0.066933307,0.063566857,0.151541328,0.120520758,0.062809312,0.102747621,0.130005912,0.105744664,0.162047582,0.136184484,0.17591333,0.088345605,0.084661467,0.062901464,0.098024311,0.072749263,0.101862801,0.435207909,0.228823981,0.397138595,0.065368827,0.143931329,0.084624676,0.166493859,0.07496672,0.06301399,0.069062181,0.07654956,0.077793468,0.106692255,0.108709765,0.070619358,0.078358754,0.119411042,0.37379599521178,0.321816134544949,1.46080066265904
"T4077",0.091200375,0.10204031,0.06348168,0.07074936,0.254081456,0.180433062,0.065984819,0.108375213,0.153823569,0.11140326,0.162240688,0.154502044,0.161846452,0.074973992,0.063758142,0.066116728,0.07682841,0.063863209,0.064068726,0.511528599,0.213987591,0.182648067,0.07127032,0.147628891,0.092706471,0.166069775,0.068255453,0.063746345,0.064135285,0.083614389,0.084625037,0.106692255,0.114063601,0.08639292,0.068318008,0.112436589,0.38262191823147,0.298601872611843,1.44786707856951
"T4083",0.08338057,0.094239325,0.059725309,0.07350397,0.128139924,0.096912864,0.060916846,0.099457483,0.242385704,0.103063202,0.156774998,0.13039048,0.311664959,0.079379945,0.074646978,0.072686262,0.128401703,0.060740726,0.062299595,0.438908137,0.211844189,0.363041372,0.073652861,0.139353211,0.084807301,0.162270197,0.08224039,0.062313188,0.062579381,0.074251742,0.074250834,0.106692255,0.106195867,0.107397498,0.065385207,0.137661633,0.403693248562761,0.243798997063664,1.41733422763102
"T4085",0.080884605,0.0922218,0.062898565,0.084275146,0.13294504,0.101597226,0.060207058,0.097627302,0.206243833,0.101147107,0.156580835,0.142901036,0.258998554,0.076774906,0.063911563,0.081122882,0.13102969,0.06298568,0.060838114,0.460147476,0.212536597,0.169753746,0.062903299,0.138403446,0.082503932,0.162342257,0.085142321,0.059825019,0.064575665,0.071941842,0.072225515,0.106692255,0.10437871,0.087654242,0.0700634,0.12700254,0.329107723381773,0.442378344722432,1.52797064152132
"T5142",0.143340589,0.144451815,0.139202774,0.148030913,0.134395672,0.053736379,0.079573395,0.149633653,0.148775612,0.122578647,0.215180043,0.231479063,0.118065716,0.049015221,0.062720435,0.151601736,0.142646519,0.067142688,0.227826817,0.160858023,0.188461156,0.139379644,0.143797844,0.047008492,0.132620746,0.21354876,0.141857395,0.137432328,0.133749762,0.141675521,0.143423897,0.1445419,0.148802959,0.078517991,0.135696664,0.186037649,0.0014399988346927,2.98026431105362,2.94192735699953
"T5144",0.139975782,0.140397195,0.14041376,0.142037163,0.231113189,0.049620715,0.079573395,0.14260695,0.142523098,0.11984529,0.251235806,0.160249279,0.230327614,0.142641677,0.067144519,0.139606208,0.139719081,0.067969876,0.206254821,0.142503104,0.168932444,0.138810353,0.1401718,0.043555887,0.138937038,0.187767106,0.14033828,0.138552979,0.139070367,0.139408162,0.138541717,0.141580525,0.142411262,0.152696001,0.140006825,0.193755298,0.000345340966092768,3.39325150075124,3.17201886545434
"T5146",0.132337225,0.135004984,0.142879412,0.137486692,0.199189566,0.049322079,0.079573395,0.13865197,0.138434041,0.122099388,0.238935493,0.179544145,0.198264516,0.138571839,0.065331576,0.130886311,0.131809625,0.066301155,0.233059799,0.260738009,0.182371978,0.130556098,0.130543222,0.042642605,0.128812766,0.211244292,0.132640044,0.124925092,0.124937125,0.130405323,0.132861233,0.135050998,0.137642743,0.156615683,0.125150125,0.198632195,0.00201531574283776,2.87575443699429,2.88370076990287
"T5148",0.134259102,0.136424548,0.146667385,0.138451777,0.157326905,0.048710532,0.079573395,0.139793136,0.139017549,0.123448015,0.24645537,0.17346282,0.195852945,0.048682091,0.062766584,0.133348517,0.133975133,0.063168182,0.221425243,0.144383104,0.17806887,0.130284558,0.134966997,0.047114207,0.131738804,0.200035962,0.134276908,0.130650181,0.13044358,0.133195245,0.134750562,0.135693815,0.259998697,0.154527522,0.131136054,0.202056146,0.00335466265986815,2.71093759064163,2.79187478173163
"T5150",0.137773402,0.139052452,0.144528889,0.141156214,0.159199789,0.054635765,0.079573395,0.142505146,0.142068882,0.128097986,0.220643956,0.164762743,0.131897707,0.142354643,0.065651236,0.135516368,0.137399579,0.070525929,0.216206092,0.134044634,0.178811868,0.134183062,0.138212961,0.075662932,0.142014652,0.205873862,0.151276834,0.138401749,0.134359519,0.137053467,0.135036002,0.139080558,0.142507623,0.156580921,0.134076286,0.189970884,4.00956689474924e-06,4.46467244833376,3.76894987970647
"T5152",0.143340589,0.144451815,0.139202774,0.148030913,0.134395672,0.053736379,0.079573395,0.149633653,0.148775612,0.122578647,0.215180043,0.231479063,0.118065716,0.049015221,0.062720435,0.151601736,0.142646519,0.067142688,0.227826817,0.160858023,0.188461156,0.139379644,0.143797844,0.047008492,0.132620746,0.21354876,0.141857395,0.137432328,0.133749762,0.141675521,0.143423897,0.1445419,0.148802959,0.078517991,0.135696664,0.186037649,0.0014399988346927,2.98026431105362,2.94192735699953
"T5528",0.101355559,0.134801988,0.044939438,0.138791272,0.203184332,0.108905453,0.079573395,0.107768095,0.114848575,0.101044492,0.109177103,0.058014353,0.06925487,0.099263942,0.089855388,0.056805354,0.065510174,0.110006789,0.322756569,0.349130756,0.279108694,0.057033972,0.083530381,0.096638078,0.083036402,0.045535501,0.176438568,0.098966851,0.060693299,0.147006163,0.140868042,0.062851024,0.095519733,0.110603588,0.111246361,0.067445511,0.263716522092674,0.631929349481207,1.63357700826118
"T5530",0.078367044,0.145048221,0.057968235,0.057815875,0.20674151,0.061887734,0.079573395,0.1296756,0.134714436,0.121620768,0.076915182,0.070380853,0.156059394,0.083583013,0.103657753,0.056008503,0.0696799,0.145577918,0.294214465,0.302114355,0.258014704,0.059331337,0.060519051,0.107600215,0.065842419,0.109629937,0.185003686,0.11234652,0,0.157253752,0.167474579,0.062262918,0.15730585,0.072989291,0.136583106,0.077551931,0.212273506174528,0.798557546679492,1.72641217167758
"T5532",0.091182324,0.156038109,0.057013211,0.120218238,0.214866573,0.08729131,0.079573395,0.120108491,0.140160618,0.048756942,0.089196519,0.049444275,0.092196466,0.050167071,0.113017519,0.064022767,0.065161066,0.09065501,0.312648816,0.328292605,0.273339244,0.064154245,0.078983709,0.069831768,0.106587461,0.143440317,0.19172596,0.086384864,0.071704077,0.188765727,0.178843725,0.08533786,0.176542292,0.046214618,0.166780368,0.06646895,0.245590327424801,0.688432195985353,1.66505698030014
"T5534",0.105594927,0.131954308,0.046902623,0.135549467,0.142162184,0.097477426,0.079573395,0.086949125,0.124138936,0.091465519,0.0909084,0.106528617,0.148193955,0.088848093,0.090701692,0.051357672,0.060105874,0.102458875,0.324171662,0.339113888,0.264826745,0.044465497,0.077549045,0.10771217,0.086623297,0.108025182,0.164922737,0.105883458,0.048942381,0.099515005,0.113558948,0.099577062,0.154243583,0.084732495,0.147074728,0.066445442,0.19824528098163,0.847905570576544,1.75390590887086
"T5714",0.080890572,0.085843434,0.081718689,0.084988789,0.107142726,0.201624445,0.079573395,0.086780923,0.080252446,0.090273162,0.134541824,0.146004361,0.106966263,0.083642287,0.079095625,0.0796554,0.079393552,0.088997114,0.14382433,0.267306402,0.13114171,0.082800536,0.079300569,0.112283324,0.367464511,0.146208854,0.121236652,0.080422557,0.095929062,0.079086222,0.36713189,0.081597543,0.091515281,0.092672391,0.086032743,0.07982677,0.258861597865201,0.646859011553598,1.64189491388307
"T5716",0.105678069,0.104602851,0.130123708,0.104816094,0.106719785,0.221144549,0.079573395,0.105666812,0.105499617,0.106230823,0.145678241,0.168712673,0.120369071,0.155204768,0.122740885,0.113765208,0.109900145,0.149853512,0.140197951,0.104925035,0.151247198,0.111539694,0.159959696,0.13732336,0.215569383,0.128419397,0.200688148,0.120657341,0.155000829,0.107390796,0.146781699,0.104585353,0.172196056,0.11037154,0.152784435,0.119263216,3.58389918913941e-07,4.95676120237762,4.04311200031486
"T5718",0.085476234,0.085010008,0.103139489,0.085163147,0.104807776,0.098587446,0.079573395,0.085331899,0.08584956,0.0858433,0.299758251,0.146133492,0.099344641,0.100625166,0.087829985,0.085868506,0.087026839,0.113202502,0.106432814,0.307572133,0.132826749,0.097734316,0.086116843,0.118782566,0.329016177,0.145498794,0.221553247,0.098517684,0.119732292,0.087922895,0.192944085,0.085275041,0.084905766,0.088980966,0.124902331,0.091799433,0.138350586419565,1.0877597721938,1.88753817746433
"T5719",0.118892471,0.12254116,0.108954927,0.12369606,0.142600554,0.131802554,0.079573395,0.114162443,0.125797642,0.130567284,0.111065505,0.147601785,0.14757753,0.129819462,0.249213652,0.234642112,0.121851588,0.11624513,0.241274298,0.220954003,0.150267952,0.108023481,0.132509416,0.176836325,0.117019104,0.130727059,0.110729426,0.10995145,0.107834189,0.113334151,0.109869906,0.121027739,0.110058933,0.125366062,0.111311686,0.108980077,8.94933351082641e-05,3.74696553051348,3.36908695061507
"T5720",0.108832222,0.113243928,0.104954375,0.115469918,0.133880496,0.132481984,0.079573395,0.110439646,0.117487758,0.119942588,0.123696696,0.22212995,0.172342434,0.141214886,0.241264192,0.168613269,0.116524343,0.116835304,0.244286874,0.213499485,0.128165948,0.102399176,0.103896213,0.160930318,0.105857484,0.119133416,0.125036307,0.101039341,0.104199037,0.10116353,0.113585937,0.10877792,0.129983749,0.116002446,0.111034029,0.100865201,0.000198489148759344,3.54208449100175,3.25493961478715
"T5721",0.117593466,0.121909838,0.111210243,0.120458789,0.129019553,0.128808738,0.079573395,0.121733189,0.122985536,0.123741873,0.264947504,0.199373631,0.130652495,0.11189809,0.113399436,0.116152519,0.11607128,0.11909756,0.112723753,0.201591815,0.369205908,0.136782269,0.112427034,0.135920677,0.295394667,0.171788223,0.164721281,0.110781105,0.124994098,0.11313651,0.11094337,0.117577751,0.122461433,0.125631273,0.114642444,0.111632477,0.018563080139955,2.08437400718224,2.44279141145428
"T5722",0.082881026,0.096685374,0.089343174,0.094754911,0.109796071,0.09943151,0.079573395,0.097951779,0.097142488,0.103027473,0.341486477,0.199103763,0.120472003,0.09159301,0.078134234,0.081873857,0.079621985,0.114094489,0.077884656,0.15839543,0.320001278,0.324901414,0.081007285,0.137670719,0.147641762,0.1738951,0.241940177,0.085926898,0.126109825,0.078262029,0.09052404,0.083101156,0.088551255,0.109419873,0.102243459,0.081061561,0.191030215338944,0.874106182918549,1.768503306966
"T5723",0.099323175,0.110080408,0.090253847,0.107585114,0.140960722,0.197890336,0.079573395,0.112391244,0.115478531,0.117964916,0.16364798,0.164600925,0.14271354,0.098005285,0.090946865,0.1231049,0.093516011,0.095219174,0.162845205,0.094967073,0.113095005,0.126612061,0.091053265,0.153552269,0.217047185,0.159958547,0.156747467,0.089921677,0.097976993,0.09103824,0.091036437,0.101815695,0.109093081,0.126326043,0.094592118,0.089934586,1.64800294219445e-05,4.15198727809316,3.59474059601226
"T5724",0.101973436,0.10462497,0.114471862,0.108214467,0.111618147,0.189556935,0.079573395,0.107307729,0.103354516,0.106248542,0.135466239,0.138158013,0.116418895,0.164213687,0.102040916,0.102664216,0.100728631,0.120242754,0.145465499,0.12850251,0.103334987,0.190055403,0.133492443,0.124246545,0.396462841,0.137858545,0.18078971,0.103542729,0.114148397,0.107001666,0.107120654,0.102234562,0.102512304,0.108995121,0.147407896,0.10273923,0.0185293465132832,2.08511687297176,2.44320529138652
"T5726",0.071243005,0.079150856,0.076224979,0.071764436,0.115864593,0.208641245,0.079573395,0.089950839,0.087001379,0.085668086,0.085204519,0.152198443,0.117451966,0.06974685,0.064424856,0.330257443,0.066693844,0.112843266,0.122679329,0.243657219,0.13283332,0.078098822,0.069660841,0.130955488,0.292985782,0.138684339,0.346760236,0.065513936,0.135761494,0.075943397,0.314424185,0.069211012,0.093144762,0.104835364,0.08709785,0.066157662,0.305908299631136,0.507482090870614,1.56424251515561
"T5730",0.076816843,0.08278329,0.081500729,0.088362291,0.093631708,0.088883695,0.079573395,0.079157202,0.082379373,0.085739414,0.321107866,0.1453076,0.096108965,0.078887695,0.073795732,0.078704276,0.074020405,0.095675326,0.107943398,0.349244744,0.130084113,0.073262954,0.073204673,0.121231859,0.330436857,0.145706242,0.085708794,0.086329382,0.100084089,0.089074298,0.220679744,0.081239667,0.073488558,0.090346724,0.090742067,0.074967149,0.299513421130484,0.525800478193655,1.57444841373253
"T5732",0.102694233,0.102768552,0.157009639,0.1036529,0.101419851,0.10900193,0.079573395,0.186168472,0.104461077,0.104355914,0.242631125,0.102554052,0.102767626,0.129079122,0.180413934,0.101975004,0.101365382,0.132916255,0.146192447,0.246263515,0.158511917,0.10186106,0.10138424,0.174107763,0.101412727,0.105011114,0.034486382,0.107601792,0.125163927,0.103116989,0.036004967,0.103359504,0.10337692,0.103218697,0.123901475,0.1030655,0.00463837762324717,2.60168301603332,2.7310047341749
"T5736",0.103824681,0.104633708,0.099476322,0.106056389,0.129930351,0.164314803,0.079573395,0.106433708,0.105174731,0.10858677,0.171524801,0.212842029,0.13828046,0.102072557,0.099214082,0.104022342,0.103287311,0.101423705,0.206684619,0.109302392,0.108414195,0.099415555,0.102936022,0.171623158,0.212243682,0.178292312,0.194302212,0.103564369,0.103511155,0.10392117,0.205905029,0.104383605,0.105723104,0.113769275,0.099236775,0.103297169,0.000277474835842317,3.45272731965194,3.20515519807876
"T5738",0.074193033,0.076926884,0.09055778,0.080754585,0.096606635,0.203487756,0.079573395,0.163452368,0.074895785,0.082162581,0.124593375,0.142590106,0.07524219,0.086315452,0.076928866,0.07313932,0.07326639,0.098412164,0.077400868,0.226633395,0.121605623,0.083066435,0.073069668,0.104286342,0.331289409,0.154014836,0.077214375,0.078692267,0.12387551,0.078236861,0.133603713,0.078553131,0.077524227,0.077927427,0.106346901,0.080499084,0.0991095437516192,1.28664202868043,1.99834335385106
"T5740",0.079288872,0.07932893,0.089013983,0.080409681,0.078972929,0.086117641,0.079573395,0.082337358,0.079819846,0.080626428,0.390546165,0.173483746,0.090978877,0.093943187,0.084611207,0.079233928,0.081536243,0.100027559,0.183557115,0.167987231,0.156184088,0.083987708,0.082177242,0.118823717,0.32663215,0.155506391,0.247049044,0.086983873,0.103885775,0.078788604,0.177320961,0.078969693,0.079089939,0.083425001,0.105417968,0.08598551,0.243110634882446,0.696331469266091,1.66945797807974
"T5742",0.078946012,0.087616316,0.074826012,0.095092968,0.070488888,0.08511204,0.079573395,0.079976179,0.088808615,0.092091643,0.233217842,0.133452999,0.101350817,0.071241211,0.069898783,0.080993325,0.072216106,0.084232723,0.10468638,0.258002137,0.126382541,0.07107559,0.069962376,0.119922418,0.344148447,0.133377723,0.194488134,0.08014005,0.081218976,0.094413077,0.21910908,0.089619985,0.073604741,0.09461921,0.079624785,0.070785899,0.186911584174575,0.889334810769265,1.77698777825537
"T5744",0.107617426,0.111893723,0.111105961,0.119483841,0.13538276,0.145317391,0.079573395,0.111302264,0.1089846,0.120569747,0.192985159,0.194831106,0.137448244,0.158657542,0.129075054,0.125305934,0.105869479,0.116268707,0.163488214,0.233151101,0.162654272,0.164815045,0.10712873,0.16302232,0.196071307,0.180334488,0.164835015,0.107441128,0.120099367,0.116947828,0.108792874,0.116385105,0.109556234,0.111021147,0.123137869,0.110236821,5.7265226155215e-07,4.86487277908226,3.99191732296653
"T5746",0.089222319,0.087553097,0.108098211,0.087931311,0.101308889,0.090147998,0.079573395,0.088662523,0.111108343,0.08908041,0.218811204,0.183286653,0.098980234,0.105043521,0.092275723,0.089784174,0.090383602,0.131068967,0.126458441,0.156784951,0.204211843,0.237374995,0.089805855,0.119289166,0.214454739,0.184040612,0.09008969,0.103653363,0.143700616,0.087927053,0.204369347,0.088762204,0.089004954,0.089099194,0.123727212,0.112762409,0.0065761440354559,2.47961887519535,2.66299797029873
"T5748",0.117931471,0.123201024,0.097154635,0.124531059,0.127850414,0.165772976,0.079573395,0.124577417,0.125447594,0.126026055,0.094986902,0.183963447,0.137001842,0.092423279,0.093432416,0.117938716,0.113107162,0.092652076,0.188260255,0.202529656,0.19811385,0.102452016,0.13229428,0.157961914,0.204372471,0.179658079,0.187076208,0.094887689,0.092610248,0.114573324,0.224104345,0.121447824,0.121495115,0.129358709,0.092425062,0.103842199,7.53499835742027e-05,3.78991314824062,3.39301476821787
"T5750",0.090928472,0.093695157,0.096188496,0.09614697,0.104976633,0.339229852,0.079573395,0.095517356,0.097431863,0.094336504,0.139197829,0.147407896,0.103631476,0.093243883,0.091989074,0.092217652,0.090708162,0.095485067,0.153922771,0.16304633,0.132984159,0.091145579,0.090673596,0.112207598,0.243519179,0.160880802,0.093399799,0.091105978,0.103652208,0.096034576,0.110451697,0.094136992,0.095259963,0.091629954,0.10259199,0.091959254,0.0302051263029186,1.87778741478698,2.32769384461312
"T5752",0.094561452,0.101426342,0.093252989,0.102988126,0.114589391,0.358067897,0.079573395,0.103564752,0.10501188,0.107518344,0.093841913,0.168673429,0.126722073,0.089327988,0.096470844,0.088974424,0.090384465,0.100641511,0.168476137,0.166742017,0.152679828,0.088538208,0.088068855,0.142151658,0.310695766,0.164509098,0.317740199,0.088131698,0.102583696,0.093153075,0.236303757,0.102059621,0.358741504,0.115341172,0.107534241,0.087743864,0.186815711254293,0.889691754817522,1.77718664591167
"T5754",0.071611609,0.073722584,0.07432821,0.074930617,0.073260173,0.07771469,0.079573395,0.071653889,0.075142717,0.07551054,0.348676217,0.139790184,0.088336876,0.117600548,0.072246203,0.071133729,0.070385635,0.090715506,0.148793298,0.332190362,0.119542727,0.06994394,0.070043766,0.106433438,0.348058948,0.128700908,0.346224038,0.073173063,0.092452753,0.071180553,0.230927587,0.072949326,0.072705699,0.080437098,0.084661027,0.070280097,0.440716270330698,0.149153462522077,1.36460345448736
"T5756",0.115238783,0.118094523,0.124626485,0.120107019,0.131131799,0.116797323,0.079573395,0.120170475,0.118532721,0.122671369,0.148111683,0.195747056,0.137625042,0.122750121,0.186043845,0.1613492,0.116141758,0.134429629,0.183575012,0.149900117,0.300736414,0.159174921,0.201657718,0.159999276,0.220667053,0.186021088,0.300903911,0.117127402,0.135157414,0.11536938,0.305112544,0.067448792,0.11757786,0.117527404,0.130327443,0.120028957,0.00569859799182207,2.53027868907748,2.6912225576103
"T5758",0.070365112,0.080145862,0.101783399,0.086198935,0.073446591,0.27999818,0.079573395,0.083069203,0.082091604,0.091071557,0.136183562,0.231304011,0.133891514,0.112811749,0.16640878,0.142127259,0.071501756,0.139666566,0.193024306,0.274736307,0.269190972,0.183278703,0.198619885,0.168629058,0.070105419,0.2056773,0.265682448,0.077863819,0.128065734,0.074806541,0.091451531,0.082549303,0.280037986,0.084833389,0.123809662,0.098394305,0.0991945463578705,1.28615465516971,1.99807181877913
"T5760",0.085926502,0.085769901,0.092373124,0.085717926,0.109957375,0.088480108,0.079573395,0.085767904,0.086559868,0.086496547,0.176105399,0.215597854,0.110836391,0.090393892,0.089663709,0.086953992,0.087234324,0.11163507,0.227011607,0.16196328,0.151051707,0.131391401,0.088098767,0.140440485,0.322473199,0.186996657,0.322142969,0.088844172,0.148747089,0.089789003,0.2951347,0.085761719,0.085781986,0.091828077,0.101424712,0.088816934,0.135353143401538,1.10143751200757,1.89515858764778
"T5767",0.096512841,0.115462179,0.059114632,0.108120984,0.05398169,0.09229421,0.079573395,0.099755184,0.123539007,0.124873934,0.259352815,0.123539472,0.11479925,0.071372594,0.072074923,0.094912391,0.088777726,0.052983195,0.325288354,0.349371012,0.055255986,0.062673175,0.138660185,0.196975851,0.096878568,0.295333264,0.136111772,0.053916799,0.053286137,0.073957867,0.07093508,0.094881222,0.132835136,0.138823075,0.04959842,0.073707824,0.320226631829958,0.467065154464269,1.54172464027512
"T5769",0.090932282,0.109579639,0.065440355,0.079191654,0.089123027,0.146426781,0.079573395,0.092404044,0.118099915,0.123521488,0.15418213,0.153175008,0.063777532,0.064881552,0.103849398,0.100905714,0.085890837,0.063688266,0.317362718,0.333068533,0.063042084,0.068151833,0.070717201,0.219323959,0.09838835,0.30033278,0.128910591,0.076721396,0.06464042,0.084691917,0.088696896,0.110507741,0.128185488,0.144532579,0.042661113,0.07488779,0.252352082251053,0.667106412375448,1.65317554222605
"T5771",0.098248246,0.111340624,0.074077697,0.073463722,0.090852788,0.095112403,0.079573395,0.099763467,0.119919666,0.122655022,0.181328102,0.128698416,0.073724007,0.067363906,0.076210533,0.101044769,0.092727556,0.067933049,0.323486586,0.340687551,0.066959177,0.075773295,0.067779261,0.212652755,0.101013372,0.307185509,0.134395962,0.067779906,0.070449926,0.087479024,0.087004267,0.103067084,0.129153333,0.140898366,0,0.082302245,0.299442966460702,0.526003272956473,1.57456139872104
"T8378",0.100447677,0.047690186,0.219905331,0.04016079,0.039854629,0.041661834,0.104398294,0.104233671,0.151434126,0.054685012,0.028673684,0.028684912,0.153133037,0.057899318,0.030564948,0.038339744,0.046299232,0.107008923,0.028987584,0.275553398,0.109522805,0.287732363,0.100184593,0.300028773,0.101478896,0.029562262,0.029995873,0.253976939,0.104849824,0.101653581,0.100332357,0.112021972,0.100359852,0.30329407,0.10083597,0.103968302,0.475068653037497,0.0625343525604152,1.31634452014442
"T8379",0.138535777,0.065984395,0.226105115,0.037946195,0.03860121,0.041738793,0.138928312,0.143388518,0.181305745,0.039947125,0.037334835,0.036728866,0.15731892,0.038479641,0.036898029,0.053147177,0.039333981,0.144251559,0.041685361,0.221531369,0.158147515,0.252849616,0.141206201,0.237021588,0.137755956,0.041265337,0.040781823,0.22633863,0.138386153,0.151531041,0.139226474,0.151301421,0.137234804,0.252223917,0.150362346,0.137128558,0.236108036313866,0.718878032659357,1.68201956088676
"T2422",0.055542907,0.108944516,0.09344391,0.046750371,0.316818788,0.178743522,0.119333591,0.047167741,0.16560406,0.067108707,0.056263923,0.330742795,0.19495248,0.046553443,0.088516947,0.087454802,0.089764586,0.063502245,0.183430041,0.12251161,0.126960165,0.145694384,0.059314143,0.067683471,0.051068236,0.1328837,0.092272301,0.147403906,0.05157145,0.049627534,0.048911473,0.095190147,0.054829633,0.184690128,0.048770368,0.14086092,0.301523222663382,0.520024577108552,1.57123043064126
"T2823",0.040171485,0.054613034,0.10479272,0.048049873,0.26129788,0.309957985,0.097154919,0.048847392,0.14661792,0.213018762,0.07840747,0.074940627,0.151031222,0.072186596,0.053823146,0.102733346,0.099861461,0.076659554,0.306707935,0.16320199,0.0879119,0.087847478,0.077813098,0.033592018,0.033001852,0.142691304,0.114932892,0.276032903,0.042877937,0.035908241,0.034979222,0.132411459,0.033473944,0.038159673,0.034465904,0.050179344,0.473368716695566,0.0668043838619036,1.3187235235804
"T2413",0.045850616,0.047323476,0.061948043,0.052392195,0.187893056,0.231346129,0.090323974,0.209652936,0.166893786,0.063074552,0.053361602,0.065027849,0.123540023,0.054937982,0.051884852,0.078593451,0.070540809,0.04619903,0.107101706,0.263673755,0.069964321,0.054488859,0.049609406,0.054101265,0.079024642,0.304263101,0.04623732,0.337729459,0.220141058,0.052742459,0.046103614,0.092245075,0.046169134,0.067007363,0.045621596,0.175312506,0.486048615443444,0.0349780660982033,1.30099182234247
"T2425",0.096753128,0.116948053,0.112706386,0.036449324,0.259196359,0.088674567,0.045948216,0.044075077,0.143963017,0.042728998,0.062691795,0.168150908,0.106311444,0.059619365,0.025670247,0.099241326,0.113835547,0.073792693,0.066491544,0.117193987,0.03332023,0.107816968,0.063876316,0.024757257,0.026642059,0.056541832,0.117228778,0.169611425,0.055538751,0.051180957,0.026120466,0.091734156,0.056779384,0.057655232,0.042342966,0.113580758,0.249045818518081,0.677495479851808,1.6589637028923
"T2405",0.036884823,0.043459607,0.099422373,0.048975418,0.046714998,0.043286733,0.137024745,0.035700045,0.186747949,0.127639301,0.05298849,0.032696922,0.219418053,0.040244194,0.033620419,0.089558746,0.100888089,0.061099668,0.132805837,0.132713152,0.085052011,0.065347681,0.060091917,0.036228031,0.031953342,0.311950156,0.10983438,0.178268019,0.044934626,0.042085912,0.039469133,0.110114704,0.247193013,0.043107921,0.037985368,0.190407769,0.466654257943516,0.0836829470218585,1.32812723913116
"T2406",0.037467262,0.045651252,0.103363505,0.048322338,0.046660613,0.078208529,0.15758839,0.037905255,0.189254595,0.167085411,0.055564035,0.038102296,0.216358572,0.042658098,0.030273642,0.093622365,0.103954199,0.063942365,0.153171772,0.087727156,0.086851904,0.063025113,0.062506348,0.033240586,0.030345401,0.322700931,0.110321103,0.198010152,0.045922648,0.043106855,0.041646527,0.112988698,0.272078249,0.103298355,0.040041444,0.190661149,0.450769652210934,0.123717058848414,1.35043182728695
"T2689",0.036548622,0.047785119,0.094441891,0.046933454,0.123124261,0.068786445,0.176748708,0.034451122,0.071548476,0.035191586,0.054742395,0.059448898,0.07075667,0.044082858,0.037683395,0.08875057,0.080504462,0.059135655,0.22242799,0.24494428,0.048916245,0.082590724,0.05021942,0.056427793,0.038736466,0.116127539,0.084778047,0.269740063,0.034432837,0.037917305,0.034419705,0.109515899,0.0506193,0.046140505,0.055037457,0.155754865,0.442506593799171,0.144617109782054,1.36207607283758
"T2419",0.071604205,0.212249857,0.093731403,0.0413168,0.271481101,0.19892091,0.162252908,0.037304482,0.159235416,0.041500334,0.052507281,0.366691531,0.185621864,0.136334875,0.097802903,0.086832247,0.080748689,0.057460949,0.173908123,0.188136117,0.198122629,0.145641815,0.043577986,0.059606006,0.042275231,0.099689604,0.096700728,0.180633835,0.04263697,0.040122606,0.039500085,0.100798163,0.040796737,0.198430344,0.036233388,0.133149691,0.347814103491949,0.391228685139872,1.49947314178309
"T2420",0.080141562,0.228750276,0.09448211,0.047407118,0.273849724,0.18969661,0.140044333,0.04446129,0.152133771,0.04602979,0.064725177,0.35372404,0.178728551,0.108267931,0.091715165,0.090276668,0.083243557,0.064793958,0.13383587,0.181826426,0.189813264,0.136185669,0.051493152,0.061698072,0.050803104,0.09546352,0.09916313,0.190310598,0.050267153,0.047711637,0.047021864,0.102375322,0.048693031,0.188203847,0.043117971,0.12992442,0.290109285873192,0.553065482265978,1.58963882658678
"T0320",0.04274276,0.039177265,0.038985234,0.059245557,0.184614573,0.228672209,0.097206354,0.039174362,0.208846794,0.03889729,0.056956084,0.072219927,0.155254529,0.040892768,0.042682879,0.111450401,0.071132267,0.062309245,0.267761109,0.307085936,0.105215407,0.112668565,0.097832035,0.042420486,0.041949586,0.163771135,0.147499857,0.306193116,0.042872865,0.085651484,0.153225645,0.141198867,0.050625647,0.066053815,0.054680321,0.211921891,0.415025652409505,0.21463576816502,1.40108623859869
