"","cho","dinB","dinD","dinG","dnaG","ftsK","hokE","insK","lexA","phr","polB","ptrA","recA","recB","recD","recN","recQ","recX","rpoD","rpsU","ruvA","ruvB","symE","umuC","umuD","uvrB","uvrD","uvrY","yafN","yafO","yafP","ybfE","ybgA","ybiB","ydjM","yebG","pval","z","inv_cof_var"
"T5562",0.055218855,0.130417888,0.066863064,0.124145434,0.197498045,0.137099208,0.079573395,0.073337468,0.130337477,0.054271869,0.10424014,0.083975068,0.193151079,0.062622354,0.083317248,0.101410325,0.055047326,0.072045644,0.284793896,0.334792528,0.261532975,0.065618561,0.057139746,0.183450432,0.098405664,0.057718674,0.163469961,0.06516821,0.059109529,0.113714685,0.117827245,0.11546712,0.157312289,0.076270343,0.19272916,0.083748773,0.212981088382292,0.796120195665363,1.72505422696291
"T5564",0.119371519,0.067895853,0.081107466,0.137224186,0.144730486,0.10380915,0.079573395,0.126736045,0.130026949,0.098149357,0.181976095,0.272278898,0.163661287,0.126502808,0.112800616,0.082574249,0.098255754,0.06781993,0.068019813,0.136019138,0.242095402,0.082773356,0.080228217,0.07036499,0.121230589,0.267225,0.078452143,0.085781865,0.092128978,0.142522851,0.081804852,0.121562899,0.0771263,0.148603363,0.067896828,0.084206145,0.0455659647077826,1.68945677117737,2.22276738936852
"T5566",0.134946802,0.116207295,0.108132896,0.147942748,0.177496281,0.100132667,0.079573395,0.13858134,0.14819284,0.121618122,0.09265047,0.250716664,0.17496441,0.115138819,0.123930134,0.117659993,0.1273068,0.092622416,0.182590031,0.107906094,0.228637614,0.140951041,0.120632803,0.175265128,0.134732186,0.249029964,0.101700563,0.114311013,0.103617962,0.107984869,0.014640081,0.125132158,0.094865006,0.10841616,0.09255465,0.111476008,0.0031777596042784,2.72885214774319,2.80185569050949
"T5568",0.107282874,0.124444906,0.095132695,0.106653926,0.131584724,0.118935156,0.079573395,0.115271324,0.118183431,0.097544591,0.188192731,0.248904537,0.15383838,0.097745701,0.100915623,0.09526755,0.097047547,0.156665775,0.107761645,0.134473806,0.121277534,0.094505149,0.098244708,0.148626286,0.110138686,0.242255635,0.101013893,0.09651225,0.144260074,0.107373331,0.126192604,0.152132254,0.09705252,0.131456232,0.132255711,0.09618748,0.000151038234628294,3.61351277105577,3.29473513657075
"T5570",0.118206154,0.090711019,0.090694718,0.140313779,0.149112021,0.125542284,0.079573395,0.125413376,0.130962236,0.104694136,0.175936113,0.244076448,0.14991311,0.10401551,0.110422638,0.101817504,0.10617038,0.134680407,0.175219307,0.166193848,0.123617699,0.095922867,0.098668843,0.127678638,0.093383354,0.238933684,0.130311098,0.09984193,0.090628388,0.167432841,0.11012848,0.090387971,0.092079223,0.15866005,0.114422933,0.089188552,0.0002188708359831,3.51621783519329,3.24052827709407
"T5572",0.127706669,0.084840129,0.105913146,0.138539217,0.1552587,0.126954203,0.079573395,0.128062722,0.131956424,0.146330085,0.1478915,0.243331419,0.142057029,0.113581548,0.121144345,0.111491247,0.115431614,0.107673811,0.134022169,0.146494945,0.220826349,0.109433806,0.107449578,0.161954031,0.12940758,0.24627447,0.113196165,0.099040413,0.127676796,0.097139654,0.084442799,0.133614024,0.130648915,0.101080893,0.08856369,0.106479656,0.000102963555645483,3.71163214701269,3.34940132425348
"T5574",0.099653998,0.110560572,0.089763087,0.114887858,0.114778804,0.090970727,0.079573395,0.103405615,0.108434372,0.094016953,0.15873329,0.261376963,0.1290863,0.095819683,0.098334444,0.089502041,0.095844238,0.124728959,0.236051702,0.11320288,0.226295311,0.093361427,0.094558867,0.107485251,0.101587754,0.262421473,0.125347963,0.089298234,0.119626578,0.160694184,0.113186316,0.116039299,0.09008484,0.089880605,0.102170508,0.089910964,0.0128638951222958,2.23029612534673,2.52409039874241
"T5576",0.125493858,0.065770977,0.096944757,0.135012187,0.167774407,0.141136608,0.079573395,0.132239374,0.137552957,0.103284135,0.184033716,0.255829652,0.16757793,0.111140929,0.118073399,0.105494371,0.118108723,0.064748025,0.159743574,0.237389234,0.208093374,0.098620029,0.111669568,0.120920855,0.12854073,0.249802691,0.131785112,0.107961927,0.130953484,0.115207346,0.088965759,0.068099909,0.116240583,0.072485021,0.078350392,0.100708602,0.00738012820550411,2.43820853391862,2.63992663024829
"T5578",0.107431959,0.102670185,0.100202955,0.1115987,0.13043625,0.128775693,0.079573395,0.119891458,0.111069598,0.101666876,0.128518478,0.240308372,0.120927197,0.102607519,0.105921099,0.100376206,0.103776516,0.10264697,0.104245614,0.120100288,0.190791706,0.10007246,0.100034815,0.100047054,0.108483793,0.229389391,0.100041676,0.100209409,0.169829102,0.158712179,0.106576988,0.143158744,0.100447122,0.122961537,0.104454299,0.100618618,6.73912501802048e-05,3.81755178943325,3.40841334909954
"T8389",0.148870042,0.044507805,0.047205554,0.285579046,0.224868822,0.290308006,0.04841331,0.182075699,0.048193884,0.044451815,0.301898023,0.318825652,0.310950314,0.244414694,0.151089064,0.322257003,0.250699478,0.067253443,0.314224074,0.293233473,0.04848922,0.064414881,0.047393322,0.046448788,0.047755314,0.315955525,0.318831536,0.136182091,0.04877592,0.048171219,0.047466911,0.051718155,0.047148204,0.046692011,0.052232005,0.048640221,0.494577181201352,0.0135934095507668,1.28907758382483
"T8139",0.056533,0.057268609,0.09626443,0.055386918,0.254730279,0.379929539,0.147608721,0.05275546,0.148677822,0.057634735,0.063454707,0.072089965,0.118911899,0.053840185,0.087309167,0.09113726,0.093299157,0.068816501,0.250549065,0.172514412,0.072199096,0.079325405,0.065250089,0.080211079,0.062761915,0.088599959,0.099977406,0.265320597,0.052736119,0.054602381,0.053075338,0.096200888,0.061139084,0.122530728,0.05373208,0.137700952,0.394104915180105,0.268635968699756,1.43117188751917
"T8402",0.294917839,0.030171205,0.06613175,0.298195923,0.297557676,0.298262942,0.097916072,0.296186569,0.076282104,0.043032034,0.294306256,0.285812579,0.259367543,0.083720676,0.292896619,0.150919204,0.292984633,0.165545735,0.28306287,0.297319887,0.087839575,0.060662562,0.071804908,0.045914632,0.08699701,0.271552291,0.285971053,0.197567726,0.100041188,0.090611723,0.076038303,0.063315641,0.062725729,0.054503363,0.071982025,0.098372935,0.308432932079774,0.500297144906997,1.5602394973958
"T8407",0.279246095,0.044169716,0.058062355,0.296193909,0.303662388,0.226418164,0.075614096,0.283572009,0.062669467,0.055588184,0.283125113,0.25170814,0.150799007,0.252809523,0.302005611,0.107008102,0.309688658,0.209110441,0.261835149,0.30732045,0.068900781,0.077117473,0.060968582,0.049240954,0.068753576,0.24699896,0.261824952,0.225227837,0.077049983,0.070762968,0.063117584,0.055777183,0.056650622,0.052873733,0.059577009,0.075793806,0.334264964018646,0.428166467142073,1.52005264204818
"T5535",0.081830574,0.133876735,0.064069148,0.117318154,0.157061915,0.061977217,0.070261264,0.104544941,0.11947702,0.100133962,0.077677108,0.084120248,0.083029918,0.067388274,0.078942691,0.061360439,0.079209102,0.079318845,0.104748399,0.336898647,0.281573358,0.067119847,0.104474663,0.266445789,0.068298692,0.284639157,0.137939694,0.105679512,0.062627729,0.13281085,0.124997959,0.073813955,0.129111362,0.195958116,0.064401319,0.069131313,0.242653064259767,0.697793845563422,1.67027272579244
