"","cdaR","garD","gudD","gudP","gudX"
"cdaR",1,0.984852740133832,0.945820325421135,0.93023100370123,0.965035080629822
"garD",0.984852740133832,1,0.936742855971844,0.917829188293126,0.953434058391312
"gudD",0.945820325421135,0.936742855971844,1,0.947502479789652,0.951828408101701
"gudP",0.93023100370123,0.917829188293126,0.947502479789652,1,0.949652196679343
"gudX",0.965035080629822,0.953434058391312,0.951828408101701,0.949652196679343,1
