"","ibaG","murA","obgE","rplU","rpmA","yhbE","mlrA"
"ibaG",1,0.612016500697316,0.274972869292539,0.342322137707542,0.53185691707755,0.241670216380143,-0.293586809439653
"murA",0.612016500697316,1,0.409698311911082,0.404302994990155,0.507396621272208,0.45921863861002,-0.430145330126777
"obgE",0.274972869292539,0.409698311911082,1,0.413856519623015,0.241969437193472,0.451967579256812,-0.288302135097255
"rplU",0.342322137707542,0.404302994990155,0.413856519623015,1,0.349992340053926,0.218741681073061,-0.382855253213722
"rpmA",0.53185691707755,0.507396621272208,0.241969437193472,0.349992340053926,1,0.231273687069576,-0.199024287002549
"yhbE",0.241670216380143,0.45921863861002,0.451967579256812,0.218741681073061,0.231273687069576,1,-0.218844298002931
"mlrA",-0.293586809439653,-0.430145330126777,-0.288302135097255,-0.382855253213722,-0.199024287002549,-0.218844298002931,1
