"","alsT","glnR","glnA","tnrA"
"alsT",1,0.676703706114434,0.473983714887028,0.276687756771004
"glnR",0.676703706114434,1,0.664003044174625,0.54888936347852
"glnA",0.473983714887028,0.664003044174625,1,0.517836139492302
"tnrA",0.276687756771004,0.54888936347852,0.517836139492302,1
