"","copA","csoR","copZ","sprB","yosX","yotB","yotC","yotD","yotE","yotG","yotH","yotI","yotJ","yotK","yotM","pval","z","inv_cof_var"
"GSM672668",9.287444981,10.30466134,10.77308197,7.575992937,8.590889591,7.676433829,7.833525279,7.997119703,8.012508922,7.935463197,7.732870632,7.515012639,7.509637546,7.286697026,7.240568401,0.291484275427356,0.549053768634048,8.54992694410392
"GSM672669",9.484101859,10.40512788,10.90454312,7.365495911,8.635448699,7.852455762,7.986987732,8.23825223,8.029918216,7.903645725,7.874073978,7.630018959,7.532095911,7.452518773,7.598236431,0.293068162473895,0.544443490592386,8.5383618950949
"GSM672670",9.99890223,10.50714535,11.68223941,7.195415613,9.054672491,8.067376208,8.188528253,8.38036803,8.288367658,8.182026394,8.170942379,7.859383271,7.788498141,7.491115242,7.482289963,0.497068783158515,0.00734753712446458,7.19103729378642
"GSM672683",9.568403717,11.01789926,11.19393717,8.035083271,10.0326223,8.419263569,8.891684015,9.024053532,8.993447584,8.783435688,8.839163941,8.721894796,8.805447212,8.289634201,8.520436059,0.0540409994629133,1.60687405486153,11.2035073447661
"GSM672684",9.469037546,11.14142193,11.49590892,8.106679554,10.44395465,8.647807807,9.080512639,9.427001859,9.421905204,8.96372119,8.909420074,8.845825279,9.090420074,8.935267286,8.880969888,0.0541508480348612,1.60587355035043,11.2009975430578
"GSM672685",9.327350929,11.27260967,11.65285409,8.522198513,10.74750632,8.9676171,9.623952602,9.773924535,9.766249071,9.143151301,9.38253829,9.129148699,9.719139405,9.076160967,9.296919703,0.0235367294770804,1.98563867407986,12.1536520745543
"GSM672686",9.60756803,11.0609684,11.02368327,7.983840149,10.16753123,8.541301487,8.950156134,9.145479182,9.298148699,8.84164461,8.815912639,8.899360595,8.927639405,8.771788476,8.7329829,0.020863492852233,2.03623278397937,12.2805692268969
"GSM672687",9.923634944,10.79461747,11.08555204,8.409305576,10.08906357,8.835132714,9.206534201,9.50463829,9.436229368,9.186043866,9.235304461,9.089297398,9.228699814,8.856034201,9.098998885,0.00200986135234661,2.87660983856789,14.3886854260816
"GSM672688",9.789263569,10.53918104,10.97927509,8.196510409,10.04283792,8.845825279,9.242672119,9.52794684,9.505221933,9.143151301,9.004359108,9.127955762,9.648879926,8.994675465,9.058432714,0.00195031843259496,2.88608750761646,14.4124605012609
"GSM672698",9.759085316,10.69258996,11.72348773,7.494581413,8.308706134,7.823384758,8.167665428,8.260122677,8.219970632,8.031022305,7.97460632,7.795259851,7.715651301,7.521367658,7.651796654,0.468259826037214,0.0796449396144887,7.37239793960132
"GSM672704",9.546230855,10.83013309,10.84973011,7.94874052,10.04472379,8.883541264,9.405123048,9.564360967,9.543722677,9.133810409,9.017775465,9.040090706,9.142003346,8.830134572,8.870406691,0.0034855760868575,2.69821919929361,13.9411860632853
"GSM672705",9.487980669,10.81430985,10.76070037,8.175404461,9.940048699,8.91187026,9.361120818,9.474102974,9.354954647,9.068281041,9.070645725,9.084210409,9.249828996,8.779644238,8.82951803,0.00046703980822666,3.30966419563485,15.4750179244235
"GSM672706",9.389882528,10.67029442,11.14697993,7.890224164,10.10964312,8.918543866,9.306693309,9.42066803,9.353508178,9.286335316,9.137415985,9.108434572,9.243945353,8.909420074,8.992026022,0.00893032604400641,2.36849437266296,13.114059424715
"GSM672710",9.529263569,10.3697052,10.60630929,8.029918216,9.978907063,8.993447584,9.179131599,9.745832714,9.505805576,9.480399628,9.377654647,9.266752045,9.752057249,9.158375465,9.037702974,0.000154340751064769,3.60790328869068,16.2231614629319
"GSM672711",9.691046468,10.52767361,11.04578699,8.21488829,10.18579145,9.047397026,9.405123048,9.714539963,9.557981784,9.256607621,9.223396654,9.302730483,9.849930112,9.10509368,9.2522,0.00113686084351504,3.05193389453407,14.8284921538724
"GSM672712",9.719139405,10.78880818,11.15801487,8.232792937,10.09255093,9.058432714,9.187238662,9.223396654,9.183775093,9.132736059,9.126830483,9.119518959,9.138475093,9.131537546,9.134895911,0.00266574184672185,2.78629190726449,14.1621196327655
"GSM672713",10.60630929,13.20505651,12.70310595,8.265997026,10.6756632,9.505805576,9.94911487,9.986601859,9.969389963,9.833729368,10.08044907,9.786729368,10.01140335,9.658863569,9.70606803,0.0841338645741019,1.37779131212095,10.6288450092249
"GSM672714",10.09491599,13.12063532,12.87384461,8.519262825,10.65031264,9.681794424,9.968082528,10.02391561,10.10699257,10.02884981,9.921168401,9.781756506,9.89214461,9.730959851,9.827327509,0.0677517885493105,1.4927464208566,10.9172140521224
"GSM672715",10.47617472,12.97545799,12.57254721,8.241583086,10.58636245,9.619292193,9.942540149,9.985307807,9.982824907,9.883156134,9.908577323,9.761062825,9.833729368,9.486692565,9.606279554,0.0694358338891229,1.4800059163328,10.8852540362869
"GSM672718",10.10522491,10.92041933,11.62494535,7.563181041,8.694099628,7.793164312,7.941649071,8.247687361,8.162204833,8.08659145,8.061049071,7.88816171,7.895319331,7.529364684,7.564085874,0.474349981042998,0.0643394247147507,7.33400350257948
"GSM672726",10.27073271,11.0609684,11.43214164,7.240568401,9.371142751,8.576081413,8.681326208,8.657939777,8.719429368,8.436023792,8.381562454,7.834514126,7.783582528,7.611296654,7.469251487,0.439401807707596,0.152486020641571,7.55512242266625
"GSM672727",10.35275874,11.35768476,11.91645465,7.600063197,9.51122342,8.185330483,8.42662342,8.667868587,8.664556134,8.644084015,8.683216729,8.458105948,8.452079554,8.077244238,8.074649442,0.373264716257615,0.323218947298168,7.9834121367342
"GSM672728",9.1231,11.13061617,11.10549071,8.138221933,9.773924535,8.251019703,8.71819145,8.96094052,9.006797026,8.735318587,8.674073234,8.694789963,8.774426022,8.430050186,8.408137918,0.0303919383381026,1.87506431070454,11.8762722896431
"GSM672729",8.9676171,10.67258401,10.69258996,7.253958364,9.310286617,8.179828996,8.343217472,8.899360595,8.908124535,9.006797026,8.992026022,8.530658364,8.239889591,7.890224164,7.788498141,0.0938850514021233,1.31720444966889,10.4768606761264
"GSM672730",9.051007063,11.06673011,11.1661171,7.769860967,9.343478439,8.481003346,8.57858513,8.923778439,8.860418216,8.792524907,8.845825279,8.746243494,8.802977323,8.305863941,8.442299257,0.0366028875235285,1.79154565521696,11.6667627253277
"GSM672731",11.05744312,11.44644647,12.55487435,8.947592565,11.79491301,10.33722862,10.66433346,10.67985911,10.69138996,10.49909703,10.43819554,10.29977138,10.66082342,10.36854833,10.38173197,0.00777370774358022,2.41937003324421,13.2416828571135
"GSM672732",10.05959888,12.00305651,12.62380409,8.318478067,10.97578959,9.581556877,9.933688848,10.01376952,10.04221636,10.08286914,10.25985874,9.84866803,10.20057955,9.367478067,9.662597398,0.0776616715114215,1.4209773542059,10.737178755846
"GSM672733",10.31709591,11.58508885,11.88757881,8.043572119,10.54444219,9.356207435,9.623286617,9.782928996,9.711259851,9.832570632,9.917216729,9.441220446,9.865482528,9.112163197,9.358621933,0.0405186375525679,1.74469901361339,11.5492462325788
"GSM672734",9.101403346,10.38838662,10.86057249,12.50036468,15.08894944,13.74743383,14.13691599,14.17215799,14.1456342,13.96823197,13.88738959,13.86797714,14.39110335,13.93848699,14.18104015,0.309395773817635,0.497563766534176,8.42076241381347
"GSM672735",8.952978439,10.60630929,10.84793048,9.931396283,13.08980112,11.5350052,11.92156208,12.1574803,12.2190777,12.14299442,12.20774981,12.00101413,12.21777212,11.59762937,12.06224721,0.0680729948584581,1.49029765157377,10.9110712259171
"GSM672736",8.910728996,10.68896989,11.11582156,11.69219926,14.7149948,13.29444201,13.70143383,13.77427435,13.76194498,13.75689926,13.77660149,13.62222788,14.03156208,13.40275985,13.8692948,0.282944280286065,0.57411710290058,8.61279922349846
"GSM672737",10.12733141,11.09961338,11.68967509,7.465363941,8.893053903,7.927762082,8.018659851,8.058956134,8.055976952,7.858889033,7.838514126,7.854380669,7.952201487,7.846815613,7.608422677,0.494976202996175,0.012593124458395,7.20419603910499
"GSM672738",9.924944238,11.03072193,11.48629777,7.335327509,8.995851673,7.88816171,7.973584015,8.112798513,8.080995167,7.997119703,7.958960223,7.896279926,7.929290335,7.672643866,7.591762082,0.442265894267093,0.145226823259271,7.53691246380178
"GSM672739",10.17127509,11.28929814,11.4622,7.257773234,9.119518959,8.058956134,8.137154275,8.217745725,8.229425651,7.973584015,7.979769517,7.735430669,7.89425539,7.662205576,7.730020074,0.459469145955743,0.101771192551929,7.42790244438283
"GSM672762",10.38838662,11.29108457,11.79619814,7.452099257,9.085415985,8.167665428,8.360233086,8.630512268,8.765206691,8.62324461,8.562611152,8.298687732,8.374791822,7.951738662,8.092406506,0.377197603061817,0.312849236699334,7.95739934310198
"GSM672763",10.45256691,11.1655158,11.92414164,7.665011524,9.513952416,8.574934572,8.715765799,8.862331599,8.790155019,8.649753903,8.592207063,8.419263569,8.660651673,8.356741636,8.454589219,0.297738488432391,0.530916018595051,8.50442774292369
"GSM672764",10.31164684,11.10790929,11.89925465,7.906473978,9.522955019,8.489474349,8.761433086,8.942527509,8.940002974,8.675730855,8.661983643,8.56395316,8.663332342,8.425394052,8.521008922,0.230539031869545,0.737072825259005,9.02157953964101
"GSM672765",10.541771,11.07273717,11.67839033,7.430656506,9.283654275,8.471215242,8.748798513,8.79387881,8.839163941,8.571306691,8.474837918,8.450009294,8.572614126,8.371118216,8.441049442,0.288551123002637,0.557622416420353,8.57142170660938
"GSM672767",10.58402416,11.1592223,12.10308439,7.837495167,9.906015985,8.560181041,8.7329829,9.145479182,9.159348327,8.880969888,8.778329368,8.679409665,8.741252416,8.388984758,8.614675465,0.297994562923044,0.530177130291118,8.5025742149217
"GSM672773",10.25613717,11.54474833,11.81609387,7.271315613,8.779644238,7.96097026,8.315149071,8.549405204,8.550620446,8.441049442,8.337157993,8.075726022,7.970501487,7.784542379,7.805177323,0.464123223656921,0.0900513019747173,7.398502675501
"GSM672774",10.34221784,10.99318253,11.85426952,7.450703903,9.366164684,8.393543866,8.809375836,8.861024164,8.879577695,8.552971004,8.443499628,8.368715242,8.360233086,8.255571375,8.264835316,0.336529281917464,0.421954040857597,8.23109268563086
"GSM672775",10.24510112,11.17010335,12.13241078,7.824440149,10.00255502,8.71819145,9.005653532,9.03881487,9.276272862,8.903206691,8.835132714,8.613412268,8.837883643,8.747633457,8.771788476,0.232986319955386,0.729047446511396,9.00144758714415
"GSM672776",10.39292119,11.11460186,11.87555037,7.770922305,9.55144052,8.499108178,8.573867658,8.862331599,8.906881413,8.719429368,8.667276208,8.566478067,8.659134201,8.372318216,8.431318959,0.263597189678366,0.632294618570568,8.75873962315903
"GSM672778",10.08164275,11.22497212,11.49097026,7.484497955,8.975872119,8.107589591,8.372318216,8.437373606,8.604710409,8.403292565,8.421766914,8.070405204,8.012508922,7.829472119,7.906473978,0.331569336229082,0.435583874644552,8.26528361604905
"GSM672779",10.04722045,11.10190223,11.41760669,7.35522119,8.804210781,8.088671747,8.274050558,8.484646468,8.565359108,8.496584015,8.399660595,8.209816357,8.308172862,7.792295911,7.883198141,0.307553360535281,0.502797401066283,8.43389117509688
"GSM672780",10.18109182,11.17542156,11.79090335,7.348572862,8.91187026,8.149569331,8.379198513,8.441049442,8.53189368,8.344507435,8.099323048,7.984951301,8.046743123,7.8193171,7.879058736,0.440529470269665,0.149626955040587,7.5479503533254
"GSM672781",9.89214461,11.06557435,11.63497546,7.316581784,8.760095167,7.94674684,8.20664052,8.464214126,8.434796283,8.12430632,8.135997026,7.985430483,8.023792937,7.909552788,7.969496654,0.386889539526813,0.287435243147226,7.89364742222237
"GSM672782",9.968082528,11.21415576,11.84635353,7.455511152,8.854895539,8.140407807,8.323040892,8.598694424,8.583566914,8.264835316,8.175404461,8.064017472,8.053334201,7.94674684,7.942710037,0.403273788986901,0.244882285900711,7.78690179178804
"GSM672783",9.804423792,11.5610803,11.84500446,7.570931227,9.060899257,8.093958364,8.331278067,8.534192193,8.6819829,8.414241264,8.051954647,8.037214126,7.963007807,8.052826022,7.983840149,0.382602450457223,0.298652896207539,7.92178731015024
"GSM672784",10.08788327,11.52469963,11.71601041,7.403566357,9.047397026,8.218820074,8.399660595,8.697910409,8.70175539,8.581058364,8.149569331,7.999137918,8.186486989,8.099323048,8.080995167,0.358104584736412,0.363529782181648,8.0845333222265
"GSM672785",10.05844498,11.46931636,11.94402528,7.903645725,9.61009368,8.545669888,8.680669517,8.919800372,9.025208922,8.515509108,8.364927881,8.298687732,8.436023792,8.561458364,8.534192193,0.259959343710237,0.643470751537265,8.78677535643221
"GSM672786",9.801787361,11.10549071,11.50890743,7.939015985,9.930198141,8.641617844,9.18317658,9.309149814,9.201721561,8.894226394,8.847083271,8.817110037,8.848271747,8.562611152,8.618287732,0.0743163523201035,1.44437789705641,10.7958798629068
"GSM672787",9.981542379,11.05514201,11.41876506,7.924209665,9.658863569,8.516163569,8.60055539,8.75945316,8.84164461,8.726693309,8.602923048,8.566478067,8.551803346,8.363724164,8.513688848,0.118147140960764,1.18430011856837,10.1434653605296
"GSM672788",9.799172862,10.97369777,11.57041264,7.965228625,10.13475688,8.755100372,9.13435316,9.277469145,9.407636059,9.02275948,8.927639405,8.767733086,8.998344981,8.619519331,8.720728996,0.075472225503265,1.43620347325157,10.7753740254998
"GSM672795",10.25257509,11.25813941,11.97502342,8.122149442,9.660145725,8.685659851,8.782315242,8.906881413,9.030392193,8.689369888,8.395334758,8.406797398,8.499108178,8.548211524,8.62324461,0.235240803922183,0.721695665087265,8.98300537786624
"GSM672796",9.630962082,11.01917918,11.24241227,8.025824907,9.921168401,8.70175539,9.102052416,9.267866914,9.249828996,8.827584758,8.734165056,8.692872119,8.857243123,8.453284015,8.513688848,0.0418634386750576,1.72945956487293,11.5110175249041
"GSM672806",10.27803457,11.30724907,11.64349257,8.009399628,10.09014535,8.778329368,9.126830483,9.336265056,9.410388104,8.947592565,8.937742751,8.851008178,8.926239777,8.566478067,8.84164461,0.10128088560929,1.27428686105797,10.3692003547425
"GSM672816",10.228229,11.19393717,11.92156208,7.821365799,9.941332342,8.645266171,8.893053903,8.988291822,9.000723048,8.894226394,8.937118216,8.730405576,8.795147584,8.371118216,8.526891822,0.2186901091961,0.776624710341722,9.12079687214183
"GSM672817",9.561186059,11.16719814,11.51608104,7.725889963,10.07193197,8.605266543,9.145479182,9.239005576,9.348395911,9.030392193,9.092923048,8.796410037,8.950156134,8.494200372,8.499108178,0.0979259870523796,1.29346010372357,10.4172971265827
